LGA_CODE_2016,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
LGA10050,153,65,126,191,93,159,252,3,3,7,0,4,4,3,4,8,76,142,216,107,152,256,133,223,357,1731,1684,3412,1553,1557,3110,1902,2004,3902,7132,7810,14943,6937,7791,14729,7283,8145,15435
LGA10130,82,23,59,84,34,53,89,5,0,5,0,0,0,0,0,0,30,79,105,37,77,112,50,67,121,952,990,1941,972,1092,2068,1176,1267,2442,5224,5740,10960,5169,5678,10847,5364,5914,11275
LGA10250,145,49,106,153,42,100,141,0,0,0,3,0,3,0,0,3,47,123,172,64,124,190,61,119,186,1190,1378,2566,1108,1155,2268,1574,1737,3309,5345,5931,11274,5199,5652,10849,5676,6118,11793
LGA10300,5,0,6,7,3,3,8,0,0,0,0,0,0,0,0,0,5,7,6,0,16,14,5,5,9,117,83,202,137,105,242,147,128,273,387,325,707,359,328,690,369,348,712
LGA10470,113,40,89,128,50,100,153,3,3,4,0,7,4,0,3,3,52,83,130,52,109,160,75,132,211,1774,1092,2870,1949,1316,3258,2398,1655,4052,6650,6121,12768,6971,6553,13527,7487,7121,14604
LGA10550,117,31,83,112,24,77,97,0,0,0,0,3,3,0,3,3,43,105,147,42,90,131,42,85,129,1006,1064,2068,963,1064,2025,1448,1538,2982,4257,4545,8803,4026,4413,8441,4237,4559,8796
LGA10600,67,11,40,47,14,30,45,0,0,0,0,0,0,0,0,5,16,61,78,16,43,56,12,40,55,435,453,884,327,308,629,482,535,1017,1803,1992,3794,1737,1879,3618,1687,1926,3617
LGA10650,16,9,4,14,6,12,20,0,0,0,0,0,0,0,0,3,5,14,19,15,10,22,11,16,28,226,223,453,309,326,641,453,472,925,1025,1072,2102,1047,1127,2172,1134,1236,2373
LGA10750,1051,549,903,1451,617,1077,1698,29,33,61,21,34,56,22,28,45,661,971,1632,975,1424,2402,1282,1808,3090,11951,11048,23003,10423,9447,19873,10627,9927,20552,46601,45594,92193,49792,49277,99065,55043,54952,109991
LGA10800,11,3,13,16,4,11,16,0,0,0,0,0,0,3,0,3,0,6,11,3,13,19,4,16,19,185,192,373,148,137,289,365,376,742,838,947,1788,754,856,1614,925,1012,1940
LGA10850,13,4,15,17,4,16,19,0,0,0,0,0,0,0,3,3,4,9,21,4,23,26,3,22,20,176,163,342,246,239,482,301,277,573,955,975,1929,995,1102,2091,1086,1172,2262
