LGA_CODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
LGA10050,164,410,593,735,1324,271,189,0,3,111,367,383,561,947,188,80,4,0,139,421,329,494,829,8137,8249,1889,1975,6870,8449,16895,18676,35566
LGA10130,95,232,344,438,788,162,83,3,0,60,199,223,286,511,88,37,0,0,70,238,158,278,432,4285,4355,1065,1085,3808,4543,9156,9979,19135
LGA10250,172,421,713,871,1583,346,249,16,11,144,390,503,649,1149,275,135,11,4,202,590,484,737,1217,7394,7442,1605,1676,5400,6970,14400,16082,30485
LGA10300,8,26,18,40,56,8,3,0,0,9,19,19,24,44,7,0,0,0,3,9,11,13,21,375,369,95,92,306,284,775,748,1523
LGA10470,123,276,462,520,983,173,147,0,6,89,257,272,408,675,116,53,7,0,102,308,224,364,592,6374,6480,1540,1590,5392,6192,13300,14267,27568
LGA10550,140,286,642,646,1287,263,159,15,9,124,257,401,421,823,155,82,10,4,129,308,295,388,688,5770,5834,1563,1628,4134,4813,11470,12271,23734
LGA10600,63,118,224,244,464,104,67,15,4,53,108,166,174,341,44,17,0,3,51,135,101,156,250,2022,2034,635,672,1736,2064,4395,4775,9172
LGA10650,47,74,174,180,353,72,47,4,3,37,63,110,108,224,49,18,0,0,40,85,91,103,194,1489,1501,284,287,1098,1118,2874,2906,5779
LGA10750,632,1611,2451,2759,5213,926,499,25,9,456,1311,1412,1819,3231,509,234,13,10,411,1241,939,1483,2420,61777,62103,7855,8063,48308,52671,117941,122839,240788
LGA10800,34,47,92,117,209,45,36,0,0,29,40,74,78,157,37,15,0,0,23,68,58,88,148,1040,1046,171,178,765,708,1973,1931,3913
LGA10850,32,61,109,109,219,43,37,3,0,22,37,71,74,141,32,14,0,0,21,56,58,70,122,1268,1294,291,276,896,1005,2453,2578,5032
LGA10900,257,605,952,1143,2099,426,247,36,7,179,529,640,786,1422,212,113,15,6,183,578,406,691,1094,13809,14013,3013,3148,9943,12380,26762,29542,56305
LGA10950,10,38,50,53,99,17,10,0,0,12,15,37,26,59,6,9,0,3,10,17,16,25,39,417,416,114,116,354,345,878,874,1756
LGA11100,153,350,510,594,1098,228,105,11,3,107,295,349,403,749,117,54,5,3,96,331,220,384,603,7665,7716,1778,1705,7858,8460,17301,17878,35179
LGA11150,11,17,25,29,51,4,8,0,0,3,12,14,20,36,3,0,0,0,4,14,11,16,25,270,276,133,134,311,370,723,774,1491
LGA11200,0,3,11,5,15,3,8,0,0,4,9,9,10,20,7,0,0,0,3,7,6,10,15,122,127,112,109,277,294,513,529,1043
LGA11250,70,166,245,332,574,120,75,0,0,64,195,188,273,461,77,37,0,0,72,219,149,257,406,2562,2605,695,742,2739,3184,5998,6536,12532
LGA11300,93,239,384,456,849,197,112,8,3,74,278,277,395,673,162,59,3,3,86,314,256,376,632,6070,6114,844,878,6931,8066,13846,15058,28903
LGA11350,82,192,290,336,627,109,84,0,4,56,155,167,238,408,84,33,5,3,78,246,167,281,449,3946,4005,1655,1689,4541,5561,10137,11256,21388
LGA11400,58,80,211,187,403,81,47,0,0,50,105,131,152,282,50,29,0,0,40,87,89,114,201,2578,2624,387,406,1578,1597,4543,4627,9169
LGA11450,103,298,559,653,1217,256,136,3,3,85,280,344,415,757,124,50,0,3,88,332,210,384,600,15099,15286,2558,2655,8791,10502,26445,28449,54898
LGA11500,328,783,1279,1375,2650,435,242,19,10,206,614,661,873,1529,235,114,5,8,203,606,445,730,1174,26537,26672,4829,4966,23215,26677,54581,58322,112902
LGA11520,191,572,922,1110,2024,462,306,10,13,160,511,635,826,1461,354,118,9,6,216,719,579,845,1421,16432,16580,3108,3179,12163,15231,31709,34996,66703
LGA11570,877,2145,3689,4178,7864,1899,1134,42,26,758,2148,2696,3305,5999,1290,543,19,3,929,2661,2248,3206,5451,62038,62292,6312,6469,55667,59181,124011,127942,251959
LGA11600,18,15,40,32,70,16,7,0,0,5,18,25,20,45,7,9,0,0,10,11,19,22,40,447,457,117,116,409,270,974,844,1820
LGA11650,1380,2992,5172,5925,11100,2229,1518,88,63,1015,2849,3329,4433,7758,1576,800,64,51,1322,3539,2960,4383,7345,55409,56019,12362,12724,46355,56814,114121,125556,239681
LGA11700,12,8,17,15,37,9,3,0,0,3,11,12,11,23,3,0,0,0,4,12,5,13,19,159,159,87,88,337,284,591,536,1126
LGA11720,185,350,597,649,1248,243,158,8,4,121,321,376,480,849,113,53,7,8,122,344,246,401,649,8496,8630,2299,2367,7638,8635,18436,19629,38068
LGA11730,278,475,1026,996,2016,402,288,24,8,219,462,647,762,1404,273,137,12,7,175,512,460,651,1107,8576,8709,1970,2043,7207,8011,17754,18768,36520
LGA11750,18,39,46,67,111,21,16,0,0,4,26,26,38,64,13,3,0,0,7,29,23,31,51,659,665,242,253,603,546,1501,1465,2963
LGA11800,306,625,1102,1322,2426,554,350,20,12,195,515,771,883,1650,346,153,10,12,225,671,575,833,1413,12003,12213,2845,2949,9900,12033,24746,27195,51941
LGA12000,15,42,73,89,159,36,25,0,0,18,35,55,62,117,18,12,0,0,16,32,34,40,71,772,780,133,145,495,540,1406,1467,2877
LGA12150,20,37,55,65,118,19,7,3,3,14,15,40,27,69,6,0,0,0,13,29,21,29,54,509,498,155,150,555,586,1214,1234,2447
LGA12350,72,124,247,254,502,100,70,8,0,52,94,158,166,323,62,29,3,0,52,140,114,172,290,2122,2140,489,502,1765,1852,4380,4493,8879
LGA12380,481,1152,1819,2071,3895,768,436,23,10,364,1005,1154,1453,2610,486,197,20,5,378,1249,887,1453,2337,39017,39169,3236,3248,39283,34385,81531,76806,158334
LGA12700,41,67,158,152,310,56,29,0,0,29,49,84,81,164,20,17,0,0,30,77,51,87,137,1727,1750,311,322,1123,1204,3159,3283,6439
LGA12730,55,77,157,161,322,70,38,0,0,21,91,94,129,216,35,19,0,0,40,90,77,106,185,1415,1432,340,347,1213,1284,2961,3068,6026
LGA12750,212,361,840,839,1677,343,220,17,13,168,341,528,570,1096,208,111,7,0,151,414,368,527,889,6647,6730,1516,1569,4946,5668,13114,13968,27080
LGA12850,510,1315,2103,2393,4489,982,537,19,5,383,1168,1389,1714,3100,645,211,15,8,412,1274,1067,1488,2557,34241,34458,3285,3341,35233,38862,72755,76660,149412
LGA12870,66,131,245,281,525,111,87,10,0,66,97,188,187,376,78,37,0,3,58,111,135,149,287,2244,2271,444,457,1624,1647,4312,4376,8687
