LGA_CODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
LGA10050,12674,6020,801,1380,20877
LGA10130,6803,2983,482,807,11079
LGA10250,11067,4594,555,1329,17555
LGA10300,563,224,16,147,951
LGA10470,9934,3884,592,921,15333
LGA10550,8873,4018,323,1188,14407
LGA10600,3370,1440,163,420,5387
LGA10650,2103,1075,84,386,3649
LGA10750,83375,15362,2369,4597,105709
LGA10800,1486,664,25,279,2461
LGA10850,1905,709,46,175,2836
LGA10900,20389,7386,854,1363,29996
LGA10950,654,296,19,140,1112
LGA11100,11477,3783,1161,1043,17464
LGA11150,550,268,14,299,1135
LGA11200,369,159,22,67,617
LGA11250,4461,2532,182,555,7738
LGA11300,8256,2397,1301,654,12614
LGA11350,7338,3132,896,2111,13482
LGA11400,3472,1144,74,311,4997
LGA11450,20420,3298,360,942,25027
LGA11500,39635,9180,1161,2500,52481
LGA11520,22984,7069,2052,2004,34105
LGA11570,83008,21173,3589,5816,113582
LGA11600,681,272,34,122,1111
LGA11650,85380,31956,3712,6141,127190
LGA11700,358,228,13,145,747
LGA11720,14021,4827,523,1261,20623
LGA11730,13248,5736,617,2174,21776
LGA11750,1104,503,36,306,1950
LGA11800,18743,7276,1025,2419,29459
LGA12000,1089,371,32,148,1636
LGA12150,896,438,40,299,1669
LGA12350,3236,1485,102,435,5251
LGA12380,49677,11610,3216,3310,67815
LGA12700,2416,779,58,227,3485
LGA12730,2197,1083,88,436,3808
LGA12750,10010,4654,369,1414,16450
LGA12850,46864,9002,1323,2381,59574
LGA12870,3238,1492,109,430,5274
LGA12900,2379,1034,80,338,3835
LGA12930,37151,9325,2197,1996,50664
LGA12950,1088,463,34,122,1704
LGA13010,2187,1147,93,318,3744
LGA13310,7467,3208,273,686,11630
LGA13340,2685,948,68,221,3920
LGA13450,6186,2027,266,857,9338
LGA13510,2934,1333,98,294,4656
LGA13550,3141,1277,114,367,4894
LGA13660,1351,590,46,238,2226
LGA13800,16405,4389,510,1232,22541
LGA13850,732,346,17,167,1265
LGA13910,4759,2134,176,485,7562
LGA14000,37931,8167,913,1437,48443
LGA14100,3374,1110,94,235,4809
LGA14170,43456,18946,6401,5489,74288
LGA14200,4223,1728,168,501,6618
LGA14300,1343,527,47,177,2096
LGA14350,7205,3111,328,1183,11837
LGA14400,5865,1665,186,572,8293
LGA14500,31725,6152,593,1192,39667
LGA14550,2274,1142,109,372,3899
LGA14600,1522,644,34,284,2487
LGA14650,53698,17610,1763,2363,75444
LGA14700,9512,3407,608,668,14199
LGA14750,2690,1092,94,360,4232
LGA14850,10672,4754,764,1312,17508
LGA14870,5114,2561,188,769,8627
LGA14900,48556,9208,1029,4145,62933
LGA14920,1954,875,76,262,3174
LGA14950,797,313,16,99,1226
LGA15050,20758,5948,662,1133,28503
LGA15240,24408,10798,1021,2754,38993
LGA15270,5993,2531,248,1054,9825
LGA15300,3077,1339,129,806,5351
LGA15350,7458,3242,323,827,11849
LGA15520,3088,1292,88,471,4941
LGA15560,941,381,31,164,1524
LGA15650,4038,1543,177,436,6199
LGA15700,4981,2450,250,732,8410
LGA15750,3211,1277,130,611,5232
LGA15800,1407,684,54,251,2405
LGA15850,1616,655,48,229,2549
LGA15900,38386,17490,4103,2357,62332
LGA15950,17411,10634,2018,2792,32857
LGA15990,65764,19132,3046,4453,92390
LGA16100,1316,510,43,221,2096
LGA16150,10053,4218,466,959,15697
LGA16200,3609,1575,104,552,5845
LGA16260,57074,15221,3533,4341,80162
LGA16350,49777,12236,1656,3401,67066
LGA16380,21086,8819,950,2159,33014
LGA16400,18447,6360,643,1996,27448
LGA16490,14382,5171,470,1513,21534
LGA16550,31774,13096,5502,3784,54163
LGA16610,5784,2507,258,911,9455
LGA16650,27005,8719,2231,2232,40185
LGA16700,29386,9578,2303,1747,43011
LGA16900,18321,4859,460,1083,24727
LGA16950,26292,10916,980,2743,40930
LGA17000,5850,1719,166,617,8359
LGA17040,4969,2293,258,1707,9222
LGA17080,3715,1576,100,500,5888
LGA17100,9434,2214,1023,870,13543
LGA17150,58577,16039,1736,2807,79167
LGA17200,40324,31858,13239,12577,98001
LGA17310,15096,5972,678,1712,23459
LGA17350,1597,705,44,121,2463
LGA17400,1674,941,67,365,3050
LGA17420,41682,5424,731,1216,49056
LGA17550,23650,10104,1332,3409,38497
LGA17620,3557,1471,142,473,5640
LGA17640,2021,845,48,269,3180
LGA17650,1614,616,55,155,2434
LGA17750,15570,5880,945,1167,23564
LGA17850,812,359,24,146,1339
LGA17900,1354,854,82,605,2888
LGA17950,675,318,20,113,1118
LGA18020,2345,1107,72,465,3990
LGA18050,15370,6979,2819,3093,28256
LGA18100,945,471,37,120,1568
LGA18200,1707,662,51,372,2793
LGA18230,12333,4607,540,1473,18949
LGA18250,19291,5537,1330,1505,27665
LGA18350,12744,4636,379,1061,18829
LGA18400,12552,2316,232,711,15809
LGA18450,51776,18871,3304,3629,77588
LGA18500,13197,6284,1628,2289,23392
LGA18710,4307,1102,108,369,5887
LGA19399,235,94,7,94,438
LGA19499,0,0,0,0,0
LGA19799,0,0,0,0,0
LGA20110,3218,1492,119,726,5558
LGA20260,2796,1370,131,328,4627
LGA20570,25249,11378,1816,2167,40616
LGA20660,32420,10581,1431,1774,46205
LGA20740,8468,4338,359,1181,14351
LGA20830,12743,4466,398,1137,18747
LGA20910,25736,8561,742,1741,36776
LGA21010,3635,1806,147,421,6016
LGA21110,42244,14473,3134,2942,62794
LGA21180,48162,11349,2052,3287,64847
LGA21270,1547,844,69,242,2694
LGA21370,9603,3908,336,965,14816
LGA21450,24530,5770,706,1646,32656
LGA21610,75980,14058,2092,4098,96228
LGA21670,3362,1906,176,331,5777
LGA21750,5216,2530,258,655,8659
LGA21830,4092,1803,127,466,6483
LGA21890,34989,15330,4422,3678,58412
LGA22110,11717,5413,431,1583,19152
LGA22170,34757,13310,1626,3011,52700
LGA22250,2761,1373,88,293,4513
LGA22310,35674,13706,2918,2430,54727
LGA22410,5038,2424,179,601,8250
LGA22490,5817,1246,116,376,7558
LGA22620,28125,11569,1669,2612,43969
LGA22670,36124,10194,2241,2605,51171
LGA22750,59672,24186,3137,4806,91802
LGA22830,15752,6139,700,1821,24406
LGA22910,3912,1952,167,604,6637
LGA22980,1480,780,58,131,2454
LGA23110,23279,8097,1128,1691,34195
LGA23190,5110,2427,186,360,8084
LGA23270,48787,9963,1370,3083,63210
LGA23350,4262,1495,139,370,6267
LGA23430,40014,14338,1690,2729,58769
LGA23670,41525,10856,1272,1786,55442
LGA23810,18636,8776,794,2068,30280
LGA23940,1862,1015,89,350,3319
LGA24130,12279,3174,279,1035,16764
LGA24210,31750,7463,864,1470,41541
LGA24250,2111,1013,81,333,3537
LGA24330,19553,8121,2812,2254,32735
LGA24410,29181,9642,1141,1395,41362
LGA24600,24444,20646,11924,8783,65795
LGA24650,34045,6714,949,2275,43981
LGA24780,13527,5675,613,1841,21649
LGA24850,10396,3000,323,1143,14864
LGA24900,7471,3160,274,835,11733
LGA24970,45977,12290,3954,2687,64913
LGA25060,29883,11481,2155,2497,46010
LGA25150,8385,2550,215,703,11849
LGA25250,39197,16516,5506,3471,64688
LGA25340,41053,15561,1180,3318,61110
LGA25430,4691,2426,259,566,7933
LGA25490,4296,1473,127,475,6372
LGA25620,3542,1595,128,485,5753
LGA25710,16680,2835,248,676,20438
