LGA_CODE_2016,C16_450_549_1PF_CU15_DS,C16_450_549_1PF_CU15_NDS,C16_450_549_1PFnoCU15_DS,C16_450_549_1PF_NDCO,C16_450_549_T,C16_550_649_1PF_CU15_DS,C16_550_649_1PF_CU15_NDS,C16_550_649_1PFnoCU15_DS,C16_550_649_1PF_NDCO,C16_550_649_T,C16_650_749_1PF_CU15_DS,C16_650_749_1PF_CU15_NDS,C16_650_749_1PFnoCU15_DS,C16_650_749_1PF_NDCO,C16_650_749_T,C16_750_849_1PF_CU15_DS,C16_750_849_1PF_CU15_NDS,C16_750_849_1PFnoCU15_DS,C16_750_849_1PF_NDCO,C16_750_849_T,C16_850_949_1PF_CU15_DS,C16_850_949_1PF_CU15_NDS,C16_850_949_1PFnoCU15_DS,C16_850_949_1PF_NDCO,C16_850_949_T,C16_950_and_over_1PF_CU15_DS,C16_950_and_over_1PF_CU15_NDS,C16_950_and_over_1PFnoCU15_DS,C16_950_and_over_1PF_NDCO,C16_950_and_over_T,C16_Rns_1PF_CU15_DS,C16_Rns_1PF_CU15_NDS,C16_Rns_1PFnoCU15_DS,C16_Rns_1PF_NDCO,C16_Rns_T,C16_Tot_1PF_CU15_DS,C16_Tot_1PF_CU15_NDS,C16_Tot_1PFnoCU15_DS,C16_Tot_1_pa_f_NDCO,C16_Tot_T
LGA12150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,10,85,3,26,122
LGA12350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,22,161,31,54,261
LGA12380,139,417,122,225,902,46,124,40,86,295,12,47,19,35,104,3,17,6,7,40,3,0,0,5,9,3,3,3,0,13,16,55,28,66,167,454,1763,580,1307,4099
LGA12700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,85,18,17,131
LGA12730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,109,20,31,188
LGA12750,3,12,0,4,17,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,12,22,79,452,76,169,779
LGA12850,125,355,129,303,909,38,99,25,55,217,13,21,8,19,62,0,8,4,4,19,0,3,0,0,7,0,3,0,0,3,24,76,32,78,204,565,2174,828,1838,5411
LGA12870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,25,130,21,35,214
LGA12900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,25,111,10,46,192
LGA12930,53,254,123,199,634,44,160,66,106,372,12,57,31,33,136,3,18,9,13,41,0,3,0,4,11,0,6,3,5,15,3,28,15,27,77,200,955,440,730,2318
LGA12950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,13,76,7,20,117
LGA13010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,17,121,16,31,175
LGA13310,3,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,9,0,3,19,64,394,82,157,699
LGA13340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,80,11,21,122
LGA13450,4,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,8,22,39,295,33,105,483
LGA13510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,20,110,14,47,197
LGA13550,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,20,188,17,56,283
LGA13660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,54,3,14,76
LGA13800,26,98,19,43,191,6,21,7,12,42,3,11,3,3,18,4,5,0,0,9,3,3,3,0,8,0,3,0,0,0,3,19,0,10,33,120,621,141,307,1182
LGA13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,39,7,11,59
LGA13910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,39,241,40,58,383
LGA14000,36,136,80,118,370,34,120,66,62,284,24,58,39,27,155,15,24,18,4,63,3,6,13,8,30,3,3,4,3,8,4,13,8,13,34,148,524,302,394,1373
LGA14100,0,6,0,3,11,3,13,0,3,21,0,5,0,0,7,0,3,4,3,13,4,3,0,0,7,0,5,6,0,15,0,3,0,3,7,10,62,19,40,130
LGA14170,30,236,95,105,469,19,160,48,80,299,14,98,33,44,193,3,66,30,26,122,3,29,8,24,67,12,39,26,14,88,6,24,21,35,80,157,1178,446,700,2487
LGA14200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,9,56,289,29,71,448
LGA14300,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,70,10,27,115
LGA14350,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,14,3,5,19,86,518,62,174,832
LGA14400,5,35,13,7,62,3,3,0,0,14,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,134,44,50,261
LGA14500,15,60,35,28,139,10,83,54,55,194,23,57,52,25,161,11,19,32,14,74,11,19,17,10,49,35,35,36,23,125,3,5,12,9,25,114,314,255,196,880
LGA14550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,21,101,22,33,175
LGA14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,17,97,11,29,149
LGA14650,46,194,57,77,375,13,40,9,16,68,0,6,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,54,9,30,101,398,2275,496,1105,4273
LGA14700,0,60,25,24,111,6,34,16,20,67,0,25,4,4,37,3,12,5,9,29,3,6,0,4,17,3,3,11,8,28,0,0,0,0,5,19,174,81,103,376
LGA14750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,26,144,15,46,233
LGA14850,0,16,7,10,34,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,3,12,34,103,664,138,232,1141
LGA14870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,15,56,253,42,101,450
LGA14900,131,450,154,263,1001,45,122,33,73,281,10,33,17,17,74,0,10,0,3,12,0,3,0,0,4,3,7,0,3,11,13,64,16,46,144,494,2036,607,1332,4476
LGA14920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,23,109,13,31,179
LGA14950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,7,36
LGA15050,14,34,8,8,61,3,6,0,0,12,0,5,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,29,0,22,59,198,1206,210,422,2036
LGA15240,3,22,4,3,37,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,3,30,8,18,59,248,1273,210,517,2241
LGA15270,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,42,304,39,96,479
LGA15300,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,21,37,286,24,87,435
LGA15350,4,37,17,20,75,0,21,13,13,45,0,18,12,4,42,3,16,4,3,31,3,11,9,3,24,14,22,27,5,68,0,0,3,3,5,26,147,90,69,325
LGA15520,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,79,15,37,149
LGA15560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,54,11,19,90
LGA15650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,19,34,337,36,84,485
LGA15700,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,8,15,60,298,45,111,518
LGA15750,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,15,32,188,26,72,313
LGA15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,80,9,22,121
LGA15850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,118,11,33,178
LGA15900,43,180,50,70,346,12,24,17,14,67,0,11,3,7,18,0,3,3,0,8,0,0,0,0,3,0,0,0,3,3,6,45,6,30,88,307,1786,471,839,3405
LGA15950,3,63,20,27,112,6,89,25,30,152,8,62,26,36,132,9,52,23,19,101,3,21,10,17,55,11,43,51,26,132,0,3,3,3,14,43,391,180,209,831
LGA15990,27,288,87,166,577,36,207,91,119,450,31,149,51,71,300,30,101,49,66,239,23,60,34,32,148,49,103,43,41,246,0,32,14,24,74,228,1159,462,702,2552
LGA16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,43,18,24,87
LGA16150,0,8,0,0,12,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,3,8,38,104,643,91,206,1044
LGA16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,13,35,203,37,81,359
LGA16260,83,404,181,285,952,47,199,90,122,452,23,67,21,37,146,5,32,15,22,75,3,15,3,3,24,0,6,3,3,13,6,30,31,47,117,325,1527,656,1134,3654
LGA16350,111,347,83,153,688,18,89,23,43,172,9,17,0,9,33,0,10,3,7,22,0,3,0,0,3,0,3,0,0,8,16,67,21,40,133,465,2658,519,1239,4873
LGA16380,12,66,11,22,117,6,9,4,3,23,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,3,15,33,174,989,230,368,1758
LGA16400,13,54,8,11,97,7,14,0,0,22,3,0,0,0,3,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,17,3,7,32,141,933,157,354,1584
LGA16490,9,50,11,26,108,0,20,4,3,25,3,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,21,6,13,40,57,523,85,214,885
LGA16550,18,149,66,120,351,30,162,62,93,346,12,110,37,44,202,10,41,20,24,92,0,19,4,5,40,8,51,22,12,98,3,33,14,40,81,128,920,374,644,2067
LGA16610,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,14,57,362,64,121,610
LGA16650,31,176,65,174,448,19,120,56,80,278,19,41,8,36,109,7,23,4,8,41,0,9,0,9,14,0,3,3,12,18,3,13,9,22,48,127,738,276,605,1753
LGA16700,23,141,72,111,343,28,117,47,76,273,13,64,31,35,141,3,20,12,14,51,7,9,0,8,25,3,13,8,0,18,7,21,7,24,56,123,624,307,493,1544
LGA16900,29,127,20,30,206,10,28,9,3,45,0,3,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,5,11,41,171,973,197,427,1767
LGA16950,6,23,5,4,35,0,4,3,3,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,5,22,69,202,1254,241,501,2191
LGA17000,5,11,4,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,14,46,259,38,92,436
LGA17040,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,8,24,168,27,61,283
LGA17080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,26,152,24,60,258
LGA17100,15,61,55,40,166,10,42,22,38,105,9,9,8,21,45,0,4,7,8,27,0,0,0,3,6,0,3,3,0,7,3,7,4,10,24,53,202,148,209,607
LGA17150,52,306,95,173,632,47,171,79,106,400,29,105,47,43,219,16,22,14,22,69,3,11,0,3,26,0,10,12,6,39,0,34,15,36,91,218,1266,443,790,2710
LGA17200,5,98,29,49,182,5,97,37,70,208,14,119,30,70,227,8,49,27,56,136,6,22,21,18,76,12,57,39,34,139,3,24,15,35,79,114,926,393,817,2248
LGA17310,7,15,3,8,38,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,19,5,15,30,139,1002,126,321,1594
LGA17350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,57,8,28,107
LGA17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,88,10,24,136
LGA17420,35,152,80,89,356,59,167,73,88,381,22,63,24,43,160,10,16,11,18,54,4,7,3,4,20,3,15,9,5,24,4,11,8,13,36,165,534,237,331,1264
LGA17550,33,125,42,60,261,4,31,7,9,57,6,10,0,7,24,0,3,0,3,10,0,0,0,0,3,0,0,0,0,0,0,25,4,26,61,205,1077,284,580,2144
LGA17620,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,21,165,17,46,245
LGA17640,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,56,7,17,79
LGA17650,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,3,23,82
LGA17750,4,10,3,6,22,0,4,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,13,37,143,881,143,311,1484
LGA17850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,0,10,42
LGA17900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,9,21,150,12,58,235
LGA17950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,6,8,61
LGA18020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,26,108,8,34,179
LGA18050,5,63,16,29,103,5,66,21,27,113,3,45,16,18,91,3,36,16,15,66,4,23,9,17,48,14,79,28,19,138,0,8,5,8,22,39,366,132,174,713
LGA18100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,3,8,40
LGA18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,11,76,10,26,121
LGA18230,3,9,0,3,12,0,0,0,3,3,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,25,3,8,44,121,826,128,274,1351
LGA18250,15,76,32,42,168,17,82,46,43,190,3,55,30,26,120,16,53,25,26,119,3,27,7,7,55,9,49,28,22,116,0,10,14,10,29,80,415,229,257,973
LGA18350,15,41,15,11,92,6,15,8,12,31,0,0,0,3,6,0,3,0,0,4,0,0,0,0,0,0,3,0,0,3,3,6,3,9,23,78,335,99,159,672
LGA18400,20,45,6,17,89,3,13,0,11,28,0,3,5,3,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,10,0,0,19,67,278,65,141,556
LGA18450,66,229,76,108,484,18,62,14,29,116,6,13,12,4,35,3,4,0,7,19,0,0,4,3,7,0,4,0,5,8,5,63,11,48,123,402,2101,599,1199,4299
LGA18500,3,28,15,27,70,4,62,19,12,97,9,30,6,19,71,0,22,9,9,49,5,29,11,3,53,21,83,47,26,171,3,6,7,6,22,44,275,122,135,583
LGA18710,0,5,0,0,7,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,100,15,24,158
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,13,110,27,28,179
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,108,25,44,181
LGA20570,3,7,4,3,19,0,4,0,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,33,7,15,63,248,1502,329,532,2616
LGA20660,30,66,34,55,184,9,13,8,6,34,0,3,3,3,15,4,0,0,3,13,0,0,0,0,0,0,10,7,0,15,3,23,7,21,56,175,830,328,513,1843
LGA20740,0,4,0,3,4,0,4,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,0,4,12,65,421,74,130,698
LGA20830,0,4,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,13,86,468,116,146,818
LGA20910,12,86,42,33,175,17,34,32,15,94,8,28,11,12,63,9,31,12,6,61,4,17,8,4,33,13,26,17,5,62,3,14,10,9,30,102,459,219,261,1033
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,33,187,29,56,301
LGA21110,34,131,97,64,322,24,69,50,32,178,12,48,30,18,110,12,20,25,6,68,6,17,15,8,40,15,25,30,12,74,0,26,13,13,51,159,632,394,346,1531
LGA21180,17,44,8,21,94,3,4,3,7,11,0,3,0,3,7,0,3,0,0,6,0,0,0,0,0,3,10,0,5,11,17,67,13,51,153,425,1662,514,941,3541
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,7,5,54
LGA21370,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,20,65,383,74,150,680
LGA21450,7,12,9,5,33,0,5,3,3,11,0,3,3,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,4,3,9,29,12,11,52,183,1025,197,372,1774
LGA21610,32,109,26,43,209,6,27,3,7,41,3,12,3,9,18,9,4,3,3,12,0,0,0,0,3,3,5,0,9,19,12,70,25,48,154,582,2310,658,1225,4780
