LGA_CODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
LGA10050,0,0,0,0,0,0,15,21,24,21,69,106,197,268,279,276,413,212,94,38,31,15,222,2267,89,55,107,129,422,451,1076,886,2306,1714,1572,1017,954,542,1346,12663
LGA10130,0,0,0,0,0,0,12,19,16,6,40,54,75,153,159,148,242,125,53,21,15,3,135,1237,60,31,72,69,223,269,595,515,1239,908,758,469,478,328,783,6792
LGA10250,0,0,0,0,0,0,15,17,16,11,52,61,120,204,257,211,405,184,86,33,29,12,210,1884,57,43,87,84,351,367,1174,869,2249,1468,1271,735,691,543,1162,11159
LGA10300,0,0,0,0,0,0,0,0,0,0,3,0,0,12,7,11,10,3,3,0,5,0,21,77,8,0,11,0,14,23,42,46,107,95,52,39,18,17,96,561
LGA10470,0,0,0,0,0,0,19,20,13,13,57,79,112,224,207,197,354,191,90,21,28,9,209,1811,64,43,94,97,295,356,773,646,1699,1285,1262,880,928,482,1095,10003
LGA10550,0,0,0,0,0,0,10,18,18,11,40,56,110,151,165,140,222,102,36,17,7,3,195,1283,76,67,90,83,423,360,1013,761,1938,1041,891,461,382,218,1109,8906
LGA10600,0,0,0,0,0,0,9,8,4,5,18,25,49,98,86,73,125,45,22,3,4,6,104,662,23,17,36,34,139,173,401,314,728,442,296,171,138,83,417,3413
LGA10650,0,0,0,0,0,0,5,7,0,3,14,11,26,31,33,31,47,17,15,5,0,0,39,283,23,17,28,15,105,79,273,157,431,269,215,110,72,66,255,2104
LGA10750,16,9,3,0,6,0,155,225,298,124,451,585,927,1381,1582,1592,3069,1826,1210,600,448,205,1686,15976,1357,427,803,836,2367,2653,5425,4842,13065,11817,12352,8390,8952,5529,8249,87060
LGA10800,0,0,0,0,0,0,0,5,0,0,10,13,22,26,33,25,48,14,8,4,8,0,24,227,19,5,18,17,63,51,137,109,282,191,142,80,97,66,205,1477
