LGA_CODE_2016,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950_over_REA,C11_950_over_ST_HA,C11_950over_Pe_no_sa_ho,C11_950ov_H_co_op_c_ch_gr,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T,C16_0_74_REA,C16_0_74_ST_HA,C16_0_74_Per_no_sa_ho,C16_0_74_Ho_co_op_c_c_g,C16_0_74_Oth_land_typ,C16_0_74_LLT_NS,C16_0_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Pe_no_sa_ho,C16_75_99_H_c_op_c_c_gr,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Pe_no_sa_ho,C16_100_149_H_c_o_c_c_g,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Pe_no_sa_ho,C16_150_199_H_c_o_c_c_g,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Pe_no_sa_ho,C16_200_224_H_c_o_c_c_g,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Pe_no_sa_ho,C16_225_274_H_c_o_c_c_g,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Pe_no_sa_ho,C16_275_349_H_c_o_c_c_g,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Pe_no_sa_ho,C16_350_449_H_c_o_c_c_g,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Pe_no_sa_ho,C16_450_549_H_c_o_c_c_g,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Pe_no_sa_ho,C16_550_649_H_c_o_c_c_g,C16_550_649_Ot_lan_ty,C16_550_649_Lan_ty_ns,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Pe_no_sa_ho,C16_650_749_H_co_op_c_ch_gr,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Pe_no_sa_ho,C16_750_849_H_co_op_c_ch_gr,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Pe_no_sa_ho,C16_850_949_H_co_op_c_ch_gr,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950_over_REA,C16_950_over_ST_HA,C16_950over_Pe_no_sa_ho,C16_950ov_H_co_op_c_ch_gr,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950_over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Pe_no_sa_ho,C16_R_NS_H_co_op_c_ch_gr,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_T_Pe_no_sa_ho,C16_Tot_Ho_co_op_co_ch_gr,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_T_T
LGA10050,0,0,10,14,0,8,0,3,0,23,66,45,35,22,19,11,200,3849,832,1087,146,191,85,6187,19,28,62,4,9,34,165,18,34,16,23,9,0,100,303,286,98,26,15,3,738,900,134,163,35,19,7,1257,491,61,148,11,17,6,727,998,79,206,10,25,0,1322,1069,23,180,4,18,4,1296,625,0,74,3,8,4,716,86,0,22,0,4,0,111,12,0,5,0,0,0,17,7,0,4,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,3,0,0,0,6,74,42,39,12,23,7,202,4616,698,1014,132,149,67,6675
LGA10130,0,0,3,5,0,9,0,0,0,22,26,31,28,10,32,4,129,1919,493,692,130,201,105,3530,6,22,69,10,64,73,241,9,27,10,9,8,0,61,72,138,61,7,12,3,287,195,142,105,43,16,5,511,241,52,87,20,5,4,414,459,54,104,11,10,3,645,609,35,122,10,8,3,786,496,6,82,0,5,4,589,87,7,14,0,0,0,111,14,0,6,0,4,0,20,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,11,22,20,26,3,25,4,106,2226,498,687,114,162,100,3783
LGA10250,0,0,3,15,0,20,0,3,0,36,31,44,31,16,19,5,143,2461,607,1093,140,277,105,4677,0,12,55,7,7,63,155,0,16,3,12,0,0,30,22,259,40,48,22,3,387,29,86,50,21,36,3,225,52,48,74,11,31,0,208,180,44,114,6,52,4,398,626,40,228,9,9,6,919,904,17,261,8,16,4,1214,497,5,111,0,3,3,618,178,0,33,0,3,0,221,57,0,10,0,5,0,77,16,0,7,0,3,0,30,3,0,0,0,0,0,3,3,0,3,0,0,0,12,42,30,39,14,14,7,142,2617,566,1027,129,207,91,4644
LGA10300,0,0,0,0,0,3,0,0,0,4,0,3,6,0,3,0,13,45,22,86,27,54,21,249,0,4,18,7,19,9,61,0,0,0,3,5,0,7,10,12,8,5,6,0,39,18,8,29,3,10,0,67,6,3,21,0,5,0,37,7,0,13,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,17,0,27,50,28,97,13,65,9,262
LGA10470,0,0,3,7,0,0,0,0,0,11,43,25,31,9,17,3,128,2422,564,856,75,109,105,4136,10,23,63,15,20,50,183,3,27,6,7,3,0,45,49,180,57,15,13,8,326,213,109,97,6,7,4,436,177,61,115,3,9,3,370,533,43,145,5,10,6,735,909,54,213,21,20,4,1211,748,12,100,17,5,3,890,79,0,8,0,0,0,97,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,3,44,30,34,21,10,5,146,2780,541,845,114,102,84,4456
LGA10550,0,0,0,11,0,8,0,3,0,19,30,20,40,9,31,5,134,1515,348,881,105,185,115,3154,6,8,97,0,31,75,218,0,19,5,6,8,0,40,17,107,92,35,14,4,278,136,63,115,10,19,4,347,158,28,129,13,14,3,340,334,29,137,10,11,7,532,481,32,168,3,24,0,712,348,7,72,0,8,4,438,29,0,10,0,0,0,46,8,0,4,0,0,0,8,3,0,0,0,4,0,4,0,0,0,0,4,0,6,3,0,0,0,0,0,3,4,0,3,0,4,0,13,27,17,48,4,19,4,113,1555,309,879,88,170,103,3105
LGA10600,0,0,0,3,0,3,0,0,0,7,9,7,8,4,0,5,35,578,99,471,30,83,55,1316,0,3,48,3,12,29,91,0,4,4,0,3,0,12,6,48,25,4,17,0,99,33,12,54,4,9,3,114,23,3,41,4,3,0,83,88,5,81,3,7,0,187,168,7,102,3,10,6,298,166,3,82,0,5,0,259,32,0,14,0,0,0,47,8,0,4,0,3,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,5,18,4,10,0,40,547,86,473,26,79,40,1260
LGA10650,0,0,0,0,0,3,0,0,0,4,7,0,11,0,7,0,34,320,27,267,25,83,48,763,0,0,34,3,33,24,95,14,3,9,7,14,0,45,39,9,58,9,19,4,135,105,5,73,0,12,0,204,53,3,40,3,9,0,107,72,0,28,0,4,0,113,42,0,10,0,3,0,63,13,0,3,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,13,0,16,3,43,344,17,280,27,109,34,820
LGA10750,0,0,23,74,4,30,0,6,0,109,229,471,224,50,57,60,1089,14270,8186,4317,491,706,375,28349,31,363,266,30,27,181,899,3,298,10,26,0,7,343,25,2174,78,55,32,9,2365,77,1451,137,73,35,16,1789,138,639,159,42,21,14,1018,362,690,288,47,84,9,1480,2584,1015,748,57,88,27,4526,8718,519,1484,59,202,46,11020,4212,67,594,14,69,18,4976,1927,4,199,0,9,4,2158,726,8,67,3,3,5,818,111,6,8,6,3,0,135,23,3,3,3,0,0,31,33,3,14,0,0,0,48,309,449,231,54,49,42,1140,19292,7685,4285,470,628,383,32745
LGA10800,0,0,0,0,0,3,0,0,0,3,5,0,12,3,15,0,42,127,46,176,15,112,40,518,0,0,55,8,28,39,135,0,0,7,0,5,0,15,10,13,34,0,13,0,69,40,17,39,0,11,0,103,15,0,23,0,5,0,42,41,3,20,0,16,0,77,15,0,7,0,9,0,27,3,0,0,0,7,0,8,0,0,0,0,3,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,13,3,35,128,36,189,15,109,44,512
