LGA_CODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
LGA10850,318,63,28,402,230,110,10,4,351,15,3,14,366,59,34,461,256,107,13,3,378,13,7,23,405,71,37,513,254,120,12,3,393,11,3,14,409,67,43,519,235,97,14,8,356,12,6,18,372,120,34,527,151,86,12,9,253,8,3,15,269,185,29,487,60,52,8,3,123,0,0,0,119,264,32,419,28,43,6,4,89,0,0,0,89,229,25,337,24,25,3,8,63,0,0,0,63,470,63,591,1987,1043,128,68,3222,132,72,200,3421,1904,425,5751
LGA10900,3579,614,183,4379,2775,1325,103,45,4248,89,82,167,4419,657,230,5304,2936,1342,113,50,4446,75,65,140,4583,708,257,5545,2830,1318,122,44,4314,85,56,136,4454,756,224,5437,2695,1381,161,41,4276,85,67,148,4429,1257,267,5947,1633,1275,117,32,3052,75,70,145,3193,2357,257,5811,542,796,78,17,1439,7,34,38,1476,3668,275,5418,116,311,21,14,458,4,3,15,471,3148,241,3863,52,126,7,11,197,0,7,8,201,5155,385,5740,20994,13148,1246,476,35860,867,915,1778,37642,22275,2915,62830
LGA10950,82,24,11,120,87,34,0,3,122,3,6,6,134,21,23,178,100,37,0,4,141,3,0,8,149,20,16,184,119,27,3,3,155,4,0,3,155,29,27,210,75,26,0,3,102,3,0,3,107,33,22,155,40,27,0,0,71,3,0,3,77,30,14,124,26,15,3,4,52,0,0,0,52,74,10,137,12,16,0,7,32,0,0,0,32,100,15,140,23,15,4,3,39,0,0,0,39,184,27,246,799,324,25,33,1173,43,19,62,1233,675,234,2140
LGA11100,3018,467,257,3745,1929,664,60,44,2694,65,43,112,2806,399,213,3411,1678,572,35,40,2332,81,38,115,2453,414,181,3049,1548,475,32,49,2102,60,26,90,2190,444,166,2802,1084,414,45,36,1578,47,42,84,1662,550,148,2361,627,353,27,26,1031,36,30,63,1100,821,151,2073,240,204,19,15,475,0,4,4,487,1185,113,1783,74,74,10,3,158,0,3,3,157,1222,106,1486,13,29,8,4,58,3,0,0,56,2408,346,2810,15323,6483,676,486,22963,703,645,1351,24315,11669,2746,38732
LGA11150,94,14,24,136,67,23,0,0,89,4,3,8,95,23,31,154,88,17,7,6,120,8,0,10,125,36,45,209,86,26,0,0,116,4,0,6,120,33,44,197,72,22,3,0,101,7,4,12,108,26,35,171,49,14,0,0,67,0,4,6,76,37,28,135,26,23,3,0,45,0,0,0,49,47,25,121,10,12,0,0,23,0,0,0,23,55,14,92,6,3,0,4,13,0,0,0,13,92,38,146,724,233,23,22,1000,39,31,69,1071,546,400,2016
LGA11200,53,18,3,75,27,10,0,0,37,5,3,8,53,26,4,84,37,18,0,4,63,6,7,14,76,43,12,135,57,4,4,0,66,5,0,8,76,52,19,141,47,9,4,0,65,4,4,6,69,47,11,125,32,8,0,3,42,0,0,3,43,42,9,89,15,5,0,0,22,0,0,0,21,37,5,65,0,3,0,0,11,0,0,0,11,35,0,42,3,3,0,0,7,0,0,0,7,57,5,68,346,106,17,23,498,47,50,95,594,573,105,1274
LGA11250,641,170,55,872,432,195,24,22,672,47,17,60,736,183,69,989,500,207,20,11,746,59,11,78,816,212,85,1115,550,198,39,13,803,37,17,56,855,301,81,1241,529,256,51,14,853,40,13,52,902,408,92,1404,322,161,30,22,530,21,14,32,562,603,91,1261,93,98,15,3,208,0,6,5,218,851,83,1150,25,40,4,5,68,0,3,3,74,739,94,901,10,14,3,8,45,3,0,4,50,1574,195,1813,4229,2178,324,164,6902,453,216,668,7572,6078,1120,14767
LGA11300,1819,354,127,2300,1050,474,22,33,1582,47,26,69,1651,328,108,2083,1085,415,27,45,1571,38,40,80,1654,371,83,2109,1098,388,28,36,1552,59,32,91,1643,471,116,2232,866,361,33,28,1286,36,21,55,1345,547,95,1986,463,279,16,21,774,18,23,42,819,733,85,1633,172,182,17,5,383,7,7,11,390,959,58,1405,59,57,3,3,119,0,0,3,125,883,74,1080,15,52,3,3,78,0,5,3,84,2500,194,2770,10296,6007,415,458,17174,630,779,1413,18583,11708,1712,32004
LGA11350,1436,310,251,2001,803,779,54,43,1678,49,42,91,1766,345,270,2387,880,729,58,28,1687,65,36,99,1790,318,274,2389,846,702,54,38,1637,55,38,93,1732,424,335,2497,742,781,58,27,1608,68,41,113,1721,692,331,2746,450,684,69,25,1223,43,35,78,1305,1094,348,2742,158,321,27,7,514,4,5,9,526,1315,262,2104,44,115,9,4,166,4,3,6,173,939,157,1270,34,50,3,13,98,4,0,4,97,1556,300,1953,6120,6602,523,317,13557,525,420,945,14502,8433,3327,26265
LGA11400,557,77,46,678,467,211,17,11,706,9,11,22,724,91,59,878,514,169,15,11,716,12,11,25,740,93,69,898,499,226,26,17,765,16,15,35,795,127,70,990,461,181,34,10,683,19,11,28,710,196,52,963,274,169,19,6,475,5,9,15,485,278,56,821,154,112,20,12,294,0,0,0,295,540,61,905,77,58,6,5,147,3,0,3,152,458,43,656,57,48,3,16,123,0,0,0,125,876,97,1094,3778,1874,240,137,6032,157,106,268,6295,3480,726,10499
LGA11450,4935,658,255,5848,3736,1208,118,78,5136,75,66,144,5280,604,221,6110,3218,1014,84,60,4380,75,50,128,4506,523,212,5240,2724,839,109,54,3725,75,34,114,3845,557,205,4601,2010,730,93,43,2878,70,38,102,2975,822,161,3961,1154,611,85,42,1891,34,33,70,1958,1312,141,3415,409,323,46,24,805,0,7,13,816,2001,152,2970,71,118,8,9,205,0,0,3,207,1665,137,2014,35,54,8,10,102,3,0,3,102,2791,377,3268,26915,10922,1434,740,40014,882,841,1726,41740,14959,2817,59521
LGA11500,8115,2161,611,10895,5217,1822,128,134,7302,294,182,478,7780,1905,524,10206,4868,1604,139,148,6766,257,145,401,7163,1853,512,9533,5121,1670,157,139,7092,286,130,413,7506,2028,496,10030,4544,1585,163,98,6380,194,123,314,6697,2649,477,9827,2758,1264,179,78,4279,149,79,235,4511,3733,478,8722,858,632,77,35,1610,26,29,57,1660,5213,467,7341,136,220,15,18,394,0,19,18,408,3942,380,4736,35,98,3,10,147,3,4,8,153,5406,882,6444,45764,19503,1989,1586,68841,3451,2419,5874,74715,41106,7332,123148
LGA11520,5661,848,429,6935,3804,1211,125,56,5195,117,68,182,5376,687,334,6402,3375,1099,63,53,4595,108,59,169,4767,713,329,5803,3019,1032,79,56,4192,109,58,169,4369,788,276,5433,2366,966,107,53,3489,90,64,161,3648,1057,281,4986,1382,848,58,28,2323,54,48,103,2427,1624,232,4277,567,641,45,29,1278,9,22,36,1311,2399,227,3944,158,278,18,12,466,0,16,12,480,2259,188,2930,76,138,5,11,236,0,9,11,240,5394,412,6042,30259,12397,1312,726,44699,1244,1130,2374,47071,22260,4392,73728
LGA11570,17185,5441,1369,23995,10525,4397,302,364,15586,599,459,1057,16643,4911,1305,22859,10082,4079,232,378,14772,653,383,1036,15813,4941,1264,22021,9521,3875,271,392,14055,562,388,956,15014,5522,1249,21786,7614,3347,326,269,11554,530,386,920,12476,6568,1072,20110,4247,2453,242,160,7097,302,316,620,7720,8135,978,16828,1408,1226,103,51,2779,44,55,102,2881,10341,865,14087,345,463,37,31,878,4,26,30,914,9183,717,10810,99,207,22,32,360,8,16,22,381,21111,1858,23352,85599,44841,3664,4088,138192,6592,5830,12420,150613,108219,16433,275266
LGA11600,104,18,12,137,95,43,5,8,156,0,0,0,157,20,20,192,121,32,5,5,156,3,3,3,161,26,10,203,108,43,3,7,151,3,0,3,157,20,13,195,106,40,5,0,147,3,4,6,158,42,22,211,75,26,4,3,105,0,0,0,106,52,11,166,36,16,0,6,53,0,0,0,56,51,9,112,11,10,0,0,19,0,0,0,19,66,4,93,14,11,3,3,31,0,0,0,31,140,30,199,882,386,59,57,1384,29,16,46,1430,570,190,2185
LGA11650,14619,2984,905,18506,10423,4828,394,252,15895,496,330,824,16718,3117,1032,20870,10900,4939,391,257,16483,533,261,799,17278,3329,1128,21739,10513,4834,504,232,16080,570,275,847,16929,3886,1076,21892,8980,4803,556,193,14536,461,288,752,15284,5583,1172,22039,4988,3764,461,160,9375,336,252,584,9957,9281,1080,20320,1556,2059,177,81,3878,41,89,126,4005,14819,1215,20035,388,877,59,39,1369,15,28,41,1408,13982,1170,16555,141,340,26,65,572,8,22,29,596,27538,3836,31970,82786,49224,5073,2512,139593,5829,4276,10105,149701,101390,16220,267307
LGA11700,58,35,17,101,36,14,0,0,50,4,0,4,55,37,13,104,44,12,0,3,55,3,3,5,63,35,21,121,51,17,0,3,67,4,0,6,72,34,27,126,61,9,0,0,72,6,0,6,72,40,22,135,58,14,0,3,74,9,0,11,82,41,14,134,23,7,0,0,26,0,0,0,28,63,18,112,8,4,0,4,14,0,0,0,16,51,17,85,6,3,0,0,12,0,0,0,12,65,15,92,423,100,11,23,564,56,18,71,633,614,237,1485
LGA11720,2406,717,172,3301,1565,758,85,36,2452,121,49,166,2614,730,218,3567,1638,739,63,55,2497,127,32,161,2657,731,227,3611,1372,690,82,43,2182,89,32,122,2304,842,222,3373,1278,667,88,39,2063,98,43,142,2208,1273,254,3731,668,546,54,27,1298,59,33,88,1385,1821,235,3443,210,271,29,6,517,4,12,13,535,2417,259,3208,58,84,6,3,153,0,7,7,157,1940,213,2314,35,41,3,18,93,0,0,0,100,3071,423,3590,12738,7571,885,433,21626,1377,687,2059,23687,17368,3130,44189
LGA11730,1670,480,158,2305,1166,618,48,42,1877,94,46,142,2024,599,214,2836,1198,720,77,39,2040,93,32,125,2161,680,213,3051,1345,816,78,33,2276,111,52,162,2431,995,234,3657,1272,893,111,33,2307,96,66,167,2478,1363,311,4150,736,732,90,26,1593,71,63,135,1726,2196,281,4199,260,349,32,25,668,7,13,18,681,3157,311,4150,93,152,14,12,265,3,3,4,272,2716,255,3243,70,97,9,27,191,3,0,3,196,4865,541,5601,9432,6992,742,391,17565,1092,649,1740,19303,19915,3147,42364
LGA11750,215,48,39,299,156,42,7,8,208,8,4,7,215,44,34,289,123,43,5,4,170,8,0,8,177,31,27,240,171,44,14,3,234,5,3,7,240,60,44,340,158,33,20,6,217,7,8,16,231,65,40,331,94,34,7,3,141,5,3,11,152,82,30,261,40,16,0,0,61,0,4,4,64,115,26,204,10,9,0,3,18,0,0,0,18,108,12,139,10,9,0,0,20,0,0,0,20,230,38,283,1411,448,98,53,2014,85,37,123,2138,1053,431,3623
LGA11800,2948,614,224,3789,2069,1140,73,42,3322,120,70,187,3511,641,277,4426,2211,1144,70,47,3473,118,77,196,3667,738,296,4701,2053,1216,114,69,3450,117,75,188,3640,951,341,4935,1872,1268,133,40,3307,121,67,190,3494,1499,401,5394,1169,1037,105,30,2343,81,75,155,2505,2474,324,5301,361,493,54,24,923,10,24,28,956,3618,346,4922,76,173,20,5,276,0,11,11,286,3042,275,3591,25,74,9,20,120,0,0,0,124,5647,1096,6864,16313,11722,1049,534,29620,1376,974,2347,31971,23007,4625,59595
LGA12000,160,28,28,219,114,44,4,6,174,10,0,10,177,41,20,236,153,53,9,4,215,10,0,12,222,50,20,297,144,69,5,7,221,8,4,7,234,37,30,301,128,53,5,7,194,9,8,10,206,67,28,296,82,43,5,3,136,11,3,11,144,88,25,260,38,29,0,0,69,0,0,0,69,185,38,292,21,19,4,3,44,0,0,0,46,173,33,252,17,12,0,7,39,0,0,0,39,333,87,462,1070,542,65,45,1728,69,31,101,1823,1225,379,3431
LGA12150,105,34,33,170,84,32,7,10,128,7,0,9,139,38,33,206,116,40,6,7,172,9,5,15,183,49,49,288,121,30,5,3,162,7,0,7,171,75,36,277,105,44,12,3,166,9,0,9,173,66,43,283,89,35,8,4,130,6,0,4,138,79,40,256,42,31,0,3,75,0,0,0,75,130,53,256,24,11,0,3,37,0,0,0,37,103,38,174,17,10,4,3,29,0,0,0,31,239,76,343,901,389,67,63,1419,102,36,140,1563,1040,523,3124
LGA12350,417,110,56,585,307,146,14,11,472,20,6,28,502,131,43,676,355,175,8,9,552,22,12,36,581,173,57,812,353,175,20,13,555,19,12,32,592,193,60,848,316,141,17,12,487,18,10,28,515,291,69,876,280,165,21,7,475,17,10,30,498,367,66,933,115,100,5,6,226,4,4,6,232,677,64,967,51,41,7,3,104,0,0,0,104,541,66,711,35,36,3,9,81,0,0,0,88,1186,155,1429,2880,1644,177,111,4811,208,128,335,5148,4298,856,10296
LGA12380,11955,3990,988,16938,6244,2241,152,226,8860,434,275,711,9570,3224,728,13519,5534,2048,116,246,7941,391,251,650,8590,3209,721,12521,5187,1906,139,214,7452,373,196,575,8021,3480,692,12193,4143,1696,152,166,6165,296,196,491,6651,3930,657,11246,2356,1270,113,104,3839,192,139,331,4174,4627,539,9339,801,579,52,35,1470,22,27,48,1514,5778,481,7779,144,219,19,16,403,3,6,15,412,4848,371,5629,28,82,13,27,146,9,6,13,163,9487,1066,10715,54613,27324,2038,2860,86838,5192,3914,9103,95943,65337,10425,171707
LGA12700,369,74,32,477,250,130,11,14,397,10,6,18,413,75,35,517,287,168,14,8,479,15,4,17,499,82,47,619,302,164,28,8,502,20,3,23,526,133,45,701,295,155,19,3,474,13,7,26,498,199,44,741,165,149,15,6,337,6,6,17,346,308,54,712,72,80,8,0,163,0,4,3,164,419,37,622,33,32,5,0,66,0,0,4,67,333,23,431,23,36,3,7,63,0,0,0,65,560,110,742,2254,1404,156,81,3885,141,83,227,4111,2645,560,7315
LGA12730,332,58,39,424,284,124,9,9,429,10,8,20,442,66,46,551,255,109,5,6,383,4,3,6,392,88,58,539,285,133,13,4,432,12,5,22,454,76,52,577,287,124,24,5,440,9,3,16,456,154,82,697,202,106,28,7,341,6,4,15,352,245,71,666,77,80,12,5,171,0,0,5,175,330,67,575,33,30,4,0,65,0,0,0,65,312,50,433,25,21,3,3,55,0,0,0,55,775,131,960,2306,1270,157,78,3812,115,87,200,4011,2520,741,7276
LGA12750,1079,292,111,1484,778,506,37,29,1350,44,27,66,1420,354,152,1922,887,549,43,17,1498,52,22,76,1576,403,160,2140,938,658,64,29,1692,58,46,108,1795,544,185,2529,917,747,96,32,1784,60,41,104,1889,1073,221,3176,571,689,89,16,1367,52,49,102,1470,1882,253,3598,202,316,41,13,571,7,13,16,591,2870,281,3741,42,119,14,4,183,0,3,6,191,2415,264,2869,30,57,10,15,110,4,0,3,112,3996,659,4763,6483,5662,555,278,12976,610,378,986,13959,15254,2699,31914
LGA12850,7712,3698,591,12001,4989,2167,139,235,7536,379,338,710,8249,3917,615,12775,5139,2269,120,235,7763,446,347,791,8550,4284,706,13540,5186,2130,134,253,7702,403,317,721,8426,4547,624,13592,4411,1851,143,187,6595,395,328,726,7320,5550,647,13518,2621,1305,124,102,4154,241,229,469,4624,6280,522,11423,846,537,55,48,1484,27,42,66,1547,7077,451,9080,168,181,13,9,369,5,8,8,382,5476,323,6180,44,66,8,26,141,0,7,7,151,11251,785,12189,45228,22628,1645,2401,71899,4421,4008,8429,80326,72659,7892,160880
LGA12870,447,73,43,564,334,127,19,14,493,10,10,21,514,75,45,634,348,156,21,9,537,14,13,22,556,97,58,713,420,166,32,11,624,21,10,22,646,116,59,822,372,187,52,8,622,19,11,25,647,226,67,937,239,166,29,13,449,20,11,26,475,401,65,940,87,105,12,13,219,3,3,6,224,741,99,1063,52,42,15,0,102,3,0,6,110,629,74,808,18,32,7,7,57,0,0,0,57,1210,244,1507,2936,1648,258,120,4970,162,93,257,5222,4049,907,10187
