LGA_CODE_2016,C06_N_inc_R0_74,C06_N_inc_R75_99,C06_Ne_Ni_inc_R100_149,C06_Ne_Ni_inc_R150_199,C06_Ne_Ni_inc_R200_224,C06_Ne_Ni_inc_R225_274,C06_Ne_Ni_inc_R275_349,C06_Ne_Ni_inc_R350_449,C06_Ne_Ni_inc_R450_549,C06_Ne_Ni_inc_R550_649,C06_Ne_Ni_inc_R650m,C06_Ne_Ni_inc_R_NS,C06_N_inc_R_Tot,C06_1_149_R0_74,C06_1_149_R75_99,C06_1_149_R100_149,C06_1_149_R150_199,C06_1_149_R200_224,C06_1_149_R225_274,C06_1_149_R275_349,C06_1_149_R350_449,C06_1_149_R450_549,C06_1_149_R550_649,C06_1_149_R650m,C06_1_149_R_NS,C06_1_149_R_Tot,C06_150_299_R0_74,C06_150_299_R75_99,C06_150_299_R100_149,C06_150_299_R150_199,C06_150_299_R200_224,C06_150_299_R225_274,C06_150_299_R275_349,C06_150_299_R350_449,C06_150_299_R450_549,C06_150_299_R550_649,C06_150_299_R650m,C06_150_299_R_NS,C06_150_299_R_Tot,C06_300_399_R0_74,C06_300_399_R75_99,C06_300_399_R100_149,C06_300_399_R150_199,C06_300_399_R200_224,C06_300_399_R225_274,C06_300_399_R275_349,C06_300_399_R350_449,C06_300_399_R450_549,C06_300_399_R550_649,C06_300_399_R650m,C06_300_399_R_NS,C06_300_399_R_Tot,C06_400_499_R0_74,C06_400_499_R75_99,C06_400_499_R100_149,C06_400_499_R150_199,C06_400_499_R200_224,C06_400_499_R225_274,C06_400_499_R275_349,C06_400_499_R350_449,C06_400_499_R450_549,C06_400_499_R550_649,C06_400_499_R650m,C06_400_499_R_NS,C06_400_499_R_Tot,C06_500_649_R0_74,C06_500_649_R75_99,C06_500_649_R100_149,C06_500_649_R150_199,C06_500_649_R200_224,C06_500_649_R225_274,C06_500_649_R275_349,C06_500_649_R350_449,C06_500_649_R450_549,C06_500_649_R550_649,C06_500_649_R650m,C06_500_649_R_NS,C06_500_649_R_Tot,C06_650_799_R0_74,C06_650_799_R75_99,C06_650_799_R100_149,C06_650_799_R150_199,C06_650_799_R200_224,C06_650_799_R225_274,C06_650_799_R275_349,C06_650_799_R350_449,C06_650_799_R450_549,C06_650_799_R550_649,C06_650_799_R650m,C06_650_799_R_NS,C06_650_799_R_Tot,C06_800_999_R0_74,C06_800_999_R75_99,C06_800_999_R100_149,C06_800_999_R150_199,C06_800_999_R200_224,C06_800_999_R225_274,C06_800_999_R275_349,C06_800_999_R350_449,C06_800_999_R450_549,C06_800_999_R550_649,C06_800_999_R650m,C06_800_999_R_NS,C06_800_999_R_Tot,C06_1000_1249_R0_74,C06_1000_1249_R75_99,C06_1000_1249_R100_149,C06_1000_1249_R150_199,C06_1000_1249_R200_224,C06_1000_1249_R225_274,C06_1000_1249_R275_349,C06_1000_1249_R350_449,C06_1000_1249_R450_549,C06_1000_1249_R550_649,C06_1000_1249_R650m,C06_1000_1249_R_NS,C06_1000_1249_R_Tot,C06_1250_1499_R0_74,C06_1250_1499_R75_99,C06_1250_1499_R100_149,C06_1250_1499_R150_199,C06_1250_1499_R200_224,C06_1250_1499_R225_274,C06_1250_1499_R275_349,C06_1250_1499_R350_449,C06_1250_1499_R450_549,C06_1250_1499_R550_649,C06_1250_1499_R650m,C06_1250_1499_R_NS,C06_1250_1499_R_Tot,C06_1500_1999_R0_74,C06_1500_1999_R75_99,C06_1500_1999_R100_149,C06_1500_1999_R150_199,C06_1500_1999_R200_224,C06_1500_1999_R225_274,C06_1500_1999_R275_349,C06_1500_1999_R350_449,C06_1500_1999_R450_549,C06_1500_1999_R550_649,C06_1500_1999_R650m,C06_1500_1999_R_NS,C06_1500_1999_R_Tot,C06_2000_2499_R0_74,C06_2000_2499_R75_99,C06_2000_2499_R100_149,C06_2000_2499_R150_199,C06_2000_2499_R200_224,C06_2000_2499_R225_274,C06_2000_2499_R275_349,C06_2000_2499_R350_449,C06_2000_2499_R450_549,C06_2000_2499_R550_649,C06_2000_2499_R650m,C06_2000_2499_R_NS,C06_2000_2499_R_Tot,C06_2500_2999_R0_74,C06_2500_2999_R75_99,C06_2500_2999_R100_149,C06_2500_2999_R150_199,C06_2500_2999_R200_224,C06_2500_2999_R225_274,C06_2500_2999_R275_349,C06_2500_2999_R350_449,C06_2500_2999_R450_549,C06_2500_2999_R550_649,C06_2500_2999_R650m,C06_2500_2999_R_NS,C06_2500_2999_R_Tot,C06_3000_3999_R0_74,C06_3000_3999_R75_99,C06_3000_3999_R100_149,C06_3000_3999_R150_199,C06_3000_3999_R200_224,C06_3000_3999_R225_274,C06_3000_3999_R275_349,C06_3000_3999_R350_449,C06_3000_3999_R450_549,C06_3000_3999_R550_649,C06_3000_3999_R650m,C06_3000_3999_R_NS,C06_3000_3999_R_Tot,C06_4000m_R0_74,C06_4000m_R75_99,C06_4000m_R100_149,C06_4000m_R150_199,C06_4000m_R200_224,C06_4000m_R225_274,C06_4000m_R275_349,C06_4000m_R350_449,C06_4000m_R450_549,C06_4000m_R550_649,C06_4000m_R650m,C06_4000m_R_NS,C06_4000m_R_Tot,C06_PI_S_R0_74,C06_PI_S_R75_99,C06_PI_S_R100_149,C06_PI_S_R150_199,C06_PI_S_R200_224
LGA10050,4,4,20,9,4,3,0,0,0,0,0,4,50,28,10,37,12,5,8,0,0,3,0,0,5,114,181,110,202,62,16,12,5,0,0,0,9,18,614,91,162,277,117,26,19,14,0,0,0,8,30,738,20,26,109,53,9,13,8,0,3,0,0,4,245,45,93,310,258,63,51,26,6,0,0,7,25,879,18,37,159,156,49,43,18,0,4,0,6,3,484,14,16,135,165,63,56,25,4,0,0,0,3,477,17,23,123,205,96,103,43,11,3,3,3,8,634,10,0,50,98,43,65,28,3,0,0,0,3,309,6,5,26,93,44,70,49,11,0,0,6,0,323,12,0,4,23,18,27,20,11,0,0,0,3,121,6,3,4,16,6,19,28,15,3,0,0,8,105,3,0,3,3,0,4,7,5,0,0,0,0,32,0,0,0,0,0,0,3,0,0,0,0,0,9,20,16,63,72,30
LGA10130,3,3,18,12,3,0,0,0,0,0,0,3,41,13,10,19,21,0,0,3,0,0,0,6,3,82,111,49,128,53,15,8,3,3,0,0,9,10,393,63,67,142,85,20,11,3,8,0,0,4,13,416,20,17,35,54,16,7,10,0,0,0,0,4,164,48,32,179,183,51,28,8,3,0,0,10,6,542,40,7,59,120,39,29,9,0,0,0,0,11,313,31,15,54,89,47,16,3,0,0,0,0,8,268,33,8,64,143,62,40,14,3,0,0,0,8,379,12,3,22,43,30,26,16,4,0,0,3,5,155,22,6,15,35,36,38,13,4,0,0,0,8,173,3,0,10,10,3,16,9,0,0,0,0,3,54,9,0,3,3,3,8,14,8,0,0,0,0,43,7,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,7,18,15,49,52,27
LGA10250,0,0,6,8,8,4,8,4,0,0,0,3,43,22,9,25,6,4,10,9,5,0,0,0,11,89,142,27,71,58,21,18,17,3,0,0,7,25,391,86,33,106,146,51,63,27,9,0,0,8,16,539,13,17,46,41,27,25,17,5,0,0,0,0,200,49,25,92,169,116,164,81,18,8,0,7,15,758,24,3,43,101,83,78,62,11,0,0,3,10,420,11,3,26,73,74,107,64,18,0,0,0,0,380,25,9,31,73,93,148,120,36,4,0,0,12,548,29,0,6,28,35,65,65,24,3,0,0,4,252,18,3,8,23,27,56,67,44,7,4,0,6,267,3,0,3,4,5,21,33,16,0,3,3,0,92,3,3,4,3,5,11,18,24,4,3,0,0,82,3,0,0,0,0,0,12,14,0,0,0,4,38,0,0,0,0,0,0,3,3,0,0,0,0,12,7,15,25,35,34
LGA10300,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,9,0,0,0,0,0,0,0,0,0,26,9,9,11,4,0,0,0,0,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,3,8,3,21,7,0,0,0,0,0,0,0,7,56,6,0,8,3,0,0,0,0,0,0,0,0,18,9,0,8,4,0,0,0,0,0,0,0,4,21,9,0,10,7,0,0,0,0,0,0,0,0,34,12,0,9,0,3,0,0,0,0,0,0,0,24,6,0,4,0,0,0,0,0,0,0,0,0,17,7,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,10,8,0
LGA10470,10,4,4,8,4,3,0,0,0,0,0,6,37,26,9,21,19,12,0,0,0,0,0,5,9,97,144,51,86,66,13,18,8,4,0,3,0,16,411,69,43,106,92,23,13,7,0,0,0,7,21,376,14,16,56,60,11,16,0,0,0,0,0,5,178,42,29,156,160,77,56,19,4,0,0,3,8,557,19,15,69,126,52,47,17,4,0,0,0,7,343,6,10,55,101,61,52,23,6,0,0,3,4,320,27,3,61,136,88,71,32,3,0,0,3,3,429,23,6,15,55,45,57,28,3,0,0,0,0,232,15,0,15,44,36,53,37,5,0,0,0,3,215,11,0,3,8,14,22,15,0,0,0,0,0,75,11,0,0,10,9,9,16,5,0,0,0,0,61,0,0,0,0,0,3,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,24,6,26,65,34
LGA10550,7,0,7,6,0,0,0,0,0,0,0,3,22,14,0,11,15,0,0,0,0,0,0,0,3,48,96,27,82,72,7,9,3,0,0,0,7,11,312,90,46,122,122,24,14,0,3,0,0,3,18,450,29,16,35,46,16,8,3,0,0,0,0,8,161,51,21,109,206,56,49,14,3,3,0,5,14,525,21,6,49,106,22,32,5,0,0,0,0,11,260,14,5,34,94,32,29,18,0,0,0,0,4,230,36,3,47,129,51,64,23,3,4,3,8,12,369,16,3,10,28,22,36,10,5,0,0,0,8,138,23,3,6,27,24,33,17,8,0,3,0,3,145,5,0,3,8,9,15,5,0,3,0,0,0,52,4,0,3,12,0,8,3,0,0,0,0,0,30,0,0,0,0,4,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,18,8,29,56,19
LGA10600,0,0,0,3,3,0,0,0,0,0,0,5,8,6,0,11,3,0,0,0,0,0,0,0,0,20,64,27,36,29,10,7,0,3,0,0,0,7,188,33,9,48,37,23,16,4,0,0,0,0,7,177,9,4,10,21,7,7,0,0,0,0,0,3,60,21,4,53,91,37,36,9,0,0,0,0,4,256,0,0,19,34,17,19,0,0,0,0,0,0,90,13,0,7,31,18,14,4,0,0,0,0,0,85,6,0,12,32,18,25,9,0,0,0,0,0,102,7,0,3,14,7,14,4,0,0,0,0,0,41,3,0,0,8,13,7,0,0,0,0,0,0,47,0,0,0,8,0,3,4,0,0,0,0,0,18,0,0,0,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,26,19
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,15,17,17,24,3,0,0,0,0,0,0,4,0,72,21,16,38,13,0,0,0,0,0,0,0,3,92,9,4,7,11,0,0,0,0,0,0,0,0,29,29,12,32,23,4,0,0,0,0,0,3,3,113,13,4,27,13,3,0,0,0,0,0,0,3,63,12,8,25,12,4,3,0,0,0,0,3,0,69,19,13,21,20,6,3,0,0,0,0,0,5,85,6,3,16,10,0,3,0,0,0,0,0,3,40,11,0,3,6,0,5,0,0,0,0,0,0,28,3,0,3,4,0,0,0,0,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,8,0
LGA10750,52,11,29,57,55,58,14,12,6,0,11,31,329,170,57,93,61,48,49,12,4,0,0,9,44,556,1074,294,243,218,114,128,27,16,3,4,40,123,2289,488,381,353,381,218,230,51,14,0,7,34,93,2245,116,125,533,225,134,125,32,11,0,0,6,44,1358,199,206,611,809,661,672,128,35,7,3,25,118,3473,76,54,168,562,548,542,128,35,9,0,12,51,2178,63,37,145,496,476,685,154,39,8,3,19,46,2163,83,33,171,619,725,1084,311,100,7,4,11,57,3212,48,14,53,265,338,663,250,86,5,4,4,26,1764,36,15,63,285,383,750,344,158,12,3,15,34,2108,13,0,17,85,130,359,209,122,16,0,3,10,976,16,4,5,27,55,140,114,102,18,8,3,5,498,3,0,0,17,13,55,58,63,6,0,0,4,222,3,3,3,3,5,13,8,11,5,0,0,4,69,84,91,210,365,359
LGA10800,3,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,12,22,0,3,0,0,0,0,0,0,0,0,3,28,18,9,17,6,0,0,0,0,0,0,0,3,48,4,3,5,0,0,0,0,0,0,0,0,0,17,35,8,18,5,3,0,0,0,0,0,0,0,71,11,7,13,6,0,0,0,3,0,0,0,3,46,15,9,14,5,0,0,3,0,0,0,0,0,50,18,3,16,3,0,3,0,0,0,0,0,0,59,3,3,11,13,3,5,0,0,0,0,0,3,36,9,3,6,8,6,7,4,0,0,0,0,0,48,3,0,4,0,3,0,0,0,0,0,0,0,13,4,3,8,7,0,3,8,0,0,0,0,0,36,0,0,0,0,0,0,3,3,0,0,0,0,9,3,3,0,0,0,0,0,0,0,0,0,0,6,14,0,8,8,4
