LGA_CODE_2016,C06_CF_BPT_1000_1499,C06_CF_BPT_1500_1999,C06_CF_BPT_2000_2499,C06_CF_BPT_2500_2999,C06_CF_BPT_3000_3999,C06_CF_BPT_4000m,C06_CF_BPT_Ns,C06_CF_BPT_T,C06_CF_1F1P_N,C06_CF_1F1P_1_149,C06_CF_1F1P_150_299,C06_CF_1F1P_300_399,C06_CF_1F1P_400_499,C06_CF_1F1P_500_649,C06_CF_1F1P_650_799,C06_CF_1F1P_800_999,C06_CF_1F1P_1000_1499,C06_CF_1F1P_1500_1999,C06_CF_1F1P_2000_2499,C06_CF_1F1P_2500_2999,C06_CF_1F1P_3000_3999,C06_CF_1F1P_4000m,C06_CF_1F1P_Ns,C06_CF_1F1P_T,C06_CF_1E1A_N,C06_CF_1E1A_1_149,C06_CF_1E1A_150_299,C06_CF_1E1A_300_399,C06_CF_1E1A_400_499,C06_CF_1E1A_500_649,C06_CF_1E1A_650_799,C06_CF_1E1A_800_999,C06_CF_1E1A_1000_1499,C06_CF_1E1A_1500_1999,C06_CF_1E1A_2000_2499,C06_CF_1E1A_2500_2999,C06_CF_1E1A_3000_3999,C06_CF_1E1A_4000_mr,C06_CF_1E1A_Ns,C06_CF_1E1A_T,C06_CF_1F1NW_N,C06_CF_1F1NW_1_149,C06_CF_1F1NW_150_299,C06_CF_1F1NW_300_399,C06_CF_1F1NW_400_499,C06_CF_1F1NW_500_649,C06_CF_1F1NW_650_799,C06_CF_1F1NW_800_999,C06_CF_1F1NW_1000_1499,C06_CF_1F1NW_1500_1999,C06_CF_1F1NW_2000_2499,C06_CF_1F1NW_2500_2999,C06_CF_1F1NW_3000_3999,C06_CF_1F1NW_4000mo,C06_CF_1F1NW_Ns,C06_CF_1F1NW_Tot,C06_CF_1P1NW_N,C06_CF_1P1NW_1_149,C06_CF_1P1NW_150_299,C06_CF_1P1NW_300_399,C06_CF_1P1NW_400_499,C06_CF_1P1NW_500_649,C06_CF_1P1NW_650_799,C06_CF_1P1NW_800_999,C06_CF_1P1NW_1000_1499,C06_CF_1P1NW_1500_1999,C06_CF_1P1NW_2000_2499,C06_CF_1P1NW_2500_2999,C06_CF_1P1NW_3000_3999,C06_CF_1P1NW_4000_mr,C06_CF_1P1NW_Ns,C06_CF_1P1NW_T,C06_CF_1A1NW_N,C06_CF_1A1NW_1_149,C06_CF_1A1NW_150_299,C06_CF_1A1NW_300_399,C06_CF_1A1NW_400_499,C06_CF_1A1NW_500_649,C06_CF_1A1NW_650_799,C06_CF_1A1NW_800_999,C06_CF_1A1NW_1000_1499,C06_CF_1A1NW_1500_1999,C06_CF_1A1NW_2000_2499,C06_CF_1A1NW_2500_2999,C06_CF_1A1NW_3000_3999,C06_CF_1A1NW_4000m,C06_CF_1A1NW_Ns,C06_CF_1A1NW_T,C06_CF_BA_N,C06_CF_BA_1_149,C06_CF_BA_150_299,C06_CF_BA_300_399,C06_CF_BA_400_499,C06_CF_BA_500_649,C06_CF_BA_650_799,C06_CF_BA_800_999,C06_CF_BA_1000_1499,C06_CF_BA_1500_1999,C06_CF_BA_2000_2499,C06_CF_BA_2500_2999,C06_CF_BA_3000_3999,C06_CF_BA_4000_more,C06_CF_BA_Ns,C06_fc_BA_Tot,C06_CF_BNW_N,C06_CF_BNW_1_149,C06_CF_BNW_150_299,C06_CF_BNW_300_399,C06_CF_BNW_400_499,C06_CF_BNW_500_649,C06_CF_BNW_650_799,C06_CF_BNW_800_999,C06_CF_BNW_1000_1499,C06_CF_BNW_1500_1999,C06_CF_BNW_2000_2499,C06_CF_BNW_2500_2999,C06_CF_BNW_3000_3999,C06_CF_BNW_4000_more,C06_CF_BNW_Ns,C06_CF_BNW_Tot,C06_CF_LFns_N,C06_CF_LFns_1_149,C06_CF_LFns_150_299,C06_CF_LFns_300_399,C06_CF_LFns_400_499,C06_CF_LFns_500_649,C06_CF_LFns_650_799,C06_CF_LFns_800_999,C06_CF_LFns_1000_1499,C06_CF_LFns_1500_1999,C06_CF_LFns_2000_2499,C06_CF_LFns_2500_2999,C06_CF_LFns_3000_3999,C06_CF_LFns_4000_more,C06_CF_LFns_Ns,C06_CF_LFns_Tot,C06_CF_Tot_N,C06_CF_Tot_1_149,C06_CF_Tot_150_299,C06_CF_Tot_300_399,C06_CF_Tot_400_499,C06_CF_Tot_500_649,C06_CF_Tot_650_799,C06_CF_Tot_800_999,C06_CF_Tot_1000_1499,C06_CF_Tot_1500_1999,C06_CF_Tot_2000_2499,C06_CF_Tot_2500_2999,C06_CF_Tot_3000_3999,C06_CF_Tot_4000_more,C06_CF_TFI_Ns,C06_CF_T_T,C06_1PF_F_N,C06_1PF_F_1_149,C06_1PF_F_150_299,C06_1PF_F_300_399,C06_1PF_F_400_499,C06_1PF_F_500_649,C06_1PF_F_650_799,C06_1PF_F_800_999,C06_1PF_F_1000_1499,C06_1PF_F_1500_1999,C06_1PF_F_2000_2499,C06_1PF_F_2500_2999,C06_1PF_F_3000_3999,C06_1PF_F_4000_more,C06_1PF_F_Ns,C06_1PF_F_T,C06_1PF_P_N,C06_1PF_P_1_149,C06_1PF_P_150_299,C06_1PF_P_300_399,C06_1PF_P_400_499,C06_1PF_P_500_649,C06_1PF_P_650_799,C06_1PF_P_800_999,C06_1PF_P_1000_1499,C06_1PF_P_1500_1999,C06_1PF_P_2000_2499,C06_1PF_P_2500_2999,C06_1PF_P_3000_3999,C06_1PF_P_4000_more,C06_1PF_P_Ns,C06_1PF_P_T,C06_1PF_A_N,C06_1PF_A_1_149,C06_1PF_A_150_299,C06_1PF_A_300_399,C06_1PF_A_400_499,C06_1PF_A_500_649,C06_1PF_A_650_799,C06_1PF_A_800_999,C06_1PF_A_1000_1499,C06_1PF_A_1500_1999,C06_1PF_A_2000_2499,C06_1PF_A_2500_2999,C06_1PF_A_3000_3999,C06_1PF_A_4000_more,C06_1PF_A_Ns,C06_1PF_A_T
LGA10850,6,0,3,0,0,0,4,21,0,0,0,0,0,8,3,23,75,64,34,7,12,0,25,255,0,0,0,0,0,0,3,0,12,8,8,7,0,0,0,35,0,0,0,0,0,11,16,19,74,28,4,11,3,0,16,177,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,29,0,0,0,0,0,0,4,5,5,6,0,0,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,20,3,5,14,0,0,0,0,0,10,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,0,7,0,0,11,46,33,73,212,139,81,37,20,3,138,796,0,0,3,0,0,7,13,10,24,5,0,0,0,0,9,68,0,0,0,18,0,16,8,4,6,0,0,0,0,0,7,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10900,125,84,51,21,9,7,49,446,3,0,3,0,5,34,39,93,609,728,498,314,283,55,266,2931,0,0,0,0,0,3,9,16,95,75,86,75,48,6,54,460,7,5,6,7,8,42,100,166,647,339,98,266,73,5,151,1901,0,3,5,12,16,61,40,56,92,39,28,11,11,0,47,416,0,0,0,0,0,10,6,16,48,27,7,14,3,0,25,158,0,0,0,0,0,0,3,0,18,28,12,15,14,0,16,102,4,5,6,11,51,74,51,70,94,47,9,8,12,0,50,493,0,0,0,0,0,0,0,3,9,9,0,3,0,0,466,487,17,22,19,41,95,270,273,467,1917,1653,1082,1049,731,215,1358,9212,0,0,3,14,4,43,77,101,322,132,54,33,5,0,135,927,0,4,33,122,4,201,124,83,133,33,5,3,3,0,87,838,0,0,7,10,0,14,6,3,21,9,3,0,0,0,11,88
LGA10950,6,0,0,0,0,0,4,17,0,3,0,0,0,9,0,14,34,10,7,3,3,6,5,83,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,14,0,0,0,3,0,4,11,10,20,11,0,0,0,0,7,73,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,3,3,5,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,6,3,0,5,7,24,18,32,92,38,15,12,4,3,64,338,0,0,0,0,0,7,3,3,12,3,0,0,0,0,6,28,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11100,45,23,15,9,9,3,6,154,0,0,0,3,0,17,18,51,283,246,150,92,87,16,70,1033,0,0,0,0,0,0,0,4,48,43,42,23,17,9,21,217,7,3,3,13,3,54,88,106,248,117,54,84,21,6,83,896,3,0,9,7,7,40,31,27,46,18,5,7,3,0,28,234,0,3,0,3,0,4,5,15,24,7,0,4,0,0,11,82,0,0,0,0,0,0,0,0,13,14,7,4,5,3,11,58,18,5,6,6,34,62,28,71,112,70,30,13,12,3,92,561,0,3,0,4,4,6,3,5,10,9,5,0,0,0,219,265,33,20,22,39,57,205,181,305,1071,771,491,368,297,90,652,4600,4,8,3,4,0,32,68,78,127,48,34,27,5,0,68,511,0,0,13,45,3,69,33,38,48,16,12,0,0,0,33,312,0,0,0,5,0,5,3,3,11,5,0,0,0,0,11,45
LGA11150,4,0,0,0,0,0,0,7,0,3,0,0,0,0,0,3,15,15,8,0,0,0,5,60,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,15,0,0,0,0,0,7,3,9,17,4,0,0,0,0,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,0,0,3,7,9,0,3,3,3,0,0,0,0,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,44,0,3,3,4,9,27,7,22,58,47,25,16,5,0,83,312,0,0,0,0,0,0,3,6,3,3,0,0,0,0,6,28,0,0,3,3,0,0,7,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
LGA11200,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,12,4,0,0,0,0,9,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,4,4,3,3,0,0,0,0,3,21,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,3,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,4,5,0,5,14,19,4,13,40,14,4,4,0,3,42,167,0,0,0,0,0,3,6,0,0,4,0,0,0,0,3,21,0,0,8,3,0,4,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,9,8,0,3,0,0,8,47,0,0,0,0,0,7,12,22,130,105,76,19,20,5,31,437,0,0,3,0,0,5,3,4,32,19,10,9,5,0,5,87,0,0,3,0,3,18,23,49,125,59,18,27,0,0,26,353,0,0,0,3,7,26,17,17,13,12,0,3,0,0,18,114,0,0,0,0,0,3,3,5,17,0,0,0,0,0,4,45,0,0,0,0,0,0,0,0,4,3,4,3,0,0,7,27,0,4,7,5,32,55,28,36,38,13,4,0,3,3,29,251,0,0,0,0,0,6,5,3,4,3,0,0,0,0,142,161,5,5,12,7,50,127,101,150,448,295,177,116,44,11,298,1859,0,0,0,7,0,24,26,18,54,15,0,4,0,0,23,175,4,0,15,38,5,74,21,15,16,3,0,0,0,0,8,203,0,0,3,0,0,8,5,5,9,0,0,0,0,0,9,40
LGA11300,35,15,16,6,8,3,14,142,0,0,0,0,3,14,17,31,153,130,116,96,107,29,58,758,3,0,0,0,0,0,3,5,20,10,13,19,19,5,13,116,3,3,4,15,8,43,65,84,176,69,39,109,26,8,78,740,4,3,3,16,17,43,14,17,35,16,9,5,10,7,19,219,0,0,0,3,3,7,7,3,14,14,5,3,0,0,7,73,0,0,0,0,0,0,3,0,9,3,3,6,0,0,11,39,23,13,14,12,34,51,39,26,106,60,37,24,14,11,74,537,0,0,0,0,0,3,0,3,5,5,6,0,3,0,224,249,37,32,28,51,69,189,150,197,673,458,405,364,336,158,564,3714,0,0,0,7,0,27,32,31,84,31,17,14,3,3,46,290,0,6,10,26,0,34,27,15,28,9,0,8,0,0,15,181,0,0,0,0,0,0,0,3,3,0,3,0,0,0,4,21
LGA11350,69,22,23,10,5,3,21,241,0,4,3,3,5,29,11,61,273,155,59,35,23,4,66,738,0,0,0,0,0,12,5,6,43,21,13,4,0,3,14,123,0,0,0,0,7,26,49,57,148,46,18,20,10,0,49,434,0,4,3,9,20,67,31,46,60,10,4,3,3,3,30,296,0,0,0,0,5,6,3,18,10,8,0,3,3,0,4,64,0,0,0,0,0,0,0,0,9,4,3,5,3,0,8,42,3,9,6,8,33,57,36,31,50,8,6,8,8,3,36,300,0,0,0,0,0,0,0,0,3,0,0,0,0,0,183,199,7,15,25,26,80,253,156,255,757,357,177,121,75,34,475,2819,3,0,5,17,0,38,39,28,67,23,3,3,0,0,48,281,0,5,28,95,4,188,72,37,46,8,0,0,3,0,59,553,0,0,4,7,0,9,4,3,6,0,0,0,0,0,7,47
LGA11400,15,3,6,0,0,0,10,46,3,0,0,5,0,16,23,40,124,104,45,23,19,8,49,459,0,0,0,3,0,6,3,3,16,12,7,9,6,0,8,69,0,0,0,3,0,24,35,51,105,31,11,7,6,0,28,302,0,0,0,3,0,11,5,6,16,7,0,0,0,0,5,56,0,3,0,0,0,3,0,3,7,0,0,0,0,0,3,24,0,0,0,0,0,3,0,0,9,3,3,0,0,0,3,21,0,3,3,4,18,23,5,18,12,5,4,0,0,0,17,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,72,15,5,4,19,24,94,92,143,382,249,139,67,53,22,243,1558,0,0,0,0,0,17,8,14,18,4,0,0,0,0,18,78,0,0,3,6,4,28,9,9,4,3,0,0,0,0,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
LGA11450,73,46,19,25,13,0,13,224,5,3,3,3,0,18,22,71,645,652,387,229,193,39,164,2445,0,0,0,0,0,5,7,15,93,88,88,48,35,7,31,411,0,3,3,8,3,50,92,186,591,275,96,187,32,15,102,1646,3,0,7,9,4,17,28,19,65,29,10,6,4,0,24,220,0,0,0,0,3,3,5,15,35,26,5,5,4,0,20,130,0,3,0,0,0,0,0,4,14,24,15,4,7,0,25,87,3,5,7,7,30,41,20,32,54,43,9,9,3,0,46,304,0,0,0,0,0,4,0,5,5,3,3,3,0,0,309,336,12,18,20,33,51,162,191,367,1837,1534,1018,806,540,151,922,7665,0,0,3,9,0,43,83,88,227,85,41,32,12,3,78,688,0,6,13,53,3,147,61,46,70,15,10,0,0,0,41,476,0,0,0,7,0,12,3,3,17,0,0,0,0,0,14,56
LGA11500,156,78,40,25,13,4,50,460,3,12,0,6,10,42,57,187,1297,1049,577,313,283,68,408,4319,0,0,0,0,3,7,17,40,200,163,147,76,50,17,97,814,10,8,6,18,19,228,410,602,1580,651,219,289,82,22,440,4587,5,9,24,30,40,131,101,115,220,78,27,15,13,0,113,919,3,3,8,4,7,33,35,46,112,38,16,16,5,0,77,409,0,0,0,0,0,0,7,5,53,38,34,22,14,11,32,222,26,50,62,56,270,284,132,199,321,140,59,28,10,10,270,1904,0,0,4,5,8,17,14,11,37,18,12,3,5,0,921,1047,58,94,107,129,361,800,814,1275,4766,3271,2039,1366,947,280,2895,19217,6,4,9,21,0,195,298,275,601,265,126,50,33,0,250,2142,4,13,52,175,19,431,209,109,197,66,23,6,3,0,128,1436,0,7,12,40,7,29,11,20,29,21,11,5,0,0,40,237
LGA11520,60,64,39,19,34,13,26,281,0,0,0,4,3,20,29,58,379,383,323,328,448,129,171,2280,0,0,0,0,0,6,0,12,53,51,54,69,75,42,40,394,8,9,0,12,3,51,96,109,341,241,74,434,109,36,145,1659,0,4,9,11,3,39,24,29,69,27,26,21,14,4,28,311,0,0,0,3,0,5,3,6,27,19,7,23,6,0,22,127,4,0,0,0,0,5,0,3,14,14,6,12,9,5,19,86,19,9,20,9,33,58,49,62,158,119,51,32,35,13,96,754,0,0,0,0,0,3,3,0,10,10,3,9,0,0,419,453,41,25,24,41,50,209,209,301,1281,1147,859,1216,1073,557,1140,8174,0,4,0,6,0,18,51,80,249,123,49,75,32,7,88,790,0,5,10,38,4,63,55,39,88,24,8,8,4,0,42,388,3,0,4,3,0,14,11,3,16,3,3,7,4,0,5,69
LGA11570,305,160,95,61,37,13,114,1130,20,17,9,18,17,122,174,345,1893,1510,976,587,507,143,585,6937,0,5,4,3,3,33,33,53,309,260,211,129,107,40,147,1342,28,43,67,176,79,896,1141,1174,2546,1033,424,580,191,66,854,9294,18,39,115,211,184,727,364,342,466,209,94,51,39,20,321,3204,13,13,28,41,26,166,118,119,223,94,40,30,16,8,225,1168,7,0,3,3,6,25,10,15,79,60,44,35,28,24,92,429,185,209,277,245,908,913,521,677,1267,790,309,175,100,39,1011,7607,22,5,18,15,25,56,38,46,109,41,18,9,3,3,2038,2445,324,360,538,732,1282,3135,2510,2991,8561,5669,3499,2475,1756,656,6073,40555,9,14,17,63,15,309,345,341,848,358,156,102,43,8,320,2956,3,27,102,230,34,489,271,154,313,101,30,24,7,3,205,1981,5,6,12,33,4,55,36,37,77,28,17,4,5,0,55,384
LGA11600,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,8,35,19,6,0,0,0,20,99,0,0,0,0,0,3,0,0,3,6,0,0,0,0,3,17,0,0,0,0,0,6,5,9,21,6,0,4,0,0,10,58,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,3,4,0,0,3,27,17,28,93,42,19,10,5,0,85,342,0,0,0,0,0,5,0,3,6,0,0,0,0,0,3,24,0,0,0,3,0,8,4,4,3,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11650,450,255,139,65,43,17,141,1446,13,24,11,20,26,129,154,433,3131,2450,1372,732,622,104,996,10218,4,3,0,0,4,28,32,82,429,343,230,133,103,25,210,1637,13,12,19,25,15,230,543,936,2444,1011,267,676,131,35,607,6956,0,10,19,43,49,268,198,225,421,147,35,40,29,9,171,1659,0,3,3,4,4,46,63,95,219,73,16,36,5,0,105,679,0,0,7,0,0,5,14,6,80,73,51,28,28,7,90,397,22,51,72,63,298,522,303,363,543,209,77,40,20,11,340,2924,0,3,0,0,3,13,16,15,34,19,7,9,0,0,1699,1832,72,115,138,177,426,1382,1405,2390,8714,5876,3316,2492,1580,389,5098,33573,7,8,12,54,15,302,469,418,968,352,113,96,17,0,460,3291,7,43,93,482,32,1084,551,302,421,118,29,14,10,0,382,3569,4,3,8,48,3,78,45,43,62,19,5,6,4,0,75,415
LGA11700,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,4,6,0,0,0,0,0,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,3,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,4,6,3,0,0,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,4,0,15,23,7,25,26,11,7,4,0,0,49,172,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,11,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11720,56,17,16,4,0,3,22,170,0,0,0,3,3,18,27,70,445,348,219,119,68,14,107,1451,0,0,0,0,0,0,7,16,61,41,27,21,15,0,33,219,3,0,0,8,5,53,96,133,433,214,72,88,25,7,132,1263,0,3,4,16,19,57,32,57,68,30,10,5,0,0,32,326,0,0,0,0,3,7,15,7,43,16,7,5,0,0,13,129,0,0,0,0,0,0,3,3,14,10,9,3,3,0,14,66,5,15,14,12,86,160,78,83,104,47,3,3,0,0,72,691,0,0,0,0,6,0,3,6,9,3,0,4,0,0,294,318,19,16,25,39,128,313,283,402,1406,887,520,350,188,39,825,5451,0,0,3,13,0,51,79,66,123,37,11,6,4,0,51,451,0,3,19,89,9,168,58,31,49,9,0,0,0,0,57,494,0,0,7,6,0,21,6,8,8,0,0,0,0,0,16,79
LGA11730,79,25,4,9,3,3,34,255,0,4,0,4,3,39,43,102,454,235,85,36,20,9,123,1160,0,0,0,0,0,8,5,11,57,42,18,9,8,0,32,184,0,0,3,11,4,75,119,189,282,77,19,15,3,6,98,899,0,8,3,8,26,88,65,49,57,19,3,0,0,0,41,365,0,0,0,0,4,10,18,10,29,5,0,3,0,0,14,100,3,0,0,0,0,3,3,8,14,6,6,7,0,0,11,59,4,12,23,18,89,169,69,92,94,18,7,0,0,0,66,666,0,0,0,0,3,0,3,3,0,7,0,0,0,0,273,289,8,28,44,50,149,451,352,529,1285,608,249,133,69,29,790,4773,0,3,3,17,0,44,59,56,92,27,4,7,0,0,50,347,0,5,23,87,11,167,67,35,35,3,0,0,0,0,66,496,0,0,7,5,0,12,9,6,15,0,0,0,0,0,6,62
LGA11750,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,9,33,44,35,13,14,0,19,171,0,0,0,0,0,0,0,0,4,8,6,0,0,0,3,28,0,0,3,4,0,7,5,11,50,24,3,23,5,0,13,144,0,0,0,0,0,3,3,5,0,4,0,0,3,0,0,16,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,3,0,3,0,4,0,3,4,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,3,3,4,7,5,13,11,23,121,99,74,53,42,5,97,572,0,0,0,0,0,4,6,6,12,4,0,0,0,0,11,49,0,0,0,4,0,10,3,0,4,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
LGA11800,131,51,33,14,3,3,35,413,0,8,0,5,5,71,68,147,712,388,185,85,58,13,167,1922,3,0,3,0,0,9,17,24,91,66,35,7,9,0,45,306,3,0,3,11,7,64,129,212,402,129,21,55,7,3,86,1136,0,3,6,10,29,103,55,65,103,32,7,0,3,0,41,456,0,0,0,0,5,8,10,22,33,11,3,4,3,0,9,115,0,0,0,0,0,3,0,0,30,11,3,3,5,0,19,91,12,16,14,21,104,159,66,115,114,40,15,4,3,3,75,755,0,0,0,3,0,4,3,3,11,3,0,0,0,0,419,453,24,37,35,57,171,504,404,669,1935,993,471,273,149,49,1031,6799,5,3,3,19,3,91,138,85,196,46,11,3,3,0,103,705,6,4,30,137,9,304,130,68,83,7,0,0,0,0,88,870,0,0,0,7,0,25,14,7,16,0,0,0,0,0,14,89
LGA12000,3,0,0,0,0,0,0,12,4,0,0,0,0,8,9,8,61,25,8,0,3,0,23,155,0,0,0,0,0,0,0,0,9,6,3,0,0,0,3,16,0,0,0,3,0,10,18,6,30,8,0,3,0,0,15,93,0,0,0,0,0,0,0,6,3,7,0,0,0,0,3,20,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,7,0,0,0,0,3,11,5,3,6,3,0,0,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,10,5,4,6,12,45,36,30,140,61,25,22,11,3,106,496,0,0,0,0,0,5,8,0,5,4,0,0,0,0,0,23,0,0,0,8,0,8,8,0,0,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA12150,4,0,4,0,0,0,7,23,0,0,0,0,0,4,5,8,36,21,9,3,3,3,15,112,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,19,0,0,0,0,3,3,12,7,9,10,0,0,0,0,3,51,0,0,0,0,3,0,3,7,4,0,0,0,0,0,4,22,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,3,7,5,3,0,6,3,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,3,7,3,7,14,25,26,34,94,55,25,14,3,8,83,405,0,0,0,3,0,6,7,4,7,0,0,0,0,0,0,39,0,0,4,5,0,10,3,3,8,0,0,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
LGA12350,10,3,3,0,0,0,3,44,0,0,8,3,8,16,20,26,152,75,24,16,10,6,37,395,0,0,0,0,0,6,4,7,17,14,5,0,0,0,6,64,0,0,0,4,7,32,47,65,98,27,3,3,0,0,21,313,0,0,0,0,4,13,3,8,10,4,0,0,0,0,10,67,0,0,0,0,0,3,4,6,4,0,0,0,0,0,4,26,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,15,0,0,0,3,26,17,17,17,16,7,0,4,0,0,12,119,0,0,0,0,0,3,0,3,0,0,0,0,0,0,74,82,0,3,13,9,39,103,92,145,399,203,69,41,28,10,211,1381,0,0,4,0,3,18,17,13,26,3,0,0,0,0,8,89,0,0,11,13,0,31,13,11,8,0,0,0,0,0,10,96,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,8
LGA12380,143,79,55,30,17,12,50,568,11,10,9,5,14,74,89,185,969,782,471,266,217,43,294,3441,3,3,0,0,0,14,27,25,162,114,108,67,60,15,91,692,17,26,28,91,55,504,669,776,1597,601,250,269,96,29,514,5512,11,39,59,106,90,405,211,184,279,91,49,26,21,7,211,1777,13,4,20,29,22,96,78,73,127,62,20,16,5,3,120,682,0,3,0,0,0,15,5,9,54,39,30,14,15,3,57,233,118,158,172,134,644,617,339,442,722,427,167,79,65,30,687,4798,6,5,11,6,23,43,23,25,47,11,15,4,3,5,1238,1458,191,261,302,387,860,1880,1479,1829,4870,3060,1958,1257,867,292,3626,23128,7,3,7,26,0,174,211,220,502,198,109,58,25,3,201,1747,5,12,45,118,3,271,138,84,168,53,21,4,3,3,96,1033,0,3,6,11,3,30,13,24,46,13,11,7,0,0,37,195
LGA12700,23,3,0,0,0,0,6,47,0,3,0,0,0,6,14,14,99,66,33,16,18,3,22,303,0,0,0,0,0,0,0,3,13,6,9,5,0,0,4,43,3,0,0,0,0,9,23,22,64,25,4,9,3,0,22,181,0,0,0,3,3,3,8,11,10,9,3,0,0,0,3,53,0,0,0,3,0,0,0,3,0,3,3,0,0,0,3,25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,3,0,3,11,13,9,17,13,7,0,0,0,0,14,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,51,6,7,3,18,21,43,56,78,267,165,74,42,40,10,164,997,0,0,0,3,0,9,10,10,12,0,3,0,0,0,5,61,0,0,3,12,0,17,10,3,3,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,4
