LGA_CODE_2016,C06_0_74_1PF_CU15DS,C06_0_74_1PF_CU15NDS,C06_0_74_1PFnCU15DS,C06_0_74_1PF_NDCO,C06_0_74_T,C06_75_99_1PF_CU15DS,C06_75_99_1PF_CU15NDS,C06_75_99_1PFnCU15DS,C06_75_99_1PF_NDCO,C06_75_99_T,C06_100_149_1PF_CU15DS,C06_100_149_1PF_CU15NDS,C06_100_149_1PFnCU15DS,C06_100_149_1PF_NDCO,C06_100_149_T,C06_150_199_1PF_CU15DS,C06_150_199_1PF_CU15NDS,C06_150_199_1PFnCU15DS,C06_150_199_1PF_NDCO,C06_150_199_T,C06_200_224_1PF_CU15DS,C06_200_224_1PF_CU15NDS,C06_200_224_1PFnCU15DS,C06_200_224_1PF_NDCO,C06_200_224_T,C06_225_274_1PF_CU15DS,C06_225_274_1PF_CU15NDS,C06_225_274_1PFnCU15DS,C06_225_274_1PF_NDCO,C06_225_274_T,C06_275_349_1PF_CU15DS,C06_275_349_1PF_CU15NDS,C06_275_349_1PFnCU15DS,C06_275_349_1PF_NDCO,C06_275_349_T,C06_350_449_1PF_CU15DS,C06_350_449_1PF_CU15NDS,C06_350_449_1PFnCU15DS,C06_350_449_1PF_NDCO,C06_350_449_T,C06_450_549_1PF_CU15DS,C06_450_549_1PF_CU15NDS,C06_450_549_1PFnCU15DS,C06_450_549_1PF_NDCO,C06_450_549_T,C06_550_649_1PF_CU15DS,C06_550_649_1PF_CU15NDS,C06_550_649_1PFnCU15DS,C06_550_649_1PF_NDCO,C06_550_649_T,C06_650_749_1PF_CU15DS,C06_650_749_1PF_CU15NDS,C06_650_749_1PFnCU15DS,C06_650_749_1PF_NDCO,C06_650_749_T,C06_750_849_1PF_CU15DS,C06_750_849_1PF_CU15NDS,C06_750_849_1PFnCU15DS,C06_750_849_1PF_NDCO,C06_750_849_T,C06_850_949_1PF_CU15DS,C06_850_949_1PF_CU15NDS,C06_850_949_1PFnCU15DS,C06_850_949_1PF_NDCO,C06_850_949_T,C06_950ov_1PF_CU15DS,C06_950ov_1PF_CU15NDS,C06_950ov_1PFnCU15DS,C06_950ov_1PF_NDCO,C06_950ov_T,C06_Rns_1PF_CU15DS,C06_Rns_1PF_CU15NDS,C06_Rns_1PFnCU15DS,C06_Rns_1PF_NDCO,C06_Rns_T,C06_Tot_1PF_CU15DS,C06_Tot_1PF_CU15NDS,C06_Tot_1PFnCU15DS,C06_Tot_1PF_NDCO,C06_Tot_T,C11_0_74_1PF_CU15DS,C11_0_74_1PF_CU15NDS,C11_0_74_1PFnCU15DS,C11_0_74_1PF_NDCO,C11_0_74_T,C11_75_99_1PF_CU15DS,C11_75_99_1PF_CU15NDS,C11_75_99_1PFnCU15DS,C11_75_99_1PF_NDCO,C11_75_99_T,C11_100_149_1PF_CU15DS,C11_100_149_1PF_CU15NDS,C11_100_149_1PFnCU15DS,C11_100_149_1PF_NDCO,C11_100_149_T,C11_150_199_1PF_CU15DS,C11_150_199_1PF_CU15NDS,C11_150_199_1PFnCU15DS,C11_150_199_1PF_NDCO,C11_150_199_T,C11_200_224_1PF_CU15DS,C11_200_224_1PF_CU15NDS,C11_200_224_1PFnCU15DS,C11_200_224_1PF_NDCO,C11_200_224_T,C11_225_274_1PF_CU15DS,C11_225_274_1PF_CU15NDS,C11_225_274_1PFnCU15DS,C11_225_274_1PF_NDCO,C11_225_274_T,C11_275_349_1PF_CU15DS,C11_275_349_1PF_CU15NDS,C11_275_349_1PFnCU15DS,C11_275_349_1PF_NDCO,C11_275_349_T,C11_350_449_1PF_CU15DS,C11_350_449_1PF_CU15NDS,C11_350_449_1PFnCU15DS,C11_350_449_1PF_NDCO,C11_350_449_T,C11_450_549_1PF_CU15DS,C11_450_549_1PF_CU15NDS,C11_450_549_1PFnCU15DS,C11_450_549_1PF_NDCO,C11_450_549_T,C11_550_649_1PF_CU15DS,C11_550_649_1PF_CU15NDS,C11_550_649_1PFnCU15DS,C11_550_649_1PF_NDCO,C11_550_649_T,C11_650_749_1PF_CU15DS,C11_650_749_1PF_CU15NDS,C11_650_749_1PFnCU15DS,C11_650_749_1PF_NDCO,C11_650_749_T,C11_750_849_1PF_CU15DS,C11_750_849_1PF_CU15NDS,C11_750_849_1PFnCU15DS,C11_750_849_1PF_NDCO,C11_750_849_T,C11_850_949_1PF_CU15DS,C11_850_949_1PF_CU15NDS,C11_850_949_1PFnCU15DS,C11_850_949_1PF_NDCO,C11_850_949_T,C11_950ov_1PF_CU15_DS,C11_950ov_1PF_CU15_NDS,C11_950ov_1PFnoCU15_DS,C11_950ov_1PF_NDCO,C11_950ov_T,C11_Rns_1PF_CU15DS,C11_Rns_1PF_CU15NDS,C11_Rns_1PFnCU15DS,C11_Rns_1PF_NDCO,C11_Rns_T,C11_Tot_1PF_CU15DS,C11_Tot_1PF_CU15NDS,C11_Tot_1PFnCU15DS,C11_Tot_1PF_NDCO,C11_Tot_T,C16_0_74_1PF_CU15DS,C16_0_74_1PF_CU15NDS,C16_0_74_1PFnCU15DS,C16_0_74_1PF_NDCO,C16_0_74_T,C16_75_99_1PF_CU15DS,C16_75_99_1PF_CU15NDS,C16_75_99_1PFnCU15DS,C16_75_99_1PF_NDCO,C16_75_99_T,C16_100_149_1PF_CU15DS,C16_100_149_1PF_CU15NDS,C16_100_149_1PFnCU15DS,C16_100_149_1PF_NDCO,C16_100_149_T,C16_150_199_1PF_CU15DS,C16_150_199_1PF_CU15NDS,C16_150_199_1PFnCU15DS,C16_150_199_1PF_NDCO,C16_150_199_T,C16_200_224_1PF_CU15DS,C16_200_224_1PF_CU15NDS,C16_200_224_1PFnCU15DS,C16_200_224_1PF_NDCO,C16_200_224_T,C16_225_274_1PF_CU15DS,C16_225_274_1PF_CU15NDS,C16_225_274_1PFnCU15DS,C16_225_274_1PF_NDCO,C16_225_274_T,C16_275_349_1PF_CU15DS,C16_275_349_1PF_CU15NDS,C16_275_349_1PFnCU15DS,C16_275_349_1PF_NDCO,C16_275_349_T,C16_350_449_1PF_CU15DS,C16_350_449_1PF_CU15NDS,C16_350_449_1PFnCU15DS,C16_350_449_1PF_NDCO,C16_350_449_T
LGA10050,5,29,0,21,48,14,125,5,14,155,22,168,24,50,266,14,216,24,55,317,10,89,9,15,125,12,59,9,15,94,4,20,5,3,39,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,27,0,4,40,80,753,76,179,1096,0,11,3,8,26,3,34,7,14,56,6,125,16,32,176,15,153,20,57,242,19,120,20,32,185,19,161,33,54,273,27,109,30,16,178,7,28,0,7,49,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,7,8,28,100,754,139,230,1222,0,7,3,9,21,0,0,0,10,9,3,55,15,26,107,13,92,9,44,160,8,91,9,32,135,24,212,33,59,328,47,194,40,63,340,18,75,22,25,138
LGA10130,3,15,5,13,42,6,55,4,3,68,17,105,9,13,140,7,121,28,22,182,4,45,7,8,64,6,27,8,7,42,3,12,0,3,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,6,0,11,0,7,14,55,394,61,77,589,0,8,0,3,21,0,9,0,3,12,7,60,6,15,84,11,101,11,21,146,15,65,6,16,98,11,86,14,24,134,7,57,9,6,88,0,28,0,8,38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,14,56,433,51,97,639,0,4,4,4,16,0,3,0,0,12,0,24,3,8,39,4,35,3,25,63,3,46,10,17,67,7,80,11,25,129,23,126,15,41,203,15,57,21,12,104
LGA10250,3,16,5,4,33,3,40,8,9,60,13,63,10,38,120,14,115,23,26,182,7,87,19,23,138,33,144,25,32,234,31,93,20,17,161,3,28,7,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,12,0,4,26,116,599,119,167,1005,3,7,3,11,22,0,5,6,8,27,5,39,6,11,65,9,37,6,33,82,0,26,9,11,45,7,79,15,29,132,35,154,52,43,280,31,152,29,46,256,9,33,5,9,54,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,3,6,0,6,19,94,554,133,205,991,0,3,0,7,14,0,0,0,0,0,0,21,7,14,39,0,24,6,11,38,0,21,9,17,47,3,46,11,15,85,18,114,42,54,232,36,162,43,66,312
LGA10300,0,3,0,3,4,3,3,0,0,5,5,14,0,3,24,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,7,42,0,5,0,0,3,0,0,0,0,3,0,3,0,0,5,3,10,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,3,4,35,0,0,0,0,4,0,0,0,0,0,0,7,0,0,6,0,10,3,0,9,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
LGA10470,3,22,8,15,42,5,63,4,10,78,5,75,12,29,116,16,138,23,33,207,11,76,11,8,107,9,67,9,10,98,3,21,4,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,14,7,11,41,58,486,70,112,730,0,12,5,3,18,4,17,7,3,24,9,58,10,18,91,5,85,12,37,140,9,100,17,24,147,23,144,14,24,206,28,93,14,18,150,7,38,5,6,55,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,14,5,3,27,90,560,90,140,873,0,11,3,6,16,0,5,0,0,4,3,36,3,16,58,4,41,9,14,63,7,42,7,21,77,14,105,17,31,171,27,212,34,47,323,34,134,25,24,215
LGA10550,6,20,0,9,39,4,56,0,9,63,8,81,11,33,130,9,157,19,19,205,13,47,5,4,75,8,41,3,13,64,0,15,0,3,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,6,18,54,425,47,100,619,0,11,4,3,18,0,6,4,3,10,4,41,10,13,67,7,90,14,28,143,5,64,17,20,100,21,107,28,15,173,15,60,17,7,101,3,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,6,27,61,404,88,102,653,0,9,3,4,16,0,0,0,0,0,0,11,5,9,26,3,30,4,9,48,3,27,0,14,51,13,80,21,24,137,38,108,20,42,204,16,56,13,18,98
LGA10600,0,8,8,9,22,0,9,0,0,14,9,22,6,11,53,16,73,20,3,110,10,42,6,9,64,3,43,4,4,53,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,36,214,43,42,335,0,10,3,5,16,0,3,3,0,4,3,14,0,14,32,3,22,7,8,43,7,24,11,10,48,4,41,4,15,64,12,53,10,8,90,3,31,0,3,37,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,34,205,46,59,346,0,5,0,3,9,0,0,0,0,3,0,6,0,3,11,0,6,4,8,15,0,18,0,3,19,0,25,0,9,39,16,68,8,19,110,10,44,9,9,70
LGA10650,0,7,0,0,7,0,4,0,0,9,3,34,5,3,42,0,21,0,4,31,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7,13,80,8,14,115,0,4,0,7,5,0,0,0,0,0,0,17,3,10,31,6,29,8,7,42,4,11,4,0,18,0,9,0,3,12,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,13,71,18,22,125,0,0,0,3,4,0,0,0,0,0,3,6,4,3,16,3,20,7,9,31,4,16,0,3,25,3,22,0,0,28,0,9,0,4,15,0,3,0,0,4
LGA10750,16,201,73,182,472,92,643,67,89,887,132,700,51,230,1114,123,869,102,318,1415,99,791,78,237,1204,124,1000,122,253,1496,54,275,31,100,457,21,93,18,40,177,5,15,5,7,28,0,10,0,3,13,0,0,0,3,5,0,3,0,0,6,0,4,0,0,4,4,46,0,14,59,29,200,19,72,318,686,4849,566,1551,7652,26,99,31,97,257,15,146,58,143,365,130,597,89,154,973,134,489,88,310,1022,73,281,50,166,567,88,487,72,207,855,161,1055,177,345,1747,182,922,185,266,1553,47,192,47,63,349,17,46,12,21,97,7,13,0,15,33,0,0,3,3,8,0,0,0,0,4,0,22,7,9,32,49,159,29,88,324,915,4516,849,1882,8173,15,54,7,50,127,0,35,11,26,73,27,359,64,158,603,83,367,64,163,677,50,178,26,151,405,78,231,59,160,526,127,674,137,400,1339,282,1389,340,660,2669
LGA10800,3,3,3,9,15,3,7,0,0,11,3,17,0,4,27,0,9,3,3,14,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43,8,16,75,0,3,0,0,10,0,6,0,3,6,0,9,3,3,14,0,8,0,3,9,0,9,0,0,13,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,43,5,13,61,0,10,0,6,12,0,0,0,0,0,0,3,3,0,13,0,15,0,6,24,0,15,0,0,23,3,11,0,0,14,0,6,0,0,5,0,0,0,0,0
