LGA_CODE_2016,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_CF_T,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_CF_T,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_CF_T,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_CF_T,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_CF_T,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_CF_T,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_CF_T,C16_4000m_CF_1C,C16_4000m_CF_2C,C16_4000m_CF_3C,C16_4000m_Cou_fa_4mo_ch,C16_4000m_CF_T,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_CF_T,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_CF_T,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_CF_T
LGA10050,58,37,11,6,112,97,67,28,12,198,327,306,107,49,781,313,322,153,53,843,290,389,126,39,848,220,254,110,31,606,183,283,117,39,630,103,145,77,16,346,203,230,117,34,583,29,24,6,3,62,1887,2106,873,287,5160
LGA10130,47,27,8,3,88,56,46,13,9,117,158,161,77,41,433,152,172,81,41,448,133,157,64,15,362,92,107,41,9,252,95,124,64,22,304,53,95,40,14,197,115,164,78,23,377,6,3,8,3,15,936,1073,476,192,2680
LGA10250,46,29,15,6,90,66,65,22,7,160,279,280,79,31,671,264,278,103,38,685,244,282,102,31,659,140,178,80,21,412,130,205,79,6,420,102,139,66,12,320,203,200,88,33,517,20,9,9,3,37,1537,1711,642,191,4083
LGA10300,0,3,0,0,4,8,3,4,4,15,16,11,14,4,43,19,14,4,6,44,8,5,12,3,29,3,6,5,5,26,7,0,3,3,12,0,4,3,0,13,8,11,19,0,40,3,0,0,0,3,77,63,66,31,236
LGA10470,40,23,9,3,73,74,49,22,14,161,239,200,112,46,596,201,239,104,68,617,262,273,115,50,698,171,277,86,26,557,192,271,119,26,611,93,148,72,20,328,166,217,91,46,525,16,12,9,4,43,1497,1744,757,308,4308
LGA10550,46,24,11,11,85,67,55,13,10,149,248,214,90,33,587,177,194,75,37,482,169,187,75,14,441,81,100,32,16,228,63,98,36,14,215,38,56,18,7,122,182,165,69,39,458,10,5,4,3,21,1116,1148,428,199,2892
LGA10600,21,22,8,3,52,38,22,11,3,71,88,108,42,14,244,87,74,23,10,198,64,65,24,3,160,28,36,21,3,86,30,39,10,6,87,16,30,4,0,47,47,61,25,17,157,4,0,6,0,11,446,484,179,62,1171
LGA10650,3,6,3,3,13,22,12,8,3,42,46,54,32,12,139,53,47,25,17,139,32,55,26,11,127,22,21,14,0,57,15,20,9,7,43,13,13,8,0,31,27,31,20,14,98,5,3,4,0,13,236,268,146,65,722
LGA10750,450,365,181,95,1095,705,668,302,145,1823,2485,2449,1017,483,6435,2698,3083,1120,471,7376,3003,3628,1148,467,8250,2106,2705,871,305,5991,2243,3314,1032,317,6909,1199,2233,817,294,4532,1420,1791,809,508,4535,158,151,80,66,456,17176,20933,7664,3355,49127
LGA10800,0,5,3,3,12,4,11,5,6,25,34,34,23,16,103,30,21,26,7,81,25,23,21,6,69,15,11,15,5,42,17,20,17,7,54,8,10,9,0,33,26,35,32,14,101,3,0,3,0,3,168,171,143,69,558
LGA10850,6,3,4,0,18,7,6,0,0,21,43,34,14,8,107,44,55,29,11,137,43,44,34,11,130,24,28,21,10,88,36,47,20,16,111,15,26,12,9,65,25,43,29,5,104,3,5,3,0,5,265,302,174,66,805
LGA10900,51,40,13,5,104,93,74,27,16,205,418,355,152,56,978,460,482,182,73,1194,516,590,248,78,1431,440,540,200,69,1245,517,634,261,62,1473,339,544,251,74,1209,371,424,210,81,1088,30,23,5,4,67,3295,3762,1572,519,9148
LGA10950,0,3,0,0,5,0,10,0,0,10,7,15,4,0,32,9,16,6,4,34,12,13,11,0,33,7,10,0,3,26,11,10,6,5,25,7,3,3,0,13,26,18,14,10,70,4,0,3,0,8,88,103,49,30,269
LGA11100,68,39,20,0,126,105,65,23,3,193,327,286,63,19,694,338,306,84,14,733,332,317,76,20,748,241,323,67,17,644,306,427,124,23,885,216,411,141,25,801,210,248,111,24,598,19,22,13,3,54,2249,2509,740,159,5657
LGA11150,0,4,0,0,5,0,0,3,0,5,9,13,3,0,25,12,7,10,3,31,7,9,0,0,25,5,14,7,3,28,15,7,4,4,31,3,7,3,0,13,12,18,7,12,49,0,3,0,0,7,74,75,47,25,216
LGA11200,4,0,0,0,3,4,3,5,0,9,5,5,3,0,19,3,8,0,0,9,0,3,0,0,7,3,4,5,0,13,0,0,3,0,5,0,3,0,0,3,12,8,0,6,24,3,0,0,0,5,39,38,20,16,114
LGA11250,16,13,6,0,34,35,31,9,5,75,101,66,33,11,208,96,80,34,23,228,66,81,24,7,181,58,71,19,8,157,70,71,26,7,178,42,46,18,0,111,95,84,41,17,236,16,6,3,0,23,622,562,214,84,1484
LGA11300,55,31,10,4,99,72,63,8,5,156,257,177,53,18,507,237,170,53,12,480,247,197,52,15,518,152,170,52,11,380,200,234,53,14,508,218,386,119,29,756,151,182,71,24,432,8,10,12,3,30,1690,1688,498,150,4024
LGA11350,37,43,4,0,84,53,55,12,4,130,224,197,58,7,487,178,198,62,11,449,144,197,62,13,412,99,107,31,7,241,84,100,36,3,226,74,99,41,11,224,162,193,82,19,460,12,11,8,0,28,1130,1240,400,89,2862
LGA11400,15,15,4,5,32,12,15,11,8,49,78,85,32,22,213,76,87,46,22,231,73,98,56,22,252,55,71,50,10,185,60,79,50,10,194,37,61,45,9,150,71,70,58,29,223,5,4,7,3,21,493,607,363,128,1593
LGA11450,57,31,25,8,127,90,77,36,21,225,388,405,167,90,1047,574,696,288,103,1658,659,867,336,106,1976,534,818,276,81,1713,653,944,388,103,2088,368,704,326,109,1507,334,464,235,102,1129,28,39,27,6,104,3752,5132,2121,749,11745
LGA11500,201,203,86,51,540,336,360,150,77,924,1253,1212,480,269,3211,1209,1366,540,262,3384,1309,1341,439,200,3291,844,887,348,149,2233,834,1012,320,155,2326,430,619,269,109,1418,705,732,363,283,2073,86,78,27,22,212,7508,8075,3153,1655,20390
LGA11520,84,38,20,5,144,119,76,14,4,216,439,294,75,20,829,404,364,95,23,891,583,520,134,23,1253,433,443,127,18,1014,786,827,211,38,1854,986,1518,461,80,3041,457,502,161,35,1159,29,34,6,3,73,4470,4696,1322,256,10740
LGA11570,798,670,362,239,2066,1021,1017,527,335,2899,2929,2680,1346,769,7718,2469,2351,1044,536,6397,2164,2444,940,371,5915,1376,1689,621,273,3971,1383,2220,809,313,4721,912,1861,769,281,3815,1531,1731,933,606,4804,180,177,115,69,539,16074,17989,8052,4220,46332
LGA11600,0,0,0,0,3,10,3,3,0,12,26,14,17,0,57,17,20,7,0,43,18,24,6,3,48,7,3,3,0,19,6,4,3,3,17,8,3,7,0,19,20,13,5,12,53,0,0,0,0,3,113,92,48,24,281
LGA11650,265,205,68,32,576,532,392,145,63,1142,1975,1882,753,286,4897,2176,2375,1002,337,5895,2092,2593,1001,289,5978,1420,2059,729,229,4430,1517,2134,771,221,4644,897,1475,652,205,3229,1473,1772,885,315,4450,140,122,63,11,342,12828,15257,6171,2049,36311
LGA11700,8,0,0,0,9,4,0,0,0,12,16,14,8,4,31,3,6,0,4,14,7,5,3,0,15,3,3,0,0,8,0,3,3,0,3,3,4,0,0,7,8,12,3,3,27,3,0,0,0,7,58,45,18,12,141
LGA11720,77,39,19,11,145,99,75,38,22,241,415,316,156,70,957,363,402,191,65,1016,320,396,132,52,907,202,299,119,41,660,201,276,126,28,628,147,177,85,19,429,235,267,119,59,671,26,25,6,5,53,2169,2324,1008,371,5869
LGA11730,87,45,21,8,163,110,93,46,23,268,349,338,163,67,918,273,286,151,72,787,225,201,96,30,554,134,138,64,11,351,88,142,59,16,304,65,53,32,4,151,223,229,112,59,626,15,22,5,0,47,1665,1589,783,302,4348
LGA11750,0,3,0,0,3,3,3,0,3,10,11,16,10,8,37,10,21,13,9,54,28,30,15,4,75,24,21,14,4,62,28,30,8,8,75,19,16,13,6,49,11,31,17,6,60,3,0,0,0,6,145,177,87,48,460
LGA11800,84,69,27,18,192,124,123,49,19,312,529,453,200,83,1264,433,513,224,73,1243,401,480,176,43,1103,255,306,122,33,715,252,303,128,39,721,143,160,65,19,387,331,372,139,74,912,32,14,3,6,62,2663,2874,1179,423,7141
LGA12000,3,3,0,0,4,6,3,6,3,19,29,19,16,10,73,17,23,15,13,72,26,20,20,6,67,19,16,0,4,45,19,16,7,3,45,6,9,9,5,32,21,25,16,12,68,3,0,0,0,3,157,138,88,61,449
LGA12150,3,3,0,3,16,3,3,3,3,16,17,17,5,7,49,19,21,10,4,49,11,12,4,3,33,12,7,3,0,21,10,4,4,0,17,3,4,3,0,9,20,26,5,4,53,7,0,0,0,8,113,106,43,33,291
LGA12350,11,8,0,3,29,22,17,9,7,60,117,76,41,12,250,79,74,31,16,195,61,71,28,14,173,35,42,21,3,97,37,29,19,7,91,15,18,16,9,55,53,61,27,12,155,9,3,3,0,11,456,411,204,93,1163
LGA12380,455,457,255,177,1346,673,627,355,213,1858,1959,1654,778,506,4892,1641,1449,627,338,4058,1533,1504,489,259,3795,948,1057,338,158,2503,928,1235,405,162,2737,516,889,362,177,1940,907,1079,535,451,2979,100,114,81,57,358,10562,10855,4686,2843,28943
LGA12700,10,8,3,3,26,14,7,7,4,31,61,48,30,10,152,55,85,17,3,164,58,55,27,11,152,37,51,18,4,107,32,52,20,14,118,22,32,19,9,74,40,49,36,14,140,4,5,0,0,14,359,410,168,67,1007
LGA12730,14,5,0,0,21,8,13,4,3,31,53,52,27,6,139,37,58,30,10,135,42,44,22,10,117,27,29,16,3,72,22,28,13,8,71,12,26,8,3,53,33,49,28,8,120,5,4,4,0,15,272,307,151,58,797
LGA12750,52,30,18,10,103,46,61,18,10,137,267,220,98,52,632,187,189,85,30,491,145,144,61,22,380,107,98,31,8,240,79,68,27,5,179,42,42,21,4,111,153,146,61,29,396,16,16,0,3,36,1135,1050,445,187,2807
LGA12850,496,531,262,148,1436,596,683,358,173,1811,1679,1723,847,410,4661,1327,1458,652,316,3746,1133,1283,535,220,3173,698,923,387,163,2168,640,1033,463,161,2299,284,696,332,142,1456,822,1071,562,330,2791,113,148,88,53,400,8583,10413,4933,2386,26313
LGA12870,10,6,5,3,22,17,15,14,3,48,77,84,40,18,227,44,79,41,12,184,59,68,37,9,172,31,48,13,9,103,32,49,24,3,101,19,11,9,3,44,64,62,32,12,178,10,6,3,0,23,374,433,223,81,1110
LGA12900,15,8,3,0,22,9,14,11,4,34,66,58,32,24,172,39,44,28,9,125,46,51,35,10,138,29,37,13,9,88,34,36,20,4,101,14,14,12,3,44,40,34,30,14,119,7,10,0,0,16,309,316,204,76,896
LGA12930,251,177,39,22,482,336,267,72,39,709,1104,918,259,90,2373,1142,976,284,86,2490,1153,1119,314,98,2686,797,958,253,68,2071,922,1265,383,97,2656,840,1529,614,114,3099,759,920,334,109,2116,50,65,19,10,142,7723,8460,2659,746,19592
