SA3_CODE_2016,C11_SH_3b_NPGH_4,C11_SH_3b_NPGH_5,C11_SH_3b_NPGH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPGH_2,C11_SH_4mb_NPGH_3,C11_SH_4mb_NPGH_4,C11_SH_4mb_NPGH_5,C11_SH_4mb_NPGH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPGH_2,C11_SH_NB_NS_NPGH_3,C11_SH_NB_NS_NPGH_4,C11_SH_NB_NS_NPGH_5,C11_SH_NB_NS_NPGH_6_mor,C11_SH_NB_NS_T,C11_SH_Tot_NPGH_2,C11_SH_Tot_NPGH_3,C11_SH_Tot_NPGH_4,C11_SH_Tot_NPGH_5,C11_SH_Tot_NPGH_6_mor,C11_SH_T_T,C11_SDRTHT_0b_NPGH_2,C11_SDRTHT_0b_NPGH_3,C11_SDRTHT_0b_NPGH_4,C11_SDRTHT_0b_NPGH_5,C11_SDRTHT_0b_NPGH_6_mor,C11_SDRTHT_0bTotal,C11_SDRTHT_1b_NPGH_2,C11_SDRTHT_1b_NPGH_3,C11_SDRTHT_1b_NPGH_4,C11_SDRTHT_1b_NPGH_5,C11_SDRTHT_1b_NPGH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPGH_2,C11_SDRTHT_2b_NPGH_3,C11_SDRTHT_2b_NPGH_4,C11_SDRTHT_2b_NPGH_5,C11_SDRTHT_2b_NPGH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPGH_2,C11_SDRTHT_3b_NPGH_3,C11_SDRTHT_3b_NPGH_4,C11_SDRTHT_3b_NPGH_5,C11_SDRTHT_3b_NPGH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPGH_2,C11_SDRTHT_4mb_NPGH_3,C11_SDRTHT_4mb_NPGH_4,C11_SDRTHT_4mb_NPGH_5,C11_SDRTHT_4mb_NPGH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPGH_2,C11_SDRTHT_NB_NS_NPGH_3,C11_SDRTHT_NB_NS_NPGH_4,C11_SDRTHT_NB_NS_NPGH_5,C11_SDRTHT_NB_NS_NPGH_6_mor,C11_SDRTHT_NB_NS_T,C11_SDRTHT_Tot_NPGH_2,C11_SDRTHT_Tot_NPGH_3,C11_SDRTHT_Tot_NPGH_4,C11_SDRTHT_Tot_NPGH_5,C11_SDRTHT_Tot_NPGH_6_mor,C11_SDRTHT_T_T,C11_FUA_0b_NPGH_2,C11_FUA_0b_NPGH_3,C11_FUA_0b_NPGH_4,C11_FUA_0b_NPGH_5,C11_FUA_0b_NPGH_6_mor,C11_FUA_0bTotal,C11_FUA_1b_NPGH_2,C11_FUA_1b_NPGH_3,C11_FUA_1b_NPGH_4,C11_FUA_1b_NPGH_5,C11_FUA_1b_NPGH_6_mor,C11_FUA_1b_Tot,C11_FUA_2b_NPGH_2,C11_FUA_2b_NPGH_3,C11_FUA_2b_NPGH_4,C11_FUA_2b_NPGH_5,C11_FUA_2b_NPGH_6_mor,C11_FUA_2b_Tot,C11_FUA_3b_NPGH_2,C11_FUA_3b_NPGH_3,C11_FUA_3b_NPGH_4,C11_FUA_3b_NPGH_5,C11_FUA_3b_NPGH_6_mor,C11_FUA_3b_Tot,C11_FUA_4mb_NPGH_2,C11_FUA_4mb_NPGH_3,C11_FUA_4mb_NPGH_4,C11_FUA_4mb_NPGH_5,C11_FUA_4mb_NPGH_6_mor,C11_FUA_4mb_Tot,C11_FUA_NB_NS_NPGH_2,C11_FUA_NB_NS_NPGH_3,C11_FUA_NB_NS_NPGH_4,C11_FUA_NB_NS_NPGH_5,C11_FUA_NB_NS_NPGH_6_mor,C11_FUA_NB_NS_T,C11_FUA_Tot_NPGH_2,C11_FUA_Tot_NPGH_3,C11_FUA_Tot_NPGH_4,C11_FUA_Tot_NPGH_5,C11_FUA_Tot_NPGH_6_mor,C11_FUA_T_T,C11_OD_0b_NPGH_2,C11_OD_0b_NPGH_3,C11_OD_0b_NPGH_4,C11_OD_0b_NPGH_5,C11_OD_0b_NPGH_6_mor,C11_OD_0bTotal,C11_OD_1b_NPGH_2,C11_OD_1b_NPGH_3,C11_OD_1b_NPGH_4,C11_OD_1b_NPGH_5,C11_OD_1b_NPGH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPGH_2,C11_OD_2b_NPGH_3,C11_OD_2b_NPGH_4,C11_OD_2b_NPGH_5,C11_OD_2b_NPGH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPGH_2,C11_OD_3b_NPGH_3,C11_OD_3b_NPGH_4,C11_OD_3b_NPGH_5,C11_OD_3b_NPGH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPGH_2,C11_OD_4mb_NPGH_3,C11_OD_4mb_NPGH_4,C11_OD_4mb_NPGH_5,C11_OD_4mb_NPGH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPGH_2,C11_OD_NB_NS_NPGH_3,C11_OD_NB_NS_NPGH_4,C11_OD_NB_NS_NPGH_5,C11_OD_NB_NS_NPGH_6_mor,C11_OD_NB_NS_T,C11_OD_Tot_NPGH_2,C11_OD_Tot_NPGH_3,C11_OD_Tot_NPGH_4,C11_OD_Tot_NPGH_5,C11_OD_Tot_NPGH_6_mor,C11_OD_T_T,C11_DS_NS_NPGH_2,C11_DS_NS_NPGH_3,C11_DS_NS_NPGH_4,C11_DS_NS_NPGH_5,C11_DS_NS_NPGH_6_mor,C11_DS_NS_T,C11_Tot_NPGH_2,C11_Tot_NPGH_3,C11_Tot_NPGH_4,C11_Tot_NPGH_5,C11_Tot_NPGH_6_mor,C11_T_T,C16_SH_0b_NPGH_2,C16_SH_0b_NPGH_3,C16_SH_0b_NPGH_4,C16_SH_0b_NPGH_5,C16_SH_0b_NPGH_6_mor,C16_SH_0bTotal,C16_SH_1b_NPGH_2,C16_SH_1b_NPGH_3,C16_SH_1b_NPGH_4,C16_SH_1b_NPGH_5,C16_SH_1b_NPGH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPGH_2,C16_SH_2b_NPGH_3,C16_SH_2b_NPGH_4,C16_SH_2b_NPGH_5,C16_SH_2b_NPGH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPGH_2,C16_SH_3b_NPGH_3,C16_SH_3b_NPGH_4,C16_SH_3b_NPGH_5,C16_SH_3b_NPGH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPGH_2,C16_SH_4mb_NPGH_3,C16_SH_4mb_NPGH_4,C16_SH_4mb_NPGH_5,C16_SH_4mb_NPGH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPGH_2,C16_SH_NB_NS_NPGH_3,C16_SH_NB_NS_NPGH_4,C16_SH_NB_NS_NPGH_5,C16_SH_NB_NS_NPGH_6_mor,C16_SH_NB_NS_T,C16_SH_Tot_NPGH_2,C16_SH_Tot_NPGH_3,C16_SH_Tot_NPGH_4,C16_SH_Tot_NPGH_5
10102,4,0,0,147,64,15,10,6,0,84,4,0,0,0,0,5,222,41,9,6,0,281,0,0,0,0,0,0,7,0,0,0,0,7,57,0,0,0,0,61,30,11,0,0,0,41,3,0,0,0,0,3,3,0,0,0,0,7,96,15,0,0,0,109,0,0,0,0,0,3,8,0,0,0,0,8,89,3,4,0,0,94,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,108,10,4,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,0,0,0,0,0,0,432,62,12,7,0,512,0,0,0,0,0,3,4,0,0,0,0,4,36,0,0,0,0,39,108,17,3,0,0,120,75,20,4,0,0,93,8,0,0,0,0,8,233,33,4,0
10103,0,0,0,69,21,7,3,0,0,28,3,0,0,0,0,9,112,21,7,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,15,10,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,20,15,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,161,39,10,8,0,212,3,0,0,0,0,3,4,0,0,0,0,4,29,0,0,0,0,36,54,11,0,0,0,76,19,7,4,0,3,36,7,0,0,0,0,9,123,24,7,5
10104,0,0,0,273,100,20,7,0,0,124,16,0,0,0,0,22,476,48,7,3,0,535,0,0,0,0,0,0,3,0,0,0,0,3,31,0,0,0,0,32,22,3,0,0,0,23,0,0,0,0,0,5,0,0,0,0,0,0,55,4,0,0,0,61,0,0,0,0,0,0,3,0,0,0,0,3,40,4,0,0,0,45,18,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,63,8,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,606,63,11,3,0,674,3,0,0,0,0,3,15,0,0,0,0,15,126,0,0,0,0,130,214,22,4,0,0,242,114,19,8,7,0,140,12,0,0,0,0,15,480,45,15,7
10105,0,0,0,120,41,3,4,0,0,51,9,0,0,0,0,13,207,12,5,3,0,230,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,16,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,243,18,7,3,0,274,4,0,0,0,0,3,0,0,0,0,0,3,39,4,0,0,0,45,117,14,0,0,0,135,49,7,4,3,0,64,10,0,0,0,0,8,218,29,4,3
10106,0,0,0,115,30,4,5,0,0,43,4,0,0,0,0,4,209,16,8,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,13,8,0,0,262,0,0,0,0,0,0,5,0,0,0,0,5,41,0,0,0,0,37,121,14,0,0,0,136,56,11,3,0,0,71,5,0,0,0,0,5,229,21,4,0
10201,3,0,0,569,203,46,22,5,4,276,32,4,4,0,0,39,985,116,27,6,4,1136,0,0,0,0,0,0,3,0,0,0,0,3,79,0,0,0,0,81,146,44,4,0,0,200,8,3,0,0,0,12,3,0,0,0,0,3,245,52,3,0,0,300,0,0,0,0,0,0,15,0,0,0,0,15,141,10,0,0,0,150,54,18,4,0,0,74,9,0,0,0,0,8,7,0,0,0,0,4,220,24,6,0,4,254,0,0,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,9,0,0,0,0,10,1470,193,35,9,7,1714,0,0,0,0,0,3,15,0,0,0,0,12,250,12,3,0,0,267,494,85,6,3,0,584,244,76,43,17,6,391,45,5,4,0,0,57,1041,185,54,23
10202,11,0,0,601,224,40,21,6,3,294,28,3,0,0,0,33,1064,102,30,6,3,1211,0,0,0,0,0,0,0,0,0,0,0,5,61,3,0,0,0,64,80,3,3,0,0,86,3,0,0,0,0,3,3,0,0,0,0,3,148,10,3,0,0,157,0,0,0,0,0,0,8,0,0,0,0,8,81,3,0,0,0,90,23,6,0,0,0,22,3,0,0,0,0,3,0,0,0,0,0,0,120,7,0,0,0,127,0,0,0,0,0,0,3,0,0,0,0,3,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,1355,119,36,6,3,1524,3,0,0,0,0,3,23,0,0,0,0,20,258,18,0,0,0,280,598,71,13,0,0,675,275,53,37,13,4,386,43,9,3,0,0,50,1194,147,54,15
10301,0,0,0,205,68,35,34,13,0,146,9,3,0,0,0,12,301,79,37,13,0,422,0,0,0,0,0,0,7,0,0,0,0,7,34,0,0,0,0,38,19,10,0,0,0,38,3,3,3,0,0,6,0,0,0,0,0,3,67,17,4,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,47,3,7,0,0,0,9,0,4,3,0,0,6,0,0,0,0,0,0,50,8,4,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,4,421,104,43,13,0,581,0,0,0,0,0,0,0,0,0,0,0,0,58,3,0,0,0,56,200,31,5,0,0,234,85,27,38,10,3,165,11,3,0,0,0,11,354,71,39,10
10302,3,0,0,204,77,11,3,3,0,100,13,0,0,0,0,13,357,45,10,3,0,412,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,394,46,10,3,0,453,3,0,0,0,0,3,0,0,0,0,0,0,78,3,0,0,0,80,172,20,3,0,0,192,60,8,3,3,0,76,11,0,0,0,0,16,327,30,3,3
10303,0,0,0,168,61,10,3,0,0,78,7,0,3,0,0,11,320,21,8,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,37,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,374,21,8,0,0,407,3,0,0,0,0,3,5,0,0,0,0,5,94,3,0,0,0,95,169,11,0,0,0,180,62,14,3,4,0,82,7,0,3,0,0,14,342,34,8,4
