SA3_CODE_2016,C16_450_549_1PF_CU15_DS,C16_450_549_1PF_CU15_NDS,C16_450_549_1PFnoCU15_DS,C16_450_549_1PF_NDCO,C16_450_549_T,C16_550_649_1PF_CU15_DS,C16_550_649_1PF_CU15_NDS,C16_550_649_1PFnoCU15_DS,C16_550_649_1PF_NDCO,C16_550_649_T,C16_650_749_1PF_CU15_DS,C16_650_749_1PF_CU15_NDS,C16_650_749_1PFnoCU15_DS,C16_650_749_1PF_NDCO,C16_650_749_T,C16_750_849_1PF_CU15_DS,C16_750_849_1PF_CU15_NDS,C16_750_849_1PFnoCU15_DS,C16_750_849_1PF_NDCO,C16_750_849_T,C16_850_949_1PF_CU15_DS,C16_850_949_1PF_CU15_NDS,C16_850_949_1PFnoCU15_DS,C16_850_949_1PF_NDCO,C16_850_949_T,C16_950_and_over_1PF_CU15_DS,C16_950_and_over_1PF_CU15_NDS,C16_950_and_over_1PFnoCU15_DS,C16_950_and_over_1PF_NDCO,C16_950_and_over_T,C16_Rns_1PF_CU15_DS,C16_Rns_1PF_CU15_NDS,C16_Rns_1PFnoCU15_DS,C16_Rns_1PF_NDCO,C16_Rns_T,C16_Tot_1PF_CU15_DS,C16_Tot_1PF_CU15_NDS,C16_Tot_1PFnoCU15_DS,C16_Tot_1_pa_f_NDCO,C16_Tot_T
10102,9,50,11,26,108,0,20,4,3,25,3,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,21,6,13,40,57,523,85,214,888
10103,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,8,24,162,27,61,285
10104,3,12,4,4,25,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,16,0,15,34,151,791,156,294,1394
10105,3,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,10,0,3,22,68,433,84,172,760
10106,0,5,0,0,10,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,3,15,59,347,53,89,554
10201,67,266,91,126,551,34,79,31,29,165,4,24,5,4,42,3,10,3,4,20,0,3,0,0,3,0,3,0,0,3,0,36,5,22,68,332,1788,529,963,3618
10202,65,300,62,116,542,12,53,8,17,89,4,13,0,0,19,0,3,0,0,4,0,3,0,0,3,0,0,0,0,0,8,45,7,34,97,428,2523,456,1070,4473
10301,5,11,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,13,29,104,646,121,197,1071
10302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,11,37,121,708,103,232,1166
10303,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,24,97,569,84,200,955
10304,0,8,0,3,16,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,3,15,49,121,789,114,247,1268
10401,3,8,0,3,13,3,0,0,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,3,22,113,730,122,248,1214
10402,30,90,16,30,166,3,13,3,3,21,0,6,0,0,10,3,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,25,3,23,55,259,1242,231,516,2254
