SA3_CODE_2016,C06_CFNC_BF_N,C06_CFNC_BF_1_149,C06_CFNC_BF_150_299,C06_CFNC_BF_300_399,C06_CFNC_BF_400_499,C06_CFNC_BF_500_649,C06_CFNC_BF_650_799,C06_CFNC_BF_800_999,C06_CFNC_BF_1000_1499,C06_CFNC_BF_1500_1999,C06_CFNC_BF_2000_2499,C06_CFNC_BF_2500_2999,C06_CFNC_BF_3000_3999,C06_CFNC_BF_4000m,C06_CFNC_BF_Ns,C06_CFNC_BF_T,C06_CFNC_BPT_N,C06_CFNC_BPT_1_149,C06_CFNC_BPT_150_299,C06_CFNC_BPT_300_399,C06_CFNC_BPT_400_499,C06_CFNC_BPT_500_649,C06_CFNC_BPT_650_799,C06_CFNC_BPT_800_999,C06_CFNC_BPT_1000_1499,C06_CFNC_BPT_1500_1999,C06_CFNC_BPT_2000_2499,C06_CFNC_BPT_2500_2999,C06_CFNC_BPT_3000_3999,C06_CFNC_BPT_4000m,C06_CFNC_BPT_Ns,C06_CFNC_BPT_T,C06_CFNC_1F1P_N,C06_CFNC_1F1P_1_149,C06_CFNC_1F1P_150_299,C06_CFNC_1F1P_300_399,C06_CFNC_1F1P_400_499,C06_CFNC_1F1P_500_649,C06_CFNC_1F1P_650_799,C06_CFNC_1F1P_800_999,C06_CFNC_1F1P_1000_1499,C06_CFNC_1F1P_1500_1999,C06_CFNC_1F1P_2000_2499,C06_CFNC_1F1P_2500_2999,C06_CFNC_1F1P_3000_3999,C06_CFNC_1F1P_4000m,C06_CFNC_1F1P_Ns,C06_CFNC_1F1P_T,C06_CFNC_1E1A_N,C06_CFNC_1E1A_1_149,C06_CFNC_1E1A_150_299,C06_CFNC_1E1A_300_399,C06_CFNC_1E1A_400_499,C06_CFNC_1E1A_500_649,C06_CFNC_1E1A_650_799,C06_CFNC_1E1A_800_999,C06_CFNC_1E1A_1000_1499,C06_CFNC_1E1A_1500_1999,C06_CFNC_1E1A_2000_2499,C06_CFNC_1E1A_2500_2999,C06_CFNC_1E1A_3000_3999,C06_CFNC_1E1A_4000m,C06_CFNC_1E1A_Ns,C06_CFNC_1E1A_T,C06_CFNC_1F1NW_N,C06_CFNC_1F1NW_1_149,C06_CFNC_1F1NW_150_299,C06_CFNC_1F1NW_300_399,C06_CFNC_1F1NW_400_499,C06_CFNC_1F1NW_500_649,C06_CFNC_1F1NW_650_799,C06_CFNC_1F1NW_800_999,C06_CFNC_1F1NW_1000_1499,C06_CFNC_1F1NW_1500_1999,C06_CFNC_1F1NW_2000_2499,C06_CFNC_1F1NW_2500_2999,C06_CFNC_1F1NW_3000_3999,C06_CFNC_1F1NW_4000m,C06_CFNC_1F1NW_Ns,C06_CFNC_1F1NW_T,C06_CFNC_1P1NW_N,C06_CFNC_1P1NW_1_149,C06_CFNC_1P1NW_150_299,C06_CFNC_1P1NW_300_399,C06_CFNC_1P1NW_400_499,C06_CFNC_1P1NW_500_649,C06_CFNC_1P1NW_650_799,C06_CFNC_1P1NW_800_999,C06_CFNC_1P1NW_1000_1499,C06_CFNC_1P1NW_1500_1999,C06_CFNC_1P1NW_2000_2499,C06_CFNC_1P1NW_2500_2999,C06_CFNC_1P1NW_3000_3999,C06_CFNC_1P1NW_4000m,C06_CFNC_1P1NW_Ns,C06_CFNC_1P1NW_T,C06_CFNC_1A1NW_N,C06_CFNC_1A1NW_1_149,C06_CFNC_1A1NW_150_299,C06_CFNC_1A1NW_300_399,C06_CFNC_1A1NW_400_499,C06_CFNC_1A1NW_500_649,C06_CFNC_1A1NW_650_799,C06_CFNC_1A1NW_800_999,C06_CFNC_1A1NW_1000_1499,C06_CFNC_1A1NW_1500_1999,C06_CFNC_1A1NW_2000_2499,C06_CFNC_1A1NW_2500_2999,C06_CFNC_1A1NW_3000_3999,C06_CFNC_1A1NW_4000_m,C06_CFNC_1A1NW_Ns,C06_CFNC_1A1NW_T,C06_CFNC_BA_N,C06_CFNC_BA_1_149,C06_CFNC_BA_150_299,C06_CFNC_BA_300_399,C06_CFNC_BA_400_499,C06_CFNC_BA_500_649,C06_CFNC_BA_650_799,C06_CFNC_BA_800_999,C06_CFNC_BA_1000_1499,C06_CFNC_BA_1500_1999,C06_CFNC_BA_2000_2499,C06_CFNC_BA_2500_2999,C06_CFNC_BA_3000_3999,C06_CFNC_BA_4000_m,C06_CFNC_BA_Ns,C06_CFNC_BA_T,C06_CFNC_BNW_N,C06_CFNC_BNW_1_149,C06_CFNC_BNW_150_299,C06_CFNC_BNW_300_399,C06_CFNC_BNW_400_499,C06_CFNC_BNW_500_649,C06_CFNC_BNW_650_799,C06_CFNC_BNW_800_999,C06_CFNC_BNW_1000_1499,C06_CFNC_BNW_1500_1999,C06_CFNC_BNW_2000_2499,C06_CFNC_BNW_2500_2999,C06_CFNC_BNW_3000_3999,C06_CFNC_BNW_4000m,C06_CFNC_BNW_Ns,C06_CFNC_BNW_T,C06_CFNC_LFns_N,C06_CFNC_LFns_1_149,C06_CFNC_LFns_150_299,C06_CFNC_LFns_300_399,C06_CFNC_LFns_400_499,C06_CFNC_LFns_500_649,C06_CFNC_LFns_650_799,C06_CFNC_LFns_800_999,C06_CFNC_LFns_1000_1499,C06_CFNC_LFns_1500_1999,C06_CFNC_LFns_2000_2499,C06_CFNC_LFns_2500_2999,C06_CFNC_LFns_3000_3999,C06_CFNC_LFns_4000m,C06_CFNC_LFns_Ns,C06_CFNC_LFns_T,C06_CFNC_T_N,C06_CFNC_T_1_149,C06_CFNC_T_150_299,C06_CFNC_T_300_399,C06_CFNC_T_400_499,C06_CFNC_T_500_649,C06_CFNC_T_650_799,C06_CFNC_T_800_999,C06_CFNC_T_1000_1499,C06_CFNC_T_1500_1999,C06_CFNC_T_2000_2499,C06_CFNC_T_2500_2999,C06_CFNC_T_3000_3999,C06_CFNC_T_4000_m,C06_CFNC_T_Ns,C06_CFNC_T_T,C06_CF_BFT_N,C06_CF_BFT_1_149,C06_CF_BFT_150_299,C06_CF_BFT_300_399,C06_CF_BFT_400_499,C06_CF_BFT_500_649,C06_CF_BFT_650_799,C06_CF_BFT_800_999,C06_CF_BFT_1000_1499,C06_CF_BFT_1500_1999,C06_CF_BFT_2000_2499,C06_CF_BFT_2500_2999,C06_CF_BFT_3000_3999,C06_CF_BFT_4000m,C06_CF_BFT_Ns,C06_CF_BFT_T,C06_CF_BPT_N,C06_CF_BPT_1_149,C06_CF_BPT_150_299,C06_CF_BPT_300_399,C06_CF_BPT_400_499,C06_CF_BPT_500_649,C06_CF_BPT_650_799,C06_CF_BPT_800_999
10102,6,6,0,0,4,22,3,18,287,296,335,205,205,72,22,1488,0,0,3,0,3,12,3,22,49,21,13,6,7,0,6,151,0,0,3,0,0,18,14,46,222,146,72,50,50,17,5,660,0,0,0,3,0,3,0,8,23,28,20,17,13,8,7,132,4,0,0,9,4,35,52,62,135,68,28,41,24,0,13,481,0,0,4,11,13,39,15,18,52,16,15,7,3,0,3,201,0,0,0,0,0,8,3,11,17,4,3,4,0,0,3,55,0,0,0,0,0,5,0,3,3,12,14,10,5,0,3,65,18,34,14,10,356,185,59,64,183,38,17,10,5,4,38,1041,3,0,0,0,12,0,5,3,8,3,0,3,0,0,290,326,34,48,24,41,390,322,168,245,995,639,513,356,314,114,397,4599,4,0,3,0,0,10,4,16,191,291,376,309,327,155,185,1876,0,0,0,0,9,6,3,15
10103,3,6,0,0,16,15,12,13,170,116,58,33,19,7,9,471,3,0,4,3,7,18,17,9,37,7,0,3,0,0,3,99,4,0,0,3,3,17,24,23,159,56,13,13,14,3,5,335,0,0,0,0,0,3,10,3,21,12,3,0,0,0,0,59,0,0,0,3,3,17,25,16,46,33,0,10,5,0,3,173,0,0,4,3,9,31,23,8,41,3,3,0,0,0,7,141,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,19,0,0,0,0,0,0,3,3,8,3,0,0,0,0,3,26,7,28,13,3,208,126,26,31,63,5,3,4,0,0,20,547,3,0,0,0,12,4,0,0,3,0,0,0,0,0,127,149,25,45,17,18,255,236,137,106,544,229,91,65,40,13,178,2012,0,4,5,0,7,9,6,10,128,104,61,21,35,11,63,466,0,0,0,0,4,11,3,8
10104,15,14,3,4,31,66,17,33,405,187,118,49,30,9,25,990,3,5,10,9,20,75,31,50,126,36,7,5,3,3,12,408,3,0,4,3,3,52,53,92,407,124,80,16,23,3,10,886,0,0,0,6,3,13,3,10,69,30,15,8,3,0,5,170,0,3,0,15,23,84,112,75,177,37,8,25,7,0,31,609,3,11,19,38,73,173,81,65,116,24,11,0,0,0,22,646,3,0,4,5,4,15,17,11,21,11,0,3,0,3,9,107,0,0,0,0,0,8,3,7,18,9,5,0,3,0,8,64,60,127,62,64,1568,1135,245,276,726,103,58,20,16,7,142,4618,4,3,0,3,39,28,5,8,20,3,0,0,0,4,555,667,90,161,107,140,1767,1667,558,632,2089,557,307,133,85,35,817,9158,4,5,8,3,23,40,24,39,309,212,140,72,46,8,140,1066,0,4,4,8,14,65,45,59
10105,13,5,3,4,8,26,4,26,209,151,105,54,40,8,17,674,0,3,3,4,8,21,7,9,47,7,3,10,4,0,0,126,4,3,7,3,6,29,19,38,215,86,42,15,13,3,8,490,0,0,0,0,0,7,5,9,28,17,5,11,0,0,3,90,4,3,4,9,7,51,54,55,105,32,16,11,5,0,20,377,0,6,11,14,14,66,26,18,35,18,7,6,0,0,4,231,0,0,0,0,3,6,8,3,10,4,0,3,0,0,5,41,0,0,0,0,0,3,0,0,11,5,3,3,0,0,6,31,26,53,27,17,442,273,51,49,133,13,5,5,0,3,49,1150,0,0,0,0,17,16,4,4,3,0,0,0,0,0,215,266,57,80,43,61,497,498,184,223,796,338,188,113,64,16,323,3482,7,0,7,0,0,14,11,25,141,197,149,93,58,16,108,817,0,0,0,0,3,6,3,15
10106,22,10,6,0,13,47,14,26,257,140,126,57,82,36,25,864,0,3,0,3,9,32,8,12,59,15,11,3,9,3,3,173,10,0,5,9,3,44,17,46,189,65,44,19,30,3,8,487,0,0,0,3,4,9,5,8,19,17,9,7,10,0,3,100,0,5,0,16,8,61,46,40,90,38,9,27,11,4,22,375,0,0,4,12,20,50,25,19,49,15,7,9,3,0,3,218,0,0,0,0,0,3,6,3,9,0,0,0,0,0,6,36,6,0,0,0,0,3,3,0,12,7,6,0,4,3,9,56,36,49,14,14,477,199,53,42,117,11,11,10,6,4,49,1096,3,3,0,0,8,12,0,0,13,3,0,0,0,0,228,265,87,73,33,50,545,459,183,198,811,309,224,132,149,56,359,3671,3,0,3,0,4,24,7,15,175,164,129,89,87,57,131,897,0,0,0,0,0,13,9,14
10201,8,10,3,3,12,45,11,41,752,709,660,329,241,60,50,2927,3,3,3,10,22,54,36,54,219,68,35,13,12,7,15,555,4,3,3,0,8,40,41,158,722,368,230,90,94,23,30,1814,0,3,3,0,8,16,8,22,128,80,42,24,27,0,21,387,5,3,0,12,13,100,158,204,439,164,54,118,26,7,61,1369,3,10,15,32,57,214,99,99,220,63,11,8,14,8,31,890,3,0,0,3,8,21,31,18,45,25,7,4,3,0,11,172,0,0,0,0,3,14,3,4,44,17,16,9,8,3,12,141,84,183,68,55,2169,1816,394,392,1141,155,81,46,35,30,234,6893,0,8,0,3,80,41,13,13,37,4,3,0,0,5,848,1057,123,223,100,124,2381,2355,792,1002,3746,1659,1139,657,463,141,1313,16201,6,3,0,3,4,34,14,44,463,659,592,454,396,129,406,3201,3,0,3,3,5,47,33,83
10202,9,0,0,0,7,41,19,34,745,621,419,179,95,29,38,2231,3,0,3,5,16,63,23,59,109,50,15,11,6,3,7,384,3,3,8,6,8,36,50,106,615,268,126,38,55,6,35,1357,0,0,0,0,0,8,14,20,106,56,33,5,4,7,20,270,7,0,3,12,11,113,188,201,382,98,25,65,13,3,53,1171,0,6,19,26,73,232,106,83,121,21,7,3,3,0,25,720,0,0,9,6,12,28,30,14,33,5,0,3,3,0,9,153,0,0,0,3,5,10,3,9,37,26,6,9,3,0,14,119,93,223,75,64,2952,1722,323,337,811,78,31,21,18,20,236,7012,4,13,0,6,93,44,11,10,24,5,3,7,0,0,782,1008,123,252,124,131,3170,2306,768,855,2987,1231,672,342,196,65,1215,14427,5,7,3,3,7,18,19,37,510,632,518,277,205,56,333,2628,3,3,3,8,8,40,27,68
10301,7,3,0,3,4,31,8,21,280,214,169,92,59,20,11,927,0,0,4,0,6,34,8,13,52,12,4,5,4,0,0,164,5,3,0,3,7,21,24,40,254,101,69,22,25,3,6,587,0,0,0,0,0,12,3,3,32,26,14,5,9,0,0,104,4,0,3,3,3,47,66,45,123,53,18,22,7,3,26,429,0,3,7,7,15,62,23,26,47,4,4,3,5,0,5,208,0,0,0,0,0,4,4,9,5,3,0,0,0,0,0,39,3,0,0,0,3,4,0,3,9,6,3,5,0,0,5,47,30,51,21,17,462,282,50,56,148,18,11,9,4,8,40,1201,0,0,0,0,11,4,3,7,4,0,0,0,0,0,232,262,43,69,41,34,520,484,198,216,960,443,293,166,119,34,331,3971,0,0,0,0,3,13,3,10,186,271,212,168,90,21,117,1100,0,0,0,0,3,13,7,18
10302,41,31,9,7,51,102,13,38,500,265,133,69,36,21,45,1363,0,6,5,4,17,42,9,28,78,29,11,9,4,0,11,253,19,3,10,9,26,89,48,102,360,124,37,15,14,6,30,889,0,3,0,4,4,10,9,8,45,24,9,4,4,0,15,143,9,7,5,13,16,94,120,69,143,30,16,12,4,0,27,569,0,13,9,28,56,109,36,26,45,12,9,4,0,3,8,358,0,3,3,3,5,12,7,11,21,0,0,0,0,0,11,84,0,3,0,0,11,11,4,0,24,11,6,4,0,0,15,87,39,91,30,29,1067,463,86,74,218,29,13,7,5,6,102,2250,3,3,0,0,28,23,6,5,9,3,0,0,0,0,349,428,121,162,71,102,1277,957,325,360,1443,530,233,130,71,34,618,6435,14,12,11,8,25,59,27,50,345,265,168,70,54,17,202,1336,0,3,3,0,3,13,11,20
10303,8,9,3,7,20,59,11,23,265,162,119,55,50,8,23,826,3,0,5,5,18,33,13,16,46,13,10,3,4,7,3,189,6,4,0,4,7,42,28,57,215,117,68,34,23,3,13,620,0,3,0,0,3,4,7,9,21,25,15,3,0,0,9,98,3,3,3,7,4,50,76,67,141,55,21,33,7,6,24,499,3,3,6,16,35,69,45,28,25,4,6,0,3,0,8,258,0,0,0,10,0,9,7,9,13,7,0,0,0,0,10,67,0,0,0,0,3,6,3,0,10,4,6,4,3,0,6,50,34,96,34,27,851,376,58,77,172,23,5,7,0,6,59,1820,3,0,3,0,18,14,0,5,12,0,0,0,0,0,271,328,54,121,54,75,963,662,246,289,923,397,259,141,98,32,429,4753,11,5,3,0,5,19,14,26,167,176,117,97,60,17,123,841,3,0,0,5,0,18,9,18
