SA3_CODE_2016,C16_CFNC_1F1P_1000_1499,C16_CFNC_1F1P_1500_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000m,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_T,C16_CFNC_1E1A_N,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_299,C16_CFNC_1E1A_300_399,C16_CFNC_1E1A_400_499,C16_CFNC_1E1A_500_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_999,C16_CFNC_1E1A_1000_1499,C16_CFNC_1E1A_1500_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000m,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_T,C16_CFNC_1F1NW_N,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_299,C16_CFNC_1F1NW_300_399,C16_CFNC_1F1NW_400_499,C16_CFNC_1F1NW_500_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_999,C16_CFNC_1F1NW_1000_1499,C16_CFNC_1F1NW_1500_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000m,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_N,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_299,C16_CFNC_1P1NW_300_399,C16_CFNC_1P1NW_400_499,C16_CFNC_1P1NW_500_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_999,C16_CFNC_1P1NW_1000_1499,C16_CFNC_1P1NW_1500_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000_mr,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_N,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_299,C16_CFNC_1A1NW_300_399,C16_CFNC_1A1NW_400_499,C16_CFNC_1A1NW_500_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_999,C16_CFNC_1A1NW_1000_1499,C16_CFNC_1A1NW_1500_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000m,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_T,C16_CFNC_BA_N,C16_CFNC_BA_1_149,C16_CFNC_BA_150_299,C16_CFNC_BA_300_399,C16_CFNC_BA_400_499,C16_CFNC_BA_500_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_999,C16_CFNC_BA_1000_1499,C16_CFNC_BA_1500_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000m,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_N,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_299,C16_CFNC_BNW_300_399,C16_CFNC_BNW_400_499,C16_CFNC_BNW_500_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_999,C16_CFNC_BNW_1000_1499,C16_CFNC_BNW_1500_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000m,C16_CFNC_BNW_Ns,C16_CFNC_BNW_T,C16_CFNC_LFns_N,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_299,C16_CFNC_LFns_300_399,C16_CFNC_LFns_400_499,C16_CFNC_LFns_500_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_999,C16_CFNC_LFns_1000_1499,C16_CFNC_LFns_1500_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000mo,C16_CFNC_LFns_Ns,C16_CFNC_LFns_T,C16_CFNC_T_N,C16_CFNC_T_1_149,C16_CFNC_T_150_299,C16_CFNC_T_300_399,C16_CFNC_T_400_499,C16_CFNC_T_500_649,C16_CFNC_T_650_799,C16_CFNC_T_800_999,C16_CFNC_T_1000_1499,C16_CFNC_T_1500_1999,C16_CFNC_T_2000_2499,C16_CFNC_T_2500_2999,C16_CFNC_T_3000_3999,C16_CFNC_T_4000m,C16_CFNC_T_Ns,C16_CFNC_T_T,C16_CF_BFT_N,C16_CF_BFT_1_149,C16_CF_BFT_150_299,C16_CF_BFT_300_399,C16_CF_BFT_400_499,C16_CF_BFT_500_649,C16_CF_BFT_650_799,C16_CF_BFT_800_999,C16_CF_BFT_1000_1499,C16_CF_BFT_1500_1999,C16_CF_BFT_2000_2499,C16_CF_BFT_2500_2999,C16_CF_BFT_3000_3999,C16_CF_BFT_4000_mr,C16_CF_BFT_Ns,C16_CF_BFT_Tot,C16_CF_BPT_N,C16_CF_BPT_1_149,C16_CF_BPT_150_299,C16_CF_BPT_300_399,C16_CF_BPT_400_499,C16_CF_BPT_500_649,C16_CF_BPT_650_799,C16_CF_BPT_800_999,C16_CF_BPT_1000_1499,C16_CF_BPT_1500_1999,C16_CF_BPT_2000_2499,C16_CF_BPT_2500_2999,C16_CF_BPT_3000_3999,C16_CF_BPT_4000_mr,C16_CF_BPT_Ns,C16_CF_BPT_Tot,C16_CF_1F1P_N,C16_CF_1F1P_1_149,C16_CF_1F1P_150_299,C16_CF_1F1P_300_399,C16_CF_1F1P_400_499,C16_CF_1F1P_500_649,C16_CF_1F1P_650_799,C16_CF_1F1P_800_999,C16_CF_1F1P_1000_1499,C16_CF_1F1P_1500_1999,C16_CF_1F1P_2000_2499,C16_CF_1F1P_2500_2999,C16_CF_1F1P_3000_3999,C16_CF_1F1P_4000mo,C16_CF_1F1P_Ns,C16_CF_1F1P_T,C16_CF_1E1A_N,C16_CF_1E1A_1_149,C16_CF_1E1A_150_299,C16_CF_1E1A_300_399,C16_CF_1E1A_400_499,C16_CF_1E1A_500_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_999,C16_CF_1E1A_1000_1499,C16_CF_1E1A_1500_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000_mr,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot
10102,146,149,126,89,90,80,12,750,0,0,0,0,0,0,5,4,18,19,18,18,31,26,9,150,0,3,0,0,4,6,22,45,110,117,100,46,83,57,7,591,0,4,7,8,15,19,25,31,72,51,45,18,22,16,10,334,0,0,0,0,0,3,5,7,8,11,13,3,3,4,8,65,0,0,0,0,0,0,0,0,4,5,6,3,8,10,8,49,45,18,21,14,121,44,301,156,319,140,92,47,21,17,46,1390,0,0,0,0,3,0,3,3,11,3,0,0,0,0,332,360,53,25,28,17,159,90,396,296,826,680,769,517,703,571,457,5577,0,0,0,0,0,3,7,4,40,125,261,313,658,844,191,2444,0,0,3,0,3,3,0,13,30,17,22,28,34,23,18,203,0,3,0,0,0,0,5,10,129,252,292,337,441,384,126,1989,0,0,0,0,0,0,0,5,21,33,54,106,111,84,26,445
10103,85,62,62,35,19,11,4,301,0,0,0,0,0,0,0,3,16,10,11,5,4,0,0,58,0,0,3,0,3,4,10,23,38,19,18,14,8,12,3,154,0,3,3,0,3,10,24,17,33,11,6,3,0,3,7,133,0,0,0,0,0,0,3,8,0,9,0,0,3,3,3,30,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,14,6,13,14,3,75,26,225,81,131,41,13,10,9,8,30,691,0,0,0,0,0,0,6,0,3,0,0,3,0,0,158,175,14,18,16,10,96,57,305,171,446,286,234,158,107,81,220,2220,0,0,0,0,3,0,0,4,50,70,128,68,103,59,79,560,3,0,0,0,0,0,6,8,23,12,14,3,5,3,11,86,0,0,0,0,0,0,3,10,76,145,110,67,66,37,41,562,0,0,0,0,0,0,0,3,15,14,16,11,17,10,13,99
10104,322,217,172,86,50,43,22,1016,0,0,0,0,3,11,6,14,48,23,22,20,12,8,8,172,4,4,4,0,13,20,41,90,195,126,77,34,28,19,13,664,0,12,19,9,46,76,135,169,233,86,52,18,15,9,26,905,0,0,0,0,4,6,17,17,34,18,17,3,10,6,4,148,3,0,0,0,0,0,7,3,9,7,11,3,5,5,5,77,81,67,62,38,454,165,1509,617,1270,273,182,82,57,42,228,5127,5,0,0,0,6,3,31,9,9,7,7,0,0,0,599,682,105,99,101,44,581,329,1833,1060,2510,1031,829,407,316,202,942,10377,3,0,0,0,3,4,7,10,97,147,226,163,176,92,104,1050,0,0,0,0,3,6,20,23,140,78,41,18,13,14,39,391,0,0,4,0,9,10,13,36,371,409,314,195,128,73,134,1694,0,0,0,0,0,0,0,10,40,50,40,30,18,6,18,216
10105,140,135,105,70,43,39,20,601,0,0,0,0,0,0,0,4,25,14,14,8,8,7,0,90,0,0,0,0,10,6,28,43,104,62,52,22,24,12,12,367,0,0,6,0,10,29,40,55,72,20,18,9,3,4,8,279,0,0,3,0,0,0,5,3,17,4,0,3,0,0,5,47,0,0,0,0,4,0,0,0,5,3,6,0,3,0,0,25,36,27,16,17,147,40,443,163,289,55,29,13,13,16,100,1394,0,0,0,0,5,3,12,0,7,0,4,0,0,0,211,243,48,36,21,22,196,90,555,335,784,449,421,247,207,134,377,3922,0,0,0,0,3,3,0,10,35,102,157,142,215,125,95,880,0,0,0,0,0,0,9,11,23,28,20,18,12,6,18,150,0,0,0,0,3,3,6,25,140,233,219,170,116,62,89,1074,0,0,0,0,0,3,3,6,28,29,42,28,24,21,21,188
10106,127,113,87,64,65,49,11,570,0,0,0,0,0,0,0,8,16,17,11,15,8,10,3,83,3,0,0,0,12,16,28,48,87,63,39,21,32,38,16,388,0,3,3,3,16,23,38,47,68,32,23,14,12,4,6,291,0,0,0,0,3,5,8,7,10,10,4,3,5,4,9,56,0,0,0,0,3,0,6,0,11,3,11,4,3,3,5,43,20,25,9,12,115,52,442,149,290,81,47,15,13,12,67,1339,0,3,0,0,11,0,11,0,5,3,0,0,0,0,211,251,37,35,22,17,168,105,566,323,773,455,402,265,293,286,342,4093,0,0,0,0,0,3,3,9,56,93,136,150,196,260,131,1038,0,0,3,0,0,0,3,9,46,35,14,20,17,12,8,160,0,0,0,3,8,0,8,19,170,223,203,170,156,152,123,1237,0,0,0,0,0,0,0,9,18,32,43,20,47,27,17,207
10201,405,450,400,275,208,183,31,2037,0,0,0,0,0,3,5,11,41,50,53,42,56,19,15,295,9,0,3,3,12,29,70,173,397,304,236,71,115,68,45,1547,3,19,23,5,62,82,150,237,367,139,75,58,23,38,24,1297,0,0,0,0,8,6,12,21,37,16,18,11,11,9,8,153,0,0,0,0,3,0,8,10,13,8,12,17,23,10,8,118,200,95,69,49,605,263,2126,969,1798,439,269,121,72,99,329,7490,5,0,0,0,8,0,36,11,28,6,10,0,0,3,949,1058,225,120,95,64,735,411,2495,1584,3504,1918,1868,1174,1113,828,1476,17609,8,3,0,0,0,0,6,15,118,313,590,636,983,827,383,3893,0,0,0,0,0,8,20,42,174,137,123,83,85,55,74,808,5,8,3,0,5,18,24,58,589,1050,1308,1118,996,828,474,6482,0,0,0,0,0,0,8,20,69,111,175,144,158,110,76,873
10202,427,482,363,216,104,63,32,1781,0,0,0,0,0,3,6,11,48,40,51,31,19,20,15,241,3,0,4,4,5,25,71,191,430,288,210,51,90,30,33,1435,4,18,28,24,34,96,160,183,268,116,48,17,19,14,31,1054,4,3,3,3,5,4,24,23,56,21,7,3,3,3,13,169,0,0,0,0,0,0,7,0,22,21,18,9,10,3,11,101,188,91,74,39,663,241,2648,843,1387,263,143,53,50,62,373,7119,6,6,0,0,14,3,45,19,28,0,3,0,0,0,800,936,210,124,110,69,747,396,3042,1386,3065,1775,1624,889,706,369,1370,15886,4,0,0,0,3,0,8,21,128,365,618,614,782,471,305,3322,0,5,3,0,0,3,13,37,169,143,107,55,54,20,60,665,0,0,3,0,4,5,21,71,688,1138,1221,888,657,356,376,5436,0,0,0,0,4,0,10,21,92,138,149,147,108,48,60,780
10301,150,157,124,72,57,40,5,668,0,0,0,0,0,3,0,0,13,17,20,9,10,3,6,85,3,0,0,0,3,10,29,44,122,95,52,31,26,14,17,430,0,3,6,4,18,23,53,43,96,36,29,3,6,9,6,335,0,0,0,0,7,3,8,3,15,4,0,0,4,5,0,54,0,0,0,0,0,0,0,6,6,6,6,5,8,0,3,51,38,19,21,10,150,46,454,165,314,78,48,18,16,8,77,1474,0,0,0,0,3,0,11,6,7,3,4,3,0,0,226,258,49,33,31,19,196,92,587,330,882,564,541,337,319,167,368,4509,4,0,0,0,0,0,5,8,71,122,203,236,310,184,122,1264,0,0,0,0,0,0,5,9,44,33,44,13,9,5,14,173,0,0,0,0,3,7,7,28,209,268,322,237,220,101,111,1509,0,0,0,0,0,0,0,4,27,44,46,40,52,24,14,247
10302,276,190,134,58,48,49,20,880,0,0,0,0,3,0,4,4,44,24,22,13,9,4,10,138,6,3,9,0,4,21,55,77,159,83,61,18,24,18,36,561,3,3,14,14,21,43,74,84,103,32,19,12,3,3,15,437,0,0,0,0,3,0,9,13,14,10,6,5,0,0,13,81,4,0,0,0,3,0,11,3,15,7,3,3,5,5,8,59,60,40,31,15,250,75,818,240,389,75,52,18,8,20,166,2264,0,0,0,0,11,0,11,3,3,3,3,3,0,0,342,378,91,61,59,29,328,160,1064,526,1292,680,580,288,253,190,648,6247,12,0,8,3,9,3,9,17,108,161,198,175,207,131,171,1201,0,0,0,0,3,0,10,12,48,40,14,7,3,3,24,170,3,3,4,0,3,10,16,33,327,356,328,205,154,95,143,1680,0,0,0,0,0,3,5,9,37,41,48,39,35,20,27,259
10303,149,142,115,79,49,54,16,672,0,0,0,0,3,0,0,4,14,10,19,8,8,15,7,87,3,3,0,0,5,11,38,57,141,76,67,24,29,17,17,487,0,5,10,5,21,39,57,56,81,20,14,4,3,0,9,333,0,0,3,0,0,0,6,5,11,8,7,0,0,3,3,55,0,0,0,0,0,0,3,5,8,7,0,0,8,3,5,45,40,42,11,13,222,70,650,230,347,69,46,14,8,16,141,1937,3,0,3,0,4,4,6,4,9,3,0,0,0,3,249,297,63,59,32,25,287,145,824,430,946,493,472,252,246,204,469,4947,0,0,0,0,3,0,4,9,52,84,102,104,202,148,103,812,0,0,0,0,5,0,7,14,34,36,20,14,12,5,22,181,3,0,3,0,6,5,16,24,183,245,255,237,169,183,124,1450,0,0,0,0,0,0,3,7,29,36,21,38,38,22,16,206
