SA4_CODE_2016,C06_SH_FH_CF_no_ch,C06_SH_FH_CF_w_ch,C06_SH_FH_One_PFam,C06_SH_FH_oth_fa,C06_SH_FH_Tot,C06_SH_LP_H,C06_SH_GH,C06_SH_OH,C06_SH_Tot,C06_SDRTHT1S_FH_CF_no_ch,C06_SDRTHT1S_FH_CF_w_ch,C06_SDRTHT1S_FH_One_PFam,C06_SDRTHT1S_FH_oth_fa,C06_SDRTHT1S_FH_Tot,C06_SDRTHT1S_LP_H,C06_SDRTHT1S_GH,C06_SDRTHT1S_OH,C06_SDRTHT1S_Tot,C06_SDRTHT2S_FH_CF_no_ch,C06_SDRTHT2S_FH_CF_w_ch,C06_SDRTHT2S_FH_One_PFam,C06_SDRTHT2S_FH_oth_fa,C06_SDRTHT2S_FH_Tot,C06_SDRTHT2S_LP_H,C06_SDRTHT2S_GH,C06_SDRTHT2S_OH,C06_SDRTHT2S_Tot,C06_SDRTHT_FH_CF_no_ch,C06_SDRTHT_FH_CF_w_ch,C06_SDRTHT_FH_One_PFam,C06_SDRTHT_FH_oth_fa,C06_SDRTHT_FH_Tot,C06_SDRTHT_LP_H,C06_SDRTHT_GH,C06_SDRTHT_OH,C06_SDRTHT_Tot,C06_F_u_a_1_2_FH_CF_no_ch,C06_F_u_a_1_2_FH_CF_w_ch,C06_F_u_a_1_2_FH_One_PFam,C06_F_u_a_1_2_FH_oth_fa,C06_F_u_a_1_2_FH_Tot,C06_F_u_a_1_2_LP_H,C06_F_u_a_1_2_GH,C06_F_u_a_1_2_OH,C06_F_u_a_1_2_Tot,C06_F_u_a_3_FH_CF_no_ch,C06_F_u_a_3_FH_CF_w_ch,C06_F_u_a_3_FH_One_PFam,C06_F_u_a_3_FH_oth_fa,C06_F_u_a_3_FH_Tot,C06_F_u_a_3_LP_H,C06_F_u_a_3_GH,C06_F_u_a_3_OH,C06_F_u_a_3_Tot,C06_F_u_a_4m_FH_CF_no_ch,C06_F_u_a_4m_FH_CF_w_ch,C06_F_u_a_4m_FH_One_PFam,C06_F_u_a_4m_FH_oth_fa,C06_F_u_a_4m_FH_Tot,C06_F_u_a_4m_LP_H,C06_F_u_a_4m_GH,C06_F_u_a_4m_OH,C06_F_u_a_4m_Tot,C06_F_u_a_a_h_FH_CF_no_ch,C06_F_u_a_a_h_FH_CF_w_ch,C06_F_u_a_a_h_FH_One_PFam,C06_F_u_a_a_h_FH_oth_fa,C06_F_u_a_a_h_FH_Tot,C06_F_u_a_a_h_LP_H,C06_F_u_a_a_h_GH,C06_F_u_a_a_h_OH,C06_F_u_a_a_h_Tot,C06_F_u_a_T_FH_CF_no_ch,C06_F_u_a_T_FH_CF_w_ch,C06_F_u_a_T_FH_One_PFam,C06_F_u_a_T_FH_oth_fa,C06_F_u_a_T_FH_Tot,C06_F_u_a_T_LP_H,C06_F_u_a_T_GH,C06_F_u_a_T_OH,C06_F_u_a_T_Tot,C06_OD_C_c_hb_FH_CF_no_ch,C06_OD_C_c_hb_FH_CF_w_ch,C06_OD_C_c_hb_FH_One_PFam,C06_OD_C_c_hb_FH_oth_fa,C06_OD_C_c_hb_FH_Tot,C06_OD_C_c_hb_LP_H,C06_OD_C_c_hb_GH,C06_OD_C_c_hb_OH,C06_OD_C_c_hb_Tot,C06_OD_Ih_t_s_FH_CF_no_ch,C06_OD_Ih_t_s_FH_CF_w_ch,C06_OD_Ih_t_s_FH_One_PFam,C06_OD_Ih_t_s_FH_oth_fa,C06_OD_Ih_t_s_FH_Tot,C06_OD_Ih_t_s_LP_H,C06_OD_Ih_t_s_GH,C06_OD_Ih_t_s_OH,C06_OD_Ih_t_s_Tot,C06_OD_H_f_so_FH_CF_no_ch,C06_OD_H_f_so_FH_CF_w_ch,C06_OD_H_f_so_FH_One_PFam,C06_OD_H_f_so_FH_oth_fa,C06_OD_H_f_so_FH_Tot,C06_OD_H_f_so_LP_H,C06_OD_H_f_so_GH,C06_OD_H_f_so_OH,C06_OD_H_f_so_Tot,C06_OD_T_FH_CF_no_ch,C06_OD_T_FH_CF_w_ch,C06_OD_T_FH_One_PFam,C06_OD_T_FH_oth_fa,C06_OD_T_FH_Tot,C06_OD_Tot_LP_H,C06_OD_Tot_GH,C06_OD_Tot_OH,C06_OD_T_T,C06_DS_ns_FH_CF_no_ch,C06_DS_ns_FH_CF_w_ch,C06_DS_ns_FH_One_PFam,C06_DS_ns_FH_oth_fa,C06_DS_ns_FH_Tot,C06_DS_ns_LP_H,C06_DS_ns_GH,C06_DS_ns_OH,C06_DS_NS_T,C06_T_FH_CF_no_ch,C06_T_FH_CF_w_ch,C06_T_FH_One_PFam,C06_T_FH_oth_fa,C06_T_FH_Tot,C06_Tot_LP_H,C06_Tot_GH,C06_Tot_OH,C06_T_T,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_Sd_r_t_1_FH_CF_no_ch,C11_Sd_r_t_1_FH_CF_w_ch,C11_Sd_r_t_1_FH_One_PFam,C11_Sd_r_t_1_FH_oth_fa,C11_Sd_r_t_1_FH_Tot,C11_Sd_r_t_1_LP_H,C11_Sd_r_t_1_GH,C11_Sd_r_t_1_OH,C11_Sd_r_t_1_Tot,C11_Sd_r_t_2m_FH_CF_no_ch,C11_Sd_r_t_2m_FH_CF_w_ch,C11_Sd_r_t_2m_FH_One_PFam,C11_Sd_r_t_2m_FH_oth_fa,C11_Sd_r_t_2m_FH_Tot,C11_Sd_r_t_2m_LP_H,C11_Sd_r_t_2m_GH,C11_Sd_r_t_2m_OH,C11_Sd_r_t_2m_Tot,C11_Sd_r_t_T_FH_CF_no_ch,C11_Sd_r_t_T_FH_CF_w_ch,C11_Sd_r_t_T_FH_One_PFam,C11_Sd_r_t_T_FH_oth_fa,C11_Sd_r_t_T_FH_Tot,C11_Sd_r_t_T_LP_H,C11_Sd_r_t_T_GH,C11_Sd_r_t_T_OH,C11_Sd_r_t_T_Tot,C11_F_u_a_1_2_FH_CF_no_ch,C11_F_u_a_1_2_FH_CF_w_ch,C11_F_u_a_1_2_FH_One_PFam,C11_F_u_a_1_2_FH_oth_fa,C11_F_u_a_1_2_FH_Tot,C11_F_u_a_1_2_LP_H,C11_F_u_a_1_2_GH,C11_F_u_a_1_2_OH,C11_F_u_a_1_2_Tot,C11_F_u_a_3_FH_CF_no_ch,C11_F_u_a_3_FH_CF_w_ch,C11_F_u_a_3_FH_One_PFam,C11_F_u_a_3_FH_oth_fa,C11_F_u_a_3_FH_Tot,C11_F_u_a_3_LP_H,C11_F_u_a_3_GH,C11_F_u_a_3_OH,C11_F_u_a_3_Tot,C11_F_u_a_4m_FH_CF_no_ch,C11_F_u_a_4m_FH_CF_w_ch,C11_F_u_a_4m_FH_One_PFam,C11_F_u_a_4m_FH_oth_fa,C11_F_u_a_4m_FH_Tot,C11_F_u_a_4m_LP_H,C11_F_u_a_4m_GH,C11_F_u_a_4m_OH,C11_F_u_a_4m_Tot,C11_F_u_a_a_h_FH_CF_no_ch,C11_F_u_a_a_h_FH_CF_w_ch
101,20184,20862,6636,485,48165,13330,1289,2709,65496,763,345,335,20,1470,1463,107,195,3238,283,151,155,18,607,523,63,220,1413,1045,497,494,44,2080,1986,167,412,4647,687,267,349,47,1351,2567,209,830,4951,107,54,47,3,209,418,32,276,935,88,34,39,5,160,258,32,57,513,34,25,12,0,70,93,9,28,197,917,377,445,54,1791,3337,282,1185,6600,248,90,47,3,386,492,28,693,1593,35,51,20,0,103,40,0,59,206,70,71,25,0,161,118,13,36,328,353,203,83,3,650,652,43,784,2135,14,9,5,0,24,33,3,119,178,22516,21951,7662,586,52713,19338,1789,5216,79056,21657,20915,7016,512,50101,14722,1413,3052,69288,872,422,396,34,1731,2060,144,230,4157,469,239,186,20,917,654,93,204,1864,1347,666,586,54,2643,2712,228,430,6017,666,295,361,41,1366,2452,180,565,4552,176,81,75,14,347,526,48,153,1073,87,42,24,9,170,231,26,85,508,19,12
102,24944,31623,12100,721,69380,18370,2309,3700,93756,1896,600,907,83,3481,3723,208,297,7707,1137,630,710,46,2523,1703,214,273,4718,3034,1232,1614,131,6005,5429,416,575,12425,1013,301,476,42,1832,3393,171,335,5729,215,53,104,19,390,466,75,142,1081,265,57,64,7,402,356,64,173,995,17,24,27,0,72,130,11,18,227,1507,438,677,78,2695,4341,321,670,8024,281,58,81,0,417,949,43,145,1556,0,0,0,0,3,23,0,6,35,23,23,18,0,68,66,9,17,164,301,82,93,3,488,1038,61,173,1756,17,12,8,0,31,23,0,21,76,29800,33383,14489,930,78601,29195,3109,5137,116037,25451,32269,13034,854,71618,19337,2346,2985,96290,2160,841,1071,77,4141,4412,229,279,9056,1160,890,874,56,2980,1857,237,293,5363,3318,1733,1942,134,7127,6267,458,564,14415,1077,301,496,53,1932,3417,175,307,5836,307,106,176,21,604,673,73,177,1533,430,143,177,8,760,587,119,145,1614,38,12
103,18823,20791,6962,582,47154,14421,1454,2052,65086,385,191,252,28,853,1180,128,115,2279,47,39,51,4,135,117,46,30,326,426,228,308,29,987,1298,178,149,2609,407,132,256,43,842,2271,226,230,3569,17,8,19,3,48,83,6,11,146,12,3,3,0,26,40,8,15,89,8,7,5,0,17,42,4,4,73,445,159,278,50,927,2437,238,265,3874,75,32,36,0,142,317,9,286,762,16,15,3,0,31,22,0,12,72,87,67,31,6,192,130,22,29,372,175,112,70,10,370,469,36,328,1200,13,20,12,3,48,17,0,3,77,19883,21308,7630,671,49493,18644,1904,2803,72843,19787,20550,7459,636,48433,15739,1628,2645,68438,522,244,374,39,1172,1744,153,225,3300,65,40,52,4,159,139,35,35,370,588,285,420,45,1336,1887,188,262,3664,342,98,202,32,672,2105,129,368,3272,11,3,8,0,19,99,11,23,157,10,0,0,0,10,24,0,6,36,11,8
104,12532,11988,5068,280,29875,7732,1059,1048,39713,533,236,348,18,1130,1102,83,108,2428,334,166,205,19,725,497,104,98,1419,862,396,551,40,1853,1595,194,208,3852,541,195,435,26,1199,1827,174,273,3473,69,13,47,3,132,169,38,74,410,99,19,21,8,139,166,19,60,388,21,20,5,0,41,74,4,5,124,725,247,513,34,1519,2230,236,415,4398,306,70,89,14,478,771,30,971,2255,14,7,3,0,25,79,0,30,130,46,55,12,3,114,51,10,8,179,370,129,101,12,615,899,38,1006,2563,3,0,3,0,5,4,0,6,14,14495,12763,6239,366,33867,12460,1531,2678,50541,13574,12067,5386,334,31361,8660,1141,1279,42440,505,166,289,13,981,1202,87,80,2354,370,186,226,14,795,606,101,91,1593,880,355,514,28,1773,1805,188,175,3946,477,186,400,30,1091,1902,166,293,3458,75,28,33,9,145,163,29,53,392,71,18,17,0,112,121,17,44,287,17,8
105,10717,11511,4920,450,27600,9153,882,1820,39454,264,196,139,14,608,529,30,62,1236,14,8,0,0,20,46,6,31,99,277,199,136,14,630,578,39,94,1333,232,77,177,36,523,1412,96,308,2332,4,0,0,0,3,7,0,0,10,0,0,0,0,0,26,0,0,30,13,12,6,0,34,28,0,6,64,248,87,192,33,564,1463,96,320,2442,126,46,39,3,220,368,19,641,1242,18,14,6,3,40,95,3,70,215,44,49,16,0,114,73,10,20,212,188,114,65,9,371,532,39,732,1671,6,5,3,0,21,10,0,4,36,11443,11915,5310,508,29181,11737,1056,2964,44940,10854,10903,5090,457,27305,9823,927,1908,39956,179,77,157,9,423,609,44,94,1161,8,8,17,0,36,19,0,5,58,185,83,167,11,452,626,39,97,1223,281,104,171,32,592,1562,96,217,2466,7,0,0,0,4,8,0,6,20,23,15,15,0,50,29,0,3,86,0,3
106,21146,26433,8851,603,57026,13546,1485,2429,74483,763,404,363,17,1549,1328,99,167,3137,308,157,174,3,643,318,52,92,1108,1071,566,532,17,2191,1644,151,263,4248,518,215,426,33,1188,2142,146,258,3738,35,13,11,0,66,63,12,50,188,51,11,10,0,75,30,9,55,162,15,10,6,0,27,32,0,10,75,621,252,455,33,1355,2270,168,369,4156,204,66,57,0,335,499,10,336,1178,9,22,3,0,39,20,0,14,73,30,49,17,0,96,67,6,17,187,246,135,82,0,469,586,14,363,1433,15,13,11,0,44,16,4,6,65,23097,27404,9929,654,61086,18059,1821,3428,84390,22922,27326,9460,626,60333,15201,1715,2753,80001,958,465,566,42,2032,2019,188,252,4489,455,289,275,14,1036,548,72,139,1790,1413,756,843,55,3063,2568,258,389,6279,596,258,329,26,1206,2028,142,305,3681,40,9,25,0,75,81,7,65,233,53,6,19,0,80,69,7,55,213,20,4
107,19626,29956,8757,647,58983,11764,1436,2118,74299,1175,599,672,43,2493,2064,169,179,4907,1111,781,895,46,2833,1620,294,249,4987,2294,1382,1564,84,5317,3684,460,427,9892,1296,597,866,93,2852,4245,480,467,8041,463,175,229,44,916,1407,329,340,2984,718,271,166,55,1211,1114,300,352,2972,30,37,23,0,88,95,11,24,218,2505,1074,1293,189,5060,6856,1116,1182,14218,306,50,54,12,417,559,23,127,1126,0,3,0,0,8,25,0,8,34,38,38,36,4,109,87,18,34,248,341,94,90,11,534,670,41,164,1413,17,21,3,0,42,9,0,11,62,24776,32532,11706,931,69945,22982,3056,3905,99887,20697,30272,9395,721,61088,12875,1617,1721,77302,1316,651,838,67,2869,2536,181,172,5762,1302,1044,1064,80,3490,1979,355,216,6039,2616,1699,1899,145,6359,4516,537,392,11801,1165,535,744,99,2547,3896,533,412,7394,635,243,281,53,1214,1550,377,267,3404,953,282,170,41,1442,1264,388,380,3476,36,19
108,21489,17573,7530,472,47070,12628,1327,1893,62913,1681,342,513,34,2568,2482,161,129,5339,302,116,125,10,555,426,36,60,1080,1981,457,642,49,3122,2910,199,189,6419,757,189,495,31,1467,2903,166,430,4968,170,30,84,8,295,388,46,146,874,216,32,72,7,321,382,48,297,1050,25,10,15,0,50,83,4,15,157,1167,258,663,44,2135,3762,264,889,7046,543,74,105,11,735,1055,46,978,2806,21,30,14,3,70,61,4,18,155,84,73,23,0,180,97,4,30,312,653,175,143,9,977,1220,52,1026,3272,9,6,0,0,13,10,0,5,33,25304,18466,8970,584,53321,20529,1844,4000,79687,22858,17078,8006,532,48473,14570,1576,2138,66754,1551,403,630,38,2616,2742,143,193,5693,409,163,187,17,768,653,65,82,1569,1954,562,815,49,3382,3400,203,273,7259,671,167,502,33,1378,2765,172,390,4707,173,48,118,6,349,479,56,141,1023,360,65,107,9,537,510,58,287,1392,18,13
109,10949,11624,3710,338,26621,7454,940,1118,36129,338,102,147,19,610,814,85,95,1606,37,14,14,0,70,87,18,29,206,377,117,167,21,684,899,101,123,1811,642,158,309,42,1158,2340,309,316,4114,26,13,14,4,52,117,16,12,195,22,5,13,8,41,123,28,23,215,5,4,5,0,12,17,0,3,33,689,174,336,57,1258,2592,354,351,4555,152,42,22,3,219,263,19,339,838,5,3,3,0,18,32,0,11,65,43,32,14,0,95,61,6,8,166,206,78,42,3,327,355,21,355,1065,6,8,0,0,8,3,0,3,19,12227,12003,4252,423,28904,11308,1422,1950,43574,11712,10963,3869,292,26839,8515,992,1384,37728,308,80,113,18,515,905,78,86,1576,30,22,15,3,78,47,18,14,149,338,102,129,22,587,953,95,97,1732,664,245,332,33,1278,2619,218,327,4437,12,3,5,0,23,69,9,11,117,3,0,3,0,4,17,4,3,31,4,0
110,17190,18309,6747,594,42839,12757,1446,1943,58991,188,94,108,23,407,613,85,59,1158,53,18,28,3,103,101,10,16,234,243,110,137,20,515,710,92,73,1396,526,194,359,66,1144,2930,280,280,4635,8,0,6,3,18,73,5,12,110,9,9,3,0,21,39,0,14,72,12,6,4,0,21,35,0,3,68,553,212,376,68,1204,3083,288,308,4883,100,53,33,3,190,271,11,473,945,29,30,8,0,63,63,0,39,164,70,61,12,0,148,82,16,20,263,207,139,57,3,404,416,26,530,1373,22,18,0,0,39,15,0,0,54,18206,18789,7314,692,45002,16984,1850,2866,66698,18138,17505,7133,603,43368,13792,1494,2221,60882,320,139,164,23,653,987,63,134,1838,59,43,23,0,132,175,18,33,358,380,182,188,23,779,1164,83,173,2199,546,239,376,56,1222,2731,243,425,4620,6,9,8,3,25,53,6,17,93,0,3,8,0,11,9,3,10,32,9,3
