SA4_CODE_2016,C16_CF_1F1NW_N,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_299,C16_CF_1F1NW_300_399,C16_CF_1F1NW_400_499,C16_CF_1F1NW_500_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_999,C16_CF_1F1NW_1000_1499,C16_CF_1F1NW_1500_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000mo,C16_CF_1F1NW_Ns,C16_CF_1F1NW_T,C16_CF_1P1NW_N,C16_CF_1P1NW_1_149,C16_CF_1P1NW_150_299,C16_CF_1P1NW_300_399,C16_CF_1P1NW_400_499,C16_CF_1P1NW_500_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_999,C16_CF_1P1NW_1000_1499,C16_CF_1P1NW_1500_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000_mr,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_N,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_299,C16_CF_1A1NW_300_399,C16_CF_1A1NW_400_499,C16_CF_1A1NW_500_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_999,C16_CF_1A1NW_1000_1499,C16_CF_1A1NW_1500_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000m,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_N,C16_CF_BA_1_149,C16_CF_BA_150_299,C16_CF_BA_300_399,C16_CF_BA_400_499,C16_CF_BA_500_649,C16_CF_BA_650_799,C16_CF_BA_800_999,C16_CF_BA_1000_1499,C16_CF_BA_1500_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000_more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_N,C16_CF_BNW_1_149,C16_CF_BNW_150_299,C16_CF_BNW_300_399,C16_CF_BNW_400_499,C16_CF_BNW_500_649,C16_CF_BNW_650_799,C16_CF_BNW_800_999,C16_CF_BNW_1000_1499,C16_CF_BNW_1500_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000_more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_N,C16_CF_LFns_1_149,C16_CF_LFns_150_299,C16_CF_LFns_300_399,C16_CF_LFns_400_499,C16_CF_LFns_500_649,C16_CF_LFns_650_799,C16_CF_LFns_800_999,C16_CF_LFns_1000_1499,C16_CF_LFns_1500_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000_more,C16_CF_LFns_Ns,C16_CF_LFns_T,C16_C_f_c_T_Fi_N,C16_C_f_c_T_Fi_1_149,C16_C_f_c_T_Fi_150_299,C16_C_f_c_T_Fi_300_399,C16_C_f_c_T_Fi_400_499,C16_C_f_c_T_Fi_500_649,C16_CF_c_T_Fi_650_799,C16_CF_c_T_Fi_800_999,C16_CF_c_T_Fi_1000_1499,C16_CF_c_T_Fi_1500_1999,C16_CF_c_T_Fi_2000_2499,C16_CF_c_T_Fi_2500_2999,C16_CF_c_T_Fi_3000_3999,C16_CF_c_T_Fi_4000_more,C16_C_f_with_c_TFI_Ns,C16_C_f_with_c_T_T,C16_1PF_F_N,C16_1PF_F_1_149,C16_1PF_F_150_299,C16_1PF_F_300_399,C16_1PF_F_400_499,C16_1PF_F_500_649,C16_1PF_F_650_799,C16_1PF_F_800_999,C16_1PF_F_1000_1499,C16_1PF_F_1500_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000_more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_N,C16_1PF_P_1_149,C16_1PF_P_150_299,C16_1PF_P_300_399,C16_1PF_P_400_499,C16_1PF_P_500_649,C16_1PF_P_650_799,C16_1PF_P_800_999,C16_1PF_P_1000_1499,C16_1PF_P_1500_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000_more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_N,C16_1PF_A_1_149,C16_1PF_A_150_299,C16_1PF_A_300_399,C16_1PF_A_400_499,C16_1PF_A_500_649,C16_1PF_A_650_799,C16_1PF_A_800_999,C16_1PF_A_1000_1499,C16_1PF_A_1500_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000_more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_N,C16_1PF_U_1_149,C16_1PF_U_150_299,C16_1PF_U_300_399,C16_1PF_U_400_499,C16_1PF_U_500_649,C16_1PF_U_650_799,C16_1PF_U_800_999,C16_1PF_U_1000_1499,C16_1PF_U_1500_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000_more,C16_1PF_U_Ns,C16_1PF_U_To,C16_1PF_N_lf_Fi_N,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_299,C16_1PF_N_lf_Fi_300_399,C16_1PF_N_lf_Fi_400_499,C16_1PF_N_lf_Fi_500_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_999,C16_1PF_N_lf_Fi_1000_1499,C16_1PF_N_lf_Fi_1500_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000_more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_N,C16_1PF_LFns_1_149,C16_1PF_LFns_150_299,C16_1PF_LFns_300_399,C16_1PF_LFns_400_499,C16_1PF_LFns_500_649,C16_1PF_lf_ns_Fi_650_799,C16_1PF_lf_ns_Fi_800_999
101,3,5,3,10,10,37,71,206,768,631,506,200,267,230,226,3173,0,4,9,11,29,54,93,134,257,136,78,48,44,28,107,1035,4,3,0,0,4,8,11,20,54,47,36,19,17,11,33,262,0,0,0,0,3,3,0,10,22,33,41,37,29,33,49,260,45,16,25,17,80,83,147,170,389,196,116,59,48,36,202,1620,0,0,0,0,0,0,7,3,20,11,6,4,4,3,1326,1388,67,32,51,38,159,233,424,783,3054,3165,3134,2418,2951,2633,3251,22418,6,5,3,14,16,81,138,220,590,475,358,126,108,49,306,2499,9,14,41,100,155,320,302,258,379,137,62,19,24,22,197,2025,0,4,3,11,14,24,26,19,43,31,19,7,11,3,51,267,20,3,39,53,78,65,48,25,33,12,7,0,0,0,44,424,72,39,144,192,300,395,423,397,522,179,82,44,29,20,405,3253,4,0,3,0,5,4,12,0
102,5,7,9,8,19,46,119,338,1461,1607,1147,460,546,366,439,6574,3,10,23,15,28,74,117,206,503,285,172,75,85,47,193,1828,4,0,3,3,3,7,17,23,113,90,65,24,40,17,75,477,3,5,0,0,0,0,0,6,32,39,52,39,49,29,80,337,57,22,35,25,114,105,212,276,735,460,242,135,96,51,371,2930,0,0,0,0,4,6,3,6,21,15,11,6,9,0,1822,1908,83,55,74,51,181,280,576,1142,4897,5895,5978,4430,4644,3229,4794,36311,7,3,14,15,19,98,225,400,1139,948,602,231,199,54,567,4518,6,26,70,121,222,557,521,584,844,370,164,53,45,23,386,3990,3,4,9,11,23,47,44,43,84,52,28,8,11,3,69,441,34,11,70,90,115,185,112,86,84,39,8,9,3,6,105,954,183,70,216,320,583,891,890,864,1205,459,220,81,48,41,717,6788,3,0,0,0,3,3,7,8
103,4,0,9,7,17,39,85,203,854,720,583,199,222,146,256,3326,0,0,12,5,27,46,85,131,230,108,65,30,20,12,87,872,0,0,3,3,5,7,11,22,63,42,30,9,12,17,37,266,4,3,0,0,0,0,6,15,26,35,32,30,25,18,39,230,40,11,32,18,95,98,199,203,403,172,74,37,28,16,218,1642,0,0,0,0,0,0,0,4,16,15,15,4,3,0,1137,1200,73,34,71,44,178,245,487,798,3141,3183,3186,2346,2470,1713,3014,20978,3,6,3,21,22,75,163,249,589,402,278,81,72,27,278,2266,3,12,56,86,144,345,283,242,324,107,55,7,8,4,162,1844,0,0,4,11,11,26,25,20,41,19,20,0,3,0,38,226,18,16,62,68,73,131,69,37,34,10,3,0,3,0,59,583,74,43,186,228,379,537,595,451,557,180,78,26,25,9,449,3825,0,3,0,3,3,4,7,10
104,3,6,0,3,3,25,76,154,624,417,274,104,133,49,145,2021,4,4,12,6,37,39,83,109,236,145,42,23,20,7,89,861,0,0,3,3,6,3,11,11,49,25,18,6,9,0,32,165,0,0,0,0,0,0,0,0,17,20,16,11,14,5,21,101,34,13,29,6,66,70,146,184,354,165,68,28,27,20,176,1394,3,0,0,0,0,3,0,9,14,4,3,6,5,0,715,760,59,35,49,16,133,176,410,651,2432,2221,1820,1157,1108,585,1810,12652,0,3,10,5,21,63,120,183,424,264,133,39,28,9,184,1483,3,10,23,73,124,258,291,264,307,98,41,9,4,3,165,1675,0,0,3,5,8,21,20,10,32,19,8,3,3,0,23,157,14,6,35,47,56,109,48,36,33,5,0,0,0,0,53,439,63,32,108,163,247,444,448,405,478,137,57,15,14,17,331,2963,0,0,0,0,8,3,3,3
105,4,6,7,0,10,22,51,113,398,370,219,88,86,32,136,1547,0,0,9,3,7,29,39,73,110,43,25,8,16,13,44,421,0,0,0,0,3,3,7,13,29,35,14,8,3,9,21,136,0,0,0,0,0,0,3,0,20,9,17,7,13,10,24,114,15,12,13,11,73,52,124,119,231,84,27,15,7,6,145,934,0,0,0,0,3,0,0,0,7,7,0,3,0,3,733,770,35,24,35,17,112,141,286,459,1592,1585,1417,1116,1092,657,1885,10463,8,3,4,7,17,37,104,152,354,240,161,41,55,10,192,1380,0,3,26,47,89,195,162,172,213,49,26,12,4,3,106,1103,0,0,0,3,15,25,22,21,36,14,9,3,0,3,30,164,9,13,37,53,66,66,50,35,31,11,0,0,0,0,48,431,52,31,119,174,289,378,341,293,360,91,60,14,12,17,348,2581,0,0,3,0,4,3,7,3
106,3,4,0,3,15,28,78,269,1281,1300,1094,367,445,305,348,5551,7,0,12,14,32,71,103,168,347,235,133,59,41,37,146,1404,3,0,5,4,5,10,14,37,74,69,66,31,33,12,48,413,0,0,0,0,0,0,4,8,35,28,37,37,44,50,56,296,37,12,33,19,98,108,273,290,686,297,172,94,74,35,274,2505,3,0,0,0,3,3,0,4,21,9,22,7,8,0,1688,1761,76,25,75,49,165,270,569,973,4031,4624,4735,3599,3532,2725,4019,29469,3,0,7,10,23,76,181,319,804,622,384,131,111,49,328,3055,9,21,64,109,188,424,482,372,536,191,79,25,16,11,272,2790,0,3,7,3,29,33,47,40,52,37,25,7,8,0,47,345,39,19,64,91,140,171,118,52,62,24,3,0,6,0,72,869,127,50,194,336,485,755,737,621,830,295,94,47,35,19,528,5162,3,0,3,3,0,6,6,6
107,3,3,13,7,18,42,106,258,1166,1325,1132,471,617,414,413,5982,9,11,11,9,49,80,152,192,414,250,178,108,111,60,155,1778,6,3,0,0,4,12,17,30,84,48,55,33,39,29,62,420,4,0,0,0,0,3,3,0,27,31,28,47,53,38,50,289,74,23,44,26,171,151,269,346,831,496,291,144,124,72,394,3455,3,0,0,0,3,0,3,3,21,6,11,5,0,6,1676,1741,106,44,79,49,261,326,643,1031,4113,5058,5463,4415,4921,3962,4275,34748,5,7,11,5,26,69,180,297,869,775,521,208,158,85,422,3650,3,16,51,75,160,421,459,460,609,272,153,51,33,15,269,3063,3,3,8,11,15,21,36,33,56,39,26,12,9,0,54,335,29,20,65,72,91,156,60,50,75,28,4,3,4,3,79,724,137,64,214,280,521,680,759,661,987,388,194,94,50,37,616,5690,0,0,0,0,7,8,11,3
108,7,3,3,5,9,37,90,238,788,598,376,130,129,77,201,2681,3,3,12,3,43,68,121,207,402,185,79,29,19,14,112,1305,0,0,0,0,0,8,13,42,78,49,25,7,8,6,44,279,0,0,0,0,0,0,0,8,38,21,27,24,16,9,29,184,35,19,32,16,113,85,276,281,691,254,124,48,26,22,293,2299,3,0,0,0,0,3,6,10,26,11,7,3,7,8,979,1049,61,36,54,25,204,242,606,1041,3650,3125,2592,1671,1376,819,2581,18091,7,0,3,16,11,64,140,279,538,393,164,54,43,22,280,2019,9,20,54,95,153,409,399,362,438,162,46,13,12,4,254,2422,5,0,5,9,15,34,27,23,42,22,13,4,3,0,53,255,22,14,54,67,101,142,65,59,49,6,3,0,0,4,71,659,73,44,189,279,452,728,725,684,750,220,92,33,33,18,557,4883,0,0,5,4,9,9,4,9
109,0,5,13,0,12,26,49,146,477,355,211,94,89,62,119,1655,0,0,4,0,18,40,41,69,130,75,43,9,10,6,60,514,0,0,0,0,0,5,10,17,24,24,11,3,4,5,24,121,0,0,0,0,0,0,0,0,22,13,20,12,20,11,17,120,21,4,5,3,36,57,92,105,192,83,40,25,12,7,86,770,0,0,0,0,0,0,0,0,13,3,9,3,3,0,659,702,43,22,32,10,90,161,265,488,1924,1868,1794,1189,1139,674,1659,11353,3,4,0,9,12,28,91,145,294,205,120,40,32,20,149,1148,0,12,26,66,94,184,163,152,202,67,22,14,13,3,107,1116,5,0,4,3,10,18,18,12,28,15,8,0,3,0,22,153,8,6,33,26,60,52,27,22,26,8,0,0,3,0,27,288,34,24,88,110,209,254,242,226,249,93,27,14,12,6,201,1783,0,0,0,0,3,3,0,0
110,7,5,9,0,13,40,93,242,795,563,359,117,152,81,198,2668,0,6,10,4,28,41,64,110,210,102,53,14,10,3,72,737,0,0,3,3,3,6,7,26,52,28,18,10,12,0,28,199,3,3,3,0,0,3,3,6,20,31,26,18,20,9,54,196,35,20,19,18,116,89,190,170,361,141,66,33,20,21,186,1489,6,0,0,3,0,0,3,3,12,11,8,0,0,7,1042,1106,78,61,51,33,197,228,453,796,2981,2852,2552,1666,1647,1048,2716,17361,8,5,10,8,20,68,151,241,531,360,168,68,38,19,275,1978,3,9,52,75,133,287,270,244,303,107,43,12,10,5,145,1697,3,4,3,11,15,31,30,23,45,13,7,0,3,4,32,227,14,19,68,59,94,128,62,27,27,9,0,0,0,0,67,586,79,43,176,282,352,514,530,445,515,195,57,24,18,20,419,3668,0,0,0,0,3,0,3,4
