SA4_CODE_2016,C16_450_549_1PF_CU15_DS,C16_450_549_1PF_CU15_NDS,C16_450_549_1PFnoCU15_DS,C16_450_549_1PF_NDCO,C16_450_549_T,C16_550_649_1PF_CU15_DS,C16_550_649_1PF_CU15_NDS,C16_550_649_1PFnoCU15_DS,C16_550_649_1PF_NDCO,C16_550_649_T,C16_650_749_1PF_CU15_DS,C16_650_749_1PF_CU15_NDS,C16_650_749_1PFnoCU15_DS,C16_650_749_1PF_NDCO,C16_650_749_T,C16_750_849_1PF_CU15_DS,C16_750_849_1PF_CU15_NDS,C16_750_849_1PFnoCU15_DS,C16_750_849_1PF_NDCO,C16_750_849_T,C16_850_949_1PF_CU15_DS,C16_850_949_1PF_CU15_NDS,C16_850_949_1PFnoCU15_DS,C16_850_949_1PF_NDCO,C16_850_949_T,C16_950_and_over_1PF_CU15_DS,C16_950_and_over_1PF_CU15_NDS,C16_950_and_over_1PFnoCU15_DS,C16_950_and_over_1PF_NDCO,C16_950_and_over_T,C16_Rns_1PF_CU15_DS,C16_Rns_1PF_CU15_NDS,C16_Rns_1PFnoCU15_DS,C16_Rns_1PF_NDCO,C16_Rns_T,C16_Tot_1PF_CU15_DS,C16_Tot_1PF_CU15_NDS,C16_Tot_1PFnoCU15_DS,C16_Tot_1_pa_f_NDCO,C16_Tot_T
101,21,81,16,31,150,4,31,3,3,42,3,8,0,0,14,0,0,3,0,6,0,0,0,0,0,0,11,0,3,10,14,55,11,40,117,365,2267,412,831,3878
102,133,563,157,246,1095,43,127,37,46,256,12,33,4,11,61,3,11,0,10,23,0,7,0,0,7,0,3,0,0,4,8,82,16,56,157,765,4315,981,2032,8097
103,6,29,6,3,40,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,76,8,50,142,447,2715,424,876,4460
104,28,95,12,32,178,9,17,7,3,30,0,9,0,0,10,3,4,0,0,5,0,0,0,0,0,0,0,0,0,3,6,44,8,27,81,375,1969,356,763,3466
105,4,9,0,3,17,0,3,0,3,5,0,0,0,0,5,0,3,0,0,3,0,0,0,0,0,0,4,0,0,3,11,75,7,25,118,270,1914,217,623,3025
106,36,116,18,24,192,8,26,0,3,36,3,5,0,0,9,0,6,0,3,10,0,3,0,0,3,0,0,0,5,5,13,91,9,53,170,558,3952,593,1316,6414
107,101,392,108,148,745,26,94,28,36,181,7,24,12,12,52,6,4,0,7,21,0,0,4,3,9,0,4,0,5,10,7,85,17,62,168,607,3206,836,1678,6328
108,20,99,21,30,171,6,12,7,4,26,0,10,0,0,12,0,4,0,3,3,0,0,0,0,0,0,7,0,4,14,13,63,15,35,128,550,3034,539,1144,5264
109,8,7,3,5,24,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,38,7,17,71,228,1401,234,466,2322
110,16,37,11,14,71,0,9,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,9,68,4,32,122,411,2796,353,871,4439
