SA4_CODE_2016,C06_OO_DS_Sep_house,C06_OO_DS_SemiDRTHT,C06_OO_DS_FUA,C06_OO_DS_OD,C06_OO_DS_NS_,C06_Owned_Outright_Tot,C06_OWM_DS_Sep_house,C06_OWM_DS_SemiDRTHT,C06_OWM_DS_FUA,C06_OWM_DS_OD,C06_OWM_DS_NS_,C06_Owned_with_mortgage_Tot,C06_R_REA_DS_Sep_house,C06_R_REA_DS_SemiDRTHT,C06_R_REA_DS_FUA,C06_R_REA_DS_OD,C06_R_REA_DS_NS_,C06_R_Real_Estate_Agent_Tot,C06_R_STHA_DS_Sep_house,C06_R_STHA_DS_SemiDRTHT,C06_R_STHA_DS_FUA,C06_R_STHA_DS_OD,C06_R_STHA_DS_NS_,C06_R_ST_House_Auth_Tot,C06_R_PNISH_DS_Sep_house,C06_R_PNISH_DS_SemiDRTHT,C06_R_PNISH_DS_FUA,C06_R_PNISH_DS_OD,C06_R_PNISH_DS_NS_,C06_R_Psn_NI_SameHsehld_Tot,C06_R_HCCCG_DS_Sep_house,C06_R_HCCCG_DS_SemiDRTHT,C06_R_HCCCG_DS_FUA,C06_R_HCCCG_DS_OD,C06_R_HCCCG_DS_NS_,C06_R_HCCCG_Tot,C06_R_OLT_DS_Sep_house,C06_R_OLT_DS_SemiDRTHT,C06_R_OLT_DS_FUA,C06_R_OLT_DS_OD,C06_R_OLT_DS_NS_,C06_R_Oth_Llord_Type_Tot,C06_R_LT_NS_DS_Sep_house,C06_R_LT_NS_DS_SemiDRTHT,C06_R_LT_NS_DS_FUA,C06_R_LT_NS_DS_OD,C06_R_LT_NS_DS_NS_,C06_R_Llord_Type_NS_T,C06_R_Tot_DS_Sep_house,C06_R_Tot_DS_SemiDRTHT,C06_R_Tot_DS_FUA,C06_R_Tot_DS_OD,C06_R_Tot_DS_NS_,C06_R_T_T,C06_OTT_DS_Sep_house,C06_OTT_DS_SemiDRTHT,C06_OTT_DS_FUA,C06_OTT_DS_OD,C06_OTT_DS_NS_,C06_OTT_Tot,C06_TT_NS_DS_Sep_house,C06_TT_NS_DS_SemiDRTHT,C06_TT_NS_DS_FUA,C06_TT_NS_DS_OD,C06_TT_NS_DS_NS_,C06_TT_NS_T,C06_Tot_DS_Sep_house,C06_Tot_DS_SemiDRTHT,C06_Tot_DS_FUA,C06_Tot_DS_OD,C06_Tot_DS_NS_,C06_T_T,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_FUA,C11_OO_DS_OD,C11_OO_DS_NS_,C11_OO_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_FUA,C11_OWM_DS_OD,C11_OWM_DS_NS_,C11_OWM_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_FUA,C11_R_REA_DS_OD,C11_R_REA_DS_NS_,C11_R_REA_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_FUA,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS_,C11_R_STHA_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemiDRTHT,C11_R_PNISH_DS_FUA,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS_,C11_R_PNISH_Tot,C11_R_HCCCG_DS_Sep_house,C11_R_HCCCG_DS_SemiDRTHT,C11_R_HCCCG_DS_FUA,C11_R_HCCCG_DS_OD,C11_R_HCCCG_DS_NS_,C11_R_HCCCG_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemiDRTHT,C11_R_OLT_DS_FUA,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS_,C11_R_OLT_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemiDRTHT,C11_R_LT_NS_DS_FUA,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS_,C11_R_LT_NS_T,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemiDRTHT,C11_R_Tot_DS_FUA,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS_,C11_R_T_T,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_FUA,C11_OTT_DS_OD,C11_OTT_DS_NS_,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_FUA,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS_,C11_TT_NS_T,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_FUA,C11_Tot_DS_OD,C11_Tot_DS_NS_,C11_T_T,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_FUA,C16_OO_DS_OD,C16_OO_DS_NS_,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_FUA,C16_OWM_DS_OD,C16_OWM_DS_NS_,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_FUA,C16_R_REA_DS_OD,C16_R_REA_DS_NS_,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_FUA,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS_,C16_R_STHA_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemiDRTHT,C16_R_PNISH_DS_FUA,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS_,C16_R_PNISH_Tot,C16_R_HCCCG_DS_Sep_house,C16_R_HCCCG_DS_SemiDRTHT,C16_R_HCCCG_DS_FUA,C16_R_HCCCG_DS_OD,C16_R_HCCCG_DS_NS_,C16_R_HCCCG_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemiDRTHT,C16_R_OLT_DS_FUA,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS_,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemiDRTHT,C16_R_LT_NS_DS_FUA,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS_,C16_R_LT_NS_T,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_FUA,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS_,C16_R_T_T,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT
101,27301,1184,910,910,18,30326,21430,795,684,235,10,23159,4990,1220,2486,49,5,8743,1894,239,330,4,4,2478,3831,372,699,141,10,5045,271,146,94,3,11,523,1129,65,89,260,4,1542,729,49,77,48,5,908,12840,2088,3777,502,33,19235,463,130,56,45,0,695,3454,455,1167,443,113,5635,65496,4647,6600,2135,178,79056,28168,1387,899,753,56,31272,23600,1178,845,165,25,25817,5511,1682,2545,62,22,9825,1731,304,342,6,0,2379,4222,565,646,140,17,5587,276,154,93,0,4,531,1145,91,116,307,11,1669,589,59,57,31,3,740,13485,2851,3799,548,56,20739,476,152,83,33,10,754,3548,453,672,466,469,5610,69288,6017,6292,1967,618,84186,28982,1816,744,714,233,32491,24646,1264,632,154,177,26875,6038,2340,2554,80,56,11076,1528,405,271,4,7,2215,4237,633,543,93,90,5592,222,197,116,3,3,539,955,115,114,222,97,1500,556,61,32,16,24,692,13536,3749,3627,430,276,21614,507,227
102,34108,3973,1868,856,36,40841,34633,1483,604,77,12,36807,11650,3096,2459,199,3,17404,1674,1114,846,0,0,3633,4314,628,466,110,0,5516,223,186,192,3,0,605,532,68,66,283,3,955,509,106,83,26,0,731,18896,5206,4109,631,3,28839,549,696,397,17,0,1661,5574,1070,1045,176,25,7889,93756,12425,8024,1756,76,116037,33778,4468,1961,712,24,40933,37222,2194,876,68,33,40394,12592,3498,3104,116,55,19361,1486,1267,1010,4,0,3763,4966,761,548,92,21,6390,204,211,247,0,0,667,585,103,70,361,5,1134,437,111,82,20,3,652,20263,5950,5068,598,88,31965,479,702,332,17,0,1538,4544,1106,991,278,24,6932,96290,14415,9228,1667,159,121762,34669,5142,2153,380,115,42458,37966,2072,1134,119,61,41343,13205,3586,3585,347,137,20862,1307,1422,860,6,8,3606,4543,724,586,99,50,6000,167,299,196,0,11,676,596,112,65,189,39,1004,381,94,68,19,8,561,20191,6227,5361,658,258,32705,459,992
103,26873,542,509,451,26,28398,20539,271,160,113,16,21103,5897,931,1770,82,5,8680,2596,248,446,15,17,3318,3528,200,341,113,3,4187,270,113,100,3,0,486,959,42,111,216,5,1341,806,25,72,33,0,937,14055,1563,2844,457,27,18945,474,55,44,20,0,595,3147,179,323,162,7,3808,65086,2609,3874,1200,77,72843,26656,664,323,332,19,27992,22198,362,164,85,24,22836,7048,1454,1586,81,7,10171,2291,274,496,7,0,3076,4096,285,293,71,13,4754,271,111,118,4,0,512,1011,64,91,137,5,1302,677,27,44,16,0,771,15399,2214,2623,320,25,20582,453,78,37,9,5,580,3732,347,414,384,62,4937,68438,3664,3559,1131,136,76930,26334,803,250,438,229,28052,22500,368,115,193,155,23332,7891,1965,1252,70,58,11246,1974,495,317,0,10,2794,4261,312,216,56,72,4918,267,100,100,0,72,537,830,45,62,123,58,1116,534,47,29,19,13,650,15756,2969,1985,265,280,21254,425,64
104,17114,1048,821,1514,6,20513,12426,472,329,148,0,13371,3744,1124,1664,41,0,6575,993,363,378,3,0,1742,2673,324,542,132,0,3676,212,83,51,8,0,350,344,36,65,386,0,828,343,46,50,40,0,477,8303,1974,2762,606,4,13641,209,102,74,45,0,436,1658,253,414,253,3,2578,39713,3852,4398,2563,14,50541,17638,964,682,1501,5,20788,13409,487,297,109,3,14310,4684,1243,1725,43,6,7699,932,350,409,0,0,1688,2798,375,494,120,7,3792,205,106,101,8,11,430,346,38,73,374,6,846,312,37,46,30,0,422,9272,2146,2851,582,29,14875,314,119,68,52,8,552,1814,237,363,415,5,2829,42440,3946,4261,2656,52,53355,18073,1263,718,1545,191,21794,13324,576,341,121,92,14446,4689,1493,1774,49,73,8078,805,411,353,0,7,1579,2776,415,407,85,64,3751,221,165,52,9,3,445,326,60,51,335,43,813,244,42,26,24,13,341,9069,2581,2662,501,204,15013,332,95
105,16106,376,163,773,6,17421,10870,194,91,117,10,11276,2599,310,853,35,4,3801,1590,58,269,3,0,1923,2544,91,245,91,0,2969,606,30,172,5,3,812,1420,50,213,183,0,1866,759,29,51,49,0,888,9515,567,1799,366,9,12251,392,82,42,48,3,573,2578,118,348,360,7,3418,39454,1333,2442,1671,36,44940,15419,145,258,743,77,16645,11663,108,131,65,24,11998,3129,481,860,36,7,4511,1496,111,313,3,15,1932,2726,108,247,96,10,3190,554,41,146,3,0,741,1390,72,226,169,8,1871,628,16,43,41,3,727,9925,820,1837,344,43,12968,398,23,98,60,6,581,2548,117,272,474,12,3419,39956,1223,2599,1685,158,45622,14396,205,208,748,138,15691,11316,125,65,139,70,11719,3470,626,764,51,32,4941,1316,149,282,5,16,1771,2827,126,168,61,37,3224,571,65,138,0,12,787,1191,61,190,143,40,1618,478,12,36,11,12,551,9847,1045,1587,270,148,12894,352,32
106,27733,1081,561,555,28,29951,26795,543,306,112,15,27768,7802,1351,1889,71,5,11116,2671,263,475,0,0,3408,3128,229,305,71,5,3726,171,133,83,14,0,398,1304,81,47,287,3,1731,649,52,59,24,0,785,15725,2106,2849,468,17,21166,481,205,50,38,0,779,3751,312,389,260,10,4733,74483,4248,4156,1433,65,84390,27991,1305,569,604,11,30482,30010,825,302,103,6,31253,9295,2380,1703,67,26,13473,2481,451,604,0,0,3538,3707,369,294,76,10,4458,232,141,77,0,0,444,1351,124,70,382,10,1940,533,53,35,12,3,636,17598,3508,2789,543,43,24483,547,153,80,29,3,807,3851,494,466,254,15,5080,80001,6279,4208,1538,80,92108,28416,2018,394,549,264,31643,31338,979,174,102,107,32700,11621,3617,1223,68,86,16614,2116,803,344,3,9,3269,3780,490,183,50,33,4545,143,180,48,0,8,385,1215,131,30,200,53,1631,430,55,28,17,10,540,19307,5273,1865,334,198,26976,523,269
107,30758,2349,2139,799,13,36068,26506,1726,1541,68,26,29870,5434,2416,4876,111,9,12846,3887,1528,2081,15,0,7506,2934,676,1233,47,0,4887,224,139,155,4,0,520,284,66,156,126,0,634,376,86,148,15,0,625,13147,4909,8639,308,12,27019,286,193,326,28,0,831,3601,712,1570,208,7,6095,74299,9892,14218,1413,62,99887,30955,2746,2064,712,11,36490,28829,2380,1780,50,7,33049,6274,2847,5200,149,18,14494,3629,1916,2026,3,3,7575,3331,798,1290,87,4,5509,179,148,193,0,5,521,358,70,165,161,0,753,300,59,131,6,0,497,14072,5838,9008,408,35,29357,383,154,329,24,0,884,3063,679,1310,232,0,5289,77302,11801,14485,1421,57,105061,31288,3286,2388,519,180,37664,29436,2558,1897,77,83,34050,7035,3573,5890,127,87,16720,3283,2006,1703,9,10,7015,3021,878,1080,71,42,5092,130,186,185,10,8,518,269,87,125,144,14,640,248,77,105,10,7,451,13992,6809,9082,375,170,30430,308,318
108,29034,2463,1308,1953,13,34770,18443,638,407,176,4,19663,5984,1323,2800,97,3,10206,1336,470,524,14,0,2340,3466,397,725,143,3,4733,417,155,151,4,7,732,479,52,122,447,0,1098,554,69,113,56,0,789,12226,2465,4432,760,13,19895,386,451,226,49,0,1112,2825,409,675,339,5,4250,62913,6419,7046,3272,33,79687,30020,2566,1414,1448,14,35462,19546,822,516,132,11,21035,7127,1770,2887,117,16,11913,1429,451,566,3,0,2452,3765,499,599,119,14,4988,395,207,151,4,0,750,478,82,121,453,5,1130,437,54,75,42,0,613,13629,3061,4400,731,34,21859,444,302,128,91,3,969,3107,508,777,430,6,4830,66754,7259,7231,2838,66,84151,31347,2945,1422,1729,254,37698,19905,834,478,124,118,21464,7431,2159,2820,127,89,12622,1213,541,646,6,5,2414,3699,494,504,100,61,4853,291,252,158,3,5,710,412,100,91,361,52,1009,450,51,64,24,8,597,13498,3590,4283,620,218,22208,470,388
109,14006,438,638,481,3,15567,12767,249,372,75,6,13466,2592,603,2028,54,0,5277,1017,74,240,3,0,1330,2124,169,480,60,0,2836,212,35,119,0,0,368,763,34,98,198,0,1089,476,18,67,30,0,583,7182,926,3025,337,3,11482,360,52,60,22,0,493,1817,144,456,145,3,2572,36129,1811,4555,1065,19,43574,14438,392,644,482,24,15980,12982,217,428,59,15,13700,3357,632,2154,29,7,6183,867,34,273,0,0,1171,2336,155,415,51,9,2965,213,83,108,4,0,401,696,25,70,156,8,950,400,19,28,15,0,462,7863,935,3044,258,24,12131,358,36,33,19,3,448,2082,145,467,179,4,2882,37728,1732,4611,1001,69,45143,15099,661,231,484,79,16562,12981,387,75,54,44,13540,4169,2103,803,45,30,7158,735,198,65,3,14,1013,2353,325,129,49,29,2892,176,102,55,0,7,342,638,55,58,133,18,909,322,18,23,16,3,383,8393,2802,1142,252,105,12695,394,58
110,24361,253,482,574,16,25689,17341,129,190,167,22,17849,4641,552,2249,49,7,7489,2036,66,456,9,0,2572,3928,136,472,94,7,4635,445,50,283,3,0,778,1545,27,159,212,0,1949,1040,20,90,37,0,1181,13636,855,3703,402,10,18606,621,47,72,30,0,771,3026,104,443,205,3,3781,58991,1396,4883,1373,54,66698,23837,419,369,504,35,25163,18498,181,174,116,27,18995,5987,707,2286,38,8,9019,1801,236,492,0,3,2531,4088,146,465,91,6,4798,416,104,203,0,3,728,1615,38,159,237,11,2053,845,23,78,28,0,975,14758,1258,3686,388,32,20117,564,85,23,33,4,710,3231,246,564,313,9,4365,60882,2199,4817,1349,106,69351,23244,492,155,513,182,24583,18179,237,78,129,116,18734,7225,1922,1296,108,66,10608,1451,319,416,104,15,2300,4263,245,245,64,64,4881,405,115,160,5,36,724,1423,64,84,177,47,1794,758,52,34,21,15,880,15526,2711,2238,482,242,21198,531,54
