SA4_CODE_2016,C06_CFC_SMS_MRM_NDC_UR_1,C06_CFC_SMS_MRM_NDC_UR_2,C06_CFC_SMS_MRM_NDC_UR_3,C06_CFC_SMS_MRM_NDC_UR_4mo,C06_CFC_SMS_MRM_NDC_UR_Total,C06_CFC_SMS_M_DfM_NDC_UR_1,C06_CFC_SMS_M_DfM_NDC_UR_2,C06_CFC_SMS_M_DfM_NDC_UR_3,C06_CFC_SMS_M_DfM_NDC_UR_4mo,C06_CFC_SMS_M_DfM_NDC_UR_Tot,C06_CFC_SMS_Tot_NDC_UR_1,C06_CFC_SMS_Tot_NDC_UR_2,C06_CFC_SMS_Tot_NDC_UR_3,C06_CFC_SMS_Tot_NDC_UR_4mo,C06_CFC_SMS_Tot_NDC_UR_Tot,C06_1_PF_NDC_UR_1,C06_1_PF_NDC_UR_2,C06_1_PF_NDC_UR_3,C06_1_PF_NDC_UR_4mo,C06_1_PF_NDC_UR_Tot,C06_Tot_NDC_UR_1,C06_Tot_NDC_UR_2,C06_Tot_NDC_UR_3,C06_Tot_NDC_UR_4mo,C06_Tot_NDC_UR_Tot,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Tot,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1_PF_NDC_UR_1,C11_1_PF_NDC_UR_2,C11_1_PF_NDC_UR_3,C11_1_PF_NDC_UR_4mo,C11_1_PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1_PF_NDC_UR_1,C16_1_PF_NDC_UR_2,C16_1_PF_NDC_UR_3,C16_1_PF_NDC_UR_4mo,C16_1_PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot
101,4853,6585,2930,1019,15378,1245,1093,406,196,2948,6096,7676,3335,1217,18327,2820,1807,649,254,5536,8918,9487,3992,1471,23864,4851,6523,2785,946,15106,1432,1242,484,224,3385,6282,7763,3272,1169,18491,2959,1910,694,274,5839,9247,9674,3969,1450,24336,4734,6238,2730,872,14576,1528,1317,510,220,3576,6264,7557,3240,1091,18150,2798,1807,675,293,5576,9063,9365,3915,1386,23726
102,7238,10489,4296,1280,23302,1679,1488,565,213,3947,8916,11971,4861,1498,27252,5113,3452,1287,414,10268,14029,15428,6153,1913,37521,7412,10543,4210,1312,23475,2038,1751,662,280,4731,9448,12294,4872,1589,28205,5570,3619,1315,485,10990,15020,15911,6188,2077,39194,7538,10546,4123,1198,23401,2258,2054,730,297,5345,9796,12603,4850,1498,28741,5288,3515,1266,422,10494,15089,16118,6118,1913,39236
103,4533,6172,3140,1179,15020,1130,998,457,284,2864,5659,7164,3599,1461,17885,2725,1741,678,327,5474,8382,8908,4277,1787,23355,4238,5836,3111,1133,14316,1311,1166,541,287,3295,5544,7002,3654,1412,17613,2847,1854,788,386,5869,8393,8855,4438,1800,23482,4151,5693,2891,1049,13785,1331,1279,567,259,3434,5487,6973,3459,1304,17216,2851,1919,847,355,5973,8340,8889,4302,1662,23195
104,2619,3782,1668,596,8656,829,753,309,161,2050,3443,4532,1978,754,10705,2343,1633,586,218,4790,5787,6162,2568,974,15495,2765,3506,1550,552,8373,866,837,329,169,2198,3625,4343,1879,718,10569,2428,1621,574,259,4882,6053,5963,2455,982,15448,2462,3357,1462,486,7774,924,879,358,136,2294,3385,4237,1827,624,10071,2235,1506,534,247,4514,5617,5746,2354,872,14585
105,2402,3243,1684,645,7976,791,691,346,260,2079,3196,3934,2030,908,10059,1883,1239,573,328,4020,5071,5174,2602,1232,14083,2161,2925,1508,595,7195,826,713,373,203,2115,2990,3639,1883,797,9312,1966,1277,566,360,4168,4955,4914,2453,1157,13478,2007,2588,1329,547,6467,831,679,345,174,2031,2842,3269,1679,723,8500,1789,1273,598,300,3972,4632,4541,2278,1024,12475
106,5827,8410,3495,1158,18893,1423,1280,524,268,3493,7247,9692,4017,1429,22383,3574,2350,948,350,7227,10822,12040,4966,1781,29613,5936,8347,3504,1189,18974,1743,1562,650,302,4255,7684,9907,4155,1490,23234,3826,2542,971,414,7751,11505,12453,5122,1900,30981,5955,8309,3453,1130,18851,1959,1827,691,312,4794,7916,10144,4143,1442,23640,3914,2800,1113,484,8311,11828,12945,5254,1932,31958
107,7327,10369,4018,1168,22883,1254,1073,403,145,2872,8580,11447,4425,1310,25760,3960,2724,936,328,7950,12539,14170,5366,1636,33705,7302,10692,3938,1169,23101,1531,1222,460,176,3396,8835,11912,4396,1349,26491,4291,2855,947,377,8467,13128,14767,5343,1720,34961,7449,10877,3914,1147,23389,1775,1476,507,192,3960,9226,12356,4424,1348,27344,4247,2885,919,323,8373,13474,15235,5341,1667,35723
108,4020,5434,2319,810,12584,1039,935,446,201,2618,5056,6372,2766,1014,15201,3269,2182,836,430,6718,8332,8557,3597,1439,21924,3729,4973,2306,803,11815,1224,1049,476,249,2994,4946,6024,2784,1057,14808,3438,2316,862,459,7069,8385,8340,3642,1511,21883,3406,4813,2140,714,11071,1227,1211,503,226,3160,4633,6027,2637,934,14232,3283,2176,866,436,6768,7913,8205,3510,1378,21007
109,2587,3541,1849,648,8626,624,529,230,120,1494,3212,4070,2078,766,10120,1530,1038,398,155,3121,4740,5113,2476,914,13247,2440,3359,1632,611,8045,677,549,220,111,1564,3119,3909,1855,727,9606,1583,1022,419,164,3190,4705,4929,2273,890,12790,2377,3221,1609,545,7753,706,640,258,104,1706,3082,3860,1862,652,9457,1528,1000,406,159,3091,4611,4861,2271,804,12547
110,3985,5484,2702,936,13108,1064,913,431,222,2629,5051,6398,3134,1159,15735,2622,1721,743,377,5458,7671,8119,3874,1532,21195,3687,5058,2540,860,12139,1161,985,468,261,2874,4848,6037,3006,1119,15015,2706,1778,801,443,5729,7555,7816,3805,1565,20742,3389,4814,2379,762,11342,1172,1004,476,227,2884,4555,5818,2851,994,14227,2696,1756,813,402,5662,7255,7575,3666,1392,19890
111,8428,11645,4360,1130,25561,1791,1474,563,205,4033,10222,13118,4925,1333,29595,5634,3375,1177,373,10558,15855,16491,6097,1702,40147,8648,11824,4285,1071,25831,2093,1683,636,273,4680,10745,13505,4920,1344,30513,5652,3477,1132,418,10673,16396,16982,6054,1759,41185,8736,12299,4286,1116,26433,2416,1943,689,269,5318,11146,14245,4979,1389,31755,5393,3585,1188,417,10586,16544,17828,6164,1804,42341
112,4604,6455,2818,962,14840,1567,1374,524,210,3674,6173,7831,3339,1170,18512,4433,2567,930,312,8237,10606,10397,4266,1482,26752,4651,6275,2661,955,14545,1678,1581,582,230,4072,6325,7852,3243,1188,18614,4457,2690,894,364,8406,10785,10542,4137,1554,27024,4474,6147,2547,787,13957,1758,1710,565,215,4250,6230,7860,3113,1003,18207,4060,2567,822,322,7770,10292,10424,3928,1327,25975
