SA4_CODE_2016,Pre_sch_C06_M,Pre_sch_C06_F,Pre_sch_C06_P,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Pre_sch_C16_M,Pre_sch_C16_F,Pre_sch_C16_P,Infan_Prim_Govt_C06_M,Infan_Prim_Govt_C06_F,Infan_Prim_Govt_C06_P,Infan_Prim_Govt_C11_M,Infan_Prim_Govt_C11_F,Infan_Prim_Govt_C11_P,Infan_Prim_Govt_C16_M,Infan_Prim_Govt_C16_F,Infan_Prim_Govt_C16_P,Infan_Prim_Cath_C06_M,Infan_Prim_Cath_C06_F,Infan_Prim_Cath_C06_P,Infan_Prim_Cath_C11_M,Infan_Prim_Cath_C11_F,Infan_Prim_Cath_C11_P,Infan_Prim_Cath_C16_M,Infan_Prim_Cath_C16_F,Infan_Prim_Cath_C16_P,Inf_Pri_Oth_No_Gov_C06_M,Inf_Pri_Oth_No_Gov_C06_F,Inf_Pri_Oth_No_Gov_C06_P,Inf_Pri_Oth_No_Gov_C11_M,Inf_Pri_Oth_No_Gov_C11_F,Inf_Pri_Oth_No_Gov_C11_P,Inf_Pri_Oth_No_Gov_C16_M,Inf_Pri_Oth_No_Gov_C16_F,Inf_Pri_Oth_No_Gov_C16_P,Inf_Primary_Tot_C06_M,Inf_Primary_Tot_C06_F,Inf_Primary_Tot_C06_P,Inf_Primary_Tot_C11_M,Inf_Primary_Tot_C11_F,Inf_Primary_Tot_C11_P,Inf_Primary_Tot_C16_M,Inf_Primary_Tot_C16_F,Inf_Primary_Tot_C16_P,Sec_Govern_C06_M,Sec_Govern_C06_F,Sec_Govern_C06_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Govern_C16_M,Sec_Govern_C16_F,Sec_Govern_C16_P,Sec_Catholic_C06_M,Sec_Catholic_C06_F,Sec_Catholic_C06_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Catholic_C16_M,Sec_Catholic_C16_F,Sec_Catholic_C16_P,Sec_Oth_Non_Gov_C06_M,Sec_Oth_Non_Gov_C06_F,Sec_Oth_Non_Gov_C06_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Oth_Non_Gov_C16_M,Sec_Oth_Non_Gov_C16_F,Sec_Oth_Non_Gov_C16_P,Sec_Tot_C06_M,Sec_Tot_C06_F,Sec_Tot_C06_P,Sec_Tot_C11_M,Sec_Tot_C11_F,Sec_Tot_C11_P,Sec_Tot_C16_M,Sec_Tot_C16_F,Sec_Tot_C16_P,Tech_FTS_15_24_C06_M,Tech_FTS_15_24_C06_F,Tech_FTS_15_24_C06_P,Tech_FTS_15_24_C11_M,Tech_FTS_15_24_C11_F,Tech_FTS_15_24_C11_P,Tech_FTS_15_24_C16_M,Tech_FTS_15_24_C16_F,Tech_FTS_15_24_C16_P,Tech_FTS_25ove_C06_M,Tech_FTS_25ove_C06_F,Tech_FTS_25ove_C06_P,Tech_FTS_25ove_C11_M,Tech_FTS_25ove_C11_F,Tech_FTS_25ove_C11_P,Tech_FTS_25ove_C16_M,Tech_FTS_25ove_C16_F,Tech_FTS_25ove_C16_P,Tech_PTS_15_24_C06_M,Tech_PTS_15_24_C06_F,Tech_PTS_15_24_C06_P,Tech_PTS_15_24_C11_M,Tech_PTS_15_24_C11_F,Tech_PTS_15_24_C11_P,Tech_PTS_15_24_C16_M,Tech_PTS_15_24_C16_F,Tech_PTS_15_24_C16_P,Techn_PTS_25over_C06_M,Techn_PTS_25over_C06_F,Techn_PTS_25over_C06_P,Techn_PTS_25over_C11_M,Techn_PTS_25over_C11_F,Techn_PTS_25over_C11_P,Techn_PTS_25over_C16_M,Techn_PTS_25over_C16_F,Techn_PTS_25over_C16_P,Tec_F_Pt_stu_st_ns_C06_M,Tec_F_Pt_stu_st_ns_C06_F,Tec_F_Pt_stu_st_ns_C06_P,Tec_F_Pt_stu_st_ns_C11_M,Tec_F_Pt_stu_st_ns_C11_F,Tec_F_Pt_stu_st_ns_C11_P,Tec_F_Pt_stu_st_ns_C16_M,Tec_F_Pt_stu_st_ns_C16_F,Tec_F_Pt_stu_st_ns_C16_P,Tech_Tot_C06_M,Tech_Tot_C06_F,Tech_Tot_C06_P,Tech_Tot_C11_M,Tech_Tot_C11_F,Tech_Tot_C11_P,Tech_Tot_C16_M,Tech_Tot_C16_F,Tech_Tot_C16_P,U_Ft_s_15_24_06_C_M,U_Ft_s_15_24_06_C_F,U_Ft_s_15_24_06_C_P,U_Ft_s_15_24_11_C_M,U_Ft_s_15_24_11_C_F,U_Ft_s_15_24_11_C_P,U_Ft_s_15_24_16_C_M,U_Ft_s_15_24_16_C_F,U_Ft_s_15_24_16_C_P,U_Ft_s_25over_06_C_M,U_Ft_s_25over_06_C_F,U_Ft_s_25over_06_C_P,U_Ft_s_25over_11_C_M,U_Ft_s_25over_11_C_F,U_Ft_s_25over_11_C_P,U_Ft_s_25over_16_C_M,U_Ft_s_25over_16_C_F,U_Ft_s_25over_16_C_P,U_Pt_s_15_24_06_C_M,U_Pt_s_15_24_06_C_F,U_Pt_s_15_24_06_C_P,U_Pt_s_15_24_11_C_M,U_Pt_s_15_24_11_C_F,U_Pt_s_15_24_11_C_P,U_Pt_s_15_24_16_C_M,U_Pt_s_15_24_16_C_F,U_Pt_s_15_24_16_C_P,U_Pt_s_25over_06_C_M,U_Pt_s_25over_06_C_F,U_Pt_s_25over_06_C_P,U_Pt_s_25over_11_C_M,U_Pt_s_25over_11_C_F,U_Pt_s_25over_11_C_P,U_Pt_s_25over_16_C_M,U_Pt_s_25over_16_C_F,U_Pt_s_25over_16_C_P,U_F_Pt_s_s_ns_06_C_M,U_F_Pt_s_s_ns_06_C_F,U_F_Pt_s_s_ns_06_C_P,U_F_Pt_s_s_ns_11_C_M,U_F_Pt_s_s_ns_11_C_F,U_F_Pt_s_s_ns_11_C_P,U_F_Pt_s_s_ns_16_C_M,U_F_Pt_s_s_ns_16_C_F,U_F_Pt_s_s_ns_16_C_P,U_Tot_C06_M,U_Tot_C06_F,U_Tot_C06_P,U_Tot_C11_M,U_Tot_C11_F,U_Tot_C11_P,U_Tot_C16_M,U_Tot_C16_F,U_Tot_C16_P,Ot_ty_Ed_Ins_Ft_st_C06_M,Ot_ty_Ed_Ins_Ft_st_C06_F,Ot_ty_Ed_Ins_Ft_st_C06_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F
101,1682,1544,3226,1854,1688,3534,1838,1549,3388,6389,6244,12633,6034,5832,11869,6372,5996,12371,2016,1873,3887,1888,1746,3636,1993,1853,3854,600,561,1164,670,639,1310,627,599,1227,9003,8683,17685,8593,8220,16810,8994,8450,17446,4446,4597,9048,4623,4530,9147,4174,4076,8248,1812,1819,3634,1868,1839,3708,1848,1854,3711,534,562,1099,677,678,1357,711,656,1370,6798,6983,13782,7163,7046,14207,6736,6589,13329,197,284,484,254,278,531,180,231,408,92,217,316,121,224,344,96,193,289,966,543,1514,1001,597,1592,827,534,1369,870,1412,2287,894,1625,2514,651,1187,1843,40,33,66,38,24,58,23,31,51,2166,2494,4659,2297,2744,5045,1787,2179,3961,429,554,989,489,785,1272,656,930,1587,279,334,610,263,417,683,317,562,881,88,180,272,113,182,294,143,266,414,600,1056,1657,699,1433,2130,745,1538,2285,8,7,15,6,11,22,12,15,25,1403,2134,3537,1572,2830,4402,1870,3313,5184,113,98,207,112,116,231,149,144,292,211,583
102,3198,2780,5971,3366,3169,6539,3389,3098,6486,10302,9918,20220,9680,9228,18909,10323,9537,19860,1888,1864,3751,2007,2005,4006,2173,2218,4389,1247,1204,2449,1344,1281,2628,1536,1415,2947,13433,12984,26418,13034,12512,25549,14033,13163,27203,7584,7347,14933,7689,7559,15250,7063,6878,13944,1485,1594,3085,1754,1691,3440,1870,1875,3737,1235,1281,2519,1292,1378,2669,1471,1508,2982,10308,10228,20532,10732,10623,21357,10403,10259,20659,495,512,1006,462,535,1004,353,463,816,144,325,468,193,520,710,213,464,679,1557,774,2330,1496,808,2303,1309,761,2067,933,1452,2385,1038,1798,2829,905,1739,2643,59,50,105,33,47,77,33,30,65,3187,3105,6290,3224,3705,6926,2804,3455,6262,992,1546,2540,1583,2297,3875,1870,2452,4319,300,619,912,524,1034,1554,653,1166,1823,223,314,537,332,424,760,433,526,961,738,1311,2052,905,1862,2768,999,2121,3119,23,32,54,15,28,44,16,30,48,2279,3821,6095,3356,5646,9006,3971,6301,10275,112,177,292,154,215,369,209,322,530,358,901
103,1882,1641,3517,2014,1891,3906,1929,1846,3770,6375,6055,12424,5895,5464,11365,6379,5937,12317,2378,2162,4534,2220,2126,4348,2198,2197,4395,410,425,840,533,511,1043,642,579,1221,9159,8638,17802,8651,8103,16753,9222,8715,17932,4590,4563,9151,4651,4393,9047,4196,3874,8069,1579,1558,3137,1552,1655,3208,1564,1733,3302,873,878,1753,776,838,1618,909,870,1778,7040,7002,14043,6980,6884,13864,6668,6479,13142,250,356,600,253,341,595,183,287,468,105,246,356,121,297,416,118,280,398,1011,519,1528,1007,591,1594,782,592,1373,859,1370,2234,811,1479,2296,681,1338,2015,30,38,72,36,42,76,29,29,53,2252,2537,4791,2229,2746,4974,1791,2526,4316,857,1365,2218,846,1430,2273,819,1334,2152,132,283,421,178,318,495,297,453,755,111,170,276,135,258,399,148,286,438,493,773,1262,555,1128,1679,589,1292,1881,4,16,18,9,21,27,4,11,21,1593,2607,4199,1725,3148,4871,1859,3376,5238,63,85,151,60,84,143,76,119,196,158,366
104,1165,1042,2207,1225,1136,2360,1247,1114,2357,4274,4138,8412,3784,3664,7450,3896,3711,7605,985,920,1900,941,822,1759,910,947,1861,578,534,1114,676,613,1292,703,666,1373,5831,5600,11425,5400,5097,10501,5511,5327,10837,3506,3475,6986,3186,3240,6426,2794,2749,5546,691,693,1390,698,744,1449,742,683,1426,616,631,1248,707,688,1401,666,657,1324,4820,4805,9621,4600,4677,9274,4206,4087,8293,200,238,435,215,285,501,178,269,444,118,227,345,154,343,499,125,351,470,500,299,798,574,376,957,437,324,768,460,876,1335,589,1136,1723,415,867,1281,16,31,50,27,25,49,17,13,22,1295,1666,2965,1551,2176,3727,1163,1819,2981,260,508,771,336,613,949,262,463,722,143,274,411,169,369,543,168,357,521,49,68,120,71,126,198,79,153,233,280,519,807,305,666,973,340,778,1114,3,9,9,3,4,8,0,3,9,744,1377,2120,887,1783,2669,847,1758,2605,48,75,125,70,103,170,103,122,223,132,412
105,1142,1017,2154,1154,1081,2241,1174,1125,2303,4049,3780,7830,3382,3184,6565,3230,3023,6251,1288,1323,2610,1342,1356,2704,1295,1328,2626,380,379,753,327,314,645,375,318,691,5713,5486,11195,5057,4858,9914,4900,4666,9568,2782,2772,5562,2728,2596,5328,2386,2304,4689,512,527,1034,548,552,1096,507,558,1070,278,306,587,287,358,646,324,362,685,3577,3607,7181,3554,3504,7064,3221,3224,6443,114,145,251,150,184,338,113,170,281,83,156,233,91,207,291,55,203,258,465,305,773,496,360,855,378,281,658,456,881,1338,475,913,1393,347,700,1048,17,17,35,20,15,40,9,11,24,1129,1503,2635,1233,1682,2913,910,1365,2268,105,308,411,118,386,498,157,328,485,69,159,228,47,188,236,75,190,266,44,102,146,53,124,174,42,120,168,258,462,720,259,502,758,267,631,904,0,7,10,0,7,10,6,9,21,470,1042,1514,470,1209,1683,548,1286,1832,37,64,101,55,58,107,63,78,137,78,212
106,2471,2141,4618,2609,2466,5070,2726,2536,5260,8437,8002,16444,7953,7422,15373,8575,8199,16771,1697,1752,3447,1942,1946,3884,2282,2194,4475,893,938,1829,1149,991,2146,1237,1139,2380,11030,10692,21718,11045,10356,21399,12098,11536,23628,5525,5348,10874,5499,5585,11082,5473,5349,10825,1486,1573,3053,1567,1794,3360,1740,1752,3488,820,850,1673,1024,1010,2032,1302,1199,2498,7830,7768,15596,8095,8385,16475,8516,8296,16810,347,423,772,348,424,770,307,421,728,108,281,396,133,315,449,124,302,431,1565,719,2284,1472,757,2226,1014,694,1707,829,1247,2077,906,1398,2304,749,1427,2179,51,35,83,39,29,66,25,21,46,2906,2707,5608,2897,2917,5822,2221,2862,5084,513,983,1502,785,1285,2074,909,1379,2292,173,309,476,188,516,709,310,699,1012,141,249,394,193,334,527,230,358,589,497,812,1315,627,1127,1754,671,1396,2066,11,16,24,14,13,20,5,15,18,1341,2368,3706,1802,3278,5076,2129,3851,5975,99,164,270,113,136,248,161,186,346,213,554
107,2812,2521,5335,3001,2845,5850,3127,2831,5960,8737,8217,16959,8510,7879,16384,9061,8549,17612,2323,2204,4523,2149,2222,4373,2327,2399,4725,797,726,1531,920,845,1765,940,848,1785,11857,11145,23006,11581,10945,22530,12325,11791,24124,6429,6138,12566,6371,6143,12520,6108,5874,11978,1756,1983,3743,2176,2270,4443,2416,2601,5016,839,780,1625,899,821,1718,977,870,1849,9025,8910,17929,9444,9227,18672,9497,9347,18847,594,664,1255,579,605,1190,411,464,869,162,395,559,292,570,865,316,540,861,1671,834,2505,1518,779,2298,1303,630,1932,912,1478,2385,1016,1527,2544,807,1276,2086,60,48,108,48,31,79,44,34,72,3400,3417,6813,3456,3524,6977,2877,2946,5822,2581,2832,5416,3721,4074,7802,4426,4660,9085,855,809,1661,1364,1231,2593,1748,1506,3253,356,357,715,406,444,847,446,582,1032,881,1204,2082,983,1641,2616,1091,1927,3020,31,35,68,29,35,61,21,21,43,4708,5236,9942,6499,7415,13916,7733,8695,16427,117,153,275,170,186,352,236,271,504,330,653
108,1723,1625,3353,1875,1736,3608,1862,1672,3538,6012,5849,11861,5571,5277,10849,5638,5311,10942,1578,1498,3074,1664,1605,3267,1591,1619,3206,571,545,1118,686,602,1288,827,763,1592,8158,7893,16055,7913,7489,15404,8048,7686,15741,4901,4787,9683,4568,4432,8997,3837,3771,7610,1347,1397,2746,1482,1566,3049,1750,1683,3427,505,465,973,586,591,1169,705,767,1477,6748,6654,13401,6635,6584,13216,6288,6222,12514,276,385,663,288,364,649,215,289,506,143,426,564,198,503,701,163,440,603,865,406,1271,724,448,1172,612,468,1079,751,1344,2092,717,1303,2020,511,1167,1675,28,27,55,26,30,54,23,17,43,2050,2591,4646,1953,2651,4600,1521,2388,3911,154,263,419,204,490,697,315,670,986,110,207,321,140,327,467,198,442,638,51,100,150,68,139,207,69,168,240,317,638,956,346,850,1195,421,997,1416,9,4,17,7,6,9,13,11,18,638,1216,1857,758,1813,2569,1014,2281,3296,47,97,149,66,139,198,84,137,223,178,438
109,936,876,1814,1032,946,1985,1025,970,1997,3456,3254,6705,2961,2941,5897,3150,2961,6110,1121,1117,2239,1050,941,1992,1045,1088,2135,508,438,944,515,539,1052,567,580,1153,5081,4810,9890,4526,4415,8948,4768,4638,9398,2744,2799,5540,2614,2557,5173,2227,2244,4472,593,567,1156,543,611,1148,684,710,1390,541,506,1047,567,569,1140,552,665,1218,3877,3867,7745,3719,3742,7459,3468,3622,7084,147,183,335,194,235,428,130,155,279,52,119,169,101,188,293,81,179,262,617,330,945,533,349,884,414,254,665,459,905,1362,481,933,1411,341,637,980,12,25,38,20,17,39,6,6,14,1286,1558,2848,1333,1718,3056,976,1229,2203,309,825,1138,327,861,1190,328,740,1064,92,178,270,108,238,351,141,287,422,78,133,212,66,115,183,77,120,195,230,425,659,240,521,762,268,600,868,3,6,9,5,11,11,4,10,9,710,1570,2284,750,1749,2501,815,1749,2565,38,51,90,62,58,117,60,85,147,101,218
110,1698,1548,3248,1814,1665,3479,1790,1679,3470,5837,5373,11208,5457,5125,10578,5520,5234,10748,1780,1729,3510,1663,1578,3244,1726,1741,3470,672,648,1321,713,699,1415,600,600,1198,8295,7744,16039,7837,7402,15236,7845,7573,15417,4605,4272,8878,4375,3988,8360,3953,3665,7618,856,983,1838,827,989,1817,842,975,1826,704,1038,1748,869,972,1843,863,1061,1927,6168,6287,12457,6075,5955,12027,5663,5701,11366,261,332,597,231,295,530,154,198,358,182,335,516,164,379,537,129,243,375,706,452,1150,697,449,1146,528,443,969,720,1268,1985,677,1349,2027,480,944,1417,30,33,65,30,25,49,17,21,39,1894,2414,4306,1797,2497,4293,1315,1850,3168,968,1400,2375,918,1465,2389,1006,1431,2442,284,310,588,357,443,797,389,618,1010,116,191,309,131,234,373,181,313,497,462,919,1379,520,996,1511,471,1063,1539,12,15,23,7,19,33,14,17,30,1842,2838,4679,1938,3162,5096,2071,3451,5517,62,80,143,76,76,152,92,119,210,138,372
