SA4_CODE_2016,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_T_M,C16_25_29_T_F,C16_25_29_T_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_T_M,C16_30_34_T_F,C16_30_34_T_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_T_M,C16_35_39_T_F,C16_35_39_T_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_T_M,C16_40_44_T_F,C16_40_44_T_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Sep_M,C16_45_49_Sep_F,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_T_M,C16_45_49_T_F,C16_45_49_T_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_T_M,C16_50_54_T_F,C16_50_54_T_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_T_M,C16_55_59_T_F,C16_55_59_T_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_T_M,C16_60_64_T_F,C16_60_64_T_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_T_M,C16_65_69_T_F,C16_65_69_T_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_T_M,C16_70_74_T_F,C16_70_74_T_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Married_M,C16_85o_Married_F
101,1491,2804,4296,42873,42635,2847,2982,7443,8315,2558,8462,27464,22423,83188,84819,168008,14,7,0,0,3,6,3,5,6467,6150,6492,6167,12659,172,366,13,40,3,11,5,4,5154,4604,5345,5022,10364,1158,1769,52,116,40,68,9,6,4113,3472,5376,5428,10802,2605,3080,148,206,142,256,7,15,2767,2311,5668,5869,11539,3186,3612,159,254,235,344,14,39,2016,1719,5606,5968,11572,3976,4179,360,387,509,736,19,54,2024,1589,6891,6953,13841,4253,4749,399,426,859,1134,40,123,1929,1480,7482,7911,15393,4723,4807,423,481,1151,1398,71,217,1640,1203,8014,8101,16114,5033,5152,421,377,1346,1515,129,337,1412,1016,8346,8405,16748,5055,5122,402,354,1334,1440,202,562,912,606,7907,8081,15991,5359,4747,357,241,1300,1240,308,837,586,360,7908,7431,15342,4003,3374,224,123,694,772,344,1139,330,212,5593,5623,11217,2758,1992,141,94,416,419,413,1358,212,133,3939,4005,7940,1610,1030,66,37,236,190,460,1468,117,87,2487,2820,5306,1010,533
102,3158,5808,8966,59665,59944,4274,5314,10748,15835,4095,14827,40929,35854,119708,131773,251489,16,21,5,3,8,3,0,3,10094,9778,10117,9808,19930,247,462,19,49,7,9,3,8,8987,8375,9267,8908,18174,1704,2601,90,217,67,110,9,9,6629,5768,8491,8706,17195,4044,4971,239,392,219,340,8,28,4235,3605,8750,9332,18078,5071,5558,374,556,424,700,23,45,3089,2671,8982,9526,18506,5835,6178,537,758,837,1297,35,99,2810,2480,10050,10812,20870,6013,6328,570,849,1242,1909,55,175,2538,2062,10419,11325,21739,6111,6301,671,772,1661,2304,99,304,2104,1571,10639,11255,21892,6306,6578,590,752,1771,2514,156,573,1609,1198,10436,11608,22039,6257,6146,480,566,1645,2396,225,788,1013,804,9620,10701,20320,6310,6088,460,427,1570,2299,360,1252,707,561,9407,10627,20035,5325,4689,328,275,1184,1589,535,1816,475,342,7846,8716,16555,4033,3196,189,141,713,958,632,2236,286,189,5851,6721,12574,2571,1800,83,65,317,555,699,2670,197,167,3865,5259,9124,2025,1131
103,1277,2765,4045,38415,38026,2545,2776,6350,7003,2390,8379,27350,22344,77052,78533,155586,11,10,0,4,7,6,0,6,6672,6378,6692,6398,13093,233,390,19,37,3,10,3,9,5711,5146,5972,5590,11564,1389,1869,89,133,37,79,6,9,4283,3582,5807,5676,11480,2702,3189,150,224,131,175,3,11,2782,2241,5776,5845,11619,3123,3351,222,316,243,364,10,37,1921,1638,5515,5702,11222,3549,3795,306,378,473,696,22,52,1748,1412,6092,6332,12426,3827,4017,338,409,709,947,43,113,1670,1207,6588,6688,13279,3905,4253,406,437,946,1069,66,187,1451,1021,6772,6966,13738,4336,4313,356,369,1082,1226,90,324,1120,729,6981,6963,13935,4200,4106,319,276,996,1065,166,504,778,412,6460,6372,12833,4195,3895,288,262,990,1014,289,811,557,314,6309,6294,12601,3381,2760,209,153,721,647,332,1098,362,219,5000,4877,9877,2345,1757,103,77,385,385,407,1415,258,166,3503,3801,7300,1472,1022,64,34,167,184,445,1545,155,106,2308,2901,5208,969,490
104,1170,2107,3280,25606,25736,1919,2175,5272,6447,1635,5894,16672,14460,51109,54713,105824,7,23,0,0,3,4,0,0,4137,3843,4155,3863,8016,118,202,11,28,3,10,3,0,3042,2719,3173,2963,6135,640,962,32,81,42,39,0,8,2362,2131,3071,3223,6296,1353,1655,109,164,80,115,6,12,1595,1363,3142,3311,6456,1597,1797,105,213,134,262,6,30,1304,1220,3140,3518,6664,2062,2230,223,278,321,509,21,56,1230,1101,3847,4175,8026,2182,2461,255,323,425,797,16,94,1068,969,3947,4645,8592,2519,2698,254,359,718,973,52,164,1037,799,4578,4991,9569,2785,3105,307,364,938,1191,73,246,981,680,5089,5586,10677,3189,3160,281,267,1033,1096,123,362,689,401,5317,5290,10607,3257,3021,261,196,911,958,217,600,378,243,5027,5019,10043,2630,2227,139,97,575,608,216,744,214,137,3775,3812,7587,1868,1488,78,61,362,375,297,969,123,62,2735,2962,5697,1232,830,50,27,166,168,305,1103,73,54,1822,2181,4006,849,430
105,727,1443,2169,20546,20352,1574,1607,3812,3953,1505,4987,16620,14366,44057,45260,89321,8,8,3,0,0,0,4,5,3316,3156,3333,3171,6502,131,201,8,26,0,3,5,3,3134,2950,3277,3184,6453,777,1054,39,79,29,38,3,6,2654,2501,3507,3676,7184,1422,1691,107,152,72,105,7,15,1708,1549,3319,3503,6822,1577,1687,108,180,97,168,4,9,1167,1063,2956,3109,6066,1728,1736,162,191,253,315,14,31,1102,1064,3261,3337,6595,1820,1940,172,226,401,500,19,73,1087,909,3500,3648,7154,2070,2211,233,258,508,608,42,111,1010,699,3867,3889,7760,2382,2371,238,239,580,688,72,163,818,583,4093,4047,8134,2123,2129,211,187,616,604,107,327,565,287,3626,3539,7170,2129,1890,219,137,557,462,172,474,375,190,3454,3154,6604,1677,1433,113,88,400,345,212,640,208,109,2605,2613,5221,1216,993,72,44,227,188,238,818,147,71,1899,2116,4020,752,490,35,13,94,99,227,889,87,39,1199,1533,2728,553,268
106,1445,2823,4267,48623,48548,3106,3336,7819,9467,2525,9039,32699,27056,94772,97451,192223,18,11,4,7,9,0,3,0,8382,7967,8419,7993,16410,269,504,23,56,13,16,9,9,7339,6858,7650,7437,15088,1915,2758,136,253,61,113,10,15,5568,4769,7689,7907,15600,3713,4392,300,418,239,342,7,32,3578,2988,7837,8175,16005,4337,4561,402,424,394,566,16,46,2635,2097,7786,7700,15484,4840,5219,466,577,677,973,29,85,2331,1800,8349,8648,16992,4949,5240,474,599,1075,1432,53,130,1964,1443,8513,8848,17363,5187,5380,486,554,1239,1627,89,246,1568,1039,8568,8845,17417,5525,5543,438,451,1344,1696,144,432,1148,682,8598,8812,17409,5405,5313,351,333,1284,1522,220,588,697,444,7956,8203,16161,5392,4951,312,226,1123,1332,334,999,511,298,7667,7809,15475,4319,3595,177,138,804,781,377,1219,277,168,5954,5901,11848,2826,2120,108,75,398,433,451,1443,177,107,3954,4185,8139,1714,1119,54,25,174,205,429,1658,92,74,2465,3075,5538,988,515
107,2064,3736,5802,55016,55220,3013,3698,7981,10888,3109,11263,39980,33069,109097,114134,223235,23,21,0,4,0,4,0,7,9694,9233,9720,9264,18979,265,545,20,34,8,15,10,6,10564,9387,10863,9989,20855,1834,2863,78,165,45,104,8,17,7173,5816,9136,8963,18102,4294,5174,170,302,195,313,6,16,4065,3256,8733,9067,17796,5244,5561,304,446,394,606,17,40,2688,2227,8642,8878,17522,5898,6191,420,538,676,1068,23,78,2367,2021,9375,9888,19271,5604,5856,464,571,977,1524,56,133,2079,1616,9179,9698,18880,5941,6087,462,563,1346,1726,88,260,1880,1296,9716,9932,19648,5996,6030,434,522,1415,1904,136,438,1399,947,9371,9841,19216,5597,5597,372,349,1196,1724,188,673,795,545,8143,8884,17020,5508,5050,299,269,1047,1340,285,996,491,302,7631,7956,15589,4372,3867,177,168,688,937,393,1357,317,180,5947,6508,12454,3269,2698,116,81,430,523,483,1884,198,121,4497,5299,9795,2294,1521,54,47,181,296,571,2123,112,71,3213,4056,7268,1584,797
108,2396,4012,6403,41482,41455,3075,3446,8455,9858,3255,10883,23311,19973,79579,85618,165191,9,3,0,4,4,4,0,3,5973,5697,5993,5706,11701,159,269,11,38,6,14,4,6,4145,3866,4327,4197,8522,784,1263,61,126,29,66,5,3,3264,2970,4135,4437,8570,1748,2180,145,240,96,191,3,22,2163,1911,4160,4538,8700,2241,2550,197,309,232,341,7,23,1724,1606,4396,4824,9218,2935,3230,290,441,462,716,23,69,1779,1542,5493,6001,11492,3171,3545,367,513,766,1101,47,118,1755,1351,6106,6632,12739,3700,4177,453,496,1064,1476,67,218,1648,1189,6933,7556,14490,4413,4946,482,534,1432,1804,135,409,1290,930,7749,8617,16370,4959,5237,470,391,1579,1655,201,668,989,597,8199,8541,16744,6060,5783,456,351,1511,1638,340,958,539,397,8909,9122,18036,5167,4451,287,181,1119,1089,436,1535,394,241,7413,7495,14904,3659,2923,171,115,672,578,573,1782,213,137,5284,5532,10815,2317,1577,67,45,327,318,593,1966,123,106,3425,4014,7443,1692,865
109,914,1650,2567,22521,22595,1453,1622,3707,4127,1480,4837,14591,12177,43749,45350,89101,19,12,0,0,3,3,0,0,3490,3376,3514,3393,6902,91,196,7,18,0,3,3,6,3084,2900,3184,3128,6312,651,998,36,74,23,30,3,3,2259,2011,2972,3115,6079,1496,1763,71,114,68,94,4,8,1446,1258,3082,3249,6330,1651,1882,112,163,137,216,4,15,1006,878,2912,3156,6070,1987,2108,153,218,241,366,9,30,904,760,3293,3481,6768,2058,2180,211,226,395,561,18,55,864,698,3551,3717,7266,2183,2381,189,210,544,703,37,81,758,483,3716,3865,7576,2605,2692,190,225,629,753,69,182,602,394,4099,4243,8340,2572,2611,217,188,669,665,96,286,432,244,3993,3998,7989,2702,2482,193,150,575,573,165,451,298,121,3937,3775,7713,2097,1863,115,69,370,377,208,630,185,94,2976,3035,6011,1528,1231,66,43,256,205,242,842,115,76,2205,2394,4607,979,653,31,22,101,97,268,904,67,59,1439,1739,3181,661,320
110,1206,2416,3621,34224,34112,2288,2566,5398,6140,2180,7810,24087,20948,68178,71583,139761,24,15,5,3,4,0,3,0,5959,5578,5990,5599,11589,188,354,17,36,8,8,4,4,5010,4865,5234,5270,10511,1157,1693,89,160,32,67,9,8,3686,3333,4968,5258,10224,2225,2597,149,209,114,192,10,28,2381,2079,4875,5111,9985,2549,2809,223,251,211,274,10,34,1620,1627,4614,4998,9607,3038,3213,249,337,374,510,16,65,1515,1339,5192,5459,10654,3202,3388,318,370,569,728,25,103,1438,1184,5551,5774,11322,3412,3712,336,411,801,975,57,163,1285,929,5893,6183,12081,3731,4023,339,397,934,1126,104,299,1080,709,6182,6557,12742,3818,3618,308,275,971,964,155,412,715,454,5972,5725,11694,3723,3410,269,206,861,851,236,794,472,254,5568,5514,11079,3051,2589,156,117,550,560,343,1053,314,153,4420,4480,8900,2182,1772,98,64,285,312,389,1356,220,124,3171,3623,6791,1384,808,51,26,144,140,390,1368,102,99,2056,2435,4497,797,412
