SA2_MAINCODE_2016,C11_2500_2999_R650m,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R0_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650mo,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000m_R0_74,C11_4000m_R75_99,C11_4000m_R100_149,C11_4000m_R150_199,C11_4000m_R200_224,C11_4000m_R225_274,C11_4000m_R275_349,C11_4000m_R350_449,C11_4000m_R450_549,C11_4000m_R550_649,C11_4000m_R650m,C11_4000m_R_NS,C11_4000m_R_Tot,C11_PI_S_R0_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650m,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R0_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot,C16_N_inc_R0_74,C16_N_inc_R75_99,C16_Ne_Ni_inc_R100_149,C16_Ne_Ni_inc_R150_199,C16_Ne_Ni_inc_R200_224,C16_Ne_Ni_inc_R225_274,C16_Ne_Ni_inc_R275_349,C16_Ne_Ni_inc_R350_449,C16_Ne_Ni_inc_R450_549,C16_Ne_Ni_inc_R550_649,C16_Ne_Ni_inc_R650m,C16_Ne_Nil_inc_R_NS,C16_N_inc_R_Tot,C16_1_149_R0_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_149,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650m,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R0_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R150_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650m,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R0_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650m,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R0_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650m,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R0_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650m,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R0_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650m,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R0_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650m,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R0_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650m,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R0_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650m,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R0_74,C16_1500_1999_R75_99
101041017,0,0,22,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,5,0,10,10,5,0,0,0,0,57,0,3,7,9,6,3,0,3,0,0,0,5,43,62,48,99,131,110,219,184,80,12,3,12,24,979,0,0,3,0,0,3,0,0,0,0,0,3,10,0,0,3,3,0,0,0,0,0,0,0,0,11,3,4,11,8,8,8,3,3,0,0,0,4,52,3,3,19,9,3,8,11,0,0,0,0,3,65,3,0,18,21,13,26,16,6,0,0,0,3,102,0,0,9,10,19,20,22,7,0,0,0,5,94,3,0,5,19,15,31,29,18,3,0,0,3,123,0,0,3,10,8,16,37,15,0,0,0,0,92,0,0,4,7,4,12,40,24,0,0,0,3,101,4,0,0,7,3,22,35,19,3,0,0,0,91,0,0
101041018,0,0,17,0,0,0,0,0,0,4,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,19,18,7,0,0,0,0,58,0,0,3,3,7,4,0,0,0,0,0,4,21,42,7,59,123,104,223,228,90,7,0,14,28,916,0,0,3,0,0,3,3,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,10,3,3,0,3,0,0,0,0,31,0,0,3,3,9,12,7,0,0,0,0,0,40,3,0,11,10,11,26,23,5,0,0,0,0,90,0,0,0,11,12,27,22,8,0,0,0,0,89,3,0,3,12,6,22,30,18,0,0,0,3,99,3,0,3,10,4,23,31,19,0,0,0,0,95,5,0,0,10,7,22,38,28,0,0,0,0,110,0,0,0,3,5,10,28,29,3,0,0,0,82,4,0
101041019,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,3,14,11,4,0,0,0,8,67,3,0,3,4,3,3,3,0,0,0,0,6,33,72,63,94,185,128,163,109,27,3,0,6,41,884,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,8,0,0,5,3,3,8,3,0,0,0,0,4,27,3,3,16,13,8,11,5,0,0,0,0,3,62,4,8,24,16,12,16,13,9,0,0,0,3,104,0,0,10,13,13,12,25,9,0,0,0,0,80,6,0,6,18,19,13,25,7,0,0,0,0,91,3,0,3,3,7,16,36,15,0,0,0,0,91,3,0,4,10,6,19,46,9,0,0,0,4,106,3,0,4,3,3,25,28,12,0,0,0,0,76,3,0
101041020,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,3,3,4,5,0,0,0,0,3,38,0,0,4,0,0,0,0,0,0,0,0,0,8,92,20,83,101,63,47,36,6,0,0,3,30,482,0,0,4,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,3,0,0,0,0,0,7,7,0,3,6,4,3,0,0,0,0,0,0,24,11,0,7,3,3,3,3,0,0,0,0,0,29,15,0,13,12,3,12,0,0,0,0,0,0,62,0,0,0,4,9,16,3,3,0,0,0,3,36,11,0,3,3,11,11,5,0,0,0,0,0,44,8,0,4,3,8,5,9,3,0,0,0,0,42,8,0,0,7,8,8,15,0,0,0,0,3,44,7,0,3,0,0,12,3,4,0,0,0,3,37,11,0
101041021,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,5,7,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,11,17,0,31,46,46,74,45,17,3,0,4,9,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,11,4,0,3,13,3,14,0,3,0,0,0,0,38,0,0,0,4,3,0,0,3,0,0,0,0,16,3,0,0,5,0,6,11,3,0,0,0,0,38,3,0,0,6,3,10,10,6,0,0,0,0,33,3,0,0,0,0,4,8,3,0,0,0,0,31,3,0,0,0,0,3,6,11,3,0,0,0,28,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,11,8,0,0,0,0,0,33,0,3,5,0,0,0,0,0,0,0,0,0,12,24,33,77,101,46,97,63,6,0,0,5,21,476,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,0,0,0,0,0,0,6,3,0,11,6,0,3,0,0,0,0,0,0,29,0,0,13,6,3,3,4,0,0,0,0,0,34,3,4,21,8,11,9,9,0,0,0,0,0,62,0,0,0,10,7,12,6,0,0,0,0,0,31,0,0,0,7,5,21,14,3,0,0,0,0,53,8,0,3,3,3,5,10,3,0,0,0,4,39,0,0,3,8,4,4,12,8,0,0,0,0,43,0,0,0,0,3,9,12,5,0,0,0,0,25,0,0
101041024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,45,3,59,32,24,28,16,8,0,3,5,13,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,3,0,0,0,0,0,0,0,0,9,6,0,0,3,3,0,0,0,0,0,0,0,18,4,0,4,0,4,3,4,0,0,0,0,0,24,5,0,0,3,3,3,0,0,0,0,0,0,14,0,0,5,4,0,0,3,0,0,0,0,0,18,13,0,0,5,0,0,3,0,0,0,0,0,24,8,0,3,3,4,3,7,4,0,0,0,0,26,3,0,0,3,0,0,3,0,0,0,0,3,15,0,0
101041025,0,0,22,0,0,0,0,0,0,6,3,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,3,3,15,17,5,4,0,0,0,56,3,0,0,7,0,0,3,0,0,0,0,8,30,62,23,72,213,137,207,213,80,13,3,15,41,1080,0,0,0,0,0,0,3,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,8,4,7,0,0,0,0,0,4,32,4,0,7,11,3,4,6,0,0,0,0,0,46,4,0,16,33,25,15,12,10,0,0,3,0,114,3,0,4,13,21,32,18,7,0,0,0,0,112,6,0,4,10,15,17,24,14,0,0,0,4,100,6,0,3,9,10,26,21,12,0,0,0,6,93,0,0,5,8,8,18,36,29,3,0,0,0,116,3,0,3,10,7,14,24,34,0,0,0,0,100,3,0
101041026,0,0,6,0,0,0,0,0,0,3,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,4,25,3,3,0,0,0,0,56,0,0,3,3,3,7,3,0,0,0,0,9,32,59,39,101,126,112,174,94,21,0,0,5,28,756,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,3,0,3,0,0,0,0,0,0,8,7,0,9,5,3,5,6,0,0,0,0,3,34,9,0,13,7,3,10,3,0,0,0,0,0,50,8,0,17,23,11,13,14,5,0,0,0,4,94,5,0,8,17,8,18,11,3,0,0,0,0,69,3,0,0,5,10,25,23,6,0,0,0,5,88,0,0,7,13,8,20,26,10,3,0,0,0,88,4,3,0,9,3,25,24,9,0,0,0,0,87,0,0,0,4,0,9,18,12,3,0,0,0,46,3,0
101041027,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,8,9,9,7,0,0,0,0,8,52,6,5,5,13,6,8,0,0,0,0,0,4,38,79,52,84,209,141,184,85,13,6,0,3,35,892,0,0,0,3,0,3,3,0,0,0,0,0,8,0,0,0,3,3,3,0,0,0,0,0,0,13,3,0,7,5,11,3,3,0,0,0,0,3,37,3,3,23,17,9,6,0,0,0,0,0,0,72,12,5,15,37,15,26,7,3,0,0,0,8,134,5,0,12,20,18,26,16,3,0,0,3,3,95,10,0,3,11,14,25,24,7,0,0,0,3,103,3,0,10,4,8,19,23,4,3,0,0,0,78,3,0,3,10,6,18,29,3,0,0,0,0,76,0,0,5,0,13,8,22,4,5,0,0,3,61,4,0
