SA2_MAINCODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
101021007,0,0,0,0,0,0,0,0,0,3,4,8,13,20,15,9,13,12,7,0,0,0,18,127,12,5,13,7,54,44,87,66,157,113,108,65,66,56,138,994
101021008,0,0,0,0,0,0,3,6,3,3,14,26,21,32,45,44,84,56,43,14,13,0,50,469,16,6,19,31,57,51,129,102,286,280,303,225,285,186,223,2193
101021009,0,0,0,0,0,0,3,0,7,4,3,14,23,32,40,46,82,84,45,22,17,11,51,492,22,10,13,18,57,62,161,155,391,369,344,255,268,160,239,2520
101021010,0,0,0,0,0,0,0,4,0,0,5,6,5,14,14,22,45,17,16,3,5,5,21,176,3,3,11,8,14,31,50,68,199,136,172,103,136,126,122,1186
101021011,0,0,0,0,0,0,0,0,10,0,8,13,16,24,13,22,60,54,56,22,21,11,45,363,32,10,22,19,53,53,99,117,410,472,562,504,839,867,529,4576
101021012,0,0,0,0,0,0,3,3,5,0,5,7,11,13,27,37,72,78,68,24,31,13,49,451,14,7,15,8,36,31,83,94,263,331,414,385,647,729,384,3441
101031013,0,0,0,0,0,0,0,0,0,0,3,3,7,9,8,13,12,5,3,0,3,0,12,77,7,3,8,5,24,18,54,36,123,78,64,45,32,11,70,598
101031014,0,0,0,0,0,0,3,10,3,3,17,16,26,30,43,31,70,25,13,6,5,0,45,339,8,6,21,19,67,56,183,114,298,234,187,105,92,62,219,1677
101031015,0,0,0,0,0,0,0,0,0,0,3,3,3,4,8,9,17,4,4,3,0,0,3,66,3,8,4,5,35,24,80,59,162,114,95,66,71,55,102,890
101031016,0,0,0,0,0,0,0,0,3,3,6,10,5,24,17,9,44,22,17,7,6,3,21,200,9,8,12,14,23,42,100,78,269,231,243,137,133,74,212,1594
101041017,0,0,0,0,0,0,0,0,3,3,11,15,28,49,44,56,77,22,17,3,3,0,41,377,27,12,21,17,96,94,284,190,460,225,155,84,55,43,227,1997
101041018,0,0,0,0,0,0,5,3,3,0,11,16,25,56,48,61,76,30,7,5,3,0,54,397,18,13,33,26,94,100,305,196,564,267,202,104,82,45,241,2290
101041019,0,0,0,0,0,0,4,5,7,4,14,14,29,43,48,33,77,25,8,8,0,0,45,362,15,9,21,19,75,75,215,184,458,269,241,127,112,73,269,2172
101041020,0,0,0,0,0,0,0,3,0,4,14,12,27,35,28,40,45,20,7,3,0,0,47,297,20,36,33,21,134,120,266,190,514,274,232,114,98,47,345,2439
101041021,0,0,0,0,0,0,0,0,0,0,0,6,5,11,20,24,24,14,3,4,0,0,17,133,7,3,7,3,26,26,98,73,176,112,88,53,47,33,108,863
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101041023,0,0,0,0,0,0,0,3,0,0,5,9,14,10,35,23,22,11,0,0,0,0,23,159,10,4,16,13,48,22,103,76,165,83,87,42,21,5,112,805
101041024,0,0,0,0,0,0,0,0,0,0,6,4,10,16,13,13,21,13,6,0,0,0,22,131,10,7,18,11,38,42,88,92,197,119,80,48,32,19,125,925
101041025,0,0,0,0,0,0,8,8,0,5,3,17,38,50,40,43,69,45,15,5,4,3,65,403,20,12,21,21,134,106,344,256,644,368,276,152,137,85,314,2887
101041026,0,0,0,0,0,0,3,5,3,0,11,14,28,31,43,53,69,27,15,3,3,0,50,341,5,15,23,24,104,83,322,229,498,271,195,91,79,46,256,2233
101041027,0,0,0,0,0,0,3,3,4,3,13,20,29,29,52,36,52,17,7,6,0,3,50,330,31,18,17,32,122,97,368,234,582,248,176,102,71,46,282,2418
101051539,0,0,0,0,0,0,10,18,11,9,36,45,89,122,142,141,239,109,57,22,18,5,122,1171,42,37,43,63,205,180,493,428,1050,731,693,447,401,229,631,5662
101051540,0,0,0,0,0,0,6,4,5,8,11,14,19,46,42,40,78,34,17,7,0,7,48,384,36,24,31,34,125,120,320,247,544,430,377,262,245,169,431,3390
101061541,0,0,0,0,0,0,0,0,0,4,7,6,3,27,29,19,47,36,28,13,5,0,34,258,7,12,8,16,23,43,113,102,255,223,250,167,164,112,181,1673
101061542,0,0,0,0,0,0,0,7,10,0,6,10,20,19,21,21,49,31,30,8,8,13,37,286,20,9,14,12,60,57,120,127,419,325,362,294,445,561,362,3190
101061543,0,0,0,0,0,0,4,15,9,0,14,42,50,69,64,64,88,34,13,6,6,0,71,533,24,11,29,49,139,124,299,215,542,366,234,139,104,61,301,2640
101061544,0,0,0,0,0,0,5,10,4,6,9,15,19,37,40,31,41,12,14,3,6,3,31,273,27,16,19,20,81,75,253,151,341,257,174,89,95,85,270,1951
102011028,0,0,0,0,0,0,4,4,3,0,8,9,12,27,23,28,59,39,26,12,11,7,40,319,16,7,10,11,38,50,88,91,263,244,261,213,245,216,256,1997
102011029,0,0,0,0,0,0,4,4,10,3,5,9,19,45,39,36,83,37,28,7,7,6,53,390,27,13,20,13,82,75,265,196,492,335,344,277,284,275,346,3045
102011030,0,0,0,0,0,0,0,0,7,0,0,6,9,14,11,9,32,16,8,3,3,0,9,129,16,4,8,10,36,32,65,72,198,157,152,73,101,114,146,1190
102011031,0,0,0,0,0,0,0,8,6,6,8,12,26,27,54,57,115,65,49,20,11,10,72,528,46,16,18,23,89,92,312,245,553,406,427,268,380,356,429,3658
102011032,0,0,0,0,0,0,6,9,16,9,30,32,61,111,110,130,200,125,62,26,19,10,125,1056,43,30,43,44,137,175,367,340,840,665,616,360,357,236,471,4714
102011033,0,0,0,0,0,0,0,0,0,0,8,9,15,23,35,33,62,36,26,12,6,0,28,276,5,4,12,13,25,42,93,86,243,260,259,176,193,80,188,1687
102011034,0,0,0,0,0,0,0,5,8,3,10,11,22,33,34,34,81,34,23,10,4,4,41,359,12,8,9,19,65,58,208,135,357,227,215,143,169,109,236,1978
102011035,0,0,0,0,0,0,0,0,0,0,12,10,24,33,22,39,74,46,23,13,11,0,46,354,14,5,12,19,38,50,113,129,321,247,266,154,182,100,193,1847
102011036,0,0,0,0,0,0,0,0,3,7,7,8,14,31,34,42,56,38,27,8,8,3,50,328,16,5,8,9,32,58,120,130,339,297,340,216,216,142,222,2155
102011037,0,0,0,0,0,0,0,4,4,0,11,7,13,25,26,30,55,48,22,8,5,0,23,266,5,0,13,5,33,40,135,123,267,239,235,167,153,119,174,1709
102011038,0,0,0,0,0,0,0,0,0,0,0,5,8,23,25,23,58,43,23,9,5,3,44,280,11,14,4,10,47,47,162,115,331,242,223,175,204,133,237,1952
102011039,0,0,0,0,0,0,0,3,5,3,10,13,17,44,38,58,90,83,49,12,33,6,78,526,42,11,20,18,76,79,195,201,501,425,453,333,463,415,425,3659
102011040,0,0,0,0,0,0,16,19,23,7,24,44,77,153,154,175,292,132,66,29,17,12,161,1372,60,40,48,62,242,242,656,493,1175,745,674,448,374,238,686,6181
102011041,0,0,0,0,0,0,3,5,4,0,3,6,13,30,31,36,72,59,28,15,15,5,39,341,24,6,12,12,50,56,150,116,368,334,331,281,322,278,340,2675
102011042,0,0,0,0,0,0,5,12,7,10,21,24,43,83,82,98,156,64,40,21,17,6,93,780,25,21,33,31,134,148,356,289,644,441,369,263,243,172,381,3555
102011043,0,0,0,0,0,0,4,3,10,3,13,21,29,56,60,68,121,74,53,17,11,3,78,614,26,20,18,30,87,90,250,231,505,435,395,247,170,88,325,2902
102021044,0,0,0,0,0,0,11,14,17,8,37,42,70,138,121,160,274,160,81,28,17,14,166,1333,44,26,57,50,177,201,492,445,1037,855,739,440,429,189,637,5815
102021045,0,0,0,0,0,0,6,8,11,0,16,35,55,101,111,94,165,72,25,15,10,4,82,802,17,12,26,45,114,142,332,235,581,468,334,169,137,50,297,2972
102021046,0,0,0,0,0,0,8,9,4,8,12,28,40,57,68,61,110,45,16,6,3,0,72,529,21,19,19,31,102,102,337,210,474,338,242,167,111,66,299,2534
102021047,0,0,0,0,0,0,5,3,9,6,12,16,37,70,74,92,148,83,59,18,14,4,67,702,37,14,29,23,92,115,302,293,697,568,594,404,363,208,456,4186
102021048,0,0,0,0,0,0,19,20,15,11,38,47,92,162,186,182,266,145,52,28,13,7,138,1372,58,35,60,63,217,237,672,447,1063,779,609,327,251,132,624,5566
102021049,0,0,0,0,0,0,0,0,3,0,6,0,3,5,7,11,9,11,4,3,3,3,12,81,7,6,6,0,11,13,33,50,119,109,102,90,99,105,102,864
102021050,0,0,0,0,0,0,7,8,3,0,9,25,38,54,52,67,95,53,31,21,6,4,67,528,18,12,20,36,118,93,518,219,550,372,296,187,142,69,328,2991
102021051,0,0,0,0,0,0,0,0,0,3,4,4,15,21,17,26,50,29,18,11,7,3,24,212,9,9,9,3,30,25,77,67,203,174,207,140,136,100,140,1326
102021052,0,0,0,0,0,0,0,0,3,3,3,17,16,36,25,37,57,18,13,3,0,0,32,275,17,7,9,21,63,67,173,137,315,214,189,105,79,42,194,1635
102021053,0,0,0,0,0,0,7,9,12,8,20,29,79,126,112,116,193,103,48,14,13,7,108,978,42,25,35,38,168,171,427,338,718,472,378,214,214,130,402,3767
102021054,0,0,0,0,0,0,3,4,13,0,13,16,38,66,73,71,96,54,26,9,11,0,88,560,30,8,16,18,104,104,327,197,446,315,246,159,123,74,299,2465
102021055,0,0,0,0,0,0,0,3,3,4,10,9,8,24,33,28,51,31,22,4,0,3,22,257,14,8,14,9,34,41,106,76,228,205,206,126,113,86,145,1406
102021056,0,0,0,0,0,0,0,0,12,7,18,20,30,88,58,83,143,90,54,17,13,3,66,692,35,18,30,30,93,132,310,228,603,583,581,437,400,174,370,4031
102021057,0,0,0,0,0,0,5,8,7,4,24,33,44,79,89,67,118,49,30,4,5,0,67,616,30,15,33,44,101,108,257,169,410,292,228,120,116,52,265,2216
103011058,0,0,0,0,0,0,8,12,7,6,29,38,64,151,131,142,221,105,62,20,17,7,117,1118,36,20,45,56,164,218,448,377,961,702,701,466,498,255,566,5514
103011059,0,0,0,0,0,0,7,9,4,6,23,36,37,61,66,40,97,73,20,3,8,0,64,537,22,18,29,34,86,93,211,170,456,399,352,287,274,143,319,2899
103011060,0,0,0,0,0,0,0,0,3,0,9,12,12,21,16,15,29,19,12,3,3,0,27,181,9,9,20,16,48,55,125,110,304,200,233,136,163,95,225,1749
103011061,0,0,0,0,0,0,3,3,3,4,10,10,9,12,21,23,27,21,13,0,0,0,34,182,15,7,16,10,40,30,117,55,218,176,145,71,63,42,162,1172
103021062,3,0,0,0,0,0,3,7,5,3,6,17,18,41,34,36,46,20,10,0,0,0,46,283,31,13,24,25,66,72,161,107,314,202,182,83,62,61,228,1633
103021063,0,0,0,0,0,0,3,3,8,3,16,22,43,66,66,64,74,25,11,0,3,4,44,441,13,11,30,32,96,103,300,209,496,270,236,113,104,63,251,2326
103021064,0,0,0,0,0,0,0,0,3,0,13,16,13,23,28,29,40,16,7,3,0,0,20,206,11,11,22,22,63,52,163,109,300,178,141,72,64,48,171,1429
103021065,0,0,0,0,0,0,7,12,3,4,20,17,31,52,49,53,86,34,13,3,3,6,60,429,25,20,29,24,96,94,277,201,510,308,256,146,147,79,321,2526
103021066,0,0,0,0,0,0,0,0,3,0,4,7,15,10,14,17,28,3,3,0,3,0,7,113,7,5,13,11,46,33,130,78,202,89,71,49,40,43,100,934
103021067,3,0,0,0,0,0,3,11,8,5,15,39,48,80,80,48,89,41,23,3,3,3,61,551,27,12,25,40,112,103,253,186,431,367,299,202,177,112,361,2723
103021068,0,0,0,0,0,0,3,3,0,7,6,8,11,21,16,18,12,7,7,0,3,0,26,133,8,12,9,6,45,44,86,60,160,85,97,44,44,27,119,842
103021069,0,0,0,0,0,0,0,5,0,0,10,13,22,26,33,25,48,14,8,4,8,0,24,227,19,5,18,17,63,51,137,102,282,191,140,77,97,63,204,1473
103031070,0,0,0,0,0,0,9,12,10,7,27,44,47,96,107,74,106,49,37,7,5,3,75,688,23,20,39,51,126,163,380,245,532,334,302,179,200,149,339,3080
103031071,0,0,0,0,0,0,9,6,3,3,13,12,26,33,42,32,43,23,12,9,4,3,52,312,29,24,27,24,88,65,218,159,315,225,224,133,143,120,269,2063
103031072,0,0,0,0,0,0,9,17,0,7,16,28,42,61,68,67,73,38,31,5,5,3,58,505,14,15,22,35,97,94,262,179,482,328,342,230,272,215,308,2913
103031073,0,0,0,0,0,0,0,0,3,4,11,10,19,25,20,12,26,5,3,0,0,0,13,155,8,11,10,18,61,36,128,68,153,82,69,33,25,33,110,852
103031074,0,0,0,0,0,0,3,3,3,3,20,10,33,39,49,32,44,18,10,4,3,3,52,336,27,20,33,26,142,101,275,192,405,300,249,178,138,125,374,2578
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,0,0,0,0,0,0,3,6,3,4,15,16,20,30,35,38,51,23,16,5,3,0,43,297,12,12,23,24,58,57,158,127,322,252,234,146,161,93,227,1907
103041077,0,0,0,0,0,0,12,16,11,11,34,34,64,143,139,108,207,67,54,23,18,3,124,1036,40,29,42,46,180,221,447,314,858,560,490,328,261,229,470,4513
103041078,0,0,0,0,0,0,13,15,16,11,19,36,49,97,100,92,132,88,64,22,16,0,98,841,38,28,41,43,127,141,339,264,751,715,721,487,532,373,550,5145
103041079,0,0,0,0,0,0,5,5,0,6,3,9,10,35,32,32,63,33,15,4,0,6,46,305,25,19,19,17,75,81,224,174,491,370,392,256,294,254,408,3098
104011080,0,0,0,0,0,0,3,14,15,9,41,50,74,174,150,162,194,64,28,11,16,5,107,1109,29,21,66,63,203,254,605,459,949,579,405,245,193,102,486,4649
104011081,3,0,0,0,0,0,7,12,6,5,22,30,43,92,90,74,99,53,17,6,3,0,81,624,39,32,48,51,202,206,578,368,798,513,336,182,151,73,498,4078
104011082,0,0,0,0,0,0,7,13,3,3,20,31,55,90,101,104,111,56,20,5,0,0,97,700,41,41,38,48,268,194,747,477,905,482,355,177,142,95,517,4524
104021083,0,0,0,0,0,0,3,5,4,0,5,16,18,53,43,35,57,24,9,0,4,3,58,329,9,5,16,16,61,82,167,134,330,207,144,72,57,45,199,1542
104021084,0,0,0,0,0,0,11,21,16,7,17,39,58,114,135,149,210,86,42,10,10,7,132,1029,37,20,34,48,178,183,490,383,924,563,468,255,218,137,473,4412
104021085,0,0,0,0,0,0,3,5,6,3,9,15,44,65,61,63,117,50,18,3,3,0,68,531,23,12,20,14,100,97,264,204,496,319,234,128,138,83,258,2389
104021086,0,0,0,0,0,0,0,0,4,4,7,4,9,11,17,22,29,14,3,3,0,3,18,141,15,7,4,8,36,37,91,94,183,159,120,67,51,38,136,1031
104021087,0,0,0,0,0,0,3,3,0,4,8,9,7,31,21,13,23,11,0,0,0,0,21,155,10,16,12,14,44,56,84,83,175,101,47,30,26,16,119,827
104021088,0,0,0,0,0,0,0,0,8,3,5,9,14,31,50,38,75,38,24,3,3,0,33,338,24,12,16,13,65,66,200,179,434,348,289,182,209,161,289,2490
104021089,0,0,0,0,0,0,4,7,11,11,25,53,62,127,156,138,210,68,42,12,7,10,100,1023,41,17,40,62,204,204,624,471,1070,668,548,358,276,140,533,5257
104021090,0,0,0,0,0,0,3,3,0,4,4,11,23,35,28,29,49,15,4,4,0,3,32,232,5,3,13,12,56,62,171,120,262,166,119,78,63,23,134,1281
104021091,0,0,0,0,0,0,7,11,8,3,17,21,42,80,80,77,106,47,25,5,5,0,78,594,39,9,29,29,140,155,406,296,668,443,348,191,160,73,370,3352
105011092,0,0,0,0,0,0,5,11,5,8,10,21,15,17,28,34,33,14,4,3,4,3,50,246,14,11,15,17,36,26,71,74,116,96,77,52,54,22,181,859
105011093,0,0,0,0,0,0,4,6,6,0,3,8,9,12,22,15,23,16,10,10,0,0,27,172,10,12,6,15,36,34,88,59,122,117,147,106,117,92,141,1107
105011094,0,0,0,0,0,0,5,12,3,3,9,12,28,35,20,26,31,6,12,3,8,3,37,227,14,7,7,10,44,51,101,61,169,103,93,45,48,24,150,944
105011095,0,0,0,0,0,0,5,5,4,0,10,6,28,14,33,15,40,14,6,0,4,0,30,206,15,3,15,11,57,36,117,81,170,136,141,93,72,49,212,1196
105011096,0,0,0,0,0,0,12,17,4,4,25,24,34,48,46,49,55,10,12,0,9,0,71,393,28,16,35,30,94,86,163,125,249,126,107,66,44,41,225,1434
105021097,0,0,0,0,0,0,20,24,7,15,32,61,87,141,116,135,168,83,42,10,9,7,140,1059,24,22,46,64,225,216,514,366,716,483,414,296,277,173,611,4460
105021098,0,0,0,0,0,0,0,0,3,0,7,7,16,7,8,17,23,7,4,0,0,0,18,119,15,5,10,10,31,21,45,44,101,40,39,21,22,18,95,517
105031099,0,0,0,0,0,0,4,8,3,7,6,16,33,50,55,39,39,18,17,0,6,0,51,335,23,17,17,28,119,89,287,186,370,193,177,79,71,45,294,1993
105031100,0,0,0,0,0,0,5,9,3,4,13,19,44,66,75,81,124,38,29,10,6,3,66,585,21,6,18,28,84,93,202,174,462,325,331,231,190,103,328,2596
105031101,0,0,0,0,0,0,8,6,7,4,31,27,45,100,92,96,165,97,44,13,10,3,98,844,17,12,43,36,107,150,332,271,717,647,516,359,320,195,477,4206
105031102,0,0,0,0,0,0,6,6,9,0,10,33,38,50,50,63,103,22,26,9,9,0,62,476,22,9,14,34,76,72,170,155,418,271,251,165,185,108,280,2237
105031103,0,0,0,0,0,0,0,0,0,0,5,6,15,16,11,14,29,13,13,3,7,0,23,158,13,11,7,14,52,47,104,78,242,196,192,130,113,96,226,1524
105031104,0,0,0,0,0,0,9,9,6,0,6,11,25,21,27,25,39,10,5,0,3,0,28,204,16,11,8,8,57,42,139,91,220,122,101,56,56,37,161,1122
105031105,0,0,0,0,0,0,3,3,7,3,14,14,26,52,42,32,54,23,10,7,6,0,44,325,19,14,21,19,52,86,168,109,272,208,175,105,97,54,245,1630
105031106,0,0,0,0,0,0,3,7,3,7,18,18,42,58,54,46,71,19,19,8,3,0,73,438,12,11,38,24,102,85,255,146,355,206,148,104,110,59,302,1963
106011107,0,0,0,0,0,0,0,0,7,3,7,23,28,37,49,36,74,39,26,5,6,3,51,392,19,11,17,28,78,68,186,127,400,341,405,280,262,229,301,2742
106011108,0,0,0,0,0,0,5,9,22,12,44,71,105,197,219,149,228,127,47,18,10,10,134,1394,52,24,66,86,225,293,708,431,961,695,529,313,300,202,528,5412
106011109,0,0,0,0,0,0,0,0,0,3,10,18,26,27,44,35,52,37,16,4,3,0,30,307,12,14,16,21,71,55,175,137,317,277,271,145,166,122,248,2044
106011110,0,0,0,0,0,0,3,3,4,0,12,15,21,40,42,37,56,29,13,5,6,3,50,347,23,15,26,24,91,89,238,150,442,316,283,160,178,116,297,2447
106011111,0,0,0,0,0,0,14,20,11,5,32,51,86,141,133,124,167,86,32,9,11,5,151,1033,33,19,51,57,198,223,491,354,815,650,490,321,246,124,513,4589
106011112,0,0,0,0,0,0,0,8,11,3,18,31,49,89,74,73,124,68,38,13,15,10,74,699,26,15,29,36,110,142,240,197,556,466,559,382,430,399,484,4076
106011113,0,0,0,0,0,0,0,0,3,0,4,5,12,14,12,13,18,11,9,3,4,0,16,111,9,6,12,9,44,33,82,68,165,150,163,124,119,131,143,1260
106021114,0,0,0,0,0,0,0,4,7,3,3,8,22,40,47,46,62,21,19,12,3,3,25,331,14,4,9,15,55,58,129,109,263,248,258,168,104,106,129,1672
106021115,0,0,0,0,0,0,10,9,23,11,24,54,82,153,170,149,321,158,91,27,18,4,134,1413,54,37,42,69,214,248,651,480,1264,990,950,603,593,404,769,7377
106021116,0,0,0,0,0,0,0,5,3,3,3,3,7,23,32,30,59,35,22,9,3,0,27,253,12,10,10,11,36,46,125,102,268,253,242,199,291,263,245,2120
106021117,0,0,0,0,0,0,6,6,10,9,34,66,86,145,166,162,214,113,53,20,11,5,110,1201,32,20,49,80,215,236,552,414,962,806,761,539,458,285,606,6018
106021118,0,0,0,0,0,0,3,3,0,0,5,16,18,30,40,39,104,50,22,7,8,0,41,384,20,10,12,22,46,63,178,155,456,423,415,332,263,173,343,2901
106031119,0,0,0,0,0,0,0,0,3,0,6,11,17,21,20,31,48,24,9,7,7,3,33,242,5,6,12,11,65,49,153,117,260,180,171,109,80,62,220,1506
106031120,0,0,0,0,0,0,0,4,8,0,13,25,24,42,48,46,62,22,7,8,6,0,21,329,19,14,23,27,66,86,273,184,348,247,169,103,75,31,177,1834
106031121,0,0,0,0,0,0,0,9,11,7,22,24,49,82,101,112,191,94,40,10,13,4,78,840,50,39,49,31,224,172,607,473,1167,683,575,353,333,260,678,5695
106031122,0,0,0,0,0,0,10,10,7,5,33,50,70,137,127,100,170,86,34,26,8,3,83,951,20,13,49,58,149,192,356,288,686,498,386,265,148,77,351,3538
106031123,0,0,0,0,0,0,0,0,0,0,3,10,5,6,9,12,27,22,16,3,3,3,11,142,10,9,8,8,26,19,83,66,234,201,210,149,155,156,179,1526
106031124,0,0,0,0,0,0,3,3,0,3,7,7,12,18,24,21,27,7,7,0,4,0,26,155,11,12,15,10,86,53,252,163,318,149,101,64,48,41,157,1491
106031125,0,0,0,0,0,0,0,3,13,5,6,16,34,54,41,51,106,67,20,10,15,9,62,514,37,15,19,21,113,105,289,193,594,509,501,308,307,182,441,3639
106041126,0,0,0,0,0,0,11,8,17,13,26,38,58,96,81,64,85,39,38,4,15,5,79,654,38,27,39,48,117,138,228,192,420,340,379,265,271,184,331,3006
106041127,0,0,0,0,0,0,0,0,0,0,6,10,6,15,19,12,18,14,4,4,0,0,23,135,14,7,4,13,28,35,87,57,144,129,132,89,83,79,154,1044
106041128,0,0,0,0,0,0,4,3,4,5,3,8,14,17,31,30,48,22,9,4,3,3,32,224,12,3,6,8,30,27,124,85,251,161,182,138,132,108,172,1453
106041129,0,0,0,0,0,0,0,3,3,3,16,12,27,41,43,34,39,23,13,3,7,0,32,296,25,17,32,18,79,77,194,143,348,269,257,148,153,102,251,2105
107011131,0,0,0,0,0,0,6,10,13,5,32,51,77,155,156,137,257,130,77,32,16,12,143,1279,55,38,56,63,215,264,727,440,1178,912,864,474,392,216,603,6485
107011132,0,0,0,0,0,0,0,0,8,3,3,13,18,34,29,40,70,57,27,9,8,0,32,351,20,8,12,14,45,53,162,113,358,366,370,283,231,149,214,2405
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107011134,0,0,0,0,0,0,7,7,10,11,10,11,39,50,62,79,118,63,31,21,14,9,83,604,38,26,36,21,110,103,310,239,610,457,523,414,457,351,439,4129
107011545,0,0,0,0,0,0,16,18,10,10,21,26,71,96,122,109,160,80,35,19,11,3,117,897,42,33,38,32,197,164,431,299,635,490,373,214,153,93,397,3610
107011546,0,0,0,0,0,0,5,6,10,6,18,37,44,68,102,100,123,62,29,9,8,0,82,699,31,18,25,53,136,116,348,235,419,284,213,113,105,61,283,2439
107011547,0,0,0,0,0,0,0,3,0,3,7,12,17,29,12,12,42,22,18,3,3,0,19,199,9,13,15,13,47,40,162,68,168,125,138,74,93,42,115,1115
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107031136,0,0,0,0,0,0,4,3,6,3,13,22,23,68,47,81,138,86,43,23,10,3,65,629,21,18,20,29,72,118,268,218,605,600,576,429,358,185,424,3938
107031137,0,0,0,0,0,0,0,3,7,0,16,21,30,57,62,48,91,44,18,12,3,0,42,446,18,6,23,22,70,87,225,144,348,289,206,122,97,35,193,1892
107031138,0,0,0,0,0,0,3,7,0,0,12,8,16,23,32,34,42,42,21,14,8,0,25,276,20,16,20,15,67,64,164,152,378,297,236,137,208,183,220,2166
107031139,0,0,0,0,0,0,0,0,3,0,5,8,7,22,21,18,48,20,12,6,3,4,33,198,12,4,9,14,33,48,103,81,251,217,227,170,201,138,199,1704
107031140,0,0,0,0,0,0,0,0,3,4,3,4,7,18,20,26,41,30,14,6,6,7,33,219,6,8,9,4,49,47,121,133,330,251,210,202,226,207,254,2072
107031141,0,0,0,0,0,0,0,0,9,4,8,14,29,47,50,57,108,90,58,20,19,11,65,596,24,22,26,23,98,107,336,236,632,602,670,475,528,392,478,4646
107031142,0,0,0,0,0,0,0,0,3,3,14,20,28,53,62,69,125,54,27,11,11,3,52,536,21,13,27,23,74,99,284,182,528,361,338,213,197,129,289,2780
107031143,0,0,0,0,0,0,11,18,11,14,52,62,122,169,186,187,236,107,65,29,19,11,136,1409,57,29,62,89,273,258,722,472,972,690,530,307,274,130,608,5468
107041144,3,0,0,0,0,0,10,9,15,3,19,22,46,90,103,97,200,123,71,27,20,9,91,937,59,25,44,35,171,187,466,332,830,610,647,488,543,421,559,5417
107041145,0,0,0,0,0,0,8,11,7,3,33,37,73,89,109,92,165,83,61,24,15,6,108,905,24,20,46,45,170,149,372,265,637,491,499,352,310,210,461,4048
107041146,0,0,0,0,0,0,3,4,9,14,24,15,43,70,72,79,160,97,66,27,21,17,90,796,56,26,43,32,149,142,380,305,745,601,639,519,629,488,550,5307
107041147,0,0,0,0,0,0,0,3,6,0,0,4,13,15,27,23,55,38,26,11,14,9,40,273,12,6,4,6,35,30,96,79,269,267,345,293,351,285,282,2374
107041148,0,0,0,0,0,0,0,0,8,0,8,12,16,33,24,24,67,46,43,16,10,7,50,356,19,11,19,19,62,64,142,113,369,332,351,313,406,528,338,3090
107041150,0,0,0,0,0,0,3,8,15,10,16,22,47,63,90,80,172,96,63,33,27,14,102,836,42,22,38,35,116,123,392,241,686,587,626,554,687,546,590,5257
107041548,0,0,0,0,0,0,0,3,8,3,12,9,26,28,41,44,82,55,33,18,12,14,47,439,59,17,25,16,98,68,203,184,484,314,335,262,263,234,295,2861
107041549,0,0,0,0,0,0,0,4,13,6,22,22,32,70,72,75,110,93,62,13,20,8,73,693,63,33,46,35,138,145,295,249,570,459,442,301,320,265,394,3752
108011151,0,0,0,0,0,0,0,3,0,4,6,16,12,35,22,30,29,24,8,0,0,0,23,201,10,15,12,24,70,57,177,106,244,164,116,57,49,38,151,1287
108011152,0,0,0,0,0,0,3,3,11,7,21,24,62,75,118,106,148,52,28,5,6,3,89,751,47,29,35,40,210,150,641,396,819,394,267,178,147,105,430,3888
108011153,0,0,0,0,0,0,3,3,0,0,11,14,23,36,30,35,36,13,7,0,3,5,38,247,17,17,23,18,88,91,223,165,354,156,140,71,43,41,217,1676
108011154,0,0,0,0,0,0,0,3,0,0,5,11,28,31,46,50,52,22,3,0,0,0,39,299,15,15,13,19,115,68,348,156,318,141,93,49,37,27,180,1598
