SA2_MAINCODE_2016,C16_OTT_DS_FUA,C16_OTT_DS_OD,C16_OTT_DS_NS_,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_FUA,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS_,C16_TT_NS_T,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_FUA,C16_Tot_DS_OD,C16_Tot_DS_NS_,C16_T_T
101021007,0,0,0,15,215,3,3,4,0,230,1591,26,8,26,24,1674
101021008,0,0,0,15,151,36,9,0,0,205,2497,520,76,4,6,3104
101021009,3,0,0,39,146,121,208,40,0,514,2073,1137,1763,54,7,5037
101021010,0,0,0,6,45,49,65,0,0,158,835,597,716,0,4,2156
101021011,0,0,0,33,496,11,0,40,3,550,5581,28,20,102,27,5754
101021012,0,0,0,15,122,48,11,0,0,187,3496,695,83,3,6,4282
101031013,0,0,0,12,83,0,6,3,0,87,970,9,18,11,10,1024
101031014,0,0,0,15,183,24,34,10,27,273,2486,130,187,38,46,2889
101031015,0,0,3,12,130,0,0,4,7,148,1313,9,6,38,32,1403
101031016,7,10,17,73,156,36,413,28,120,755,1989,358,782,190,305,3622
101041017,14,6,0,52,165,41,57,58,0,329,2422,337,443,127,18,3355
101041018,0,3,0,19,209,41,36,15,6,307,2867,396,257,73,27,3609
101041019,0,0,0,33,251,28,27,18,4,327,3042,255,139,80,26,3540
101041020,0,0,0,47,287,0,3,16,0,311,3522,10,21,85,36,3685
101041021,0,0,0,52,74,30,17,24,3,145,1064,209,59,78,11,1428
101041022,0,0,0,0,4,0,0,0,0,4,12,0,0,3,0,17
101041023,0,0,0,8,97,7,7,21,3,142,1090,99,105,71,33,1399
101041024,0,3,0,19,106,0,0,17,0,125,1326,5,3,53,15,1409
101041025,22,4,0,75,196,96,40,55,3,386,3191,972,329,180,54,4715
101041026,4,3,0,30,205,10,23,19,5,267,3176,122,164,78,33,3571
101041027,5,7,3,43,287,32,31,26,8,390,3410,346,216,190,37,4207
101051539,3,0,3,82,464,80,63,35,33,674,7568,906,410,114,59,9058
101051540,0,6,0,52,452,11,3,17,5,483,4831,75,10,73,45,5040
101061541,0,0,0,34,132,31,10,9,0,177,2222,231,27,28,7,2515
101061542,0,0,0,38,253,0,0,14,8,270,3994,17,5,51,61,4135
101061543,3,0,0,26,273,20,25,11,6,339,3662,215,277,26,7,4192
101061544,3,3,0,40,246,26,12,9,8,292,2855,135,56,54,47,3143
102011028,0,0,0,8,101,8,9,7,3,130,2240,120,104,101,12,2580
102011029,25,0,0,53,171,6,12,38,0,233,3897,102,102,49,17,4163
102011030,0,4,0,22,198,0,0,23,10,232,1696,12,23,60,26,1820
102011031,6,0,0,178,240,67,18,0,4,329,4377,754,219,3,16,5370
102011032,48,0,6,96,213,137,358,86,12,802,3611,1444,3173,93,62,8390
102011033,0,0,0,4,82,14,0,3,0,106,1876,158,5,3,11,2054
102011034,19,0,0,284,83,91,7,0,0,176,1948,969,52,0,3,2971
102011035,0,0,0,5,82,16,0,0,3,99,2046,256,8,3,14,2325
102011036,35,0,0,36,79,12,18,16,0,127,2211,315,120,82,15,2747
102011037,3,0,0,10,91,10,12,3,13,135,2124,154,146,9,16,2454
102011038,35,0,0,85,108,21,19,0,0,144,2268,192,159,7,3,2634
102011039,0,0,0,19,175,16,60,0,9,264,3787,357,874,0,33,5049
102011040,40,0,0,81,447,165,61,46,7,726,6972,2022,622,369,54,10032
102011041,19,0,0,91,144,25,21,4,3,193,2871,318,178,19,7,3393
102011042,19,0,0,51,260,109,68,31,10,476,3966,1467,450,114,33,6026
102011043,3,0,0,227,169,119,9,27,3,319,3262,932,86,64,4,4346
102021044,3,0,7,132,409,153,14,21,5,595,6964,1069,223,38,33,8328
102021045,0,0,0,20,197,24,5,0,0,224,3723,90,9,10,3,3833
102021046,0,0,0,17,245,5,13,15,3,284,3613,77,138,83,16,3925
102021047,3,0,0,109,209,33,16,0,8,264,4866,345,232,3,9,5459
102021048,32,3,0,66,475,116,153,40,48,832,6867,620,992,148,67,8699
102021049,0,0,0,10,91,0,0,0,4,95,1047,11,10,3,7,1076
102021050,0,0,0,22,273,7,5,7,0,287,4334,28,46,40,12,4458
102021051,0,0,0,0,62,12,0,3,0,77,1352,342,9,7,3,1706
102021052,0,0,0,11,100,3,3,0,0,103,2170,28,25,16,0,2240
102021053,10,0,0,32,242,177,169,33,7,628,3188,2007,1468,135,75,6875
102021054,7,0,0,34,215,108,60,21,3,403,2990,727,355,82,21,4177
102021055,0,0,0,7,79,31,3,8,4,128,1447,343,25,11,12,1837
102021056,0,0,0,48,175,23,0,0,3,207,4492,296,7,7,11,4806
102021057,0,0,0,11,169,52,39,16,3,277,2667,431,241,65,18,3422
103011058,8,0,3,52,414,135,88,3,50,690,7072,1361,627,24,129,9214
103011059,0,0,5,23,167,25,23,15,8,245,3477,227,57,37,26,3818
103011060,0,0,0,23,266,0,0,0,0,271,2474,6,8,8,24,2520
103011061,0,0,0,12,202,4,8,5,4,223,1728,11,49,9,61,1868
103021062,0,0,0,23,316,10,16,19,4,355,2451,19,72,45,77,2664
103021063,3,0,0,30,309,18,44,12,0,380,3403,140,265,52,17,3878
103021064,0,0,0,21,176,12,6,6,4,207,2089,61,29,31,37,2251
103021065,0,7,0,34,333,13,27,30,0,407,3654,132,155,123,20,4082
103021066,0,0,0,16,151,13,0,0,0,164,1475,64,9,16,11,1569
