SA2_MAINCODE_2016,C06_N_in_1PF_1C,C06_N_in_1PF_2C,C06_N_in_1PF_3C,C06_N_in_1PF_4mor_c,C06_N_in_1PF_T,C06_1_149_1PF_1C,C06_1_149_1PF_2C,C06_1_149_1PF_3C,C06_1_149_1PF_4mC,C06_1_149_1PF_T,C06_150_299_1PF_1C,C06_150_299_1PF_2C,C06_150_299_1PF_3C,C06_150_299_1PF_4mC,C06_150_299_1PF_T,C06_300_399_1PF_1C,C06_300_399_1PF_2C,C06_300_399_1PF_3C,C06_300_399_1PF_4mC,C06_300_399_1PF_T,C06_400_499_1PF_1C,C06_400_499_1PF_2C,C06_400_499_1PF_3C,C06_400_499_1PF_4mC,C06_400_499_1PF_T,C06_500_649_1PF_1C,C06_500_649_1PF_2C,C06_500_649_1PF_3C,C06_500_649_1PF_4mC,C06_500_649_1PF_T,C06_650_799_1PF_1C,C06_650_799_1PF_2C,C06_650_799_1PF_3C,C06_650_799_1PF_4mC,C06_650_799_1PF_T,C06_800_999_1PF_1C,C06_800_999_1PF_2C,C06_800_999_1PF_3C,C06_800_999_1PF_4mC,C06_800_999_1PF_T,C06_1000_1499_1PF_1C,C06_1000_1499_1PF_2C,C06_1000_1499_1PF_3C,C06_1000_1499_1PF_4mC,C06_1000_1499_1PF_T,C06_1500_1999_1PF_1C,C06_1500_1999_1PF_2C,C06_1500_1999_1PF_3C,C06_1500_1999_1PF_4mC,C06_1500_1999_1PF_T,C06_2000_2499_1PF_1C,C06_2000_2499_1PF_2C,C06_2000_2499_1PF_3C,C06_2000_2499_1PF_4mC,C06_2000_2499_1PF_T,C06_2500_2999_1PF_1C,C06_2500_2999_1PF_2C,C06_2500_2999_1PF_3C,C06_2500_2999_1PF_4mC,C06_2500_2999_1PF_T,C06_3000_3999_1PF_1C,C06_3000_3999_1PF_2C,C06_3000_3999_1PF_3C,C06_3000_3999_1PF_4mC,C06_3000_3999_1PF_T,C06_4000m_1PF_1C,C06_4000m_1PF_2C,C06_4000m_1PF_3C,C06_4000m_1PF_4mo_ch,C06_4000m_1PF_T,C06_Par_inc_st_1PF_1C,C06_Par_inc_st_1PF_2C,C06_Par_inc_st_1PF_3C,C06_Par_inc_st_1PF_4mC,C06_Par_inc_st_1PF_T,C06_All_inc_ns_1PF_1Ch,C06_All_inc_ns_1PF_2C,C06_All_inc_ns_1PF_3C,C06_All_inc_ns_1PF_4mC,C06_All_inc_ns_1PF_T,C06_Tot_1PF_1C,C06_Tot_1PF_2C,C06_Tot_1PF_3C,C06_Tot_1PF_4mC,C06_Tot_1PF_T,C11_N_in_1PF_1C,C11_N_in_1PF_2C,C11_N_in_1PF_3C,C11_N_in_1PF_4mor_c,C11_N_in_1PF_T,C11_1_149_1PF_1C,C11_1_149_1PF_2C,C11_1_149_1PF_3C,C11_1_149_1PF_4mC,C11_1_149_1PF_T,C11_150_299_1PF_1C,C11_150_299_1PF_2C,C11_150_299_1PF_3C,C11_150_299_1PF_4mC,C11_150_299_1PF_T,C11_300_399_1PF_1C,C11_300_399_1PF_2C,C11_300_399_1PF_3C,C11_300_399_1PF_4mC,C11_300_399_1PF_T,C11_400_499_1PF_1C,C11_400_499_1PF_2C,C11_400_499_1PF_3C,C11_400_499_1PF_4mC,C11_400_499_1PF_T,C11_500_649_1PF_1C,C11_500_649_1PF_2C,C11_500_649_1PF_3C,C11_500_649_1PF_4mC,C11_500_649_1PF_T,C11_650_799_1PF_1C,C11_650_799_1PF_2C,C11_650_799_1PF_3C,C11_650_799_1PF_4mC,C11_650_799_1PF_T,C11_800_999_1PF_1C,C11_800_999_1PF_2C,C11_800_999_1PF_3C,C11_800_999_1PF_4mC,C11_800_999_1PF_T,C11_1000_1499_1PF_1C,C11_1000_1499_1PF_2C,C11_1000_1499_1PF_3C,C11_1000_1499_1PF_4mC,C11_1000_1499_1PF_T,C11_1500_1999_1PF_1C,C11_1500_1999_1PF_2C,C11_1500_1999_1PF_3C,C11_1500_1999_1PF_4mC,C11_1500_1999_1PF_T,C11_2000_2499_1PF_1C,C11_2000_2499_1PF_2C,C11_2000_2499_1PF_3C,C11_2000_2499_1PF_4mC,C11_2000_2499_1PF_T,C11_2500_2999_1PF_1C,C11_2500_2999_1PF_2C,C11_2500_2999_1PF_3C,C11_2500_2999_1PF_4mC,C11_2500_2999_1PF_T,C11_3000_3999_1PF_1C,C11_3000_3999_1PF_2C,C11_3000_3999_1PF_3C,C11_3000_3999_1PF_4mC,C11_3000_3999_1PF_T,C11_4000m_1PF_1C,C11_4000m_1PF_2C,C11_4000m_1PF_3C,C11_4000m_1PF_4mo_ch,C11_4000m_1PF_T,C11_Par_inc_st_1PF_1C,C11_Par_inc_st_1PF_2C,C11_Par_inc_st_1PF_3C,C11_Par_inc_st_1PF_4mC,C11_Par_inc_st_1PF_T,C11_All_inc_ns_1PF_1Ch,C11_All_inc_ns_1PF_2C,C11_All_inc_ns_1PF_3C,C11_All_inc_ns_1PF_4mC,C11_All_inc_ns_1PF_T,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1PF_4mC,C11_Tot_1PF_T,C16_N_in_1PF_1C,C16_N_in_1PF_2C,C16_N_in_1PF_3C,C16_N_in_1PF_4mor_c,C16_N_in_1PF_T,C16_1_149_1PF_1C,C16_1_149_1PF_2C,C16_1_149_1PF_3C,C16_1_149_1PF_4mC,C16_1_149_1PF_T,C16_150_299_1PF_1C,C16_150_299_1PF_2C,C16_150_299_1PF_3C,C16_150_299_1PF_4mC,C16_150_299_1PF_T,C16_300_399_1PF_1C,C16_300_399_1PF_2C,C16_300_399_1PF_3C,C16_300_399_1PF_4mC,C16_300_399_1PF_T,C16_400_499_1PF_1C,C16_400_499_1PF_2C,C16_400_499_1PF_3C,C16_400_499_1PF_4mC,C16_400_499_1PF_T,C16_500_649_1PF_1C,C16_500_649_1PF_2C,C16_500_649_1PF_3C,C16_500_649_1PF_4mC,C16_500_649_1PF_T
101021007,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,9,3,3,0,18,0,0,0,0,3,12,5,5,0,27,4,0,0,0,4,6,0,0,0,5,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,9,0,3,0,0,7,52,21,15,0,84,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,3,3,0,17,6,7,0,0,19,4,0,0,0,5,11,4,0,0,19,0,3,0,0,4,12,0,0,0,12,0,0,0,0,3,4,0,0,0,8,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,13,3,3,0,19,0,0,0,0,3,65,34,16,3,124,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,6,3,0,0,8,9,0,0,0,13,8,4,4,3,20
101021008,0,0,0,0,0,5,0,0,0,4,20,4,9,0,27,35,15,4,3,56,7,0,0,0,6,42,28,14,4,98,14,17,5,3,47,15,10,3,0,32,46,31,10,0,87,17,8,3,0,26,3,0,4,0,9,3,5,0,0,11,0,3,0,0,4,0,0,0,0,0,17,14,10,7,53,14,4,4,0,22,242,147,74,23,493,4,0,0,0,4,0,3,0,0,3,12,9,3,0,18,15,15,6,3,32,15,16,9,6,50,9,5,0,0,19,27,10,3,3,45,18,18,5,3,46,56,25,6,3,89,29,15,4,0,49,18,8,3,0,29,6,12,0,0,21,3,12,0,0,13,0,0,0,0,0,19,15,7,0,47,11,3,4,3,21,254,154,56,29,491,3,0,0,0,3,3,3,0,0,3,9,3,4,0,14,4,13,3,3,26,16,5,3,0,21,19,7,3,0,32
101021009,3,0,0,0,3,3,0,0,0,5,19,9,0,0,25,25,6,3,0,35,10,0,0,0,10,55,22,9,0,83,32,10,4,0,49,32,12,3,0,42,63,26,5,0,93,23,14,0,0,40,7,3,0,0,7,3,0,0,0,10,0,0,0,0,3,0,0,0,0,0,28,12,5,0,44,6,3,3,0,19,313,103,40,9,464,4,0,0,0,5,3,0,0,0,6,9,4,0,0,9,7,4,3,3,19,22,11,0,0,32,8,0,0,0,11,41,7,0,0,49,30,9,9,0,49,79,25,4,0,111,44,21,8,0,70,27,4,3,0,34,16,11,0,0,29,5,0,0,3,9,0,3,0,0,3,18,13,9,3,42,14,4,0,0,19,331,111,32,7,483,3,3,0,0,7,5,0,0,0,4,3,0,0,0,3,12,3,0,0,14,19,3,4,0,23,18,12,7,0,32
101021010,0,0,0,0,0,3,0,0,0,3,7,0,0,0,5,13,5,3,0,25,0,0,0,0,0,11,4,4,0,24,13,0,3,3,23,10,4,0,0,13,29,12,6,0,44,10,4,0,0,14,0,0,0,0,0,0,0,3,0,7,0,0,0,0,5,0,0,0,0,0,6,0,3,0,16,3,6,0,0,5,102,39,25,3,173,0,0,0,0,0,0,0,0,0,0,3,3,3,0,5,3,3,0,0,9,14,8,3,0,19,0,0,0,0,0,13,8,0,0,23,15,3,0,3,14,21,9,4,0,31,17,9,0,0,21,4,3,0,0,10,0,3,0,0,4,3,0,0,0,5,0,0,0,0,3,9,9,3,0,12,3,3,0,0,5,102,51,17,4,178,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,8,3,0,0,6,3,0,0,0,5,4,4,3,0,14
101021011,3,0,0,0,5,3,3,0,0,5,6,3,0,0,9,15,10,0,0,25,5,0,0,0,5,24,16,3,0,39,11,9,3,0,22,8,11,5,0,23,33,21,9,0,55,8,4,0,0,16,4,5,0,0,6,7,10,0,0,14,0,0,0,0,0,0,0,0,0,0,9,9,8,0,27,0,0,0,0,0,129,100,28,3,254,3,3,0,0,6,0,0,0,0,4,3,7,0,0,8,13,3,0,0,17,8,8,3,0,20,3,0,0,0,3,15,8,5,0,31,18,6,6,0,26,29,31,4,3,69,22,13,4,0,35,22,7,0,0,26,14,3,6,3,23,5,0,0,0,11,0,0,0,0,0,20,14,5,0,35,7,3,0,0,5,182,101,27,13,322,7,0,0,0,10,0,0,0,0,0,3,0,0,0,8,5,3,3,0,13,11,3,7,0,16,15,6,5,0,24
101021012,0,0,0,0,3,4,3,3,0,7,8,3,0,0,12,19,11,4,0,29,0,0,0,0,0,20,17,8,4,44,7,8,3,3,26,15,8,3,0,30,61,32,7,3,102,26,17,0,0,44,6,5,3,0,17,11,4,0,0,22,3,0,0,0,3,3,0,0,0,3,15,12,3,4,37,5,0,0,0,5,198,123,35,14,378,3,0,0,0,4,4,3,0,0,5,11,3,0,0,13,12,8,0,0,16,8,7,0,0,19,4,0,0,0,4,14,9,0,0,25,12,6,9,0,33,50,27,6,3,85,42,22,12,0,71,17,9,0,0,25,14,22,3,0,46,7,12,4,0,26,0,0,0,0,0,14,18,6,3,38,4,0,0,0,7,211,145,46,17,419,4,0,0,0,5,0,0,0,0,0,3,3,0,0,5,3,3,0,0,7,9,3,0,0,11,9,6,0,0,13
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,0,14,5,0,0,0,5,14,3,6,4,30,5,4,0,0,12,8,0,0,0,8,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,11,0,0,0,0,0,57,20,10,3,93,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,6,7,4,0,0,13,3,0,0,0,6,14,5,3,3,20,6,5,0,0,15,5,3,3,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,6,58,26,7,8,94,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,3,0,3,0,0,7,8,3,0,0,9
101031014,0,0,0,0,0,5,0,0,0,5,14,0,3,0,19,33,13,4,0,53,10,0,3,0,17,32,13,11,3,55,15,16,3,0,31,10,10,3,0,22,32,10,3,0,41,3,7,0,0,10,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,11,11,3,3,27,6,0,0,0,10,176,79,29,14,297,5,0,0,0,4,3,0,0,0,4,7,0,0,0,14,18,8,3,0,29,26,19,0,3,47,13,3,0,0,19,25,3,6,0,42,18,10,0,0,30,35,8,3,4,50,14,5,3,0,24,3,4,0,0,6,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,13,8,0,32,3,3,0,0,6,183,83,25,18,315,3,0,0,0,3,0,0,0,0,3,9,3,0,0,17,5,11,0,0,16,14,6,3,0,26,15,14,5,0,30
101031015,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,3,4,0,14,0,0,0,0,0,8,3,0,0,12,3,0,0,0,7,3,3,0,0,4,8,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,3,38,19,9,7,71,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,6,0,0,0,9,7,5,3,0,11,3,0,0,0,4,9,7,0,0,14,6,5,0,0,20,3,3,3,0,6,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,3,0,0,0,3,53,23,7,4,93,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,3,0,0,0,0,3,4,3,0,0,4
101031016,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,10,0,0,0,19,3,0,0,0,3,10,8,0,0,20,0,8,0,0,3,5,9,3,0,18,25,3,0,0,31,3,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,9,3,0,15,0,0,0,0,3,80,34,8,4,130,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,9,0,0,0,11,14,8,0,0,25,3,0,0,0,3,9,12,4,0,28,11,9,3,0,18,20,9,7,0,34,10,5,0,0,15,0,3,0,0,3,8,0,0,0,7,5,0,0,0,5,0,0,0,0,0,12,4,0,0,15,4,0,0,0,4,101,49,16,0,169,0,0,0,0,3,0,0,0,0,3,3,0,0,0,6,8,4,0,0,10,3,3,0,0,5,17,4,0,0,24
