SA2_MAINCODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
113031266,1738,784,56,154,2729
113031267,4415,1420,193,218,6246
113031268,960,231,143,69,1402
113031269,5526,1992,235,337,8095
113031270,2657,1754,298,333,5044
113031271,3759,1094,113,415,5388
114011272,2406,1018,62,304,3794
114011273,990,352,27,121,1489
114011274,1334,634,48,146,2162
114011275,15,3,0,7,22
114011276,1167,560,51,147,1934
114011277,4142,1618,147,341,6246
114011278,4742,1941,224,488,7391
114011279,3743,1564,149,291,5748
114011280,1208,648,39,129,2024
114011281,941,188,26,85,1232
114011282,4182,1810,160,442,6593
114011283,1385,556,48,224,2216
114021284,3564,1377,93,249,5280
114021285,1589,335,39,90,2057
114021286,2309,938,80,235,3569
114021287,2505,1048,90,207,3857
114021288,946,280,29,120,1376
114021289,1823,658,50,157,2695
115011290,6266,1253,141,173,7829
115011291,5261,567,151,104,6074
115011294,1729,304,16,46,2091
115011296,3456,336,26,63,3884
115011553,2081,454,52,72,2664
115011554,1260,566,8,43,1875
115011555,3245,447,55,97,3845
115011556,2587,411,45,77,3120
115011557,1384,109,12,29,1532
115011558,5112,650,35,112,5911
115011559,6095,522,86,153,6859
115021297,5294,836,96,330,6552
115021298,1337,273,30,88,1728
115031299,635,234,21,171,1063
115031300,5685,966,105,401,7168
115041301,2676,498,58,174,3411
115041302,5785,481,79,164,6504
116011303,4246,1121,226,278,5868
116011304,4503,1078,157,191,5931
116011306,5638,870,157,244,6914
116011307,6438,1729,214,337,8713
116011308,6050,1300,228,312,7891
116011560,3115,681,107,173,4083
116011561,3935,843,154,205,5137
116021309,4055,270,83,59,4470
116021310,8034,818,129,299,9283
116021312,4416,826,117,362,5723
116021562,1005,88,17,22,1135
116021563,6018,768,125,193,7095
116031313,4290,1044,132,449,5912
116031314,2078,264,32,93,2465
116031315,4917,575,78,232,5805
116031316,4916,1186,156,511,6769
116031317,5307,1291,198,429,7223
116031318,5,0,0,0,5
116031319,5068,731,96,233,6130
117011320,4,0,0,0,4
117011321,2753,745,154,225,3873
117011322,5944,1981,802,498,9229
117011323,2786,1052,203,314,4357
117011324,3,0,0,0,5
117011325,0,0,0,3,3
117021326,6121,2528,1082,713,10452
117021327,4504,2335,1017,795,8656
117021328,1853,646,353,205,3062
117031329,2135,2325,584,942,5984
117031330,4036,2009,979,607,7636
117031331,4196,3187,1036,1037,9457
117031332,4503,3735,1648,1108,10998
117031333,3584,5234,819,1655,11296
117031334,4207,2447,1564,1133,9351
117031335,3975,3625,1775,1325,10707
117031336,3140,2933,1122,1045,8240
117031337,4589,2703,1816,2239,11351
117031338,7258,4213,2416,1676,15560
118011339,4179,1912,931,845,7860
118011340,4578,2277,1124,1167,9142
118011341,3743,1849,604,823,7023
118011342,0,0,0,0,0
118011343,6019,3049,827,1186,11082
118011344,2869,942,161,255,4230
118011345,3426,2230,673,707,7038
118011346,3019,878,134,279,4309
118011347,1870,948,208,385,3418
118021348,6071,2719,1091,887,10768
118021350,5530,1886,198,613,8234
118021564,2528,1294,766,418,5008
118021565,3065,1176,1207,351,5801
118021566,2420,809,225,168,3624
118021567,2660,1333,271,331,4593
118021568,2473,778,382,243,3879
118021569,4136,1864,715,391,7110
118021570,2882,1243,636,378,5139
119011354,5087,1304,115,312,6823
119011355,212,27,6,28,276
119011356,2641,467,52,150,3306
119011357,5759,1347,114,409,7627
119011358,4228,1223,128,203,5780
119011359,6769,1599,140,307,8814
119011360,4056,1084,122,213,5483
119011361,4734,1172,142,321,6368
119011571,3817,1076,194,409,5501
119011572,3510,856,160,406,4930
119021362,4741,1368,229,319,6658
119021363,7597,1752,633,545,10536
119021364,6169,1337,218,418,8140
119021366,4653,1032,202,347,6235
119021367,3375,812,100,227,4525
119021573,3721,822,360,272,5182
119021574,2394,551,167,222,3327
119031368,5584,1213,620,374,7790
119031369,6207,1966,278,395,8850
119031370,3481,998,136,190,4809
119031371,3337,723,102,122,4285
119031372,4712,1171,91,170,6143
119031373,2699,1219,178,231,4326
119031374,5970,1301,428,273,7971
119041375,5046,1504,807,476,7833
119041376,6522,1620,307,376,8830
119041377,3305,812,123,166,4413
119041378,2834,837,249,204,4126
119041379,4141,1107,264,230,5738
119041380,3550,1614,198,424,5783
119041381,4689,1233,573,411,6907
119041382,4181,1871,197,376,6625
120011383,6011,1444,180,366,8000
120011384,6290,1689,965,556,9497
120011385,4702,1805,377,515,7406
120011386,5455,2009,317,498,8285
120021387,4006,1926,298,620,6847
120021388,6410,2680,771,775,10638
120021389,3595,1494,328,450,5869
120031390,5666,2264,824,584,9338
120031391,5437,1644,1000,475,8560
120031392,2709,780,196,210,3898
120031393,4390,1297,249,242,6183
120031394,4086,2003,569,500,7156
120031395,3398,1248,320,271,5237
120031396,3757,888,512,500,5653
120031575,5550,1376,860,430,8223
120031576,924,191,49,64,1226
121011398,7237,2413,738,732,11129
121011399,5480,1832,466,391,8165
121011400,7027,2277,359,434,10097
121011401,2781,1292,293,392,4756
121011402,6775,1460,172,353,8760
121021403,4962,790,98,127,5979
121021404,3206,561,55,92,3914
121021406,4917,948,87,141,6086
121021577,3186,1169,248,165,4768
121021578,2800,765,90,201,3859
121021579,2557,868,91,152,3672
121031407,5740,1118,130,259,7252
121031408,6145,1273,168,248,7830
121031409,4408,627,67,144,5244
121031410,5714,1029,63,190,6999
121031411,5112,1258,93,176,6636
121031412,4692,850,78,171,5787
121041413,5009,2768,407,608,8790
121041414,4757,2612,618,590,8575
121041415,7458,3242,323,827,11849
121041416,4373,3177,605,828,8995
121041417,2753,1740,297,634,5422
122011418,5388,1176,182,289,7034
122011419,5553,2505,766,718,9537
122021420,3296,863,81,200,4435
122021421,2792,769,58,214,3841
122021422,3632,905,88,139,4764
122021423,6298,1589,191,464,8547
122031424,3444,838,98,173,4556
122031425,1920,517,42,89,2570
122031426,6446,2622,557,620,10239
122031427,3361,726,50,103,4243
122031428,6661,1129,102,249,8145
122031429,5428,1824,413,457,8119
122031430,4310,1187,158,177,5827
122031431,6311,2364,248,493,9412
122031432,926,119,13,63,1124
123011433,3341,947,71,111,4469
123011434,5520,771,97,238,6623
123011435,7634,994,126,240,9001
123021436,4823,1143,150,319,6438
123021437,4429,1661,204,361,6654
123021438,5160,828,110,315,6406
123021439,0,0,0,0,0
123021440,5057,1203,134,359,6755
123021441,4304,1173,134,219,5829
123021442,5787,1377,192,402,7767
123021443,5027,951,114,244,6336
123021444,5333,896,131,316,6675
123031445,1486,337,35,102,1959
123031446,2516,334,40,109,2997
123031447,4372,1025,82,290,5774
123031448,2283,342,37,128,2798
124011449,1452,810,93,203,2564
124011450,5242,1115,117,175,6657
124011451,3,0,0,0,7
124011452,3116,2051,292,460,5917
124011453,2993,1072,121,160,4343
124011454,5908,1612,144,187,7856
124011455,1637,697,85,132,2548
124021456,0,3,0,11,11
124031457,4206,895,119,198,5426
124031458,6158,935,159,352,7607
124031459,3795,908,69,181,4956
124031460,5673,684,84,208,6655
124031461,4600,1384,187,318,6479
124031462,4801,1679,252,417,7146
124031463,2373,336,43,150,2896
124031464,3128,2003,239,443,5805
124031465,1321,233,24,71,1653
124041466,3370,1477,160,250,5251
124041467,3952,1228,167,267,5618
124041468,1460,220,31,134,1842
124051469,1692,194,17,58,1964
124051470,5231,718,90,254,6295
124051580,2871,731,137,201,3943
124051581,3782,1555,230,462,6019
125011473,4482,1470,350,712,7012
125011475,0,0,0,0,0
125011582,3403,577,414,243,4637
125011583,2257,504,459,207,3422
125011584,1788,331,100,112,2331
125011585,2078,441,157,85,2757
125011586,4607,814,442,308,6169
125011587,1202,309,73,49,1635
125021476,7339,1211,199,239,8988
125021477,5389,1383,194,268,7241
125021478,4466,1425,192,293,6376
125031479,4070,1157,123,261,5615
125031480,3247,990,159,322,4730
125031481,4570,1128,371,394,6468
125031482,6945,1199,96,292,8525
125031483,4454,1201,167,474,6299
125031484,4827,1499,217,337,6881
125031485,6725,1799,416,426,9368
125031486,0,3,0,0,3
125031487,3,0,0,0,3
125041489,5238,2152,511,723,8621
125041490,2150,314,27,48,2542
125041491,5253,1587,298,404,7544
125041492,6997,2101,889,990,10983
125041493,5575,1587,206,285,7655
125041494,2949,461,44,57,3518
125041588,3089,808,134,192,4227
125041589,3824,1026,205,212,5271
126011495,7073,1381,477,274,9207
126011496,5439,1054,117,148,6760
126021497,6309,1398,432,295,8426
126021498,3715,1547,165,278,5708
126021499,2390,720,55,173,3336
126021500,4908,2245,754,389,8299
126021501,3160,703,121,107,4085
126021503,5154,1810,433,260,7653
126021590,1104,186,23,47,1359
126021591,7079,2317,512,490,10401
127011504,3747,1240,109,546,5640
127011505,1986,400,51,261,2696
127011506,4549,640,86,370,5639
127011592,16,0,0,3,22
127011593,1661,130,13,76,1881
127011594,2969,326,41,113,3447
127011595,2973,267,26,97,3356
127011596,2822,250,25,116,3221
127011597,3641,291,27,186,4142
127021509,3827,490,49,143,4505
127021510,4712,581,50,136,5482
127021511,5672,1319,327,376,7687
127021512,3907,843,91,235,5078
127021513,4801,925,171,239,6145
127021514,2417,268,13,63,2763
127021515,4257,1130,188,257,5831
127021516,4501,781,85,192,5565
127021517,2053,245,26,57,2374
127021518,1002,149,20,94,1252
127021519,4343,1048,106,223,5710
127021520,2677,300,43,95,3117
127021521,4,5,0,0,7
127031522,3774,724,81,296,4869
127031523,4896,844,91,216,6048
127031524,5287,732,82,195,6297
127031598,6171,1966,283,1172,9594
127031599,2622,872,65,313,3871
127031600,4199,361,28,163,4755
127031601,1303,704,95,355,2461
128011529,4777,1100,124,154,6160
128011530,4726,1695,190,275,6889
128011531,4263,1212,101,223,5791
128011602,3014,1565,168,249,4996
128011603,3279,690,52,110,4137
128011604,6130,2947,451,749,10271
128011605,861,100,7,23,991
128011606,2050,488,44,84,2666
128021533,1738,440,29,42,2248
128021534,2877,253,25,53,3212
128021535,5742,774,71,149,6735
128021536,5739,1111,106,180,7132
128021537,3,0,0,4,11
128021538,5519,2343,275,356,8489
128021607,4674,907,73,87,5736
128021608,2018,312,29,41,2407
128021609,1010,72,3,13,1099
197979799,0,0,0,0,0
199999499,0,0,0,0,0
201011001,3055,711,120,153,4039
201011002,2850,1529,275,286,4937
201011003,5805,2756,434,473,9462
201011004,5880,3398,591,635,10503
201011005,1768,414,94,144,2422
201011006,1849,526,102,107,2579
201011007,1054,170,17,63,1314
201011008,3584,1886,189,333,5994
201021009,1544,498,42,146,2231
201021010,1987,887,56,249,3180
201021011,2299,1192,119,378,3998
201021012,1493,437,42,166,2136
201031013,868,451,44,105,1466
201031014,1018,500,41,133,1697
201031015,1210,393,25,97,1727
201031016,2002,1263,112,200,3567
201031017,1415,677,77,141,2301
202011018,3414,2140,327,502,6384
202011019,2919,1470,195,340,4918
202011020,3371,1727,248,257,5605
202011021,2193,1148,289,198,3829
202011022,5010,2458,290,492,8254
202011023,1352,163,18,65,1591
202011024,2361,329,35,89,2815
202011025,3133,843,138,244,4362
202021026,1982,339,36,149,2501
202021027,2487,1472,158,327,4442
202021028,2282,987,103,247,3624
202021029,1201,566,56,156,1978
202021030,2481,961,93,325,3860
202021031,1845,500,35,189,2570
202031032,1180,382,32,107,1702
202031033,1736,955,86,335,3112
203011034,1685,244,24,93,2052
203011035,1867,439,40,128,2471
203011036,1560,398,35,116,2108
203021037,3499,1943,295,330,6068
203021038,6393,3018,356,670,10437
203021039,3000,1894,333,419,5645
203021040,4891,2680,398,437,8408
203021041,5988,1968,358,347,8659
203021042,5660,1578,282,263,7781
203021043,4604,1097,114,241,6057
203021044,3486,1019,87,212,4805
203021045,3716,1980,204,339,6238
203021046,2575,1094,140,214,4018
203021047,3743,1703,198,300,5948
203031048,3691,1240,89,222,5250
203031049,1247,592,43,260,2148
203031050,6173,1817,185,454,8630
203031051,1978,1050,90,310,3429
203031052,1082,536,23,158,1789
203031053,4836,1155,213,337,6540
204011054,1613,871,65,250,2802
204011055,1652,888,57,182,2779
204011056,3575,1156,114,308,5155
204011057,2124,1025,86,443,3677
204011058,1054,478,41,174,1749
204011059,1517,833,92,293,2730
204011060,1097,242,25,140,1506
204011061,46,36,0,14,93
204011062,930,456,34,131,1546
204021063,2675,1532,121,291,4612
204021064,982,282,26,141,1431
204021065,1034,444,37,93,1612
204021066,4752,2528,214,406,7903
204021067,2622,786,69,280,3767
204031068,1162,461,40,136,1801
204031069,2020,935,98,1097,4146
204031070,841,276,30,79,1223
204031071,1228,590,37,99,1950
204031072,1567,705,53,177,2492
204031073,3948,1316,157,272,5685
204031074,6139,2410,290,600,9445
204031075,1241,313,27,68,1650
205011076,4215,1447,143,384,6190
205011077,1605,528,38,169,2346
205011078,2041,697,53,201,2997
205011079,4915,1799,160,385,7261
205021080,0,0,0,0,0
205021081,3686,1768,137,497,6091
205021082,2112,723,63,231,3131
205021083,0,0,0,0,0
205021084,2589,1214,95,400,4310
205021085,1610,972,67,284,2933
205021086,1751,753,74,177,2748
205031087,2235,1147,87,441,3908
205031088,25,28,0,3,58
205031089,2392,895,50,196,3538
205031090,2874,1109,83,277,4343
205031091,2676,1322,99,415,4508
205031092,0,0,0,12,13
205031093,5736,3011,263,766,9773
205041094,3075,893,111,306,4377
205041095,4184,2410,180,432,7212
205041096,3305,2136,176,511,6122
205041097,6793,2985,284,732,10793
205041098,1236,357,38,92,1723
205051099,0,7,0,0,9
205051100,1073,497,46,198,1812
205051101,3642,1425,102,314,5492
205051102,1074,318,34,98,1528
205051103,3677,1772,178,467,6093
205051104,1385,729,59,170,2347
206011105,5598,3142,1819,631,11188
206011106,2553,1510,708,330,5102
206011107,3190,1891,665,372,6113
206011108,6385,2275,954,418,10031
206011109,2557,702,109,173,3549
206021110,2178,1012,266,192,3641
206021111,5833,2610,996,663,10103
206021112,4345,2315,727,481,7864
206031113,3649,1610,440,390,6090
206031114,6871,2996,447,635,10952
206031115,2201,1409,474,456,4539
206031116,3553,1569,367,273,5758
206041117,2522,3668,2081,1131,9404
206041118,2533,1434,707,871,5547
206041119,1097,859,211,308,2479
206041120,11,12,4,12,32
206041121,2566,1385,539,349,4845
206041122,5704,5964,4613,2880,19160
206041123,3778,2703,1632,1172,9292
206041124,962,617,422,194,2188
206041125,1352,1146,230,372,3105
206041126,3909,2857,1484,1473,9725
206041127,0,0,0,3,3
206051128,3917,2130,428,609,7093
206051129,3559,2708,646,715,7628
206051130,4208,2501,362,732,7801
206051131,0,3,0,0,4
206051132,2786,1980,413,650,5833
206051133,5239,5600,1271,2061,14170
206051134,3510,2886,965,728,8079
206061135,2157,1348,312,262,4079
206061136,4220,3531,1223,1003,9988
206061137,4518,4187,1322,1170,11196
206061138,3324,1819,347,478,5963
206071139,1870,1161,529,393,3950
206071140,1856,941,667,221,3681
206071141,1851,1333,545,528,4265
206071142,2118,1421,589,598,4722
206071143,2750,1646,686,411,5490
206071144,7008,4370,1797,1200,14381
206071145,2118,950,342,284,3695
207011146,2010,503,74,92,2686
207011147,4146,1374,177,235,5942
207011148,5323,1136,132,224,6820
207011149,5453,1610,291,272,7623
207011150,4371,1078,164,175,5795
207011151,5211,3290,973,707,10170
207011152,3713,1796,553,377,6440
207011153,6086,2086,545,525,9237
207011154,1697,452,90,107,2350
207011155,4231,1151,133,226,5738
207021156,3071,827,97,161,4159
207021157,5674,1835,304,308,8122
207021159,4519,850,69,179,5629
207021160,3747,904,86,159,4895
207021424,4074,614,56,179,4921
207021425,3813,1145,145,197,5297
207031161,5555,1757,295,244,7850
207031162,2751,929,117,136,3940
207031163,4624,2126,708,462,7917
207031164,4582,1400,314,206,6506
207031165,2467,1237,587,210,4501
207031166,2686,710,238,101,3728
207031167,2607,827,131,103,3664
208011168,3693,976,46,207,4925
208011169,5987,2108,200,485,8778
208011170,4181,1179,94,234,5690
208011171,2887,1081,123,167,4257
208011172,4601,1617,157,338,6711
208011173,4385,1594,123,310,6414
208021174,5773,1939,264,311,8293
208021176,4387,2246,622,361,7615
208021177,4920,2041,629,475,8063
208021178,4484,1556,302,292,6631
208021179,2820,1393,267,240,4720
208021180,1928,656,185,97,2864
208021181,2375,1024,206,135,3735
208021182,3332,1512,393,242,5478
208021426,3987,994,124,209,5312
208021427,3596,1009,111,163,4883
208031183,2409,328,37,77,2853
208031184,7,4,0,3,21
208031185,3133,1220,128,249,4728
208031186,3640,2030,215,372,6256
208031187,1466,411,43,65,1982
208031188,5940,2475,272,401,9085
208031189,3352,1113,113,276,4851
208031190,3437,1682,150,226,5490
208031191,2307,714,105,196,3326
208031192,0,0,0,0,0
208031193,5194,2120,187,364,7861
208041194,5025,2319,427,445,8206
208041195,5248,1813,585,340,7983
209011196,2590,623,180,136,3523
209011197,5674,1537,131,202,7538
209011198,3841,1509,189,259,5802
209011199,3300,1584,336,456,5684
209011200,2994,1146,185,180,4499
209011201,2107,524,43,100,2768
209011202,4419,1423,136,182,6154
209011203,4977,1445,154,149,6715
209011204,2527,790,83,109,3509
209021205,2300,656,367,246,3573
209021207,6481,3262,628,753,11122
209021208,6116,2249,411,492,9270
209021428,4667,2097,709,631,8098
209021429,3067,1122,329,223,4746
209031209,6335,1200,94,206,7832
209031210,945,197,14,34,1189
209031211,1010,269,21,106,1406
209031212,1342,252,26,130,1757
209031213,2527,336,29,84,2976
209031214,1812,263,27,97,2195
209031215,3719,590,58,121,4488
209041216,1759,502,235,146,2649
209041217,1565,537,170,117,2395
209041219,5946,1403,180,378,7915
209041220,4725,924,116,181,5949
209041221,3183,585,117,159,4047
209041223,5393,1403,173,326,7299
209041224,4189,768,97,397,5447
209041225,2088,568,59,156,2875
209041430,5641,845,115,201,6797
209041431,3332,697,93,167,4283
209041432,2186,552,75,144,2956
209041433,2724,383,78,171,3357
209041434,4392,743,112,299,5550
209041435,3151,361,40,112,3670
209041436,3128,633,73,120,3946
209041437,2327,294,60,165,2845
210011226,2060,851,96,152,3156
210011227,0,0,0,0,0
210011228,2352,603,41,103,3101
210011229,7188,1809,211,370,9572
210011230,1857,646,62,94,2656
210011231,2507,590,62,123,3287
210021232,3450,706,43,185,4374
210021233,921,208,24,70,1220
210021234,1099,219,24,42,1382
210021235,2492,581,65,223,3364
210031236,1883,666,182,214,2948
210031237,3230,1025,163,217,4641
210031239,5994,2415,393,499,9303
210031438,5358,2030,400,451,8232
210031439,783,220,17,49,1069
210031440,1474,575,43,118,2210
210041240,3406,673,67,183,4326
210041241,7101,2162,231,455,9955
210051242,2847,1040,225,366,4479
210051243,3680,936,133,330,5083
210051245,4755,1215,119,309,6400
210051246,4282,363,41,158,4845
210051247,3475,556,91,237,4357
210051248,11,6,0,6,26
210051249,4864,478,75,248,5664
210051250,1689,809,97,161,2755
210051441,2069,414,66,129,2672
210051442,2785,299,48,158,3294
210051443,4055,588,105,200,4946
210051444,3510,512,81,154,4257
210051445,898,116,21,54,1088
211011251,3162,1256,159,207,4790
211011254,4137,872,118,148,5276
211011255,1745,164,18,70,1997
