SA2_MAINCODE_2016,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650m,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R0_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650m,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R0_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649,C16_2500_2999_R650m,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R0_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650m,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000m_R0_74,C16_4000m_R75_99,C16_4000m_R100_149,C16_4000m_R150_199,C16_4000m_R200_224,C16_4000m_R225_274,C16_4000m_R275_349,C16_4000m_R350_449,C16_4000m_R450_549,C16_4000m_R550_649,C16_4000m_R650m,C16_4000m_R_NS,C16_4000m_R_Tot,C16_PI_S_R0_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650m,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R0_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650m,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R0_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650m,C16_Tot_R_NS,C16_Tot_R_Tot
101021007,0,0,0,0,9,6,0,0,0,0,28,3,0,0,0,0,0,10,0,0,0,0,3,23,4,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,3,5,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,3,3,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,7,39,0,21,23,13,44,71,43,0,0,0,14,271
101021008,0,7,4,10,22,53,13,0,0,6,115,3,0,0,0,3,4,10,43,21,3,0,3,89,0,0,0,0,0,5,5,25,8,5,0,0,50,0,0,0,0,0,0,9,15,5,4,3,3,42,0,0,0,0,0,0,3,3,5,0,0,0,12,0,0,5,0,3,3,4,17,3,0,0,6,37,0,0,6,4,3,3,0,0,0,0,0,4,22,28,4,89,122,63,76,113,260,79,12,11,34,898
101021009,3,17,24,53,87,101,24,4,0,3,314,0,0,3,5,10,29,42,100,31,3,3,0,222,0,0,0,0,0,7,12,37,18,3,0,0,81,0,0,0,0,7,3,10,28,14,3,3,3,80,0,0,0,0,0,4,7,18,4,3,0,0,34,0,0,4,8,10,21,14,27,12,3,0,3,100,3,0,0,0,3,4,3,5,0,0,0,4,32,56,16,94,221,245,377,410,509,126,17,11,43,2122
101021010,0,4,19,24,24,29,8,0,0,0,120,0,0,0,3,7,15,38,28,10,3,0,0,104,0,0,0,0,0,3,5,7,4,3,0,0,32,0,0,0,3,0,3,10,6,13,3,0,0,47,0,0,0,0,0,0,3,3,6,0,0,0,12,0,0,0,4,0,6,5,16,5,0,0,3,42,0,0,4,4,0,0,0,3,0,0,0,3,15,16,6,23,126,120,173,197,159,66,10,5,28,936
101021011,0,3,0,14,5,21,12,5,0,0,77,4,0,0,0,0,6,11,24,22,13,9,0,92,6,0,0,0,0,0,6,13,7,18,0,0,48,3,3,0,0,3,8,6,7,21,17,15,0,79,3,0,0,0,0,0,3,3,4,15,11,0,45,5,0,0,0,4,3,0,10,7,6,4,0,48,3,0,0,0,0,0,0,0,0,0,0,3,5,58,0,21,18,24,51,70,122,102,79,47,24,615
101021012,0,4,0,15,23,50,22,7,3,0,130,0,0,0,7,0,19,28,46,36,22,14,3,175,0,0,3,0,0,15,18,23,24,9,5,0,92,0,0,0,0,0,11,39,14,21,23,10,3,130,0,0,0,3,0,3,32,25,22,13,14,3,105,0,0,0,3,0,6,16,19,11,19,4,0,82,0,0,0,0,0,3,0,4,3,0,0,4,11,20,8,25,34,35,104,209,252,171,104,61,21,1034
101031013,0,13,3,0,0,0,0,0,0,0,19,3,0,0,0,3,4,0,0,0,0,0,3,18,0,0,0,4,3,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,5,47,13,24,45,33,21,0,0,0,0,3,10,205
101031014,3,3,5,24,18,3,0,0,0,3,77,3,0,0,4,3,18,12,4,0,0,0,0,46,0,0,0,0,0,0,7,0,0,0,0,0,18,3,0,0,3,0,0,3,5,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,4,3,3,14,10,11,0,0,0,0,54,0,0,0,3,0,8,0,0,0,0,0,4,27,47,21,95,137,107,214,134,42,3,0,6,25,843
101031015,0,3,3,3,3,0,0,0,3,3,22,3,0,0,0,0,3,0,0,0,0,3,0,9,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,42,7,16,24,11,17,11,9,3,0,15,17,175
101031016,3,3,8,17,23,28,9,0,21,3,138,6,0,4,11,5,15,14,20,4,5,26,0,112,4,0,0,0,0,0,9,10,3,6,28,6,69,4,0,0,0,3,3,4,17,0,3,40,9,84,3,0,0,0,0,0,0,3,0,0,61,0,80,4,0,0,3,0,3,12,6,6,3,13,0,55,0,0,0,0,6,0,0,0,0,0,7,5,22,84,0,35,89,75,104,118,145,31,31,258,51,1024
101041017,0,0,0,8,28,27,0,0,0,0,65,0,0,0,0,0,0,13,10,3,0,0,0,35,0,0,0,0,0,0,3,8,0,0,3,0,16,0,0,0,0,0,3,5,10,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,7,7,0,10,21,22,0,0,0,6,66,0,0,3,4,6,10,4,5,0,0,0,9,40,23,11,84,110,90,180,255,170,18,0,12,39,989
101041018,0,3,0,5,23,29,8,0,0,3,75,5,0,0,4,0,6,5,29,3,0,0,3,48,0,0,0,0,0,0,5,9,0,0,0,0,25,0,0,0,0,0,3,0,3,3,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,10,3,4,9,14,0,0,0,0,47,0,0,0,0,3,6,8,0,0,0,0,6,34,26,7,28,85,78,175,237,214,18,3,5,26,903
101041019,0,3,3,13,35,24,0,0,4,0,91,0,0,0,0,3,5,16,13,0,0,0,0,47,0,0,0,0,0,0,8,5,0,0,0,3,14,0,0,0,0,0,0,5,11,0,0,0,3,17,0,0,3,0,0,0,0,0,3,0,0,0,12,3,0,7,4,0,3,23,16,0,0,0,0,54,3,0,0,4,4,3,3,0,0,0,0,8,22,33,17,84,92,84,152,277,133,11,6,3,31,920
101041020,7,4,7,3,6,3,0,0,0,0,37,6,0,0,0,3,3,8,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,5,3,4,10,0,0,0,0,3,33,3,0,0,3,0,0,0,0,0,0,0,3,12,103,3,55,51,61,73,71,22,3,0,5,19,461
101041021,0,0,3,6,14,13,0,0,0,0,39,3,0,0,0,0,0,6,6,0,0,0,0,21,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,3,3,3,0,0,0,4,17,3,0,0,3,0,3,0,0,0,0,0,0,8,25,7,10,32,15,55,67,52,10,0,3,10,289
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,5,0,0,3,8,7,0,0,0,0,25,0,0,0,0,0,3,7,0,0,0,0,0,13,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,15,4,0,0,0,0,39,0,0,7,6,3,0,0,0,0,0,0,3,16,17,3,60,60,49,82,103,38,0,0,0,9,437
101041024,0,0,4,0,4,4,0,0,0,0,20,0,0,0,4,3,3,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,0,4,0,0,0,0,12,3,0,0,3,0,0,0,0,0,0,0,0,3,47,0,21,39,21,19,25,21,6,0,0,10,219
101041025,0,5,6,7,19,52,7,0,3,5,104,4,0,0,4,0,9,14,18,3,0,3,5,69,0,0,0,0,0,0,6,16,0,0,0,0,23,0,0,0,0,0,0,0,13,4,0,0,3,21,0,0,0,0,0,0,0,3,0,0,0,0,9,4,0,0,4,5,15,10,19,0,0,0,3,61,3,3,0,4,3,3,0,0,0,0,0,3,27,42,11,55,124,114,169,204,230,29,4,16,45,1050
101041026,0,3,3,12,26,19,0,0,0,3,61,0,0,0,0,0,6,14,11,0,0,0,0,33,0,0,0,0,0,4,4,3,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,11,7,0,4,3,4,12,13,4,0,0,0,3,49,0,0,3,7,4,3,0,0,0,0,0,4,20,51,4,55,100,67,159,193,88,15,0,3,26,766
101041027,0,4,4,9,17,7,0,0,0,0,57,3,0,0,4,0,7,17,5,0,0,0,3,41,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,4,0,3,3,3,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,3,0,7,6,0,0,9,13,7,17,3,0,0,0,0,53,0,0,7,0,0,3,3,0,0,0,0,0,22,61,10,90,135,118,165,195,48,6,5,11,33,885
101051539,3,11,16,44,113,69,7,0,0,10,285,5,0,4,5,10,21,74,64,5,0,0,0,194,7,0,0,4,0,14,27,42,8,0,0,0,101,3,0,0,0,3,12,24,27,9,0,0,3,88,0,0,0,0,3,3,5,13,3,0,0,3,39,4,6,13,18,10,21,41,31,4,0,0,4,158,0,0,15,13,8,8,8,0,0,0,0,16,74,108,48,297,388,228,451,750,409,48,9,4,101,2827
101051540,7,5,10,11,23,14,6,0,4,3,92,12,0,0,5,3,12,8,5,0,0,0,3,63,7,0,0,0,0,4,10,3,0,0,0,3,28,8,0,0,0,0,7,3,3,0,0,0,0,25,7,0,0,0,0,0,4,0,3,0,0,0,15,7,0,9,5,5,6,3,4,0,0,0,0,42,5,0,0,3,0,0,0,0,0,0,0,0,13,165,16,68,82,85,107,110,60,16,3,10,38,762
101061541,4,0,3,5,34,26,3,3,0,3,81,0,0,3,0,0,3,21,15,3,0,0,0,59,0,0,0,0,0,0,7,3,3,0,0,0,20,0,0,0,0,0,0,7,6,3,3,0,0,20,0,0,0,0,0,0,0,6,3,0,0,0,11,0,0,0,0,0,0,10,10,3,0,0,0,29,0,0,3,0,0,0,3,3,0,0,0,4,15,28,17,25,46,24,63,183,135,21,7,3,15,566
101061542,0,0,8,11,10,12,3,3,3,0,75,12,0,0,4,3,6,8,15,5,0,0,3,66,10,3,0,0,0,0,4,3,5,7,0,0,31,7,0,3,0,0,0,0,4,10,6,4,0,44,5,0,0,0,0,0,3,8,5,5,11,0,28,14,0,0,0,0,3,8,3,8,0,4,3,44,0,0,3,0,0,0,0,0,0,0,0,3,3,135,7,23,33,38,58,72,69,57,27,21,37,580
101061543,0,6,21,34,24,3,0,0,0,0,102,8,0,0,5,7,10,14,5,0,0,0,0,59,3,0,0,0,0,6,10,0,0,0,0,0,27,0,0,0,0,0,4,10,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,7,3,12,24,14,10,0,0,0,3,78,3,0,9,9,3,4,0,0,0,0,0,14,50,60,14,94,212,193,334,196,49,3,5,3,37,1206
101061544,6,11,4,9,6,0,0,0,0,4,63,14,0,0,5,4,3,0,0,0,0,0,3,42,10,0,0,5,3,0,6,0,0,0,0,0,17,4,0,0,0,0,3,3,0,0,0,0,3,16,0,0,0,4,0,0,0,0,0,0,0,0,10,9,0,0,10,7,5,5,0,0,0,0,0,34,8,0,7,3,0,3,0,0,0,0,0,9,26,168,3,78,125,78,68,37,5,3,4,4,40,626
102011028,0,0,0,3,6,17,22,3,0,0,61,3,0,0,0,0,0,0,9,17,13,5,0,54,0,0,0,0,0,0,0,10,11,7,0,0,35,0,0,0,0,0,0,0,4,10,11,16,0,40,0,0,0,0,0,0,0,3,5,9,10,0,23,0,0,0,0,0,3,0,13,13,3,8,0,46,0,0,0,0,0,0,0,0,3,0,0,0,4,29,0,4,7,13,32,50,138,124,59,43,7,505
102011029,0,0,3,4,3,16,19,4,0,0,53,0,0,0,0,0,0,3,11,12,7,10,0,54,0,0,0,0,0,0,0,4,11,12,8,0,38,0,0,0,0,0,0,0,4,0,11,7,0,24,4,0,0,0,0,0,0,5,4,3,10,0,18,0,0,0,3,0,5,7,8,10,3,0,6,45,0,0,0,0,0,3,0,0,0,0,0,3,13,29,0,7,31,28,34,71,131,96,51,32,19,523
102011030,0,4,7,4,8,15,7,0,3,3,64,0,0,0,3,0,4,6,0,6,0,4,3,26,0,0,0,0,0,3,3,0,3,0,3,4,15,3,0,0,0,0,0,0,3,3,0,3,0,15,8,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,3,3,3,4,3,0,3,19,3,0,0,0,0,0,0,0,0,0,0,0,12,72,3,12,26,41,39,47,57,36,8,16,32,403
102011031,0,3,0,3,12,39,26,4,3,3,99,3,0,0,0,3,0,8,16,16,12,3,0,67,0,0,0,0,0,0,0,9,19,8,3,0,38,0,0,3,0,0,0,0,6,11,7,6,0,35,0,0,0,0,0,0,0,6,3,7,13,0,34,6,0,4,3,0,3,9,18,16,11,12,3,74,0,0,0,5,0,0,3,0,0,0,0,7,19,33,3,64,66,31,67,129,198,139,73,47,28,876
102011032,4,3,0,15,111,236,44,5,0,4,426,7,0,0,7,3,10,76,182,45,9,7,7,350,0,0,0,0,0,4,33,68,24,6,0,0,137,0,0,4,0,3,5,17,63,27,7,0,0,128,0,0,0,3,3,0,3,18,4,7,3,0,56,7,0,5,4,5,10,40,68,33,9,0,7,188,0,0,27,9,7,6,16,16,0,0,0,21,104,80,38,303,258,118,247,847,1225,258,63,22,103,3569
102011033,0,0,4,0,6,31,16,4,0,0,68,0,0,0,0,0,0,3,32,15,3,0,0,57,0,0,0,0,0,0,0,8,11,0,0,0,22,0,0,0,0,0,0,0,6,14,3,0,0,25,0,0,0,0,0,0,0,3,3,3,0,0,10,0,0,0,3,0,4,0,11,9,8,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,23,11,19,13,35,176,104,19,4,9,421
102011034,0,0,0,3,3,21,17,3,4,0,58,0,0,3,0,0,0,0,16,10,3,0,0,41,0,0,0,0,0,0,0,3,5,3,0,0,11,0,0,0,0,0,0,0,4,4,0,0,0,19,0,0,0,0,0,0,0,3,4,3,0,0,5,3,0,0,3,0,3,4,16,7,3,0,0,40,0,0,6,0,0,0,0,0,0,0,0,8,18,26,8,79,30,20,19,72,147,74,17,11,17,515
102011035,0,0,3,3,14,32,12,4,0,0,71,0,0,0,3,0,0,4,19,13,0,0,0,37,0,0,0,0,0,0,3,8,7,4,0,0,23,0,0,0,0,0,0,3,9,4,5,0,3,24,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,3,0,0,0,4,12,5,0,0,0,30,0,0,0,0,0,0,0,3,0,0,0,0,7,14,0,27,16,16,19,88,159,62,19,3,14,436
102011036,0,0,0,4,4,37,11,0,0,4,60,0,0,0,0,0,0,8,34,14,0,0,0,68,0,0,0,0,0,0,3,11,6,0,0,0,19,0,0,0,0,0,0,3,12,5,7,0,0,27,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,0,5,13,3,3,0,0,32,0,0,3,0,0,0,0,0,0,0,0,3,5,14,0,58,16,15,16,60,216,54,21,9,22,498
102011037,0,0,0,0,9,37,12,3,0,0,62,0,0,0,0,0,3,3,15,11,8,0,0,45,0,0,0,0,0,0,0,6,9,7,0,0,27,0,0,0,0,0,0,0,4,10,3,6,0,28,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,3,0,0,0,14,13,3,3,0,37,0,0,0,3,0,0,0,0,0,0,0,3,11,18,3,26,43,15,26,72,163,91,36,13,11,525
102011038,0,0,0,0,3,24,14,3,3,0,57,0,0,0,0,0,0,7,16,5,4,3,0,39,0,0,0,0,0,0,3,5,3,0,0,0,10,0,0,0,0,0,0,0,0,5,3,0,0,13,0,0,0,0,0,0,0,4,0,0,7,0,12,0,0,0,0,0,0,0,12,4,5,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,9,8,3,15,14,16,25,59,130,67,26,22,6,385
102011039,0,3,0,7,15,35,49,27,21,3,164,4,0,3,0,0,3,9,42,52,38,17,0,161,0,0,0,0,0,0,3,16,29,21,16,0,83,3,0,0,0,0,0,3,14,38,32,28,0,123,0,0,0,0,0,0,0,0,8,14,40,6,70,3,0,0,0,0,0,14,28,25,13,22,3,114,0,0,0,0,0,3,3,3,3,0,0,4,15,38,3,20,23,23,43,126,274,296,183,162,23,1198
102011040,0,5,10,10,62,178,49,18,4,4,345,4,0,3,3,4,5,26,101,62,12,8,0,237,0,0,0,3,0,11,9,44,33,8,0,3,106,0,0,0,0,0,5,4,29,25,12,0,0,80,0,0,0,0,0,0,0,12,16,11,0,0,32,4,0,0,7,0,3,33,92,28,10,3,9,191,3,0,4,10,8,14,15,21,3,0,0,13,92,77,12,60,105,167,304,623,1188,366,89,25,61,3080
102011041,0,0,0,3,12,16,27,7,9,0,82,0,0,0,0,0,0,9,23,23,8,7,4,69,0,0,0,0,0,0,4,9,9,9,3,0,41,0,0,0,0,0,0,0,9,8,10,16,0,36,0,0,0,0,0,0,0,0,6,3,12,0,24,3,0,0,0,0,3,3,7,17,3,9,3,50,0,0,0,0,0,0,0,0,0,3,0,0,11,20,0,10,13,17,31,54,165,118,58,58,8,559
102011042,0,4,0,5,24,98,33,5,0,3,183,4,0,0,3,0,0,12,44,27,13,0,0,101,0,0,0,0,0,3,4,22,19,10,3,3,55,0,0,0,0,0,4,11,22,13,3,6,4,56,0,0,0,0,3,0,3,10,4,0,3,0,23,0,0,10,9,3,9,11,29,16,6,0,3,99,3,0,20,3,4,3,10,6,0,0,0,19,71,57,24,240,118,74,124,301,612,195,53,26,61,1890
102011043,0,0,3,10,26,67,23,4,0,0,131,3,0,0,0,0,0,20,47,24,8,0,0,95,0,0,0,0,3,0,4,17,13,3,0,0,45,0,0,0,0,0,0,4,12,16,4,0,0,37,0,0,0,0,0,0,0,4,5,3,0,0,7,0,0,8,3,3,3,17,27,10,0,3,0,70,3,0,6,0,0,0,3,3,0,0,0,3,24,25,15,84,52,39,72,167,355,130,24,8,29,991
102021044,0,4,3,4,39,114,47,10,4,4,243,0,0,3,0,0,3,24,59,49,5,5,3,165,3,0,0,0,0,0,9,29,17,12,0,3,74,0,0,0,0,0,0,8,21,12,6,0,0,50,0,0,0,0,0,0,0,0,9,4,3,5,21,4,0,4,3,5,8,25,48,23,3,0,4,129,6,4,17,4,7,3,3,9,3,0,0,9,65,76,37,159,139,80,103,352,650,253,46,23,67,1973
102021045,0,0,3,6,33,77,17,0,0,3,140,0,0,0,0,0,0,17,52,12,0,0,0,84,0,0,0,0,0,4,0,19,10,0,0,0,39,0,0,0,0,0,0,3,21,7,0,0,0,27,0,0,0,0,0,0,0,6,3,0,0,0,8,3,0,0,0,0,4,20,35,14,0,0,3,83,0,0,0,0,0,0,7,4,0,0,0,3,15,19,3,16,23,32,67,299,494,106,4,3,26,1092
102021046,0,3,3,4,37,39,6,0,0,0,96,0,0,0,0,0,3,12,24,6,0,0,0,52,0,0,0,0,0,4,3,13,0,0,0,0,18,0,0,0,0,0,0,3,9,3,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,5,16,15,4,3,0,0,53,0,0,6,3,3,4,10,0,0,0,0,4,31,25,0,28,63,56,104,277,266,43,5,3,24,888
102021047,0,0,0,7,22,75,27,7,4,3,145,6,0,0,0,0,3,20,43,23,3,4,0,102,3,0,0,0,0,3,4,21,17,3,0,0,56,0,0,0,0,0,0,0,15,8,3,4,0,32,0,0,0,0,0,0,0,0,5,0,4,0,13,0,0,0,0,0,3,8,34,13,3,3,3,70,0,0,4,0,3,0,3,3,0,0,0,3,23,23,3,32,34,42,59,165,375,166,22,22,32,969
102021048,0,4,4,21,80,122,9,8,3,7,265,4,0,0,3,4,10,30,61,13,0,0,4,129,0,0,0,3,0,4,20,37,15,0,0,0,78,0,0,3,5,0,0,8,18,18,3,0,3,51,4,0,0,0,0,7,3,4,0,3,0,0,18,5,0,3,7,6,11,44,63,11,0,0,3,156,10,0,8,10,14,11,18,8,0,0,0,25,95,63,10,101,203,147,279,717,712,115,26,11,84,2474
102021049,0,0,0,0,5,4,0,0,3,0,18,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,5,13,12,15,16,13,9,9,4,115
102021050,0,7,3,3,28,31,3,0,3,0,79,0,0,3,0,0,5,16,24,3,4,0,4,52,0,0,0,0,0,0,6,12,7,0,0,0,27,3,0,0,0,0,4,3,9,5,0,0,0,22,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,8,16,20,3,0,0,0,48,0,0,4,9,0,0,0,0,0,0,0,3,23,24,0,27,70,22,65,211,234,38,14,5,19,735
102021051,0,0,0,0,10,22,5,0,0,0,50,0,0,0,0,0,4,14,20,8,3,0,0,44,0,0,0,0,0,0,6,11,0,0,0,0,22,0,0,0,0,3,0,3,3,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,5,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,10,10,19,15,110,130,35,11,3,7,361
102021052,0,0,0,7,20,24,4,0,0,0,64,3,0,0,0,3,3,4,14,4,0,0,0,34,0,0,0,0,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,3,6,18,8,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,3,10,15,40,134,149,43,3,0,18,432
102021053,0,3,7,17,70,121,36,7,6,4,281,3,0,0,0,0,9,33,93,32,11,11,0,189,0,0,0,3,0,3,8,23,9,3,0,0,58,4,0,0,0,0,0,3,29,18,6,0,0,71,0,0,0,0,0,0,3,7,9,3,3,0,27,0,0,3,11,4,13,43,58,30,5,3,8,170,6,0,15,9,11,8,24,7,3,0,0,14,100,71,27,146,163,145,306,784,846,214,62,39,73,2878
102021054,5,0,7,3,31,45,5,3,0,4,105,0,0,0,4,3,9,20,31,8,6,0,0,78,0,0,0,0,0,4,12,11,6,0,0,0,33,0,0,0,0,0,3,5,7,0,3,0,0,18,0,0,0,0,0,0,0,3,4,0,0,0,7,0,0,3,3,0,7,20,30,3,0,0,0,71,0,0,12,7,5,3,10,9,0,0,0,3,50,37,12,75,100,87,137,409,293,54,17,9,27,1258
102021055,0,0,0,0,13,41,15,0,0,3,73,0,0,0,0,0,0,3,28,21,3,0,0,60,3,0,0,0,0,0,0,9,12,6,0,0,31,0,0,0,0,0,0,4,6,11,3,0,0,28,0,0,0,0,0,0,0,3,10,3,0,0,24,0,0,0,0,3,0,5,21,11,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,3,4,12,0,0,10,16,15,79,244,104,23,8,11,522
102021056,0,0,3,0,16,55,103,10,0,0,199,3,0,0,0,0,0,3,42,101,11,0,3,166,0,0,0,0,0,0,0,29,63,6,0,0,103,0,0,0,3,0,0,0,23,61,6,3,0,97,0,0,0,0,0,0,0,8,24,4,0,0,36,0,0,0,3,4,4,0,32,55,10,5,3,114,0,0,0,5,0,0,0,0,3,0,0,3,18,15,4,23,83,26,46,72,356,591,62,8,33,1326
102021057,0,3,5,3,43,63,8,4,3,0,128,0,0,0,3,0,3,23,30,11,0,0,3,83,0,0,0,0,0,0,4,15,4,0,0,0,28,0,0,0,0,0,0,10,12,6,0,0,0,32,0,0,0,0,0,0,0,3,0,3,0,0,12,0,0,0,11,3,10,24,20,11,0,0,0,85,0,0,14,4,0,4,8,5,0,0,0,12,47,31,22,144,120,76,86,315,348,73,11,8,40,1267
103011058,3,17,24,65,151,88,5,0,0,3,363,3,0,3,3,3,31,85,72,18,0,0,3,224,0,0,0,0,0,6,36,44,5,3,0,3,105,0,0,0,0,0,11,22,29,6,0,0,3,79,0,0,0,0,0,0,3,16,5,0,0,0,26,4,0,8,19,15,29,58,56,7,0,0,3,196,0,0,14,7,6,3,10,5,3,0,0,16,64,89,21,216,326,274,637,990,539,71,6,6,88,3265
103011059,0,3,3,7,32,48,0,0,0,3,104,3,0,0,0,3,3,16,46,6,0,0,0,77,0,0,0,0,0,0,8,38,0,0,0,0,51,0,0,0,0,0,0,3,27,0,0,0,0,43,0,0,0,0,0,0,3,3,0,0,0,0,13,3,0,4,4,4,4,14,27,4,0,0,3,69,4,0,7,0,3,0,0,0,0,0,0,10,25,32,14,72,85,66,73,193,326,24,0,3,38,927
103011060,0,0,3,3,7,3,0,0,0,0,35,6,0,3,0,3,3,3,4,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,3,0,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,4,0,0,0,0,3,13,3,0,0,0,0,0,0,0,0,0,0,3,4,64,10,31,28,33,27,34,27,3,0,0,16,282
