SA2_MAINCODE_2016,C06_PI_S_R225_274,C06_PI_S_R275_349,C06_PI_S_R350_449,C06_PI_S_R450_549,C06_PI_S_R550_649,C06_PI_S_R650m,C06_PI_S_R_NS,C06_PI_S_R_Tot,C06_AI_NS_R0_74,C06_AI_NS_R75_99,C06_AI_NS_R100_149,C06_AI_NS_R150_199,C06_AI_NS_R200_224,C06_AI_NS_R225_274,C06_AI_NS_R275_349,C06_AI_NS_R350_449,C06_AI_NS_R450_549,C06_AI_NS_R550_649,C06_AI_NS_R650m,C06_AI_NS_R_NS,C06_AI_NS_R_Tot,C06_Tot_R0_74,C06_Tot_R75_99,C06_Tot_R100_149,C06_Tot_R150_199,C06_Tot_R200_224,C06_Tot_R225_274,C06_Tot_R275_349,C06_Tot_R350_449,C06_Tot_R450_549,C06_Tot_R550_649,C06_Tot_R650m,C06_Tot_R_NS,C06_Tot_R_Tot,C11_N_inc_R0_74,C11_N_inc_R75_99,C11_Ne_Ni_inc_R100_149,C11_Ne_Ni_inc_R150_199,C11_Ne_Ni_inc_R200_224,C11_Ne_Ni_inc_R225_274,C11_Ne_Ni_inc_R275_349,C11_Ne_Ni_inc_R350_449,C11_Ne_Ni_inc_R450_549,C11_Ne_Ni_inc_R550_649,C11_Ne_Ni_inc_R650m,C11_Ne_Ni_inc_R_NS,C11_N_inc_R_Tot,C11_1_149_R0_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650m,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R0_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650m,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R0_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650m,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R0_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650m,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R0_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650m,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R0_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650m,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R0_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650m,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R0_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650m,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R0_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650m,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R0_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650m,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R0_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650m,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R0_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649
101021007,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,8,36,8,48,68,18,7,0,0,0,0,0,8,200,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,0,0,0,0,0,0,0,8,6,3,3,4,4,7,0,0,0,0,0,0,26,3,0,3,8,5,9,3,0,0,0,0,0,29,3,0,3,0,0,3,0,0,0,0,0,0,13,0,0,3,6,5,5,0,0,0,0,0,0,22,6,0,3,0,3,4,3,0,0,0,0,0,25,3,0,0,3,0,4,0,0,0,0,0,0,17,3,0,0,3,0,9,5,0,0,0,0,0,17,6,0,4,0,0,7,10,0,0,0,0,0,29,4,0,0,0,0,7,0,0,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0
101021008,10,15,3,0,0,0,0,75,4,0,3,3,3,0,3,0,0,0,0,3,23,96,70,218,160,104,159,163,18,10,0,7,34,1034,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,3,0,0,0,0,0,0,0,8,9,19,9,7,0,3,0,0,0,0,0,3,56,7,34,20,12,4,5,4,5,0,0,0,0,90,0,6,17,20,5,4,3,7,0,0,0,0,67,3,0,5,6,0,3,0,0,3,0,0,0,25,7,6,13,13,3,13,8,8,0,0,0,0,63,0,0,4,15,5,12,24,14,3,0,0,0,87,0,4,7,11,12,9,22,22,0,0,0,3,88,0,0,0,9,3,6,21,28,12,0,0,3,72,0,0,3,10,11,5,31,55,10,3,0,3,126,0,0,0,0,0,5,18,29,15,3,0,0,70,3,0,0,4,3,5,4,14,13,3
101021009,18,11,3,0,0,3,0,74,4,3,11,14,4,3,0,0,0,0,0,4,43,114,38,331,426,169,190,168,36,4,0,10,39,1520,0,0,0,3,3,0,3,4,0,0,0,3,17,9,6,3,4,0,0,3,0,0,0,0,0,24,9,17,7,5,0,3,5,0,0,0,0,5,56,19,28,16,16,8,5,13,0,3,0,0,10,114,4,6,13,34,9,25,19,0,0,0,0,0,118,3,0,3,6,5,7,0,3,0,0,0,0,24,3,3,11,26,24,37,44,15,0,0,0,10,169,0,0,9,29,27,41,37,24,0,0,0,3,170,7,0,6,25,24,43,58,38,6,0,0,8,221,3,0,0,12,25,34,47,41,13,0,3,3,179,3,0,3,15,13,42,68,68,22,0,6,9,244,6,0,0,0,6,15,34,54,15,0,0,3,134,0,0,0,4,0,12,28,26,12,4
101021010,4,10,7,0,0,0,0,35,0,0,5,3,0,3,0,0,0,0,0,4,21,41,21,193,191,87,91,88,34,0,0,3,16,764,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,8,5,0,0,0,4,0,0,0,0,20,15,7,11,10,4,0,0,0,0,0,0,3,53,3,3,10,14,4,12,13,4,0,0,0,0,71,0,0,7,3,0,0,0,0,0,0,0,0,14,0,0,3,9,19,17,16,10,0,0,0,0,76,0,0,7,10,23,21,18,7,0,0,3,0,92,8,0,3,18,23,20,31,16,3,0,0,0,114,3,0,4,12,10,16,29,21,4,0,0,3,105,3,0,0,10,10,23,30,43,3,3,0,3,133,0,0,0,3,3,8,9,12,10,0,0,0,49,0,0,0,3,0,3,15,8,7,0
101021011,4,3,7,0,0,3,0,29,3,3,0,0,0,0,0,0,0,0,0,0,6,83,19,54,55,49,63,58,52,21,8,9,21,495,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,12,8,3,3,4,0,0,0,3,0,0,0,0,22,13,0,0,8,4,3,3,0,0,0,0,0,29,0,0,0,3,0,0,3,0,0,0,0,0,9,3,0,0,4,0,0,7,4,3,0,0,3,26,6,4,0,0,3,3,6,6,3,3,0,4,39,4,0,4,0,0,3,9,14,3,4,0,0,40,12,0,0,0,3,6,8,13,13,0,0,4,62,14,3,3,6,0,6,9,23,8,3,0,0,75,3,0,3,0,4,8,10,21,5,3,0,3,57,9,0,0,0,0,3,7,17,5,5
101021012,9,13,17,4,3,0,0,94,0,0,3,0,0,3,0,3,0,0,0,3,12,34,19,88,224,59,128,149,156,37,6,10,23,932,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,4,0,0,3,3,0,0,0,4,32,6,7,5,4,0,0,3,3,0,0,0,0,27,4,3,3,3,3,0,3,7,0,0,0,0,30,0,0,3,3,0,0,0,3,0,0,0,0,10,0,0,3,10,3,9,11,15,6,0,0,0,54,0,0,0,0,5,7,12,12,3,0,0,0,42,0,0,0,10,7,5,11,24,3,0,3,4,79,0,0,3,7,5,0,14,19,8,3,0,0,66,3,0,4,3,9,15,22,50,25,5,3,0,146,0,0,0,0,17,12,21,31,28,6,4,3,115,3,0,0,3,3,21,33,23,24,5
101031013,0,0,0,0,0,0,0,12,3,3,0,0,0,0,0,0,0,0,0,0,6,87,15,76,18,0,0,0,0,0,0,0,9,213,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,17,8,5,3,4,0,0,0,0,0,0,0,0,19,9,3,10,3,3,0,0,0,0,0,0,0,29,4,0,4,4,0,0,0,0,0,0,0,0,16,8,0,12,12,3,0,0,0,0,0,0,0,34,10,0,8,9,0,0,0,0,0,0,0,0,25,8,0,3,0,3,0,0,0,0,0,0,3,20,7,0,3,0,0,0,0,0,0,0,0,0,14,3,0,3,5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0
101031014,7,3,0,0,0,0,3,47,4,0,8,0,0,0,0,0,0,0,0,4,18,124,68,203,219,65,38,12,3,0,3,11,24,766,0,0,3,0,0,0,0,0,0,0,0,0,10,0,5,7,3,0,0,0,0,0,0,0,0,19,4,13,28,16,3,0,0,0,0,0,0,0,67,10,21,38,12,12,8,3,0,0,0,0,0,101,6,4,22,24,18,19,0,0,0,0,0,6,101,0,0,6,13,7,4,0,0,0,0,0,0,47,4,7,19,25,11,18,5,0,0,0,4,3,88,3,3,10,26,8,14,0,0,0,0,3,0,66,0,3,4,18,10,19,9,0,0,0,0,0,59,0,0,7,7,10,17,11,0,0,0,0,0,52,4,0,3,3,15,22,13,5,0,0,0,0,68,3,0,0,9,0,4,5,0,0,0,0,0,23,5,0,3,5,0,6,4,3,0,0
101031015,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,46,8,31,20,5,0,3,3,0,0,14,12,152,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,3,0,0,0,0,0,3,11,3,0,7,3,0,0,0,0,0,0,0,3,18,4,0,3,4,0,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,8,5,3,4,6,0,7,0,0,0,0,0,3,24,7,0,0,5,0,4,0,0,0,0,0,0,20,6,0,0,3,0,0,3,0,0,0,0,3,12,5,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,3,0,3,0,3,0,0,0,0,20,3,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
101031016,3,7,6,0,3,6,3,52,4,0,0,0,0,0,0,0,0,0,0,0,9,85,13,76,75,37,47,47,31,9,20,67,30,525,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,8,3,0,0,0,5,0,0,3,0,20,9,0,3,5,3,3,3,0,0,0,0,3,28,7,0,5,15,7,3,9,0,0,0,12,0,56,3,0,0,0,3,0,0,0,0,0,0,0,13,4,0,5,13,11,10,3,3,6,0,7,3,77,9,0,5,12,14,15,7,0,0,3,11,0,74,5,3,7,11,13,16,16,7,0,7,5,3,92,6,0,0,11,4,11,12,11,3,0,4,3,70,6,0,5,8,5,5,14,10,4,7,13,9,79,5,0,4,3,7,5,4,14,3,3,19,4,81,0,0,3,0,3,6,3,9,3,5
