SA4_NAME16	Year	Age	persons
Hunter Valley exc Newcastle	2006	15-19	15805
Hunter Valley exc Newcastle	2006	20-24	12651
Hunter Valley exc Newcastle	2006	25-34	26527
Hunter Valley exc Newcastle	2006	35-44	31778
Hunter Valley exc Newcastle	2006	45-54	31471
Hunter Valley exc Newcastle	2006	55-64	26592
Hunter Valley exc Newcastle	2006	65-74	16912
Hunter Valley exc Newcastle	2006	75-84	10980
Hunter Valley exc Newcastle	2006	85+	3378
Hunter Valley exc Newcastle	2011	0-4	17186
Hunter Valley exc Newcastle	2011	5-14	33835
Hunter Valley exc Newcastle	2011	15-19	16634
Hunter Valley exc Newcastle	2011	20-24	14227
Hunter Valley exc Newcastle	2011	25-34	28311
Hunter Valley exc Newcastle	2011	35-44	32568
Hunter Valley exc Newcastle	2011	45-54	33278
Hunter Valley exc Newcastle	2011	55-64	30409
Hunter Valley exc Newcastle	2011	65-74	20795
Hunter Valley exc Newcastle	2011	75-84	11741
Hunter Valley exc Newcastle	2011	85+	4267
Hunter Valley exc Newcastle	2016	0-4	17264
Hunter Valley exc Newcastle	2016	5-14	36001
Hunter Valley exc Newcastle	2016	15-19	16410
Hunter Valley exc Newcastle	2016	20-24	15088
Hunter Valley exc Newcastle	2016	25-34	31603
Hunter Valley exc Newcastle	2016	35-44	32481
Hunter Valley exc Newcastle	2016	45-54	34777
Hunter Valley exc Newcastle	2016	55-64	33575
Hunter Valley exc Newcastle	2016	65-74	27320
Hunter Valley exc Newcastle	2016	75-84	13680
Hunter Valley exc Newcastle	2016	85+	5219
Illawarra	2006	0-4	16473
Illawarra	2006	5-14	36435
Illawarra	2006	15-19	18214
Illawarra	2006	20-24	18114
Illawarra	2006	25-34	32533
Illawarra	2006	35-44	37219
Illawarra	2006	45-54	36296
Illawarra	2006	55-64	28446
Illawarra	2006	65-74	20943
Illawarra	2006	75-84	14640
Illawarra	2006	85+	4223
Illawarra	2011	0-4	17372
Illawarra	2011	5-14	35375
Illawarra	2011	15-19	19023
Illawarra	2011	20-24	19187
Illawarra	2011	25-34	33023
Illawarra	2011	35-44	36755
Illawarra	2011	45-54	38384
Illawarra	2011	55-64	32212
Illawarra	2011	65-74	23243
Illawarra	2011	75-84	15607
Illawarra	2011	85+	5802
Illawarra	2016	0-4	17470
Illawarra	2016	5-14	36295
Illawarra	2016	15-19	18979
Illawarra	2016	20-24	20855
Illawarra	2016	25-34	35895
Illawarra	2016	35-44	36792
Illawarra	2016	45-54	38525
Illawarra	2016	55-64	36239
Illawarra	2016	65-74	28043
Illawarra	2016	75-84	17066
Illawarra	2016	85+	7332
Mid North Coast	2006	0-4	10236
Mid North Coast	2006	5-14	26068
Mid North Coast	2006	15-19	12350
Mid North Coast	2006	20-24	7337
Mid North Coast	2006	25-34	15712
Mid North Coast	2006	35-44	23645
Mid North Coast	2006	45-54	27783
Mid North Coast	2006	55-64	27427
Mid North Coast	2006	65-74	21867
Mid North Coast	2006	75-84	15495
Mid North Coast	2006	85+	4812
Mid North Coast	2011	0-4	11121
Mid North Coast	2011	5-14	24793
Mid North Coast	2011	15-19	12246
Mid North Coast	2011	20-24	7834
Mid North Coast	2011	25-34	15318
Mid North Coast	2011	35-44	22167
Mid North Coast	2011	45-54	28362
Mid North Coast	2011	55-64	30545
Mid North Coast	2011	65-74	26019
Mid North Coast	2011	75-84	16296
Mid North Coast	2011	85+	6403
Mid North Coast	2016	0-4	10261
Mid North Coast	2016	5-14	24442
Mid North Coast	2016	15-19	11701
Mid North Coast	2016	20-24	8522
Mid North Coast	2016	25-34	17264
Mid North Coast	2016	35-44	20710
Mid North Coast	2016	45-54	27232
Mid North Coast	2016	55-64	33119
Mid North Coast	2016	65-74	32942
Mid North Coast	2016	75-84	18262
Mid North Coast	2016	85+	7749
Murray	2006	0-4	6882
Murray	2006	5-14	15764
Murray	2006	15-19	7585
Murray	2006	20-24	5936
Murray	2006	25-34	11783
Murray	2006	35-44	14495
Murray	2006	45-54	15923
Murray	2006	55-64	13304
Murray	2006	65-74	9425
Murray	2006	75-84	6513
Murray	2006	85+	2014
Murray	2011	0-4	6841
Murray	2011	5-14	14375
Murray	2011	15-19	7592
Murray	2011	20-24	5954
Murray	2011	25-34	11273
Murray	2011	35-44	13429
Murray	2011	45-54	15392
Murray	2011	55-64	15008
Murray	2011	65-74	11057
Murray	2011	75-84	6823
Murray	2011	85+	2567
Murray	2016	0-4	6905
Murray	2016	5-14	14539
Murray	2016	15-19	6902
Murray	2016	20-24	6312
Murray	2016	25-34	12415
Murray	2016	35-44	12838
Murray	2016	45-54	14843
Murray	2016	55-64	16327
Murray	2016	65-74	13722
Murray	2016	75-84	7784
Murray	2016	85+	3208
New England and North West	2006	0-4	11443
New England and North West	2006	5-14	25643
New England and North West	2006	15-19	12391
New England and North West	2006	20-24	9707
New England and North West	2006	25-34	18355
New England and North West	2006	35-44	22799
New England and North West	2006	45-54	24110
New England and North West	2006	55-64	21210
New England and North West	2006	65-74	14610
New England and North West	2006	75-84	9030
New England and North West	2006	85+	3097
New England and North West	2011	0-4	12084
New England and North West	2011	5-14	24351
New England and North West	2011	15-19	12227
New England and North West	2011	20-24	10220
New England and North West	2011	25-34	18341
New England and North West	2011	35-44	21460
New England and North West	2011	45-54	24357
New England and North West	2011	55-64	22885
New England and North West	2011	65-74	16930
New England and North West	2011	75-84	9717
New England and North West	2011	85+	3621
New England and North West	2016	0-4	11556
New England and North West	2016	5-14	24076
New England and North West	2016	15-19	11589
New England and North West	2016	20-24	10511
New England and North West	2016	25-34	20212
New England and North West	2016	35-44	20263
New England and North West	2016	45-54	23405
New England and North West	2016	55-64	24436
New England and North West	2016	65-74	19976
New England and North West	2016	75-84	11283
New England and North West	2016	85+	4248
Newcastle and Lake Macquarie	2006	0-4	19275
Newcastle and Lake Macquarie	2006	5-14	42015
Newcastle and Lake Macquarie	2006	15-19	22568
Newcastle and Lake Macquarie	2006	20-24	23035
Newcastle and Lake Macquarie	2006	25-34	40053
Newcastle and Lake Macquarie	2006	35-44	44824
Newcastle and Lake Macquarie	2006	45-54	46082
Newcastle and Lake Macquarie	2006	55-64	38299
Newcastle and Lake Macquarie	2006	65-74	26308
Newcastle and Lake Macquarie	2006	75-84	20585
Newcastle and Lake Macquarie	2006	85+	6913
Newcastle and Lake Macquarie	2011	0-4	20643
Newcastle and Lake Macquarie	2011	5-14	40865
Newcastle and Lake Macquarie	2011	15-19	22349
Newcastle and Lake Macquarie	2011	20-24	24005
Newcastle and Lake Macquarie	2011	25-34	42229
Newcastle and Lake Macquarie	2011	35-44	44839
Newcastle and Lake Macquarie	2011	45-54	46730
Newcastle and Lake Macquarie	2011	55-64	42232
Newcastle and Lake Macquarie	2011	65-74	29768
Newcastle and Lake Macquarie	2011	75-84	20202
Newcastle and Lake Macquarie	2011	85+	8728
Newcastle and Lake Macquarie	2016	0-4	21371
Newcastle and Lake Macquarie	2016	5-14	42050
Newcastle and Lake Macquarie	2016	15-19	21430
Newcastle and Lake Macquarie	2016	20-24	24899
Newcastle and Lake Macquarie	2016	25-34	46339
Newcastle and Lake Macquarie	2016	35-44	44331
Newcastle and Lake Macquarie	2016	45-54	46563
Newcastle and Lake Macquarie	2016	55-64	45143
Newcastle and Lake Macquarie	2016	65-74	36273
Newcastle and Lake Macquarie	2016	75-84	20775
Newcastle and Lake Macquarie	2016	85+	9928
Richmond - Tweed	2006	0-4	12301
Richmond - Tweed	2006	5-14	30359
Richmond - Tweed	2006	15-19	15113
Richmond - Tweed	2006	20-24	10466
Richmond - Tweed	2006	25-34	20873
Richmond - Tweed	2006	35-44	29400
Richmond - Tweed	2006	45-54	34200
Richmond - Tweed	2006	55-64	27023
Richmond - Tweed	2006	65-74	19559
Richmond - Tweed	2006	75-84	15109
Richmond - Tweed	2006	85+	4918
Richmond - Tweed	2011	0-4	13293
Richmond - Tweed	2011	5-14	29058
Richmond - Tweed	2011	15-19	14380
Richmond - Tweed	2011	20-24	10470
Richmond - Tweed	2011	25-34	20777
Richmond - Tweed	2011	35-44	28560
Richmond - Tweed	2011	45-54	34326
Richmond - Tweed	2011	55-64	32744
Richmond - Tweed	2011	65-74	22082
Richmond - Tweed	2011	75-84	15414
Richmond - Tweed	2011	85+	6509
Richmond - Tweed	2016	0-4	12416
Richmond - Tweed	2016	5-14	28663
Richmond - Tweed	2016	15-19	13774
Richmond - Tweed	2016	20-24	10593
Richmond - Tweed	2016	25-34	22204
Richmond - Tweed	2016	35-44	27770
Richmond - Tweed	2016	45-54	32981
Richmond - Tweed	2016	55-64	37248
Richmond - Tweed	2016	65-74	29358
Richmond - Tweed	2016	75-84	16550
Richmond - Tweed	2016	85+	8042
Riverina	2006	0-4	10400
Riverina	2006	5-14	22448
Riverina	2006	15-19	11165
Riverina	2006	20-24	9344
Riverina	2006	25-34	17349
Riverina	2006	35-44	20006
Riverina	2006	45-54	20091
Riverina	2006	55-64	15961
Riverina	2006	65-74	11361
Riverina	2006	75-84	7590
Riverina	2006	85+	2476
Riverina	2011	0-4	10509
Riverina	2011	5-14	21427
Riverina	2011	15-19	10796
Riverina	2011	20-24	9716
Riverina	2011	25-34	17009
Riverina	2011	35-44	18826
Riverina	2011	45-54	20398
Riverina	2011	55-64	17847
Riverina	2011	65-74	12483
Riverina	2011	75-84	7982
Riverina	2011	85+	3125
Riverina	2016	0-4	9965
Riverina	2016	5-14	21125
Riverina	2016	15-19	10148
Riverina	2016	20-24	9761
Riverina	2016	25-34	18982
Riverina	2016	35-44	18179
Riverina	2016	45-54	19887
Riverina	2016	55-64	19828
Riverina	2016	65-74	15046
Riverina	2016	75-84	9060
Riverina	2016	85+	3951
Southern Highlands and Shoalhaven	2006	0-4	7371
Southern Highlands and Shoalhaven	2006	5-14	18435
Southern Highlands and Shoalhaven	2006	15-19	8744
Southern Highlands and Shoalhaven	2006	20-24	5249
Southern Highlands and Shoalhaven	2006	25-34	11319
Southern Highlands and Shoalhaven	2006	35-44	16638
Southern Highlands and Shoalhaven	2006	45-54	18328
Southern Highlands and Shoalhaven	2006	55-64	18299
Southern Highlands and Shoalhaven	2006	65-74	14448
Southern Highlands and Shoalhaven	2006	75-84	9225
Southern Highlands and Shoalhaven	2006	85+	2619
Southern Highlands and Shoalhaven	2011	0-4	7758
Southern Highlands and Shoalhaven	2011	5-14	17197
Southern Highlands and Shoalhaven	2011	15-19	8665
Southern Highlands and Shoalhaven	2011	20-24	6104
Southern Highlands and Shoalhaven	2011	25-34	11117
Southern Highlands and Shoalhaven	2011	35-44	15678
Southern Highlands and Shoalhaven	2011	45-54	19221
Southern Highlands and Shoalhaven	2011	55-64	20065
Southern Highlands and Shoalhaven	2011	65-74	17142
Southern Highlands and Shoalhaven	2011	75-84	10315
Southern Highlands and Shoalhaven	2011	85+	3737
Southern Highlands and Shoalhaven	2016	0-4	7480
Southern Highlands and Shoalhaven	2016	5-14	17207
Southern Highlands and Shoalhaven	2016	15-19	8322
Southern Highlands and Shoalhaven	2016	20-24	6505
Southern Highlands and Shoalhaven	2016	25-34	13270
Southern Highlands and Shoalhaven	2016	35-44	15139
Southern Highlands and Shoalhaven	2016	45-54	18747
Southern Highlands and Shoalhaven	2016	55-64	21971
Southern Highlands and Shoalhaven	2016	65-74	22062
Southern Highlands and Shoalhaven	2016	75-84	12069
Southern Highlands and Shoalhaven	2016	85+	4588
Sydney - Baulkham Hills and Hawkesbury	2006	0-4	12969
Sydney - Baulkham Hills and Hawkesbury	2006	5-14	30756
Sydney - Baulkham Hills and Hawkesbury	2006	15-19	16319
Sydney - Baulkham Hills and Hawkesbury	2006	20-24	13025
Sydney - Baulkham Hills and Hawkesbury	2006	25-34	21907
Sydney - Baulkham Hills and Hawkesbury	2006	35-44	30787
Sydney - Baulkham Hills and Hawkesbury	2006	45-54	30991
Sydney - Baulkham Hills and Hawkesbury	2006	55-64	23648
Sydney - Baulkham Hills and Hawkesbury	2006	65-74	10386
Sydney - Baulkham Hills and Hawkesbury	2006	75-84	6240
Sydney - Baulkham Hills and Hawkesbury	2006	85+	2501
Sydney - Baulkham Hills and Hawkesbury	2011	0-4	13242
Sydney - Baulkham Hills and Hawkesbury	2011	5-14	31287
Sydney - Baulkham Hills and Hawkesbury	2011	15-19	16162
Sydney - Baulkham Hills and Hawkesbury	2011	20-24	13602
Sydney - Baulkham Hills and Hawkesbury	2011	25-34	20631
Sydney - Baulkham Hills and Hawkesbury	2011	35-44	31400
Sydney - Baulkham Hills and Hawkesbury	2011	45-54	32414
Sydney - Baulkham Hills and Hawkesbury	2011	55-64	26479
Sydney - Baulkham Hills and Hawkesbury	2011	65-74	15081
Sydney - Baulkham Hills and Hawkesbury	2011	75-84	6922
Sydney - Baulkham Hills and Hawkesbury	2011	85+	3188
Sydney - Baulkham Hills and Hawkesbury	2016	0-4	13347
Sydney - Baulkham Hills and Hawkesbury	2016	5-14	33610
Sydney - Baulkham Hills and Hawkesbury	2016	15-19	16623
Sydney - Baulkham Hills and Hawkesbury	2016	20-24	14165
Sydney - Baulkham Hills and Hawkesbury	2016	25-34	22958
Sydney - Baulkham Hills and Hawkesbury	2016	35-44	32188
Sydney - Baulkham Hills and Hawkesbury	2016	45-54	33842
Sydney - Baulkham Hills and Hawkesbury	2016	55-64	27940
Sydney - Baulkham Hills and Hawkesbury	2016	65-74	20102
Sydney - Baulkham Hills and Hawkesbury	2016	75-84	8963
Sydney - Baulkham Hills and Hawkesbury	2016	85+	4003
Sydney - Blacktown	2006	0-4	22584
Sydney - Blacktown	2006	5-14	44710
Sydney - Blacktown	2006	15-19	20302
Sydney - Blacktown	2006	20-24	19658
Sydney - Blacktown	2006	25-34	41991
Sydney - Blacktown	2006	35-44	41702
Sydney - Blacktown	2006	45-54	35373
Sydney - Blacktown	2006	55-64	25160
Sydney - Blacktown	2006	65-74	13084
Sydney - Blacktown	2006	75-84	7398
Sydney - Blacktown	2006	85+	1957
Sydney - Blacktown	2011	0-4	25624
Sydney - Blacktown	2011	5-14	46396
Sydney - Blacktown	2011	15-19	21931
Sydney - Blacktown	2011	20-24	20712
Sydney - Blacktown	2011	25-34	46983
Sydney - Blacktown	2011	35-44	45533
Sydney - Blacktown	2011	45-54	39129
Sydney - Blacktown	2011	55-64	29901
Sydney - Blacktown	2011	65-74	16197
Sydney - Blacktown	2011	75-84	8322
Sydney - Blacktown	2011	85+	2794
Sydney - Blacktown	2016	0-4	27162
Sydney - Blacktown	2016	5-14	50163
Sydney - Blacktown	2016	15-19	23419
Sydney - Blacktown	2016	20-24	22967
Sydney - Blacktown	2016	25-34	52724
Sydney - Blacktown	2016	35-44	51901
Sydney - Blacktown	2016	45-54	42341
Sydney - Blacktown	2016	55-64	33933
Sydney - Blacktown	2016	65-74	21714
Sydney - Blacktown	2016	75-84	9736
Sydney - Blacktown	2016	85+	3575
Sydney - City and Inner South	2006	0-4	10616
Sydney - City and Inner South	2006	5-14	14316
Sydney - City and Inner South	2006	15-19	10949
Sydney - City and Inner South	2006	20-24	27984
Sydney - City and Inner South	2006	25-34	65065
Sydney - City and Inner South	2006	35-44	42293
Sydney - City and Inner South	2006	45-54	28921
Sydney - City and Inner South	2006	55-64	21040
Sydney - City and Inner South	2006	65-74	12888
Sydney - City and Inner South	2006	75-84	7976
Sydney - City and Inner South	2006	85+	2621
Sydney - City and Inner South	2011	0-4	12336
Sydney - City and Inner South	2011	5-14	14848
Sydney - City and Inner South	2011	15-19	10140
Sydney - City and Inner South	2011	20-24	28099
Sydney - City and Inner South	2011	25-34	73740
Sydney - City and Inner South	2011	35-44	46318
Sydney - City and Inner South	2011	45-54	31018
Sydney - City and Inner South	2011	55-64	23253
Sydney - City and Inner South	2011	65-74	13903
Sydney - City and Inner South	2011	75-84	8111
Sydney - City and Inner South	2011	85+	2783
Sydney - City and Inner South	2016	0-4	13091
Sydney - City and Inner South	2016	5-14	17163
Sydney - City and Inner South	2016	15-19	13077
Sydney - City and Inner South	2016	20-24	37189
Sydney - City and Inner South	2016	25-34	92073
Sydney - City and Inner South	2016	35-44	51826
Sydney - City and Inner South	2016	45-54	35329
Sydney - City and Inner South	2016	55-64	26163
Sydney - City and Inner South	2016	65-74	17164
Sydney - City and Inner South	2016	75-84	9046
Sydney - City and Inner South	2016	85+	3426
Sydney - Eastern Suburbs	2006	0-4	12888
Sydney - Eastern Suburbs	2006	5-14	20842
Sydney - Eastern Suburbs	2006	15-19	12265
Sydney - Eastern Suburbs	2006	20-24	19622
Sydney - Eastern Suburbs	2006	25-34	47551
Sydney - Eastern Suburbs	2006	35-44	37486
Sydney - Eastern Suburbs	2006	45-54	28696
Sydney - Eastern Suburbs	2006	55-64	24031
Sydney - Eastern Suburbs	2006	65-74	14892
Sydney - Eastern Suburbs	2006	75-84	12362
Sydney - Eastern Suburbs	2006	85+	4865
Sydney - Eastern Suburbs	2011	0-4	15257
Sydney - Eastern Suburbs	2011	5-14	22656
Sydney - Eastern Suburbs	2011	15-19	11947
Sydney - Eastern Suburbs	2011	20-24	20509
Sydney - Eastern Suburbs	2011	25-34	50512
Sydney - Eastern Suburbs	2011	35-44	40286
Sydney - Eastern Suburbs	2011	45-54	30368
Sydney - Eastern Suburbs	2011	55-64	24550
Sydney - Eastern Suburbs	2011	65-74	16679
Sydney - Eastern Suburbs	2011	75-84	11040
Sydney - Eastern Suburbs	2011	85+	5733
Sydney - Eastern Suburbs	2016	0-4	14801
Sydney - Eastern Suburbs	2016	5-14	25951
Sydney - Eastern Suburbs	2016	15-19	13370
Sydney - Eastern Suburbs	2016	20-24	21998
Sydney - Eastern Suburbs	2016	25-34	53164
Sydney - Eastern Suburbs	2016	35-44	41635
Sydney - Eastern Suburbs	2016	45-54	32892
Sydney - Eastern Suburbs	2016	55-64	25087
Sydney - Eastern Suburbs	2016	65-74	20072
Sydney - Eastern Suburbs	2016	75-84	11718
Sydney - Eastern Suburbs	2016	85+	6342
Sydney - Inner South West	2006	0-4	33588
Sydney - Inner South West	2006	5-14	63606
Sydney - Inner South West	2006	15-19	31095
Sydney - Inner South West	2006	20-24	34298
Sydney - Inner South West	2006	25-34	71870
Sydney - Inner South West	2006	35-44	72487
Sydney - Inner South West	2006	45-54	64049
Sydney - Inner South West	2006	55-64	49071
Sydney - Inner South West	2006	65-74	34609
Sydney - Inner South West	2006	75-84	26896
Sydney - Inner South West	2006	85+	9423
Sydney - Inner South West	2011	0-4	37076
Sydney - Inner South West	2011	5-14	65326
Sydney - Inner South West	2011	15-19	32222
Sydney - Inner South West	2011	20-24	36201
Sydney - Inner South West	2011	25-34	80216
Sydney - Inner South West	2011	35-44	74082
Sydney - Inner South West	2011	45-54	69542
Sydney - Inner South West	2011	55-64	54539
Sydney - Inner South West	2011	65-74	36752
Sydney - Inner South West	2011	75-84	26200
Sydney - Inner South West	2011	85+	11458
Sydney - Inner South West	2016	0-4	38194
Sydney - Inner South West	2016	5-14	68892
Sydney - Inner South West	2016	15-19	34280
Sydney - Inner South West	2016	20-24	41586
Sydney - Inner South West	2016	25-34	94731
Sydney - Inner South West	2016	35-44	77600
Sydney - Inner South West	2016	45-54	71779
Sydney - Inner South West	2016	55-64	61067
Sydney - Inner South West	2016	65-74	42634
Sydney - Inner South West	2016	75-84	27238
Sydney - Inner South West	2016	85+	13419
Sydney - Inner West	2006	0-4	14420
Sydney - Inner West	2006	5-14	24288
Sydney - Inner West	2006	15-19	12735
Sydney - Inner West	2006	20-24	17713
Sydney - Inner West	2006	25-34	44109
Sydney - Inner West	2006	35-44	41191
Sydney - Inner West	2006	45-54	32952
Sydney - Inner West	2006	55-64	24314
Sydney - Inner West	2006	65-74	15546
Sydney - Inner West	2006	75-84	11376
Sydney - Inner West	2006	85+	4461
Sydney - Inner West	2011	0-4	17251
Sydney - Inner West	2011	5-14	25475
Sydney - Inner West	2011	15-19	12819
Sydney - Inner West	2011	20-24	19005
Sydney - Inner West	2011	25-34	48735
Sydney - Inner West	2011	35-44	43082
Sydney - Inner West	2011	45-54	35708
Sydney - Inner West	2011	55-64	27536
Sydney - Inner West	2011	65-74	16971
Sydney - Inner West	2011	75-84	11792
Sydney - Inner West	2011	85+	5197
Sydney - Inner West	2016	0-4	17385
Sydney - Inner West	2016	5-14	28843
Sydney - Inner West	2016	15-19	13724
Sydney - Inner West	2016	20-24	22842
Sydney - Inner West	2016	25-34	56865
Sydney - Inner West	2016	35-44	44928
Sydney - Inner West	2016	45-54	38627
Sydney - Inner West	2016	55-64	30476
Sydney - Inner West	2016	65-74	21016
Sydney - Inner West	2016	75-84	12447
Sydney - Inner West	2016	85+	6153
Sydney - North Sydney and Hornsby	2006	0-4	20801
Sydney - North Sydney and Hornsby	2006	5-14	41882
Sydney - North Sydney and Hornsby	2006	15-19	21759
Sydney - North Sydney and Hornsby	2006	20-24	22666
Sydney - North Sydney and Hornsby	2006	25-34	51833
Sydney - North Sydney and Hornsby	2006	35-44	54899
Sydney - North Sydney and Hornsby	2006	45-54	49906
Sydney - North Sydney and Hornsby	2006	55-64	40159
Sydney - North Sydney and Hornsby	2006	65-74	22716
Sydney - North Sydney and Hornsby	2006	75-84	17930
Sydney - North Sydney and Hornsby	2006	85+	7990
Sydney - North Sydney and Hornsby	2011	0-4	23331
Sydney - North Sydney and Hornsby	2011	5-14	45672
Sydney - North Sydney and Hornsby	2011	15-19	21932
Sydney - North Sydney and Hornsby	2011	20-24	21724
Sydney - North Sydney and Hornsby	2011	25-34	53319
Sydney - North Sydney and Hornsby	2011	35-44	58698
Sydney - North Sydney and Hornsby	2011	45-54	53486
Sydney - North Sydney and Hornsby	2011	55-64	42407
Sydney - North Sydney and Hornsby	2011	65-74	27804
Sydney - North Sydney and Hornsby	2011	75-84	17161
Sydney - North Sydney and Hornsby	2011	85+	9130
Sydney - North Sydney and Hornsby	2016	0-4	24103
Sydney - North Sydney and Hornsby	2016	5-14	50875
Sydney - North Sydney and Hornsby	2016	15-19	23610
